"","code","title","timing","scope","severity","score","invasive","sp"
"13","8.1.2","Named species (Unspecified Rattus)","Future","Whole (>90%)","Rapid Declines","Medium Impact: 6","Unspecified Rattus","Acrocephalus familiaris"
"14","8.2","Problematic native species/diseases (Telespiza ultima)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Telespiza ultima","Acrocephalus familiaris"
"15","8.2.2","Named species (Telespiza ultima)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Telespiza ultima","Acrocephalus familiaris"
"16","8.4","Problematic species/disease of unknown origin","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5",NA,"Acrocephalus familiaris"
"17","8.4.1","Unspecified species","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5",NA,"Acrocephalus familiaris"
"18","1.1","Housing & urban areas","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Acrocephalus griseldis"
"19","1.1","Housing & urban areas","Ongoing","Majority (50-90%)","Slow, Significant Declines",NA,NA,"Acrocephalus griseldis"
"20","11.2","Droughts","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Acrocephalus griseldis"
"21","3.1","Oil & gas drilling","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Acrocephalus griseldis"
"22","3.3","Renewable energy","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA,"Acrocephalus griseldis"
"23","3.3","Renewable energy","Ongoing","Majority (50-90%)","Rapid Declines",NA,NA,"Acrocephalus griseldis"
"24","5.4","Fishing & harvesting aquatic resources","Ongoing","Unknown","Negligible declines","Unknown",NA,"Acrocephalus griseldis"
"25","5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Unknown","Negligible declines","Unknown",NA,"Acrocephalus griseldis"
"26","6.3","Work & other activities","Past, Unlikely to Return","Majority (50-90%)","No decline","Past Impact",NA,"Acrocephalus griseldis"
"27","7.2","Dams & water management/use","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA,"Acrocephalus griseldis"
"28","7.2","Dams & water management/use","Ongoing","Majority (50-90%)","Rapid Declines",NA,NA,"Acrocephalus griseldis"
"29","7.2.1","Abstraction of surface water (domestic use)","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA,"Acrocephalus griseldis"
"30","7.2.1","Abstraction of surface water (domestic use)","Ongoing","Majority (50-90%)","Rapid Declines",NA,NA,"Acrocephalus griseldis"
"31","10.1","Volcanoes","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA,"Acrocephalus hiwae"
"32","1.1","Housing & urban areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Acrocephalus hiwae"
"33","1.3","Tourism & recreation areas","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Acrocephalus hiwae"
"34","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Acrocephalus hiwae"
"35","2.1.2","Small-holder farming","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Acrocephalus hiwae"
"36","8.1","Invasive non-native/alien species/diseases (Boiga irregularis)","Ongoing","Majority (50-90%)","Very Rapid Declines","High Impact: 8","Boiga irregularis","Acrocephalus hiwae"
"37","8.1","Invasive non-native/alien species/diseases (Capra hircus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Capra hircus","Acrocephalus hiwae"
"38","8.1","Invasive non-native/alien species/diseases (Coccinia grandis)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Coccinia grandis","Acrocephalus hiwae"
"39","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6","Felis catus","Acrocephalus hiwae"
"40","8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6","Unspecified Rattus","Acrocephalus hiwae"
"41","8.1.2","Named species (Boiga irregularis)","Ongoing","Majority (50-90%)","Very Rapid Declines","High Impact: 8","Boiga irregularis","Acrocephalus hiwae"
"42","8.1.2","Named species (Capra hircus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Capra hircus","Acrocephalus hiwae"
"43","8.1.2","Named species (Coccinia grandis)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Coccinia grandis","Acrocephalus hiwae"
"44","8.1.2","Named species (Felis catus)","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6","Felis catus","Acrocephalus hiwae"
"45","8.1.2","Named species (Unspecified Rattus)","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6","Unspecified Rattus","Acrocephalus hiwae"
"46","8.2","Problematic native species/diseases (Varanus indicus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Varanus indicus","Acrocephalus hiwae"
"47","8.2.2","Named species (Varanus indicus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Varanus indicus","Acrocephalus hiwae"
"48","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Acrocephalus kerearako"
"49","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Acrocephalus kerearako"
"50","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Acrocephalus kerearako"
"51","8.1","Invasive non-native/alien species/diseases (Acridotheres tristis)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Acridotheres tristis","Acrocephalus kerearako"
"52","8.1","Invasive non-native/alien species/diseases (Capra hircus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Capra hircus","Acrocephalus kerearako"
"53","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Felis catus","Acrocephalus kerearako"
"54","8.1","Invasive non-native/alien species/diseases (Rattus exulans)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus exulans","Acrocephalus kerearako"
"55","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus rattus","Acrocephalus kerearako"
"56","8.1.2","Named species (Acridotheres tristis)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Acridotheres tristis","Acrocephalus kerearako"
"57","8.1.2","Named species (Capra hircus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Capra hircus","Acrocephalus kerearako"
"58","8.1.2","Named species (Felis catus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Felis catus","Acrocephalus kerearako"
"59","8.1.2","Named species (Rattus exulans)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus exulans","Acrocephalus kerearako"
"60","8.1.2","Named species (Rattus rattus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Rattus rattus","Acrocephalus kerearako"
"61","2.4","Marine & freshwater aquaculture","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus longirostris"
"62","2.4.3","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus longirostris"
"63","4.1","Roads & railroads","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus longirostris"
"64","5.2","Gathering terrestrial plants","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Acrocephalus longirostris"
"65","5.2.2","Unintentional effects (species is not the target)","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Acrocephalus longirostris"
"66","6.1","Recreational activities","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus longirostris"
"67","8.1","Invasive non-native/alien species/diseases (Acridotheres tristis)","Ongoing","Whole (>90%)","Unknown","Unknown","Acridotheres tristis","Acrocephalus longirostris"
"68","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Minority (<50%)","Unknown","Unknown","Felis catus","Acrocephalus longirostris"
"69","8.1","Invasive non-native/alien species/diseases (Miconia calvescens)","Ongoing","Majority (50-90%)","Unknown","Unknown","Miconia calvescens","Acrocephalus longirostris"
"70","8.1","Invasive non-native/alien species/diseases (Pycnonotus cafer)","Ongoing","Minority (<50%)","Unknown","Unknown","Pycnonotus cafer","Acrocephalus longirostris"
"71","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Ongoing","Majority (50-90%)","Unknown","Unknown","Rattus rattus","Acrocephalus longirostris"
"72","8.1.2","Named species (Acridotheres tristis)","Ongoing","Whole (>90%)","Unknown","Unknown","Acridotheres tristis","Acrocephalus longirostris"
"73","8.1.2","Named species (Felis catus)","Ongoing","Minority (<50%)","Unknown","Unknown","Felis catus","Acrocephalus longirostris"
"74","8.1.2","Named species (Miconia calvescens)","Ongoing","Majority (50-90%)","Unknown","Unknown","Miconia calvescens","Acrocephalus longirostris"
"75","8.1.2","Named species (Pycnonotus cafer)","Ongoing","Minority (<50%)","Unknown","Unknown","Pycnonotus cafer","Acrocephalus longirostris"
"76","8.1.2","Named species (Rattus rattus)","Ongoing","Majority (50-90%)","Unknown","Unknown","Rattus rattus","Acrocephalus longirostris"
"77","10.1","Volcanoes","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA,"Acrocephalus luscinius"
"78","1.3","Tourism & recreation areas","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus luscinius"
"79","2.1","Annual & perennial non-timber crops","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus luscinius"
"80","2.1.2","Small-holder farming","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus luscinius"
"81","7.1","Fire & fire suppression","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus luscinius"
"82","7.1.1","Increase in fire frequency/intensity","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus luscinius"
"83","8.1","Invasive non-native/alien species/diseases","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA,"Acrocephalus luscinius"
"84","8.1","Invasive non-native/alien species/diseases (Boiga irregularis)","Past, Unlikely to Return","Whole (>90%)","Very Rapid Declines","Past Impact","Boiga irregularis","Acrocephalus luscinius"
"85","8.1","Invasive non-native/alien species/diseases (Capra hircus)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Capra hircus","Acrocephalus luscinius"
"86","8.1","Invasive non-native/alien species/diseases (Coccinia grandis)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Coccinia grandis","Acrocephalus luscinius"
"87","8.1","Invasive non-native/alien species/diseases (Felis catus)","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact","Felis catus","Acrocephalus luscinius"
"88","8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Past, Unlikely to Return",NA,NA,"Past Impact","Unspecified Rattus","Acrocephalus luscinius"
"89","8.1.1","Unspecified species","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA,"Acrocephalus luscinius"
"90","8.1.2","Named species (Boiga irregularis)","Past, Unlikely to Return","Whole (>90%)","Very Rapid Declines","Past Impact","Boiga irregularis","Acrocephalus luscinius"
"91","8.1.2","Named species (Capra hircus)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Capra hircus","Acrocephalus luscinius"
"92","8.1.2","Named species (Coccinia grandis)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Coccinia grandis","Acrocephalus luscinius"
"93","8.1.2","Named species (Felis catus)","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact","Felis catus","Acrocephalus luscinius"
"94","8.1.2","Named species (Unspecified Rattus)","Past, Unlikely to Return",NA,NA,"Past Impact","Unspecified Rattus","Acrocephalus luscinius"
"95","8.2","Problematic native species/diseases (Varanus indicus)","Past, Unlikely to Return","Minority (<50%)","Negligible declines","Past Impact","Varanus indicus","Acrocephalus luscinius"
"96","8.2.2","Named species (Varanus indicus)","Past, Unlikely to Return","Minority (<50%)","Negligible declines","Past Impact","Varanus indicus","Acrocephalus luscinius"
"97","7.1","Fire & fire suppression","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Acrocephalus melanopogon"
"98","7.1.1","Increase in fire frequency/intensity","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Acrocephalus melanopogon"
"99","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Acrocephalus melanopogon"
"100","7.2.4","Abstraction of surface water (unknown use)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Acrocephalus melanopogon"
"101","2.4","Marine & freshwater aquaculture","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus musae"
"102","2.4.3","Scale Unknown/Unrecorded","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus musae"
"103","4.1","Roads & railroads","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus musae"
"104","5.2","Gathering terrestrial plants","Past, Unlikely to Return","Majority (50-90%)","Very Rapid Declines","Past Impact",NA,"Acrocephalus musae"
"105","5.2.2","Unintentional effects (species is not the target)","Past, Unlikely to Return","Majority (50-90%)","Very Rapid Declines","Past Impact",NA,"Acrocephalus musae"
"106","6.1","Recreational activities","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus musae"
"107","8.1","Invasive non-native/alien species/diseases (Acridotheres tristis)","Past, Unlikely to Return","Whole (>90%)","Unknown","Past Impact","Acridotheres tristis","Acrocephalus musae"
"108","8.1","Invasive non-native/alien species/diseases (Felis catus)","Past, Unlikely to Return","Minority (<50%)","Unknown","Past Impact","Felis catus","Acrocephalus musae"
"109","8.1","Invasive non-native/alien species/diseases (Miconia calvescens)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Miconia calvescens","Acrocephalus musae"
"110","8.1","Invasive non-native/alien species/diseases (Pycnonotus cafer)","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact","Pycnonotus cafer","Acrocephalus musae"
"111","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Past, Unlikely to Return","Majority (50-90%)","Negligible declines","Past Impact","Rattus rattus","Acrocephalus musae"
"112","8.1.2","Named species (Acridotheres tristis)","Past, Unlikely to Return","Whole (>90%)","Unknown","Past Impact","Acridotheres tristis","Acrocephalus musae"
"113","8.1.2","Named species (Felis catus)","Past, Unlikely to Return","Minority (<50%)","Unknown","Past Impact","Felis catus","Acrocephalus musae"
"114","8.1.2","Named species (Miconia calvescens)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Miconia calvescens","Acrocephalus musae"
"115","8.1.2","Named species (Pycnonotus cafer)","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact","Pycnonotus cafer","Acrocephalus musae"
"116","8.1.2","Named species (Rattus rattus)","Past, Unlikely to Return","Majority (50-90%)","Negligible declines","Past Impact","Rattus rattus","Acrocephalus musae"
"117","10.1","Volcanoes","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA,"Acrocephalus nijoi"
"118","1.1","Housing & urban areas","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus nijoi"
"119","1.3","Tourism & recreation areas","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus nijoi"
"120","2.1","Annual & perennial non-timber crops","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus nijoi"
"121","2.1.2","Small-holder farming","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus nijoi"
"122","7.1","Fire & fire suppression","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus nijoi"
"123","7.1.1","Increase in fire frequency/intensity","Past, Unlikely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus nijoi"
"124","8.1","Invasive non-native/alien species/diseases","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA,"Acrocephalus nijoi"
"125","8.1","Invasive non-native/alien species/diseases (Boiga irregularis)","Past, Unlikely to Return","Majority (50-90%)","Very Rapid Declines","Past Impact","Boiga irregularis","Acrocephalus nijoi"
"126","8.1","Invasive non-native/alien species/diseases (Capra hircus)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Capra hircus","Acrocephalus nijoi"
"127","8.1","Invasive non-native/alien species/diseases (Coccinia grandis)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Coccinia grandis","Acrocephalus nijoi"
"128","8.1","Invasive non-native/alien species/diseases (Felis catus)","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact","Felis catus","Acrocephalus nijoi"
"129","8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Past, Unlikely to Return",NA,NA,"Past Impact","Unspecified Rattus","Acrocephalus nijoi"
"130","8.1.1","Unspecified species","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact",NA,"Acrocephalus nijoi"
"131","8.1.2","Named species (Boiga irregularis)","Past, Unlikely to Return","Majority (50-90%)","Very Rapid Declines","Past Impact","Boiga irregularis","Acrocephalus nijoi"
"132","8.1.2","Named species (Capra hircus)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Capra hircus","Acrocephalus nijoi"
"133","8.1.2","Named species (Coccinia grandis)","Past, Unlikely to Return","Majority (50-90%)","Slow, Significant Declines","Past Impact","Coccinia grandis","Acrocephalus nijoi"
"134","8.1.2","Named species (Felis catus)","Past, Unlikely to Return","Minority (<50%)","Rapid Declines","Past Impact","Felis catus","Acrocephalus nijoi"
"135","8.1.2","Named species (Unspecified Rattus)","Past, Unlikely to Return",NA,NA,"Past Impact","Unspecified Rattus","Acrocephalus nijoi"
"136","8.2","Problematic native species/diseases (Varanus indicus)","Past, Unlikely to Return","Minority (<50%)","Negligible declines","Past Impact","Varanus indicus","Acrocephalus nijoi"
"137","8.2.2","Named species (Varanus indicus)","Past, Unlikely to Return","Minority (<50%)","Negligible declines","Past Impact","Varanus indicus","Acrocephalus nijoi"
"138","2.1","Annual & perennial non-timber crops","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus"
"139","2.1.2","Small-holder farming","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus"
"140","2.3","Livestock farming & ranching","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus"
"141","2.3.2","Small-holder grazing, ranching or farming","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus"
"142","2.4","Marine & freshwater aquaculture","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus"
"143","2.4.3","Scale Unknown/Unrecorded","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus"
"144","5.3","Logging & wood harvesting","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus"
"145","5.3.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus orinus"
"146","11.2","Droughts","Ongoing","Unknown","Unknown","Unknown",NA,"Acrocephalus paludicola"
"147","2.1","Annual & perennial non-timber crops","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA,"Acrocephalus paludicola"
"148","2.1.3","Agro-industry farming","Ongoing","Majority (50-90%)","Rapid Declines","Medium Impact: 7",NA,"Acrocephalus paludicola"
"149","5.2","Gathering terrestrial plants","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Acrocephalus paludicola"
"150","5.2.2","Unintentional effects (species is not the target)","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Acrocephalus paludicola"
"151","7.2","Dams & water management/use","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Acrocephalus paludicola"
"152","7.2.10","Large dams","Ongoing","Minority (<50%)","Rapid Declines","Medium Impact: 6",NA,"Acrocephalus paludicola"
"153","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Acrocephalus rehsei"
"154","11.4","Storms & flooding","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5",NA,"Acrocephalus rehsei"
"155","3.2","Mining & quarrying","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Acrocephalus rehsei"
"156","8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5","Unspecified Rattus","Acrocephalus rehsei"
"157","8.1.2","Named species (Unspecified Rattus)","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5","Unspecified Rattus","Acrocephalus rehsei"
"158","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Acrocephalus rimitarae"
"159","1.3","Tourism & recreation areas","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Acrocephalus rimitarae"
"160","8.1","Invasive non-native/alien species/diseases (Acridotheres tristis)","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5","Acridotheres tristis","Acrocephalus rimitarae"
"161","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Felis catus","Acrocephalus rimitarae"
"162","8.1","Invasive non-native/alien species/diseases (Rattus exulans)","Ongoing","Whole (>90%)","Negligible declines","Medium Impact: 6","Rattus exulans","Acrocephalus rimitarae"
"163","8.1","Invasive non-native/alien species/diseases (Rattus norvegicus)","Ongoing","Whole (>90%)","Negligible declines","Medium Impact: 6","Rattus norvegicus","Acrocephalus rimitarae"
"164","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Future","Whole (>90%)","Rapid Declines","Medium Impact: 6","Rattus rattus","Acrocephalus rimitarae"
"165","8.1.2","Named species (Acridotheres tristis)","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5","Acridotheres tristis","Acrocephalus rimitarae"
"166","8.1.2","Named species (Felis catus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Felis catus","Acrocephalus rimitarae"
"167","8.1.2","Named species (Rattus exulans)","Ongoing","Whole (>90%)","Negligible declines","Medium Impact: 6","Rattus exulans","Acrocephalus rimitarae"
"168","8.1.2","Named species (Rattus norvegicus)","Ongoing","Whole (>90%)","Negligible declines","Medium Impact: 6","Rattus norvegicus","Acrocephalus rimitarae"
"169","8.1.2","Named species (Rattus rattus)","Future","Whole (>90%)","Rapid Declines","Medium Impact: 6","Rattus rattus","Acrocephalus rimitarae"
"170","11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Acrocephalus rodericanus"
"171","11.2","Droughts","Past, Likely to Return","Majority (50-90%)","Unknown","Past Impact",NA,"Acrocephalus rodericanus"
"172","11.4","Storms & flooding","Past, Likely to Return","Majority (50-90%)","Unknown","Past Impact",NA,"Acrocephalus rodericanus"
"173","2.1","Annual & perennial non-timber crops","Past, Likely to Return","Minority (<50%)","No decline","Past Impact",NA,"Acrocephalus rodericanus"
"174","2.1.2","Small-holder farming","Past, Likely to Return","Minority (<50%)","No decline","Past Impact",NA,"Acrocephalus rodericanus"
"175","2.3","Livestock farming & ranching","Past, Likely to Return","Minority (<50%)","No decline","Past Impact",NA,"Acrocephalus rodericanus"
"176","2.3.2","Small-holder grazing, ranching or farming","Past, Likely to Return","Minority (<50%)","No decline","Past Impact",NA,"Acrocephalus rodericanus"
"177","5.3","Logging & wood harvesting","Past, Likely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus rodericanus"
"178","5.3.4","Unintentional effects: (large scale) [harvest]","Past, Likely to Return","Minority (<50%)","Slow, Significant Declines","Past Impact",NA,"Acrocephalus rodericanus"
"179","6.3","Work & other activities","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Acrocephalus rodericanus"
"180","8.1","Invasive non-native/alien species/diseases (Felis catus)","Ongoing","Majority (50-90%)","No decline","Low Impact: 5","Felis catus","Acrocephalus rodericanus"
"181","8.1","Invasive non-native/alien species/diseases (Rattus norvegicus)","Ongoing","Majority (50-90%)","No decline","Low Impact: 5","Rattus norvegicus","Acrocephalus rodericanus"
"182","8.1","Invasive non-native/alien species/diseases (Rattus rattus)","Ongoing","Majority (50-90%)","No decline","Low Impact: 5","Rattus rattus","Acrocephalus rodericanus"
"183","8.1.2","Named species (Felis catus)","Ongoing","Majority (50-90%)","No decline","Low Impact: 5","Felis catus","Acrocephalus rodericanus"
"184","8.1.2","Named species (Rattus norvegicus)","Ongoing","Majority (50-90%)","No decline","Low Impact: 5","Rattus norvegicus","Acrocephalus rodericanus"
"185","8.1.2","Named species (Rattus rattus)","Ongoing","Majority (50-90%)","No decline","Low Impact: 5","Rattus rattus","Acrocephalus rodericanus"
"186","2.1","Annual & perennial non-timber crops (Capra hircus)","Past, Unlikely to Return","Majority (50-90%)","No decline","Past Impact","Capra hircus","Acrocephalus sechellensis"
