"","X","code","title","timing","scope","severity","score","invasive","Scientific.name","Common_Name","Scientific_name","GBIF_ID","Dietary_Guild","Water_Forager","Ground.Understory_Forager","Midhigh.Canopy_Forager","Aerial_Forager","Foraging.Strata","Activity_Time","Global.IUCN.Red.List.Category","Annual_Trend","Mean_Wing_Length_.mm.","Mean_M_Wing_Length_.mm.","Mean_F_Wing_Length_.mm.","Mean_Tail_Length_.mm.","Mean_M_Tail_Length_.mm.","Mean_F_Tail_Length_.mm.","Mean_Bill_Length_.mm.","Mean_M_Bill_Length_.mm.","Mean_F_Bill_Length_.mm.","Wingspan_cm","Mean_Body_Length_.cm.","Mean_M_Body_Length_.cm.","Mean_F_Body_Length_.cm.","Mean_Body_Mass_.g.","Mean_F_Body_Mass_.g.","Mean_M_Body_Mass_.g.","Mean_Clutch_Size_.n.","Clutches_per_year","Life_Span_.years.","Generation_length","Number_of_Subspecies","Population_size_MIN","Population_size_MAX","Social","Flight_pattern","Migration.Distance","Migration.Status","Scienttific_name","Waterfowl","Birds.of.Prey","Wetland.Birds","Seabirds","Forest.Birds","All.Other.Birds.","Shorebirds","Grassland.Birds","Aerial.Insectivores","Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies","Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards","Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes","Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles","Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances","Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances","Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud","Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada","Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres"
"628",628,"3.3","Renewable energy","Ongoing","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 5",NA,"Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"629",629,"5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"630",630,"5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"631",631,"5.4","Fishing & harvesting aquatic resources","Ongoing","Unknown","Rapid Declines","Unknown",NA,"Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632",632,"5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Unknown","Rapid Declines","Unknown",NA,"Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633",633,"6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"634",634,"8.1","Invasive non-native/alien species/diseases (Neovison vison)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Neovison vison","Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"635",635,"8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Unspecified Rattus","Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"636",636,"8.1.2","Named species (Neovison vison)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Neovison vison","Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"637",637,"8.1.2","Named species (Unspecified Rattus)","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6","Unspecified Rattus","Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"638",638,"9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"639",639,"9.2.1","Oil spills","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"640",640,"9.4","Garbage & solid waste","Ongoing","Minority (<50%)","Unknown","Unknown",NA,"Fratercula arctica","Atlantic Puffin","Fratercula_arctica",2481353,"VertFishScav",100,0,0,0,"Water",0,"VU",-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.2e+07,1.4e+07,"Colonies","Duck-like","long","Obligate","Fratercula arctica",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"641",641,"5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Fratercula corniculata","Horned Puffin","Fratercula_corniculata",2481359,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.491937,193.95984,191.4,187.3,65.926125,67.72614,65.978225,45.6726825,49.6,47.4,59,38,52.57712,47.94406,558.57,517,556,1,1,20,10.7,0,8e+05,2050770.882,"Colonies","Duck-like","long","facultative","Fratercula corniculata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"642",642,"5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Fratercula corniculata","Horned Puffin","Fratercula_corniculata",2481359,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.491937,193.95984,191.4,187.3,65.926125,67.72614,65.978225,45.6726825,49.6,47.4,59,38,52.57712,47.94406,558.57,517,556,1,1,20,10.7,0,8e+05,2050770.882,"Colonies","Duck-like","long","facultative","Fratercula corniculata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"643",643,"8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Unspecified Rattus","Fratercula corniculata","Horned Puffin","Fratercula_corniculata",2481359,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.491937,193.95984,191.4,187.3,65.926125,67.72614,65.978225,45.6726825,49.6,47.4,59,38,52.57712,47.94406,558.57,517,556,1,1,20,10.7,0,8e+05,2050770.882,"Colonies","Duck-like","long","facultative","Fratercula corniculata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"644",644,"8.1","Invasive non-native/alien species/diseases (Vulpes lagopus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes lagopus","Fratercula corniculata","Horned Puffin","Fratercula_corniculata",2481359,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.491937,193.95984,191.4,187.3,65.926125,67.72614,65.978225,45.6726825,49.6,47.4,59,38,52.57712,47.94406,558.57,517,556,1,1,20,10.7,0,8e+05,2050770.882,"Colonies","Duck-like","long","facultative","Fratercula corniculata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"645",645,"8.1","Invasive non-native/alien species/diseases (Vulpes vulpes)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes vulpes","Fratercula corniculata","Horned Puffin","Fratercula_corniculata",2481359,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.491937,193.95984,191.4,187.3,65.926125,67.72614,65.978225,45.6726825,49.6,47.4,59,38,52.57712,47.94406,558.57,517,556,1,1,20,10.7,0,8e+05,2050770.882,"Colonies","Duck-like","long","facultative","Fratercula corniculata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"646",646,"8.1.2","Named species (Unspecified Rattus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Unspecified Rattus","Fratercula corniculata","Horned Puffin","Fratercula_corniculata",2481359,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.491937,193.95984,191.4,187.3,65.926125,67.72614,65.978225,45.6726825,49.6,47.4,59,38,52.57712,47.94406,558.57,517,556,1,1,20,10.7,0,8e+05,2050770.882,"Colonies","Duck-like","long","facultative","Fratercula corniculata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"647",647,"8.1.2","Named species (Vulpes lagopus)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes lagopus","Fratercula corniculata","Horned Puffin","Fratercula_corniculata",2481359,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.491937,193.95984,191.4,187.3,65.926125,67.72614,65.978225,45.6726825,49.6,47.4,59,38,52.57712,47.94406,558.57,517,556,1,1,20,10.7,0,8e+05,2050770.882,"Colonies","Duck-like","long","facultative","Fratercula corniculata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"648",648,"8.1.2","Named species (Vulpes vulpes)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4","Vulpes vulpes","Fratercula corniculata","Horned Puffin","Fratercula_corniculata",2481359,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.491937,193.95984,191.4,187.3,65.926125,67.72614,65.978225,45.6726825,49.6,47.4,59,38,52.57712,47.94406,558.57,517,556,1,1,20,10.7,0,8e+05,2050770.882,"Colonies","Duck-like","long","facultative","Fratercula corniculata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"649",649,"11.3","Temperature extremes","Ongoing","Minority (<50%)","Causing/Could cause fluctuations","Low Impact: 5",NA,"Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"650",650,"5.4","Fishing & harvesting aquatic resources","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"651",651,"5.4.3","Unintentional effects: (subsistence/small scale) [harvest]","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"652",652,"6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"653",653,"8.1","Invasive non-native/alien species/diseases (Unspecified Rattus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Rattus","Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"654",654,"8.1","Invasive non-native/alien species/diseases (Unspecified Vulpes)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Vulpes","Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"655",655,"8.1.2","Named species (Unspecified Rattus)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Rattus","Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"656",656,"8.1.2","Named species (Unspecified Vulpes)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Unspecified Vulpes","Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"657",657,"9.2","Industrial & military effluents","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"658",658,"9.2.1","Oil spills","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Fratercula cirrhata","Tufted Puffin","Fratercula_cirrhata",2481357,"VertFishScav",100,0,0,0,"Water",0,"LC",-0.286175,201,201,199,63.827925,65.83728,62.980155,58.4,59.2,57.4,64,40,53.504655,50.08535,774.685,743.85,805.75,1,1.5,6,11.3,0,2300000,3778199.622,"Colonies","Duck-like","long","facultative","Fratercula cirrhata",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"659",659,"11.1","Habitat shifting & alteration","Future","Majority (50-90%)","Rapid Declines","Low Impact: 5",NA,"Rissa tridactyla","Black-legged Kittiwake","Rissa_tridactyla",2481205,"Omnivore",100,0,0,0,"Water",0,"VU",-0.794,309,311,307,124.5,127,122,33.95,34.2,33.7,107.5,39,63.387215,56.88142,410.4133333,393.5,421,2,1,26.04166667,12.9,2,14600000,15700000,"Colonies","Gull-like","long","facultative","Rissa tridactyla",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"660",660,"5.4","Fishing & harvesting aquatic resources","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Rissa tridactyla","Black-legged Kittiwake","Rissa_tridactyla",2481205,"Omnivore",100,0,0,0,"Water",0,"VU",-0.794,309,311,307,124.5,127,122,33.95,34.2,33.7,107.5,39,63.387215,56.88142,410.4133333,393.5,421,2,1,26.04166667,12.9,2,14600000,15700000,"Colonies","Gull-like","long","facultative","Rissa tridactyla",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"661",661,"5.4.4","Unintentional effects: (large scale) [harvest]","Ongoing","Majority (50-90%)","Negligible declines","Low Impact: 5",NA,"Rissa tridactyla","Black-legged Kittiwake","Rissa_tridactyla",2481205,"Omnivore",100,0,0,0,"Water",0,"VU",-0.794,309,311,307,124.5,127,122,33.95,34.2,33.7,107.5,39,63.387215,56.88142,410.4133333,393.5,421,2,1,26.04166667,12.9,2,14600000,15700000,"Colonies","Gull-like","long","facultative","Rissa tridactyla",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"662",662,"8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Unknown","Unknown",NA,"Rissa tridactyla","Black-legged Kittiwake","Rissa_tridactyla",2481205,"Omnivore",100,0,0,0,"Water",0,"VU",-0.794,309,311,307,124.5,127,122,33.95,34.2,33.7,107.5,39,63.387215,56.88142,410.4133333,393.5,421,2,1,26.04166667,12.9,2,14600000,15700000,"Colonies","Gull-like","long","facultative","Rissa tridactyla",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"663",663,"8.5.2","Named species","Future","Minority (<50%)","Unknown","Unknown",NA,"Rissa tridactyla","Black-legged Kittiwake","Rissa_tridactyla",2481205,"Omnivore",100,0,0,0,"Water",0,"VU",-0.794,309,311,307,124.5,127,122,33.95,34.2,33.7,107.5,39,63.387215,56.88142,410.4133333,393.5,421,2,1,26.04166667,12.9,2,14600000,15700000,"Colonies","Gull-like","long","facultative","Rissa tridactyla",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"664",664,"9.2","Industrial & military effluents","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Rissa tridactyla","Black-legged Kittiwake","Rissa_tridactyla",2481205,"Omnivore",100,0,0,0,"Water",0,"VU",-0.794,309,311,307,124.5,127,122,33.95,34.2,33.7,107.5,39,63.387215,56.88142,410.4133333,393.5,421,2,1,26.04166667,12.9,2,14600000,15700000,"Colonies","Gull-like","long","facultative","Rissa tridactyla",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"665",665,"9.2.1","Oil spills","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Rissa tridactyla","Black-legged Kittiwake","Rissa_tridactyla",2481205,"Omnivore",100,0,0,0,"Water",0,"VU",-0.794,309,311,307,124.5,127,122,33.95,34.2,33.7,107.5,39,63.387215,56.88142,410.4133333,393.5,421,2,1,26.04166667,12.9,2,14600000,15700000,"Colonies","Gull-like","long","facultative","Rissa tridactyla",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"666",666,"11.1","Habitat shifting & alteration","Ongoing","Whole (>90%)","Slow, Significant Declines","Medium Impact: 7",NA,"Pagophila eburnea","Ivory Gull","Pagophila_eburnea",2481202,"VertFishScav",30,70,0,0,"Ground.Understory",0,"NT",-0.039248,340.5,345,336,146,149,143,34,35.3,32.7,115,41.5,68.409535,63.61066,553.9966667,507,617,1.625,1,11.5,28,0,38000,52000,"Colonies","Gull-like","long","Obligate","Pagophila eburnea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667",667,"3.2","Mining & quarrying","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Pagophila eburnea","Ivory Gull","Pagophila_eburnea",2481202,"VertFishScav",30,70,0,0,"Ground.Understory",0,"NT",-0.039248,340.5,345,336,146,149,143,34,35.3,32.7,115,41.5,68.409535,63.61066,553.9966667,507,617,1.625,1,11.5,28,0,38000,52000,"Colonies","Gull-like","long","Obligate","Pagophila eburnea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"668",668,"5.1","Hunting & trapping terrestrial animals","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Pagophila eburnea","Ivory Gull","Pagophila_eburnea",2481202,"VertFishScav",30,70,0,0,"Ground.Understory",0,"NT",-0.039248,340.5,345,336,146,149,143,34,35.3,32.7,115,41.5,68.409535,63.61066,553.9966667,507,617,1.625,1,11.5,28,0,38000,52000,"Colonies","Gull-like","long","Obligate","Pagophila eburnea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"669",669,"5.1.1","Intentional use (species is the target)","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Pagophila eburnea","Ivory Gull","Pagophila_eburnea",2481202,"VertFishScav",30,70,0,0,"Ground.Understory",0,"NT",-0.039248,340.5,345,336,146,149,143,34,35.3,32.7,115,41.5,68.409535,63.61066,553.9966667,507,617,1.625,1,11.5,28,0,38000,52000,"Colonies","Gull-like","long","Obligate","Pagophila eburnea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"670",670,"9.2","Industrial & military effluents","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Pagophila eburnea","Ivory Gull","Pagophila_eburnea",2481202,"VertFishScav",30,70,0,0,"Ground.Understory",0,"NT",-0.039248,340.5,345,336,146,149,143,34,35.3,32.7,115,41.5,68.409535,63.61066,553.9966667,507,617,1.625,1,11.5,28,0,38000,52000,"Colonies","Gull-like","long","Obligate","Pagophila eburnea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"671",671,"9.2.1","Oil spills","Ongoing","Majority (50-90%)","Slow, Significant Declines","Medium Impact: 6",NA,"Pagophila eburnea","Ivory Gull","Pagophila_eburnea",2481202,"VertFishScav",30,70,0,0,"Ground.Understory",0,"NT",-0.039248,340.5,345,336,146,149,143,34,35.3,32.7,115,41.5,68.409535,63.61066,553.9966667,507,617,1.625,1,11.5,28,0,38000,52000,"Colonies","Gull-like","long","Obligate","Pagophila eburnea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"672",672,"9.3","Agricultural & forestry effluents","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Pagophila eburnea","Ivory Gull","Pagophila_eburnea",2481202,"VertFishScav",30,70,0,0,"Ground.Understory",0,"NT",-0.039248,340.5,345,336,146,149,143,34,35.3,32.7,115,41.5,68.409535,63.61066,553.9966667,507,617,1.625,1,11.5,28,0,38000,52000,"Colonies","Gull-like","long","Obligate","Pagophila eburnea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"673",673,"9.3.3","Herbicides and pesticides","Ongoing","Majority (50-90%)","Unknown","Unknown",NA,"Pagophila eburnea","Ivory Gull","Pagophila_eburnea",2481202,"VertFishScav",30,70,0,0,"Ground.Understory",0,"NT",-0.039248,340.5,345,336,146,149,143,34,35.3,32.7,115,41.5,68.409535,63.61066,553.9966667,507,617,1.625,1,11.5,28,0,38000,52000,"Colonies","Gull-like","long","Obligate","Pagophila eburnea",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
