"","X","code","title","timing","scope","severity","score","invasive","Scientific.name","Common_Name","Scientific_name","GBIF_ID","Dietary_Guild","Water_Forager","Ground.Understory_Forager","Midhigh.Canopy_Forager","Aerial_Forager","Foraging.Strata","Activity_Time","Global.IUCN.Red.List.Category","Annual_Trend","Mean_Wing_Length_.mm.","Mean_M_Wing_Length_.mm.","Mean_F_Wing_Length_.mm.","Mean_Tail_Length_.mm.","Mean_M_Tail_Length_.mm.","Mean_F_Tail_Length_.mm.","Mean_Bill_Length_.mm.","Mean_M_Bill_Length_.mm.","Mean_F_Bill_Length_.mm.","Wingspan_cm","Mean_Body_Length_.cm.","Mean_M_Body_Length_.cm.","Mean_F_Body_Length_.cm.","Mean_Body_Mass_.g.","Mean_F_Body_Mass_.g.","Mean_M_Body_Mass_.g.","Mean_Clutch_Size_.n.","Clutches_per_year","Life_Span_.years.","Generation_length","Number_of_Subspecies","Population_size_MIN","Population_size_MAX","Social","Flight_pattern","Migration.Distance","Migration.Status","Scienttific_name","Waterfowl","Birds.of.Prey","Wetland.Birds","Seabirds","Forest.Birds","All.Other.Birds.","Shorebirds","Grassland.Birds","Aerial.Insectivores","Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies","Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards","Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes","Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles","Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances","Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances","Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud","Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada","Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres"
"21",21,"8.1","Invasive non-native/alien species/diseases (Neovison vison)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Neovison vison","Spatula clypeata","Northern Shoveler","Spatula_clypeata",8332393,"Invertebrate",100,0,0,0,"Water",0,"LC",1.26,229.00633,244,227,82.91780548,84,76.5,56.24399,65.35,61.26,76.5,49.5,52.05669833,50.07775,612.78,590,636,10,1,20.4,6.5,0,4300000,4700000,"Flocks","Duck-like","long","Obligate","Spatula clypeata",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"22",22,"8.1.2","Named species (Neovison vison)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5","Neovison vison","Spatula clypeata","Northern Shoveler","Spatula_clypeata",8332393,"Invertebrate",100,0,0,0,"Water",0,"LC",1.26,229.00633,244,227,82.91780548,84,76.5,56.24399,65.35,61.26,76.5,49.5,52.05669833,50.07775,612.78,590,636,10,1,20.4,6.5,0,4300000,4700000,"Flocks","Duck-like","long","Obligate","Spatula clypeata",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"23",23,"8.5","Viral/prion-induced diseases","Future","Minority (<50%)","Slow, Significant Declines","Low Impact: 3",NA,"Spatula clypeata","Northern Shoveler","Spatula_clypeata",8332393,"Invertebrate",100,0,0,0,"Water",0,"LC",1.26,229.00633,244,227,82.91780548,84,76.5,56.24399,65.35,61.26,76.5,49.5,52.05669833,50.07775,612.78,590,636,10,1,20.4,6.5,0,4300000,4700000,"Flocks","Duck-like","long","Obligate","Spatula clypeata",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"24",24,"8.5.2","Named species","Future","Minority (<50%)","Slow, Significant Declines","Low Impact: 3",NA,"Spatula clypeata","Northern Shoveler","Spatula_clypeata",8332393,"Invertebrate",100,0,0,0,"Water",0,"LC",1.26,229.00633,244,227,82.91780548,84,76.5,56.24399,65.35,61.26,76.5,49.5,52.05669833,50.07775,612.78,590,636,10,1,20.4,6.5,0,4300000,4700000,"Flocks","Duck-like","long","Obligate","Spatula clypeata",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"25",25,"9.3","Agricultural & forestry effluents","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Spatula clypeata","Northern Shoveler","Spatula_clypeata",8332393,"Invertebrate",100,0,0,0,"Water",0,"LC",1.26,229.00633,244,227,82.91780548,84,76.5,56.24399,65.35,61.26,76.5,49.5,52.05669833,50.07775,612.78,590,636,10,1,20.4,6.5,0,4300000,4700000,"Flocks","Duck-like","long","Obligate","Spatula clypeata",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"26",26,"9.3.1","Nutrient loads","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Spatula clypeata","Northern Shoveler","Spatula_clypeata",8332393,"Invertebrate",100,0,0,0,"Water",0,"LC",1.26,229.00633,244,227,82.91780548,84,76.5,56.24399,65.35,61.26,76.5,49.5,52.05669833,50.07775,612.78,590,636,10,1,20.4,6.5,0,4300000,4700000,"Flocks","Duck-like","long","Obligate","Spatula clypeata",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"27",27,"11.1","Habitat shifting & alteration","Future","Whole (>90%)","Unknown","Unknown",NA,"Mareca penelope","Eurasian Wigeon","Mareca_penelope",8000602,"PlantSeed",50,50,0,0,"Water_Ground.Understory",0,"LC",-0.027646,230.13306,232.1755,218.67858,90.886455,91.26479381,84.29301,40.72142,41.8698,41.02757,74.403,48,54.83384333,52.24484,763.515,724,819,9,1,18.25,6.4,0,2800000,3300000,"Flocks","Duck-like","short","Obligate","Mareca penelope",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"28",28,"6.1","Recreational activities","Ongoing","Minority (<50%)","Negligible declines","Low Impact: 4",NA,"Mareca penelope","Eurasian Wigeon","Mareca_penelope",8000602,"PlantSeed",50,50,0,0,"Water_Ground.Understory",0,"LC",-0.027646,230.13306,232.1755,218.67858,90.886455,91.26479381,84.29301,40.72142,41.8698,41.02757,74.403,48,54.83384333,52.24484,763.515,724,819,9,1,18.25,6.4,0,2800000,3300000,"Flocks","Duck-like","short","Obligate","Mareca penelope",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"29",29,"7.2","Dams & water management/use","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Mareca penelope","Eurasian Wigeon","Mareca_penelope",8000602,"PlantSeed",50,50,0,0,"Water_Ground.Understory",0,"LC",-0.027646,230.13306,232.1755,218.67858,90.886455,91.26479381,84.29301,40.72142,41.8698,41.02757,74.403,48,54.83384333,52.24484,763.515,724,819,9,1,18.25,6.4,0,2800000,3300000,"Flocks","Duck-like","short","Obligate","Mareca penelope",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"30",30,"7.2.7","Abstraction of ground water (agricultural use)","Ongoing","Minority (<50%)","Slow, Significant Declines","Low Impact: 5",NA,"Mareca penelope","Eurasian Wigeon","Mareca_penelope",8000602,"PlantSeed",50,50,0,0,"Water_Ground.Understory",0,"LC",-0.027646,230.13306,232.1755,218.67858,90.886455,91.26479381,84.29301,40.72142,41.8698,41.02757,74.403,48,54.83384333,52.24484,763.515,724,819,9,1,18.25,6.4,0,2800000,3300000,"Flocks","Duck-like","short","Obligate","Mareca penelope",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
