Common_Name,Scientific.name,Scientific_name,GBIF_ID,Dietary_Guild,Water_Forager,Ground.Understory_Forager,Midhigh.Canopy_Forager,Aerial_Forager,Foraging.Strata,Activity_Time,Global.IUCN.Red.List.Category,Annual_Trend,Mean_Wing_Length_.mm.,Mean_M_Wing_Length_.mm.,Mean_F_Wing_Length_.mm.,Mean_Tail_Length_.mm.,Mean_M_Tail_Length_.mm.,Mean_F_Tail_Length_.mm.,Mean_Bill_Length_.mm.,Mean_M_Bill_Length_.mm.,Mean_F_Bill_Length_.mm.,Wingspan_cm,Mean_Body_Length_.cm.,Mean_M_Body_Length_.cm.,Mean_F_Body_Length_.cm.,Mean_Body_Mass_.g.,Mean_F_Body_Mass_.g.,Mean_M_Body_Mass_.g.,Mean_Clutch_Size_.n.,Clutches_per_year,Life_Span_.years.,Generation_length,Number_of_Subspecies,Population_size_MIN,Population_size_MAX,Social,Flight_pattern,Migration.Distance,Migration.Status,Scienttific_name,Waterfowl,Birds.of.Prey,Wetland.Birds,Seabirds,Forest.Birds,All.Other.Birds.,Shorebirds,Grassland.Birds,Aerial.Insectivores,Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies,Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards,Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes,Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles,Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances,Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances,Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud,Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada,Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres
Eurasian Wigeon,Mareca penelope,Mareca_penelope,8000602,PlantSeed,50,50,0,0,Water_Ground.Understory,0,LC,-0.027646,230.13306,232.1755,218.67858,90.886455,91.26479381,84.29301,40.72142,41.8698,41.02757,74.403,48,54.83384333,52.24484,763.515,724,819,9,1,18.25,6.4,0,2800000,3300000,Flocks,Duck-like,short,Obligate,Mareca penelope,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
American Wigeon,Mareca americana,Mareca_americana,2498155,PlantSeed,50,50,0,0,Water_Ground.Understory,0,LC,-1.4,250.45718,263.3,245.8,105.05499,111,88,38.71202,38.95,37.25,84,50.5,58.61199333,53.29379,770.305,710,792,8.5,1,21.3,7,0,3144266.038,4131131.701,Flocks,Duck-like,long,Obligate,Mareca americana,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Mallard,Anas platyrhynchos,Anas_platyrhynchos,9761484,Omnivore,80,20,0,0,Water,0,LC,-0.308,272,279,265,85.15,85.8,84.5,53.6,55.4,51.8,88.5,57.5,60.44270833,54.72937,1027.806667,1097.75,1174.25,10.7575,1,26,6.6,2,1.90E+07,15143919.72,Flocks,Duck-like,short,Facultative ,Anas platyrhynchos,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
American Black Duck,Anas rubripes,Anas_rubripes,9581438,PlantSeed,100,0,0,0,Water,0,LC,-0.896,277.64265,285,268.7,100.5668705,100.68922,91.8306,52.73891,54.3,51.1,91.5,57.25,64.31901833,57.84874,1197.313334,1107,1245,9.500813008,1,26.41666667,6.7,0,4206195.5,4118338.039,Flocks,Duck-like,short,Facultative ,Anas rubripes,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Northern Pintail,Anas acuta,Anas_acuta,2498112,PlantSeed,70,30,0,0,Water,0,LC,-4.18,267.5,275,260,141.5,179,104,48.8,50.9,46.7,89,58,65.09608333,58.1656,866.79,779.375,900,7.85,1,26.475,0,2.02,4700000,4800000,Flocks,Duck-like,long,Obligate,Anas acuta,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Green-winged Teal,Anas crecca,Anas_crecca,8214667,PlantSeed,53.62,47.372,0.53,-1.50E-15,Water_Ground.Understory,0,LC,0.227,184.06983,186.3,179,72.7638,69.5,66.7,37.32641,38.2,36.5,55.5,38.5,50.066855,44.05662,342.4,323.5,358.6666667,9.5,1,20.5,3.7,2,3900000,6183700.122,Flocks,Duck-like,long,Obligate,Anas crecca,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Canvasback,Aythya valisineria,Aythya_valisineria,2498256,PlantSeed,100,0,0,0,Water,0,LC,0.521,236.44187,235,229,71.96506833,57.1,57.9,60.53,60,56.2,84,54.5,58.47745333,52.62948,1210.333334,1173,1252,9,1,22.4,8.2,0,5895707.492,5616423.136,Flocks,Duck-like,short,Obligate,Aythya valisineria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Redhead,Aythya americana,Aythya_americana,2498263,PlantSeed,100,0,0,0,Water,0,LC,2.04,224.78939,223.66638,212.55007,78.80835833,81.92666333,75.362425,47.55,49.7029,46.56863,77.5,48,49.3,47.2,1065.97,1012.5,1118,9.29555606,1,21.4,8,0,4374988.476,4773750.857,Flocks,Duck-like,short,Obligate,Aythya americana,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ring-necked Duck,Aythya collaris,Aythya_collaris,2498264,PlantSeed,100,0,0,0,Water,0,LC,3.75,201.86787,206,196,79.84377833,78.93780381,75.311015,45.6,49.1,47.1,62.5,41.5,42.7,41.6,717.275,680,730,9,1,20.4,7.4,0,7063155.146,6971525.078,Flocks,Duck-like,long,Obligate,Aythya collaris,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Greater Scaup,Aythya marila,Aythya_marila,2498265,Invertebrate,100,0,0,0,Water,0,LC,1.24,222,227,217,56,56.3,55.7,43.45,44,42.9,75.5,46,56.67357333,52.17729,1055.123333,1070.5,1108,9.45,1,17.1875,8.2,2,4900000,5199999,Flocks,Duck-like,short,Obligate,Aythya marila,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lesser Scaup,Aythya affinis,Aythya_affinis,2498257,PlantSeed,100,0,0,0,Water,0,LC,-1.31,206.88333,206,199.5,67.51538548,53.86,53.425,40.58,42.22965,40.8912,73,43,53.63875,48.9008,803.975,750,842.5,9.955,1,18.31666667,7.7,0,5071186.592,7003227.845,Flocks,Duck-like,long,Obligate,Aythya affinis,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
King Eider,Somateria spectabilis,Somateria_spectabilis,2498350,Invertebrate,100,0,0,0,Water,0,LC,-1.955056667,273.5,277,270,81,82.8,79.2,31.75,30.9,32.6,94,54,67.58912333,62.85679,1691.236667,1695,1779.75,4.6,1,12.45,9,0,8.00E+05,9.00E+05,Flocks,Duck-like,short,Obligate,Somateria spectabilis,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Common Eider,Somateria mollissima,Somateria_mollissima,2498352,Invertebrate,100,0,0,0,Water,0,NT,3.21,302.5,304,301,95.35,96,94.7,55.8,57.2,54.4,94,60.5,62.68192333,60.7193,2073.143333,1979.25,2218,4.575,1,30,9,6,3300000,4.00E+06,Flocks/Colonies,Duck-like,short,Facultative,Somateria mollissima,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Harlequin Duck,Histrionicus histrionicus,Histrionicus_histrionicus,2498224,Invertebrate,100,0,0,0,Water,0,LC,-4.72,201.5,205,198,86,93,79,25.55,25.8,25.3,61,43,54.409975,50.99202,624.2733333,644.625,701.5,5.95,1,10.79166667,7.9,0,190000,380000,Flocks,Duck-like,short,Obligate,Histrionicus histrionicus,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Surf Scoter,Melanitta perspicillata,Melanitta_perspicillata,2498246,Invertebrate,100,0,0,0,Water,0,LC,-0.274613,232.52277,242,228,81.81077048,80.45,81.2,39.47678,37.5,38.4,77,50.5,62.08463833,57.92789,1071.665,907,1000,6.65,1,9.5,7.5,0,250000,1300000,Flocks/Pairs,Duck-like,short,Obligate,Melanitta perspicillata,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
White-winged Scoter,Melanitta deglandi,Melanitta_deglandi,2498243,Invertebrate,100,0,0,0,Water,0,LC,-8.16,271.5,280,263,77.3,81.2,73.4,42.85,44.9,40.8,80,54.5,65.59635833,60.455,1764.723333,1730.5,1785,8.215217392,1,18.3,7.47065,0,5185879.832,16850873.3,Flocks/Colonies,Duck-like,short,Obligate,Melanitta fusca,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Black Scoter,Melanitta nigra,Melanitta_nigra,2498247,Invertebrate,100,0,0,0,Water,0,NT,-0.53734,230,234,226,83.5,92.3,74.7,45.45,47.5,43.4,84.5,48.75,62.07275333,58.12741,1136.226667,1118.5,1235.75,7.75,1,16.375,7.5,0,1070000,1617367.209,Flocks,Duck-like,short,Obligate,Melanitta americana,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Long-tailed Duck,Clangula hyemalis,Clangula_hyemalis,2498273,Invertebrate,100,0,0,0,Water,0,VU,-3.66,220,228,212,142.7,215,70.4,26.5,27.2,25.8,72,45.75,60.05728833,54.82206,815.5,720,794.75,7.5,1,19.3,9,0,3200000,3750000,Flocks,Duck-like,short,Obligate,Clangula hyemalis,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
