Common_Name,Scientific.name,Scientific_name,GBIF_ID,Dietary_Guild,Water_Forager,Ground.Understory_Forager,Midhigh.Canopy_Forager,Aerial_Forager,Foraging.Strata,Activity_Time,Global.IUCN.Red.List.Category,Annual_Trend,Mean_Wing_Length_.mm.,Mean_M_Wing_Length_.mm.,Mean_F_Wing_Length_.mm.,Mean_Tail_Length_.mm.,Mean_M_Tail_Length_.mm.,Mean_F_Tail_Length_.mm.,Mean_Bill_Length_.mm.,Mean_M_Bill_Length_.mm.,Mean_F_Bill_Length_.mm.,Wingspan_cm,Mean_Body_Length_.cm.,Mean_M_Body_Length_.cm.,Mean_F_Body_Length_.cm.,Mean_Body_Mass_.g.,Mean_F_Body_Mass_.g.,Mean_M_Body_Mass_.g.,Mean_Clutch_Size_.n.,Clutches_per_year,Life_Span_.years.,Generation_length,Number_of_Subspecies,Population_size_MIN,Population_size_MAX,Social,Flight_pattern,Migration.Distance,Migration.Status,Scienttific_name,Waterfowl,Birds.of.Prey,Wetland.Birds,Seabirds,Forest.Birds,All.Other.Birds.,Shorebirds,Grassland.Birds,Aerial.Insectivores,Waterfowl.and.Wetland.Birds...Goose.species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.d.oies,Waterfowl.and.Wetland.Birds...Duck.Species._Sauvagine.et.oiseaux.de.milieux.humides...espèces.de.canards,Grassland.Birds...Species.Dependent.On.Native..Grassland._Oiseaux.de.prairie...espèces.dépendantes.des.prairies.indigènes,Grassland.Birds...Species.Tolerant.Of.Agriculture._Oiseaux.de.prairie...espèces.tolérantes.des.paysages.agricoles,Shorebirds...Long.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.grandes.distances,Shorebirds...Short.distance.Migrants._Oiseaux.de.rivage.migrant.sur.de.courtes.distances,Forest.Birds...Species.Wintering.In.South.America._Oiseaux.forestiers...espèces.hivernant.en.Amérique.du.Sud,Forest.Birds...Species.Wintering.In.Canada._Oiseaux.forestiers...espèces.hivernant.au.Canada,Forest.Birds...Forest.Crop.Specialists._Oiseaux.forestiers...spécialistes.de.graines.et.de.fruits.d.arbres
Piping Plover,Charadrius melodus,Charadrius_melodus,2480283,Invertebrate,40,60,0,0,Water_Ground.Understory,0,NT,-1.02966,161.24784,138.49998,137.64442,56.083615,59.45828,57.981885,32.71242,32.08946,32.91305,46,18,64.8683,53.12079,54.39916667,54.6,54.9,4,1,14,3.87,0,7600,8400,Flocks,Duck-like,short,Obligate,Charadrius melodus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Killdeer,Charadrius vociferus,Charadrius_vociferus,2480320,Invertebrate,0,100,0,0,Ground.Understory,0,LC,-2.92,165.688,159,162,94.150515,95.1,95.6,20.54724,20.4,20.6,60.5,27,35.138355,35.36673,95.3575,101,92.1,4,15,10.9,5.2,3,1.00E+06,122493795.9,Flocks,Duck-like,long,Facultative,Charadrius vociferus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Mountain Plover,Charadrius montanus,Charadrius_montanus,2480292,Invertebrate,0,100,0,0,Ground.Understory,0,NT,-1.911424,145.53964,147.5,147.2,81.513605,83.79787,81.92153,21.82117,21.1,21.4,49.05351,23,36.196475,33.99359,98.225,114,102,3,2,10,3.91,0,20000,16898173.56,Solitary,Duck-like,short,Obligate,Charadrius montanus,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
Upland Sandpiper,Bartramia longicauda,Bartramia_longicauda,2481705,Invertebrate,0,100,0,0,Ground.Understory,0,LC,-0.555,191.42601,169,174,78.340435,79,83.2,30.18977,29.1,30,66,29,56.69979,48.91741,139.7233333,168.25,148.5,4,1,7.05,5.6,0,2555981,4012366.455,Migrant Flocks,Duck-like,long,Obligate,Bartramia longicauda,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Whimbrel,Numenius phaeopus,Numenius_phaeopus,2481784,Invertebrate,20,80,0,0,Ground.Understory,0,LC,0.86436,249.5,245,254,97.7,97.2,98.2,82.75,78.6,86.9,82.5,41,58.60338333,57.29769,376.8566667,398,361,4,1,14.25,9.1,4,1.00E+06,2300000,Flocks,Duck-like,long,Obligate,Numenius phaeopus,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Eskimo Curlew,Numenius borealis,Numenius_borealis,2481783,Omnivore,0,100,0,0,Ground.Understory,0,CR(PE),0.472668,210,208,208,83.398525,78.2,79.2,56.9,50.9,55,70,36,67.181305,60.94875,359.305,466.640975,502.3047183,3.43,1,14.75980408,10.1,0,0,49,Pairs/Flocks,Duck-like,long,Obligate,Numenius borealis,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Long-billed Curlew,Numenius americanus,Numenius_americanus,2481794,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-0.929,278.26642,269,283,115.33645,113,116,80.74604,134,173,87.5,58,69.10640333,68.92632,609.805,642,538,4,1,10,10.1,2,50000,123000,Solitary/Flocks,Duck-like,long,Obligate,Numenius americanus,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Hudsonian Godwit,Limosa haemastica,Limosa_haemastica,2481680,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,2.120936,223.19876,216.9,226.1,87.30567,87.29809,83.09388,64.8373,74.2,85.6,73,39,54.55380333,50.7787,254.395,289,222,3.95,1,11.8435625,8.7,0,1085641.046,1839681.437,Flocks,Duck-like,long,Obligate,Limosa haemastica,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Marbled Godwit,Limosa fedoa,Limosa_fedoa,2481684,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-1.49,235,228,243,91.52573,85.1,88,110,93.9,114,75.5,46,60.64483333,58.93404,363.635,412,323,4,1,8.6,8.7,2,5106416.7,6949419.893,Winter Flocks,Duck-like,long,Obligate,Limosa fedoa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ruddy Turnstone,Arenaria interpres,Arenaria_interpres,2481776,Invertebrate,0,100,0,0,Ground.Understory,0,LC,-1.377312,156,155,157,60.75,60.2,61.3,22.6,22.4,22.8,54,23,28.07933,25.20503,127.16,116.15,109.65,4,1,18.99166667,7.3,2,3.00E+05,5.00E+05,Flocks,Duck-like,long,Obligate,Arenaria interpres,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Black Turnstone,Arenaria melanocephala,Arenaria_melanocephala,5229406,Invertebrate,0,100,0,0,Ground.Understory,0,LC,-1.629606,149.97933,146.2,150.35,60.48968,61.8,61.827835,23.32202,23.06,24.05,54,23,29.13823,26.05584,122.555,129.6,114.55,4,1,15.71428467,8.1,0,695415.9,1484862.596,Flocks,Duck-like,short,Obligate,Arenaria melanocephala,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Red Knot,Calidris canutus,Calidris_canutus,2481765,Invertebrate,0,100,0,0,Ground.Understory,0,NT,-1.394572,170,168,172,61.3,61,61.6,33.5,32.6,34.4,59.5,27,49.11311,43.62406,138.6455556,147.975,125.875,3.7175,1,21.54166667,6.8,6,891000,979000,Flocks,Duck-like,long,Obligate,Calidris canutus,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Surfbird,Calidris virgata,Calidris_virgata,7964835,Invertebrate,0,100,0,0,Ground.Understory,0,LC,-0.591323,186.11043,171.75,178.75,82.655225,84.95937,81.71448,27.60839,24.25,26.5,65.5,25,46.76387,42.18652,199.3725,216.15,186.9,4,1,13.6025195,6.5,0,772628.946,1528450.359,Flocks,Duck-like,long,Obligate,Calidris virgata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Ruff,Calidris pugnax,Calidris_pugnax,8250742,Omnivore,20,80,0,0,Ground.Understory,0,LC,-1.27312,161.52952,156.04302,156.3349,67.330775,72.60664,69.44473,23.35521,23.342115,23.50003,53,27.5,30,25,135.965,110.75,180,4,1,13.9,5.3,0,1500000,9999999,Flocks,Duck-like,long,Obligate,Calidris pugnax,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Sharp-tailed Sandpiper,Calidris acuminata,Calidris_acuminata,2481769,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-0.028903,137.41948,132.06226,132.79167,57.4447325,57.80123,56.849305,30.6753,29.50456,31.299995,45,22,52.368395,43.37433,66.89,63.5,71.65,4,1.026460495,14.25838825,7.4,0,160000,442517.1185,Flocks,Duck-like,long,Obligate,Calidris acuminata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Stilt Sandpiper,Calidris himantopus,Calidris_himantopus,5229400,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,0.449617,134.56531,129,132,53.781315,53.7393,52.401135,40.4,39.45,41.5,45,22,46.761765,40.27374,57.37,60.65,54.2,4,1,11.09166667,7.4,0,866594.1,1203768.554,Pairs/Flocks,Duck-like,long,Obligate,Calidris himantopus,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Sanderling,Calidris alba,Calidris_alba,2481748,Invertebrate,0,100,0,0,Ground.Understory,0,LC,-1.669597,126,124,128,49.7,49.2,50.2,24.85,24.3,25.4,43.5,20.5,28.84375,24.85363,54.75333333,56.7,54.4,4,1.5,16.95833334,8.1,0,620000,7.00E+05,Flocks,Duck-like,long,Obligate,Calidris alba,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Dunlin,Calidris alpina,Calidris_alpina,2481759,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-0.472462,115.5,114,117,47.95,47.9,48,31.5,30,33,38,18,44.899635,40.21299,50.49666667,52.0625,47.625,4,1,24.375,8.1,9,4295000,6800000,Flocks,Duck-like,short,Obligate,Calidris alpina,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Rock Sandpiper,Calidris ptilocnemis,Calidris_ptilocnemis,5229395,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,-0.117807,133.14387,121,124,51.826145,52.16679,51.50975,30.91919,26.6,30.6,40,23,51.40842,44.75891,80.485,84.25,76.6,4,1,7.333333333,7.4,4,160000,170000,Flocks,Duck-like,long,Obligate,Calidris ptilocnemis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Purple Sandpiper,Calidris maritima,Calidris_maritima,2481743,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-0.287493,132.5,130,135,59,58,60,31,28.8,33.2,44.5,23,52.93353,43.79774,67.525,72.45,66.5,4,1,20.675,7.6,0,205000,295000,Flocks,Duck-like,short,Facultative,Calidris maritima,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Baird's Sandpiper,Calidris bairdii,Calidris_bairdii,2481770,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-1.876801,121.9379,120.6,121,54.351855,53.3,53,22.36198,22,22.5,44,19,23.74737,21.27325,40.19333334,39.7,39.3,4,1,10.24723675,7.4,0,3.00E+05,40813679.97,Flocks,Duck-like,long,Obligate,Calidris bairdii,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Least Sandpiper,Calidris minutilla,Calidris_minutilla,2481745,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-2.9,96.740475,85.4,87.6,53.094885,50.276356,48.966635,17.64547,17.6,19.3,34,15,16.79327,16.26703,23.165,23.65,22,4,1,16,7.4,0,71162567.9,330589223.5,Flocks,Duck-like,long,Obligate,Calidris minutilla,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
White-rumped Sandpiper,Calidris fuscicollis,Calidris_fuscicollis,2481756,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-1.512955,122.11817,119,120,53.034465,50.7,51.5,22.86597,22.3,23.9,43.5,19,23.773285,20.6044,43.78,45.8,43,4,1,7,7.4,0,3929901.3,18068483.12,Flocks,Duck-like,long,Obligate,Calidris fuscicollis,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Buff-breasted Sandpiper,Calidris subruficollis,Calidris_subruficollis,8292425,Invertebrate,0,100,0,0,Ground.Understory,0,NT,-1.708434,133.23449,133,127,58.61565,58.6,54.8,21.7765,19.6,18.2,45,21,42.944875,37.69826,61.9875,54.325,69.5,4,1,13.40207408,5.7,0,15300,56000,Flocks,Duck-like,long,Obligate,Calidris subruficollis,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Pectoral Sandpiper,Calidris melanotos,Calidris_melanotos,2481744,Invertebrate,20,80,0,0,Ground.Understory,0,LC,0.114865,137.5,144,131,54.9,58.2,51.6,28.65,29.6,27.7,45.5,21,48.439795,41.24877,82.06,65.1,97.8,4,1.25,5.95,7.4,0,25000,1.00E+05,Migrant Flocks,Duck-like,long,Obligate,Calidris melanotos,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Semipalmated Sandpiper,Calidris pusilla,Calidris_pusilla,2481764,Invertebrate,20,80,0,0,Ground.Understory,0,NT,-2.754401,104.11679,99,102,51.74521,39.3,40.6,18.91406,18.5,20.4,36,16,17.57962,17.00395,26.93333334,26.75,24.75,4,1,12.1,7.4,0,48445108.3,253499151,Flocks,Duck-like,long,Obligate,Calidris pusilla,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Western Sandpiper,Calidris mauri,Calidris_mauri,2481742,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,-0.970783667,105.0442,91.4,94.4,56.56924,54.40855,54.53466833,21.55408,22.6,26.6,36.5,17,28.80025,25.72283,27.26833334,31,26.6,4,1,9.1835,7.4,0,28468361.7,136135946.7,Flocks,Duck-like,long,Obligate,Calidris mauri,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Short-billed Dowitcher,Limnodromus griseus,Limnodromus_griseus,2481672,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,0.912516,148.45,141.1,142.85,57.277765,58.0022,57.65177,59.35,56.35,60.6,48.5,28,47.495725,42.46184,110.4525,116.25,109.125,4,1,10.38333333,5.8,3,758899,1255767.197,Pairs/Flocks,Duck-like,long,Obligate,Limnodromus griseus,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Long-billed Dowitcher,Limnodromus scolopaceus,Limnodromus_scolopaceus,2481670,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,0.833162,148.55632,143,147,56.68682,57.51996,56.92838,56.59993,62.2,74.2,49,29,47.774385,42.73312,106.2625,112.5,103.5,4,1,8.333333333,5.8,0,4.00E+05,1002499.896,Pairs/Flocks,Duck-like,long,Obligate,Limnodromus scolopaceus,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
American Woodcock,Scolopax minor,Scolopax_minor,2481695,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-1.83,151.84958,128.4,142,62.9587925,61.7,65,52.45825,63.9,71.5,46.21,28,50.48764,44.05407,196.285,219,176,4,1,10.31666667,4.6,0,3500000,4446305.272,Solitary,Duck-like,short,Obligate,Scolopax minor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Wilson's Snipe,Gallinago delicata,Gallinago_delicata,2481817,Invertebrate,57.22,37.649,2.063,0.113,Water,0,LC,0.768,129.4,134.89487,138.31707,60.54055,60.93688,62.61994,49.72317,62.5,64.9,45,26,49.801555,42.37283,116,116,102,4,1,10.81666667,2.8,0,2.00E+06,5572471.278,Solitary,Duck-like,short,Facultative,Gallinago delicata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Spotted Sandpiper,Actitis macularius,Actitis_macularius,2481798,Invertebrate,20,80,0,0,Ground.Understory,0,LC,-1.61,113.73937,105.6,109,56.9217125,49.2,51.1,24.1,22.8,24.2,39.5,19,21.86535,19.90681,41.12916667,47.25,36.9,4,1.755,12,5.8,0,18699940.2,73064313.94,Flocks,Hawk-like,long,Obligate,Actitis macularius,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Solitary Sandpiper,Tringa solitaria,Tringa_solitaria,2481710,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,2.09,142.7862,129,133,59.401855,55,56.5,31.71913,29.5,29.8,57.5,22,49.87372,42.38692,48.45,53.55,49.55,4,1,10.41527128,5.7,2,150000,2260816.55,Solitary/Flocks,Duck-like,long,Obligate,Tringa solitaria,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Wandering Tattler,Tringa incana,Tringa_incana,9733156,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,0.387643,192.65799,179,185,74.249795,72.9,75.4,38.90953,37.8,39.6,53.5,28,67.48988,59.38306,109.745,116,101,4,1,11.8363175,5.7,0,6700,17000,Solitary/Pairs,Duck-like,long,Obligate,Tringa incana,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Lesser Yellowlegs,Tringa flavipes,Tringa_flavipes,2481721,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,-2.99,175.51984,157,159,60.98608,63.24065,62.607605,33.63221,35.8,35.8,61,27,53.95347,48.51136,79.6,83.7,81.8,4,1,4.75,5.7,0,270000,4529684.323,Flocks,Duck-like,long,Obligate,Tringa flavipes,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Willet,Tringa semipalmata,Tringa_semipalmata,5789298,Invertebrate,70,30,0,0,Water,0,LC,-0.724,205.57052,198,204,78.89984,72.4,74.1,50.69801,56.9,59.6,63,38,54.102445,49.04169,254.4125,282.125,253,4,1,8.916666667,7.5,2,1061558.9,1669537.451,Flocks,Duck-like,long,Obligate,Tringa semipalmata,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
Greater Yellowlegs,Tringa melanoleuca,Tringa_melanoleuca,2481720,Invertebrate,80,20,0,0,Water,0,LC,1.35,204.18465,198.3752767,197.93337,80.51418,80.78406,78.47563,37.11171,39.770565,38.52048,72,36,51.10869,49.00518,165.87,175,164.5,4,1,11.5356065,5.7,0,1697011.9,2921988.433,Solitary/Flocks,Duck-like,long,Obligate,Tringa melanoleuca,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Wilson's Phalarope,Phalaropus tricolor,Phalaropus_tricolor,5229389,Invertebrate,80,20,0,0,Water,0,LC,0.511,133.61578,124,135,57.628915,56.4422,56.581085,31.4649,30.2,33.3,41,23,46.78542,41.39973,59.27,68.1,51,4,1,10,5.7,0,2365436.426,3089217.813,Flocks,Duck-like,long,Obligate,Phalaropus tricolor,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Red-necked Phalarope,Phalaropus lobatus,Phalaropus_lobatus,5739290,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,-6.58,111,108,114,49.15,47.9,50.4,21.25,21.1,21.4,36.5,18.5,20.710675,19.98533,35.39333333,37.6,32.6,3.9775,1.25,8.725,4.9,0,3600000,4500000,Flocks,Duck-like,long,Obligate,Phalaropus lobatus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Red Phalarope,Phalaropus fulicarius,Phalaropus_fulicarius,5229390,Invertebrate,50,50,0,0,Water_Ground.Understory,0,LC,-1.774422,133,129,137,64.3,61.7,66.9,22.2,21.6,22.8,42.5,21,27.505225,23.32478,57.99666667,61.825,56.6,4,1,6.041666667,4.9,0,1350000,2980000,Flocks,Duck-like,long,Obligate,Phalaropus fulicarius,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Great Skua,Catharacta skua,Catharacta_skua,8308855,VertFishScav,80,20,0,0,Water,0,LC,0.022708,414.5,409,420,149.5,150,149,49.5,49.4,49.6,130,55.5,74.09717,69.13354,1393.823333,1510,1433,2,1,33.93,17.5,0,30000,34999,Colonies,Gull-like,long ,Obligate,Stercorarius skua,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Polar Skua,Catharacta maccormicki,Catharacta_maccormicki,2481617,VertFishScav,50,50,0,0,Water_Ground.Understory,0,LC,0.44134,394,429.76715,428.1411,163.21617,165.966804,160.21125,46.6,57.36146,53.51749333,132,53,80.22436,74.78025,1364.785,1421,1280,2,1,23.5,17.1,0,6000,15000,Colonies,Gull-like,long,Obligate,Stercorarius maccormicki,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomarine Jaeger,Stercorarius pomarinus,Stercorarius_pomarinus,2481609,VertFishScav,30,70,0,0,Ground.Understory,0,LC,0.606991,368,363,373,125.5,124,127,40.35,39.8,40.9,120,48.5,60.27365,57.29975,702.985,767,660,2,1,16,13.5,0,4.00E+05,1394665.165,Solitary,Hawk-like,long,Obligate,Stercorarius pomarinus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parasitic Jaeger,Stercorarius parasiticus,Stercorarius_parasiticus,2481621,VertFishScav,0,100,0,0,Ground.Understory,0,LC,0.078038,326,323,329,115.5,115,116,31.45,31.1,31.8,105,43.5,61.80658,55.39859,443.4033333,472.4,409.375,2,1,27.79166667,13.5,0,4.00E+05,599999,Solitary/Flocks,Hawk-like,long,Obligate,Stercorarius parasiticus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-tailed Jaeger,Stercorarius longicaudus,Stercorarius_longicaudus,2481613,VertFishScav,0,100,0,0,Ground.Understory,0,LC,0.162202,307.5,306,309,111.5,112,111,28.45,28.5,28.4,110,50.5,58.840525,52.96524,287.3,296.6,267.975,2,1,11,12.5,2,250000,749999,Solitary/Flocks,Hawk-like,long,Obligate,Stercorarius longicaudus,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dovekie,Alle alle,Alle_alle,2481299,VertFishScav,63.05,25.894,3.783,1.115,Water,0,LC,-1.045131,122.9,123.1,122.4,40.8,41.5,40.7,24.30161,22.732735,22.70958857,38,21.82,21.95,21.77,150.5,146.8,153.5,1,1,15.1411715,15,2,16031953.6,24247458.82,Colonies,Duck-like,long,Obligate,Alle alle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Common Murre,Uria aalge,Uria_aalge,2481342,VertFishScav,98.85,1.08,0.01,0.01,Water,0,LC,-0.57428,226.74659,211.63,212.03,83.1153225,86.19904048,79.783235,42.89441,44.14268222,41.78056667,65,44,61.08761833,56.41931,991.5,985,997.25,1,1,29.58333333,15.1,4,2769025.552,3713318.727,Colonies,Duck-like,long,Facultative,Uria aalge,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thick-billed Murre,Uria lomvia,Uria_lomvia,2481339,VertFishScav,98.92,1.37,0.01,-1.54E-15,Water,0,LC,-0.543563,233.67121,219.63,217.25,83.9118625,86.54444348,80.37051,43.61148,45.248015,42.39941667,70,46,61.16191333,56.23074,964,936.5,961,1,1,25.26666667,14,4,2593406.644,3714301.242,Colonies,Duck-like,long,Facultative,Uria lomvia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Razorbill,Alca torda,Alca_torda,8277073,VertFishScav,100,0,0,0,Water,0,NT,-0.97867,202.5,202,203,77.05,75.7,78.4,34.2,35,33.4,65,38,58.19105,54.00853,720.9966667,700,734,1,1,30,13.6,2,3737896.726,4966898.842,Colonies,Duck-like,long,facultative,Alca torda,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Guillemot,Cepphus grylle,Cepphus_grylle,2481312,VertFishScav,100,0,0,0,Water,0,LC,-0.67378,166,166,166,48.45,48.4,48.5,31.5,32,31,53,31,50.85789,44.83491,382.1666667,386.75,378.25,1.75,1,26.475,10.9,5,4.00E+05,1499999,Colonies,Duck-like,short,facultative,Cepphus grylle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pigeon Guillemot,Cepphus columba,Cepphus_columba,9315520,VertFishScav,100,0,0,0,Water,0,LC,-0.305,187.6,178.71773,175.63517,61.801025,63.55101333,62.916985,43.9,43.13758,41.67931667,58,34,50.89835,45.1281,508.5,483,487,2,1,12.08333333,8,5,988782.746,2021203.07,Colonies,Duck-like,long,facultative,Cepphus columba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marbled Murrelet,Brachyramphus marmoratus,Brachyramphus_marmoratus,5229281,Invertebrate,100,0,0,0,Water,0,EN,-4.83,137,136,133,30,31.3,30.5,18,17.3,17.4,41,25,28.97829,25.7621,221,225.85,220.5,1,1,8.6,7.15,0,240000,280000,Pairs/Groups,Duck-like,short,facultative,Brachyramphus marmoratus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Scripps's Murrelet,Synthliboramphus scrippsi,Synthliboramphus_scrippsi,8363918,VertFishScav,79.58,16.718,0.65,0.52,Water,0,VU,-1.159048,202.06861,189.49359,190.18937,30.6,65.66432,63.131205,38.74912,39.40783722,39.05762,65.50513,25,69.272575,60.53846,167,173.2,166.1,1.8,1,15,5.18,0,10000,19999,Colonies,Duck-like,short,Obligate,Synthliboramphus scrippsi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ancient Murrelet,Synthliboramphus antiquus,Synthliboramphus_antiquus,2481350,Invertebrate,100,0,0,0,Water,0,LC,-0.488091,155.15788,141.4,142,49.48445,53.20402,53.650475,33.42236,33.26722,33.75584,43,25,50.463675,43.76173,211.86,205.7,206.3,2,1,5,7.3,2,1.00E+06,2.00E+06,Colonies,Duck-like,long,facultative,Synthliboramphus antiquus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassin's Auklet,Ptychoramphus aleuticus,Ptychoramphus_aleuticus,2481302,Invertebrate,100,0,0,0,Water,0,NT,-2.606517,132.374,126,125.7,47.999,40.8,49.099255,22.80922,19.76,19.51,38,23,24.97326,23.72865,184,162.264515,171.522655,1,1.5,10.2,6.94,2,3600000,13312257.25,Colonies,Duck-like,short,facultative,Ptychoramphus aleuticus,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parakeet Auklet,Aethia psittacula,Aethia_psittacula,5229269,Invertebrate,100,0,0,0,Water,0,LC,-1.322211,154.49703,153,151,53.796895,57.95158,58.48186,19.584665,15.8,15.2,50.90576,25,26.027205,24.02594,271.49,276.35,273,1,1,12.708533,8.4,0,1400000,12561753.22,Colonies,Duck-like,short,facultative,Aethia psittacula,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhinoceros Auklet,Cerorhinca monocerata,Cerorhinca_monocerata,2481324,VertFishScav,100,0,0,0,Water,0,LC,-0.623473,183.8,182.9,177.7,57.93119,59.58693333,59.384835,34.08505,33.3,31.9,56,35,52.116435,46.18366,493.62,456,510,1,1,7.4,8,0,1300000,2449416.161,Colonies,Duck-like,long,facultative,Cerorhinca monocerata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic Puffin,Fratercula arctica,Fratercula_arctica,2481353,VertFishScav,100,0,0,0,Water,0,VU,-0.974085,166,168,164,50.25,50.6,49.9,45.5,47,44,53,27.5,48.087785,43.30964,494.4755556,406.25,428,1,1,34.22916667,21.6,3,1.20E+07,1.40E+07,Colonies,Duck-like,long,Obligate,Fratercula arctica,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Horned Puffin,Fratercula corniculata,Fratercula_corniculata,2481359,VertFishScav,100,0,0,0,Water,0,LC,-0.491937,193.95984,191.4,187.3,65.926125,67.72614,65.978225,45.6726825,49.6,47.4,59,38,52.57712,47.94406,558.57,517,556,1,1,20,10.7,0,8.00E+05,2050770.882,Colonies,Duck-like,long,facultative,Fratercula corniculata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
