,keyword,fr_count,fr_mean
406,Marouette de Baillon,1135,5.11
407,Marouette de Caroline,351,1.58
408,Marouette poussin,765,3.45
409,Martin de Java,1686,7.56
410,Martin forestier,2659,11.92
411,Martin triste,6409,28.74
412,Martinet a tete grise,348,1.57
413,Martinet cafre,602,2.71
414,Martinet des maisons,830,3.74
415,Martinet noir,2865,12.91
416,Martinet ramoneur,1723,7.76
417,Megapode maleo,1107,4.99
418,Menure superbe,692,3.12
419,Mergule nain,1157,5.21
420,Merion superbe,234,1.05
421,Merle a plastron,1051,4.71
422,Merle d'Amerique,471,2.11
423,Merle noir,3108,13.94
424,Merle vantard,423,1.90
425,Mesange a tete noire,1771,7.94
426,Mesange bleue,4452,19.96
427,Mesange charbonniere,3414,15.31
428,Mesange grise,3001,13.46
429,Mesange huppee,1305,5.85
430,Mesange noire,3838,17.21
431,Mesange nonnette,2587,11.60
432,Mesangeai du Canada,675,3.03
433,Messager sagittaire,3027,13.64
434,Milan noir,7463,33.62
435,Milan royal,8716,39.26
436,Miro incarnat,407,1.83
437,Miro rose,1000,4.48
438,Moineau blanc,2741,12.29
439,Moineau cisalpin,1050,4.71
440,Moineau domestique,5296,23.75
441,Moineau friquet,3367,15.10
442,Moineau gris,3455,15.49
443,Moineau soulcie,2491,11.17
444,Monarque de Tahiti,324,1.46
445,Monarque menu,2766,12.46
446,Monarque noir,1627,7.33
447,Monticole bleu,731,3.28
448,Monticole de roche,833,3.74
449,Moqueur bleu,4009,17.98
450,Moqueur chat,2911,13.05
451,Moqueur noir,4097,18.37
452,Moqueur polyglotte,1017,4.56
453,Moqueur roux,961,4.31
454,Motmot houtouc,1444,6.50
455,Moucherolle jaunatre,409,1.84
456,Moucherolle noir,577,2.60
457,Moucherolle vermillon,483,2.18
458,Mouette blanche,1501,6.76
459,Mouette de Sabine,959,4.32
460,Mouette tridactyle,2425,10.92
461,Nandou de Darwin,935,4.21
462,Nestor kea,3846,17.32
463,Nette rousse,3443,15.51
464,Niverolle alpine,1425,6.39
465,Niverolle du Tibet,741,3.32
466,Noddi brun,1198,5.40
467,Nyctale de Tengmalm,889,4.00
468,Oedicneme criard,880,3.96
469,Oie cendree,2064,9.30
470,Oie de Ross,1638,7.38
471,Oie des moissons,1614,7.27
472,Oie des neiges,2884,12.99
473,Oie empereur,1434,6.46
474,Oie naine,1756,7.91
475,Oie rieuse,6973,31.41
476,Oriole de Baltimore,2298,10.30
477,Oriole de Martinique,483,2.17
478,Oriole des vergers,388,1.74
479,Oriole orange,1931.5,8.66
480,Orite de Sophie,370,1.66
481,Ortalide du Chaco,167,0.75
482,Ouette de Magellan,1135,5.11
483,Outarde canepetiere,1224,5.51
484,Outarde houbara,1610,7.25
485,Outarde kori,948,4.27
486,Palette verte,4611,20.77
487,Palmiste africain,947,4.27
