,keyword,mean
401,Manchot royal,14.87837838
402,Mango dore,25.3963964
403,Mango vert,25.36936937
404,Marabout argala,1.702702703
405,Marabout chevelu,1.405405405
406,Marouette de Baillon,5.112612613
407,Marouette de Caroline,1.581081081
408,Marouette poussin,3.445945946
409,Martin de Java,7.560538117
410,Martin forestier,11.92376682
411,Martin triste,28.73991031
412,Martinet a tete grise,1.567567568
413,Martinet cafre,2.711711712
414,Martinet des maisons,3.738738739
415,Martinet noir,12.90540541
416,Martinet ramoneur,7.761261261
417,Megapode maleo,4.986486486
418,Menure superbe,3.117117117
419,Mergule nain,5.211711712
420,Merion superbe,1.054054054
421,Merle a plastron,4.713004484
422,Merle d'Amerique,2.112107623
423,Merle noir,13.93721973
424,Merle vantard,1.896860987
425,Mesange a tete noire,7.941704036
426,Mesange bleue,19.96412556
427,Mesange charbonniere,15.30941704
428,Mesange grise,13.4573991
429,Mesange huppee,5.852017937
430,Mesange noire,17.21076233
431,Mesange nonnette,11.60089686
432,Mesangeai du Canada,3.02690583
433,Messager sagittaire,13.63513514
434,Milan noir,33.61711712
435,Milan royal,39.26126126
436,Miro incarnat,1.825112108
437,Miro rose,4.484304933
438,Moineau blanc,12.29147982
439,Moineau cisalpin,4.708520179
440,Moineau domestique,23.74887892
441,Moineau friquet,15.09865471
442,Moineau gris,15.49327354
443,Moineau soulcie,11.17040359
444,Monarque de Tahiti,1.459459459
445,Monarque menu,12.45945946
446,Monarque noir,7.328828829
447,Monticole bleu,3.278026906
448,Monticole de roche,3.735426009
449,Moqueur bleu,17.97757848
450,Moqueur chat,13.05381166
451,Moqueur noir,18.37219731
452,Moqueur polyglotte,4.560538117
453,Moqueur roux,4.30941704
454,Motmot houtouc,6.504504505
455,Moucherolle jaunatre,1.842342342
456,Moucherolle noir,2.599099099
457,Moucherolle vermillon,2.175675676
458,Mouette blanche,6.761261261
459,Mouette de Sabine,4.31981982
460,Mouette tridactyle,10.92342342
461,Nandou de Darwin,4.211711712
462,Nestor kea,17.32432432
463,Nette rousse,15.50900901
464,Niverolle alpine,6.390134529
465,Niverolle du Tibet,3.322869955
466,Noddi brun,5.396396396
467,Nyctale de Tengmalm,4.004504505
468,Oedicneme criard,3.963963964
469,Oie cendree,9.297297297
470,Oie de Ross,7.378378378
471,Oie des moissons,7.27027027
472,Oie des neiges,12.99099099
473,Oie empereur,6.459459459
474,Oie naine,7.90990991
475,Oie rieuse,31.40990991
476,Oriole de Baltimore,10.30493274
477,Oriole de Martinique,2.165919283
478,Oriole des vergers,1.739910314
479,Oriole orange,8.661434978
480,Orite de Sophie,1.659192825
481,Ortalide du Chaco,0.752252252
482,Ouette de Magellan,5.112612613
483,Outarde canepetiere,5.513513514
484,Outarde houbara,7.252252252
485,Outarde kori,4.27027027
486,Palette verte,20.77027027
487,Palmiste africain,4.265765766
488,Paon bleu,28.19369369
489,Paon du Congo,9.364864865
490,Paradisier de Raggi,3.434977578
491,Paradisier de Wallace,3.556053812
492,Paradisier du Prince Albert,2.618834081
493,Paradisier noir,3.426008969
494,Paradisier republicain,0.941704036
495,Paradisier rouge,3.744394619
496,Paradisier royal,6.255605381
497,Paradisier sifilet,7.439461883
498,Paradisier superbe,3.923766816
499,Paruline a croupion jaune,2.551569507
500,Paruline bleue,3.910313901
501,Paruline de Bachman,1.349775785
502,Paruline de Townsend,2.255605381
503,Paruline des buissons,0.618834081
504,Paruline des pins,2.058295964
505,Paruline des ruisseaux,3.103139013
