"","Var1","Freq"
"291","Aphrodroma brevirostris",2
"292","Aplonis brunneicapillus",6
"293","Aplonis cinerascens",9
"294","Aplonis circumscripta",4
"295","Aplonis corvina",2
"296","Aplonis crassa",4
"297","Aplonis feadensis",10
"298","Aplonis fusca",4
"299","Aplonis insularis",1
"300","Aplonis mavornata",2
"301","Aplonis metallica",4
"302","Aplonis mystacea",4
"303","Aplonis pelzelni",7
"304","Aplonis santovestris",13
"305","Aplonis ulietensis",2
"306","Aplonis zelandica",2
"307","Aprosmictus jonquillaceus",8
"308","Aptenodytes forsteri",2
"309","Aptenodytes patagonicus",7
"310","Apteryx australis",10
"311","Apteryx haastii",14
"312","Apteryx mantelli",12
"313","Apteryx owenii",10
"314","Apteryx rowi",9
"315","Apus acuticauda",2
"316","Apus sladeniae",2
"317","Aquila adalberti",17
"318","Aquila chrysaetos",14
"319","Aquila gurneyi",2
"320","Aquila heliaca",10
"321","Aquila nipalensis",21
"322","Aquila rapax",17
"323","Ara ambiguus",13
"324","Ara glaucogularis",20
"325","Ara militaris",15
"326","Ara rubrogenys",13
"327","Ara tricolor",2
"328","Aramides albiventris",2
"329","Aramides cajaneus",2
"330","Aramides wolfi",12
"331","Aramidopsis plateni",10
"332","Aratinga auricapillus",6
"333","Aratinga solstitialis",6
"334","Arborophila ardens",9
"335","Arborophila atrogularis",7
"336","Arborophila cambodiana",9
"337","Arborophila crudigularis",6
"338","Arborophila davidi",6
"339","Arborophila gingica",11
"340","Arborophila mandellii",9
"341","Arborophila orientalis",8
"342","Arborophila rufipectus",12
"343","Arcanator orostruthus",10
"344","Archboldia papuensis",2
"345","Ardea alba",1
"346","Ardea brachyrhyncha",17
"347","Ardea cinerea",16
"348","Ardea humbloti",12
"349","Ardea insignis",16
"350","Ardea intermedia",6
"351","Ardea occidentalis",11
"352","Ardea plumifera",17
"353","Ardenna bulleri",7
"354","Ardenna carneipes",15
"355","Ardenna creatopus",22
"356","Ardenna gravis",2
"357","Ardenna grisea",10
"358","Ardenna pacifica",9
"359","Ardenna tenuirostris",8
"360","Ardeola idae",13
"361","Ardeotis arabs",8
"362","Ardeotis australis",17
"363","Ardeotis kori",5
"364","Ardeotis nigriceps",25
"365","Arenaria interpres",5
"366","Arenaria melanocephala",1
"367","Argusianus argus",11
"368","Argya cinereifrons",14
"369","Argya longirostris",23
"370","Argya rufescens",10
"371","Arizelocichla milanjensis",2
"372","Arizelocichla montana",8
"373","Arremon basilicus",6
"374","Arremon castaneiceps",4
"375","Arremon franciscanus",8
"376","Arremon perijanus",4
"377","Arremon phygas",2
"378","Artamus cyanopterus",1
"379","Artisornis metopias",1
"380","Artisornis moreaui",7
"381","Artisornis sousae",3
"382","Asarcornis scutulata",14
"383","Asio capensis",12
"384","Asio flammeus",21
"385","Asio otus",10
"386","Asthenes berlepschi",4
"387","Asthenes coryi",1
"388","Asthenes helleri",8
"389","Asthenes heterura",11
"390","Asthenes huancavelicae",6
"391","Asthenes hudsoni",7
"392","Asthenes luizae",12
"393","Asthenes moreirae",1
"394","Asthenes perijana",7
"395","Asthenes urubambensis",8
"396","Asthenes usheri",7
"397","Astrapia mayeri",4
"398","Astrapia nigra",1
"399","Atelornis crossleyi",6
"400","Athene blewitti",19
"401","Atlapetes blancae",6
"402","Atlapetes flaviceps",5
"403","Atlapetes fuscoolivaceus",3
"404","Atlapetes melanopsis",4
"405","Atlapetes nigrifrons",6
"406","Atlapetes pallidiceps",5
"407","Atlapetes rufigenis",10
"408","Atlapetes terborghi",2
"409","Atrichornis clamosus",12
"410","Atrichornis rufescens",6
"411","Attagis malouinus",1
"412","Attila torridus",10
"413","Augastes lumachella",8
"414","Augastes scutatus",3
"415","Aulacorhynchus huallagae",2
"416","Automolus lammi",6
"417","Aviceda cuculoides",7
"418","Aviceda jerdoni",8
"419","Aviceda leuphotes",4
"420","Aythya baeri",15
"421","Aythya ferina",28
"422","Aythya innotata",23
"423","Aythya marila",10
"424","Aythya nyroca",25
"425","Balaeniceps rex",26
"426","Balearica pavonina",20
"427","Balearica regulorum",22
"428","Bangsia arcaei",6
"429","Bangsia aureocincta",6
"430","Bangsia flavovirens",13
"431","Bangsia melanochlamys",9
"432","Basileuterus griseiceps",7
"433","Basileuterus ignotus",5
"434","Basilornis galeatus",6
"435","Bathmocercus cerviniventris",5
"436","Batis margaritae",1
"437","Batis minima",6
"438","Batis reichenowi",2
"439","Batrachostomus auritus",8
"440","Batrachostomus harterti",6
"441","Batrachostomus mixtus",10
"442","Batrachostomus poliolophus",10
"443","Batrachostomus stellatus",7
"444","Belocercus longicaudus",12
"445","Berenicornis comatus",19
"446","Bermuteo avivorus",4
"447","Biatas nigropectus",7
"448","Biziura lobata",1
"449","Bleda eximius",6
"450","Bolborhynchus ferrugineifrons",10
"451","Bolemoreus frenatus",1
"452","Bolemoreus hindwoodi",1
"453","Bombycilla japonica",5
"454","Bonasa sewerzowi",5
"455","Bostrychia bocagei",19
"456","Bostrychia carunculata",12
"457","Bostrychia hagedash",3
"458","Bostrychia rara",2
"459","Botaurus poiciloptilus",9
"460","Brachypodius fuscoflavescens",9
"461","Brachypodius priocephalus",14
"462","Brachypteracias leptosomus",7
"463","Brachypteryx hyperythra",7
"464","Brachyramphus brevirostris",8
"465","Brachyramphus marmoratus",10
"466","Brachyramphus perdix",6
"467","Bradypterus bangwaensis",7
"468","Bradypterus barratti",1
"469","Bradypterus brunneus",4
"470","Bradypterus grandis",4
"471","Bradypterus graueri",8
"472","Bradypterus sylvaticus",7
"473","Branta bernicla",9
"474","Branta canadensis",1
"475","Branta leucopsis",1
"476","Branta ruficollis",9
"477","Branta sandvicensis",37
"478","Brotogeris pyrrhoptera",8
"479","Bubo blakistoni",19
"480","Bubo philippensis",9
"481","Bubo scandiacus",12
"482","Bubo shelleyi",6
"483","Bucephala clangula",8
"484","Bucephala islandica",14
"485","Buceros bicornis",12
"486","Buceros hydrocorax",11
"487","Buceros mindanensis",11
"488","Buceros rhinoceros",14
"489","Bucorvus abyssinicus",10
"490","Bucorvus leadbeateri",28
"491","Bugeranus carunculatus",26
"492","Bulweria bifax",10
"493","Bulweria bulwerii",15
"494","Bulweria fallax",8
"495","Burhinus grallarius",16
"496","Burhinus senegalensis",3
"497","Butastur indicus",10
"498","Butastur rufipennis",9
"499","Buteo auguralis",9
"500","Buteo buteo",13
"501","Buteo galapagoensis",6
"502","Buteo hemilasius",5
"503","Buteo japonicus",6
"504","Buteo lagopus",12
"505","Buteo oreophilus",6
"506","Buteo regalis",9
"507","Buteo ridgwayi",14
"508","Buteo rufinus",21
"509","Buteo rufofuscus",1
"510","Buteo socotraensis",10
"511","Buteo solitarius",16
"512","Buteo trizonatus",4
"513","Buteo ventralis",8
"514","Buteogallus aequinoctialis",5
"515","Buteogallus coronatus",14
"516","Buteogallus gundlachii",10
"517","Buteogallus lacernulatus",8
"518","Buteogallus solitarius",9
"519","Bycanistes cylindricus",9
"520","Cabalus modestus",12
"521","Cacatua alba",7
"522","Cacatua citrinocristata",12
"523","Cacatua goffiniana",8
"524","Cacatua haematuropygia",19
"525","Cacatua moluccensis",10
"526","Cacatua ophthalmica",8
"527","Cacatua sulphurea",16
"528","Cacatua tenuirostris",1
"529","Cacicus koepckeae",5
"530","Cacomantis aeruginosus",9
"531","Calamanthus cautus",1
"532","Calamanthus fuliginosus",1
"533","Calamanthus pyrrhopygius",1
"534","Calamonastides bensoni",8
"535","Calamonastides gracilirostris",11
"536","Calandrella dukhunensis",5
"537","Calcarius lapponicus",1
"538","Calcarius ornatus",10
"539","Calcarius pictus",1
"540","Calendulauda albescens",1
"541","Calendulauda burra",5
"542","Calendulauda erythrochlamys",1
"543","Calherodius leuconotus",8
"544","Calicalicus rufocarpalis",8
"545","Calidris acuminata",1
"546","Calidris alba",1
"547","Calidris alpina",16
"548","Calidris bairdii",1
"549","Calidris canutus",20
"550","Calidris falcinellus",8
"551","Calidris ferruginea",25
"552","Calidris fuscicollis",1
"553","Calidris himantopus",1
"554","Calidris maritima",1
"555","Calidris mauri",1
"556","Calidris melanotos",1
"557","Calidris minuta",12
"558","Calidris minutilla",1
"559","Calidris ptilocnemis",1
"560","Calidris pugnax",1
"561","Calidris pusilla",11
