threatened,masscentr,rangecentr,Migration,agriculture,climate_change,invasive,resource_use
1,-2.050793973,1.29861033,3,1,1,0,1
1,-1.419889101,1.88038086,1,1,0,0,1
1,-2.555888922,-5.608413784,1,1,1,0,0
1,-2.179411351,-6.389846835,1,0,1,1,1
0,-2.570277659,-2.316276917,1,1,0,0,1
0,-2.229673185,2.58913156,1,1,0,0,0
0,-2.229673185,3.70556058,3,0,1,0,0
0,-2.500319071,-0.31117542,1,1,0,0,1
1,-2.338476045,-3.073628204,1,1,1,0,1
1,-1.611427313,-0.06826689,3,1,1,0,1
1,-2.315747794,-3.473304772,1,1,0,0,1
1,-2.513924723,-0.41111848,1,1,0,0,1
1,-2.422357529,-3.461820856,1,1,0,0,1
0,-2.150423814,-0.75019742,1,0,1,0,0
0,-1.267049897,6.37496301,3,1,1,0,1
1,-2.541704287,-1.339096827,1,1,1,0,0
0,-2.199213978,0.40733777,1,1,0,0,1
0,-2.103903798,-1.315317357,1,0,1,0,0
0,-0.417504845,3.90376368,1,1,0,0,1
0,0.205024769,5.5139031,2,0,1,0,0
0,-2.338476045,-2.03723596,1,1,0,0,1
0,-1.936849714,-0.57312503,1,1,0,0,1
1,-1.067811867,-1.461639724,1,1,1,0,0
0,-2.113036282,3.83388356,3,0,0,0,0
0,-2.189263647,3.15463586,3,0,1,0,0
0,0.645113841,4.47263728,1,1,0,0,1
0,-1.820777542,1.25349851,1,1,0,1,0
1,-2.159993265,-1.78951257,3,1,0,0,1
1,-1.274955076,1.00984378,3,0,1,0,0
0,-0.735958576,-1.288738193,2,1,0,0,0
0,-1.984102598,1.73661737,1,1,0,0,0
0,-1.668585727,4.85129867,3,0,1,0,0
0,-2.422357529,-0.70348162,1,1,0,0,0
1,-2.304574494,-1.44285987,1,1,0,0,1
0,-2.103903798,2.07014296,1,1,0,0,1
0,-2.338476045,-0.01497356,1,1,0,0,1
0,-2.304574494,-1.545674812,1,1,0,0,1
0,-2.150423814,1.97727666,1,1,0,0,0
0,-2.150423814,-0.23072288,1,0,1,0,0
0,-0.79311699,-2.48822687,1,1,0,0,0
1,-1.491178185,2.77492353,3,1,0,1,0
0,0.147388,4.05813689,2,0,1,0,0
1,-2.293524657,-3.832782658,1,1,1,0,0
1,-2.199213978,0.36023583,1,1,1,0,0
0,1.221786031,1.33548795,1,1,0,0,0
0,-1.960197078,6.59874339,3,0,1,0,0
0,-2.315747794,3.13357809,1,1,0,0,1
0,-1.884403238,-2.909243376,1,1,0,0,1
1,-2.122252937,-9.163871308,1,0,1,1,1
0,-1.097273899,5.12544454,3,0,1,0,0
0,-2.199213978,-1.073924118,1,1,0,1,1
0,-1.69843869,2.48386865,1,1,0,0,1
0,-2.150423814,1.47879482,1,0,1,0,0
1,-1.968102257,0.75787996,1,1,0,0,1
0,-2.304574494,-2.571997879,1,1,1,0,1
1,-2.315747794,-2.49408882,1,1,0,0,0
0,-1.841539534,2.73089201,1,1,0,0,1
0,-2.076996345,2.1096637,1,1,0,0,0
0,-0.16450833,2.87952062,1,1,0,0,1
0,-2.397664917,4.8975867,3,0,1,0,0
0,-1.848557106,2.55720304,3,0,1,0,0
1,-1.526269505,0.29767061,2,1,0,0,1
1,-1.9523539,-8.629194469,1,1,1,1,1
0,-2.261089382,-0.847396834,1,1,1,0,1
0,-1.834570864,2.50992205,3,0,0,0,1
0,-2.068185716,-0.69136773,1,1,0,0,0
1,-2.584876459,-4.054552915,1,1,0,0,1
0,-1.936849714,3.51273778,1,1,0,0,0
0,-1.848557106,-0.29538629,1,0,1,0,0
