"","species_names","iucn_pull"
"231","Chiroxiphia linearis","Ongoing"
"232","Lemur catta","Ongoing"
"233","Pan paniscus","Ongoing"
"234","Gorilla gorilla","Ongoing"
"235","Chiroxiphia linearis","Whole (>90%)"
"236","Lemur catta","Minority (<50%)"
"237","Pan paniscus","Minority (<50%)"
"238","Gorilla gorilla","Minority (<50%)"
"239","Chiroxiphia linearis","Minority (<50%)"
"240","Lemur catta","Minority (<50%)"
"241","Pan paniscus","Minority (<50%)"
"242","Gorilla gorilla","Minority (<50%)"
"243","Chiroxiphia linearis","Majority (50-90%)"
"244","Lemur catta","Minority (<50%)"
"245","Pan paniscus","Minority (<50%)"
"246","Gorilla gorilla","Majority (50-90%)"
"247","Chiroxiphia linearis","Minority (<50%)"
"248","Lemur catta","Majority (50-90%)"
"249","Pan paniscus","Majority (50-90%)"
"250","Gorilla gorilla","Minority (<50%)"
"251","Chiroxiphia linearis","Minority (<50%)"
"252","Lemur catta","Minority (<50%)"
"253","Pan paniscus","Minority (<50%)"
"254","Gorilla gorilla","Slow, Significant Declines"
"255","Chiroxiphia linearis","Slow, Significant Declines"
"256","Lemur catta","Very Rapid Declines"
"257","Pan paniscus","Slow, Significant Declines"
"258","Gorilla gorilla","Slow, Significant Declines"
"259","Chiroxiphia linearis","Very Rapid Declines"
"260","Lemur catta","Slow, Significant Declines"
"261","Pan paniscus","Slow, Significant Declines"
"262","Gorilla gorilla","Very Rapid Declines"
"263","Chiroxiphia linearis","Very Rapid Declines"
"264","Lemur catta","Very Rapid Declines"
"265","Pan paniscus","Very Rapid Declines"
"266","Gorilla gorilla","Very Rapid Declines"
"267","Chiroxiphia linearis","Slow, Significant Declines"
"268","Lemur catta","Slow, Significant Declines"
"269","Pan paniscus","Very Rapid Declines"
"270","Gorilla gorilla","Very Rapid Declines"
"271","Chiroxiphia linearis","Very Rapid Declines"
"272","Lemur catta","Very Rapid Declines"
"273","Pan paniscus","Medium Impact: 7"
"274","Gorilla gorilla","Low Impact: 5"
"275","Chiroxiphia linearis","Medium Impact: 7"
"276","Lemur catta","Low Impact: 5"
"277","Pan paniscus","Low Impact: 5"
"278","Gorilla gorilla","Medium Impact: 7"
"279","Chiroxiphia linearis","Low Impact: 5"
"280","Lemur catta","Low Impact: 5"
"281","Pan paniscus","High Impact: 8"
"282","Gorilla gorilla","Medium Impact: 7"
"283","Chiroxiphia linearis","Medium Impact: 7"
"284","Lemur catta","High Impact: 8"
"285","Pan paniscus","Medium Impact: 7"
"286","Gorilla gorilla","Medium Impact: 6"
"287","Chiroxiphia linearis","Medium Impact: 6"
"288","Lemur catta","Medium Impact: 7"
"289","Pan paniscus","Medium Impact: 7"
"290","Gorilla gorilla","Medium Impact: 7"
"291","Chiroxiphia linearis","Medium Impact: 7"
"292","Lemur catta",NA
"293","Pan paniscus",NA
"294","Gorilla gorilla",NA
"295","Chiroxiphia linearis",NA
"296","Lemur catta",NA
"297","Pan paniscus",NA
"298","Gorilla gorilla",NA
"299","Chiroxiphia linearis",NA
"300","Lemur catta",NA
"301","Pan paniscus",NA
"302","Gorilla gorilla",NA
"303","Chiroxiphia linearis",NA
"304","Lemur catta",NA
"305","Pan paniscus",NA
"306","Gorilla gorilla",NA
"307","Chiroxiphia linearis",NA
"308","Lemur catta",NA
"309","Pan paniscus",NA
"310","Gorilla gorilla",NA
"311","Chiroxiphia linearis","Chiroxiphia linearis"
"312","Lemur catta","Lemur catta"
"313","Pan paniscus","11.1"
"314","Gorilla gorilla","11.2"
"315","Chiroxiphia linearis","11.3"
"316","Lemur catta","11.4"
"317","Pan paniscus","2.3"
"318","Gorilla gorilla","2.3.2"
"319","Chiroxiphia linearis","5.1"
"320","Lemur catta","5.1.1"
"321","Pan paniscus","5.3"
"322","Gorilla gorilla","5.3.5"
"323","Chiroxiphia linearis","7.1"
"324","Lemur catta","7.1.3"
"325","Pan paniscus","Habitat shifting & alteration"
"326","Gorilla gorilla","Droughts"
"327","Chiroxiphia linearis","Temperature extremes"
"328","Lemur catta","Storms & flooding"
"329","Pan paniscus","Livestock farming & ranching"
"330","Gorilla gorilla","Small-holder grazing, ranching or farming"
"331","Chiroxiphia linearis","Hunting & trapping terrestrial animals"
"332","Lemur catta","Intentional use (species is the target)"
"333","Pan paniscus","Logging & wood harvesting"
"334","Gorilla gorilla","Motivation Unknown/Unrecorded"
"335","Chiroxiphia linearis","Fire & fire suppression"
"336","Lemur catta","Trend Unknown/Unrecorded"
"337","Pan paniscus","Ongoing"
"338","Gorilla gorilla","Ongoing"
"339","Chiroxiphia linearis","Ongoing"
"340","Lemur catta","Ongoing"
"341","Pan paniscus","Ongoing"
"342","Gorilla gorilla","Ongoing"
"343","Chiroxiphia linearis","Ongoing"
"344","Lemur catta","Ongoing"
"345","Pan paniscus","Ongoing"
"346","Gorilla gorilla","Ongoing"
"347","Chiroxiphia linearis","Ongoing"
"348","Lemur catta","Ongoing"
"349","Pan paniscus","Majority (50-90%)"
"350","Gorilla gorilla","Majority (50-90%)"
"351","Chiroxiphia linearis","Majority (50-90%)"
"352","Lemur catta","Majority (50-90%)"
"353","Pan paniscus","Unknown"
"354","Gorilla gorilla","Unknown"
