"","count","result.taxonid","result.scientific_name","result.subspecies","result.rank","result.subpopulation","result.category"
"361",11162,22713140,"Alophoixus flaveolus",NA,NA,NA,"LC"
"362",11162,103821499,"Alophoixus frater",NA,NA,NA,"LC"
"363",11162,103819928,"Alophoixus griseiceps",NA,NA,NA,"LC"
"364",11162,103821072,"Alophoixus ochraceus",NA,NA,NA,"LC"
"365",11162,103819799,"Alophoixus pallidus",NA,NA,NA,"LC"
"366",11162,22713152,"Alophoixus phaeocephalus",NA,NA,NA,"LC"
"367",11162,103821125,"Alophoixus ruficrissus",NA,NA,NA,"LC"
"368",11162,103821318,"Alophoixus tephrogenys",NA,NA,NA,"VU"
"369",11162,22712146,"Alopochelidon fucata",NA,NA,NA,"LC"
"370",11162,22679993,"Alopochen aegyptiaca",NA,NA,NA,"LC"
"371",11162,22729490,"Alopochen kervazoi",NA,NA,NA,"EX"
"372",11162,22728658,"Alopochen mauritiana",NA,NA,NA,"EX"
"373",11162,22719932,"Amadina erythrocephala",NA,NA,NA,"LC"
"374",11162,22719927,"Amadina fasciata",NA,NA,NA,"LC"
"375",11162,22704761,"Amalocichla incerta",NA,NA,NA,"LC"
"376",11162,22704757,"Amalocichla sclateriana",NA,NA,NA,"LC"
"377",11162,22719614,"Amandava amandava",NA,NA,NA,"LC"
"378",11162,22719618,"Amandava formosa",NA,NA,NA,"VU"
"379",11162,22719624,"Amandava subflava",NA,NA,NA,"LC"
"380",11162,22715170,"Amaurocichla bocagii",NA,NA,NA,"VU"
"381",11162,22692601,"Amaurolimnas concolor",NA,NA,NA,"LC"
"382",11162,22692723,"Amaurornis cinerea",NA,NA,NA,"LC"
"383",11162,22692624,"Amaurornis isabellina",NA,NA,NA,"LC"
"384",11162,22732147,"Amaurornis magnirostris",NA,NA,NA,"VU"
"385",11162,22692729,"Amaurornis marginalis",NA,NA,NA,"LC"
"386",11162,22692632,"Amaurornis moluccana",NA,NA,NA,"LC"
"387",11162,22692616,"Amaurornis olivacea",NA,NA,NA,"LC"
"388",11162,22692640,"Amaurornis phoenicurus",NA,NA,NA,"LC"
"389",11162,105965570,"Amaurospiza moesta",NA,NA,NA,"LC"
"390",11162,22723554,"Amaurospiza relicta",NA,NA,NA,"LC"
"391",11162,119194112,"Amazilia alfaroana",NA,NA,NA,"CR"
"392",11162,22687552,"Amazilia amabilis",NA,NA,NA,"LC"
"393",11162,22687618,"Amazilia amazilia",NA,NA,NA,"LC"
"394",11162,22726714,"Amazilia bartletti",NA,NA,NA,"LC"
"395",11162,22687583,"Amazilia beryllina",NA,NA,NA,"LC"
"396",11162,22687562,"Amazilia boucardi",NA,NA,NA,"EN"
"397",11162,22687517,"Amazilia brevirostris",NA,NA,NA,"LC"
"398",11162,22687513,"Amazilia candida",NA,NA,NA,"LC"
"399",11162,22687614,"Amazilia castaneiventris",NA,NA,NA,"NT"
"400",11162,22687509,"Amazilia chionogaster",NA,NA,NA,"LC"
"401",11162,22687449,"Amazilia chrysura",NA,NA,NA,"LC"
"402",11162,22687414,"Amazilia coeruleogularis",NA,NA,NA,"LC"
"403",11162,61201753,"Amazilia cupreicauda",NA,NA,NA,"LC"
"404",11162,119194033,"Amazilia cyanifrons",NA,NA,NA,"LC"
"405",11162,22687577,"Amazilia cyanocephala",NA,NA,NA,"LC"
"406",11162,22687587,"Amazilia cyanura",NA,NA,NA,"LC"
"407",11162,22687439,"Amazilia cyanus",NA,NA,NA,"LC"
"408",11162,22687556,"Amazilia decora",NA,NA,NA,"LC"
"409",11162,22687599,"Amazilia edward",NA,NA,NA,"LC"
"410",11162,22687432,"Amazilia eliciae",NA,NA,NA,"LC"
"411",11162,22687534,"Amazilia fimbriata",NA,NA,NA,"LC"
"412",11162,22687566,"Amazilia franciae",NA,NA,NA,"LC"
"413",11162,22687421,"Amazilia goudoti",NA,NA,NA,"LC"
"414",11162,22733641,"Amazilia grayi",NA,NA,NA,"LC"
"415",11162,22733646,"Amazilia humboldtii",NA,NA,NA,"LC"
"416",11162,22687411,"Amazilia julie",NA,NA,NA,"LC"
"417",11162,22726706,"Amazilia lactea",NA,NA,NA,"LC"
"418",11162,22687574,"Amazilia leucogaster",NA,NA,NA,"LC"
"419",11162,22687417,"Amazilia lilliae",NA,NA,NA,"EN"
"420",11162,22687529,"Amazilia luciae",NA,NA,NA,"VU"
"421",11162,22687458,"Amazilia oenone",NA,NA,NA,"LC"
"422",11162,22687559,"Amazilia rosenbergi",NA,NA,NA,"LC"
"423",11162,22687603,"Amazilia rutila",NA,NA,NA,"LC"
"424",11162,22687436,"Amazilia sapphirina",NA,NA,NA,"LC"
"425",11162,22687590,"Amazilia saucerottei",NA,NA,NA,"LC"
"426",11162,22687593,"Amazilia tobaci",NA,NA,NA,"LC"
"427",11162,22730168,"Amazilia tzacatl",NA,NA,NA,"LC"
"428",11162,22687525,"Amazilia versicolor",NA,NA,NA,"LC"
"429",11162,22687624,"Amazilia violiceps",NA,NA,NA,"LC"
"430",11162,22687506,"Amazilia viridicauda",NA,NA,NA,"LC"
"431",11162,61200240,"Amazilia viridifrons",NA,NA,NA,"LC"
"432",11162,61201742,"Amazilia viridigaster",NA,NA,NA,"LC"
"433",11162,61200304,"Amazilia wagneri",NA,NA,NA,"LC"
"434",11162,22687606,"Amazilia yucatanensis",NA,NA,NA,"LC"
"435",11162,22686332,"Amazona aestiva",NA,NA,NA,"NT"
"436",11162,22686231,"Amazona agilis",NA,NA,NA,"EN"
"437",11162,22686222,"Amazona albifrons",NA,NA,NA,"LC"
"438",11162,22686350,"Amazona amazonica",NA,NA,NA,"LC"
"439",11162,22686395,"Amazona arausiaca",NA,NA,NA,"VU"
"440",11162,22686342,"Amazona auropalliata",NA,NA,NA,"CR"
"441",11162,22728292,"Amazona autumnalis",NA,NA,NA,"LC"
"442",11162,22686325,"Amazona barbadensis",NA,NA,NA,"NT"
"443",11162,22727636,"Amazona bodini",NA,NA,NA,"NT"
"444",11162,22686296,"Amazona brasiliensis",NA,NA,NA,"NT"
"445",11162,22686209,"Amazona collaria",NA,NA,NA,"VU"
"446",11162,22731595,"Amazona diadema",NA,NA,NA,"LC"
"447",11162,22686282,"Amazona dufresniana",NA,NA,NA,"NT"
"448",11162,45430572,"Amazona farinosa",NA,NA,NA,"NT"
"449",11162,22727626,"Amazona festiva",NA,NA,NA,"NT"
