"","x"
"399","Scaly-breasted Sabrewing"
"400","Wedge-tailed Sabrewing"
"401","Grey-breasted Sabrewing"
"402","Rufous Sabrewing"
"403","Rufous-breasted Sabrewing"
"404","Violet Sabrewing"
"405","White-tailed Sabrewing"
"406","Lazuline Sabrewing"
"407","Santa Marta Sabrewing"
"408","Napo Sabrewing"
"409","Buff-breasted Sabrewing"
"410","Swallow-tailed Hummingbird"
"411","Stripe-tailed Hummingbird"
"412","Oaxaca Hummingbird"
"413","White-tailed Hummingbird"
"414","Black-bellied Hummingbird"
"415","White-tailed Emerald"
"416","Coppery-headed Emerald"
"417","Snowcap"
"418","White-vented Plumeleteer"
"419","Bronze-tailed Plumeleteer"
"420","Mexican Woodnymph"
"421","Crowned Woodnymph"
"422","Fork-tailed Woodnymph"
"423","Long-tailed Woodnymph"
"424","Violet-capped Woodnymph"
"425","Many-spotted Hummingbird"
"426","White-throated Hummingbird"
"427","Buffy Hummingbird"
"428","Tumbes Hummingbird"
"429","Spot-throated Hummingbird"
"430","Olive-spotted Hummingbird"
"431","White-bellied Hummingbird"
"432","Green-and-white Hummingbird"
"433","Rufous-tailed Hummingbird"
"434","Chestnut-bellied Hummingbird"
"435","Buff-bellied Hummingbird"
"436","Cinnamon Hummingbird"
"437","Amazilia Hummingbird"
"438","Plain-bellied Emerald"
"439","Versicolored Emerald"
"440","White-chested Emerald"
"441","Andean Emerald"
"442","White-bellied Emerald"
"443","Honduran Emerald"
"444","Mangrove Hummingbird"
"445","Blue-chested Hummingbird"
"446","Charming Hummingbird"
"447","Azure-crowned Hummingbird"
"448","Berylline Hummingbird"
"449","Blue-tailed Hummingbird"
"450","Steely-vented Hummingbird"
"451","Indigo-capped Hummingbird"
"452","Guanacaste Hummingbird"
"453","Violet-crowned Hummingbird"
"454","Green-fronted Hummingbird"
"455","Cinnamon-sided Hummingbird"
"456","Glittering-throated Emerald"
"457","Sapphire-spangled Emerald"
"458","Spot-vented Emerald"
"459","Purple-chested Hummingbird"
"460","Snowy-bellied Hummingbird"
"461","Green-bellied Hummingbird"
"462","Copper-tailed Hummingbird"
"463","Copper-rumped Hummingbird"
"464","Rufous-throated Hummingbird"
"465","Humboldt's Hummingbird"
"466","Gray's Hummingbird"
"467","Golden-tailed Sapphire"
"468","Violet-bellied Hummingbird"
"469","Blue-throated Goldentail"
"470","White-chinned Sapphire"
"471","Gilded Hummingbird"
"472","Sapphire-throated Hummingbird"
"473","Sapphire-bellied Hummingbird"
"474","Shining-green Hummingbird"
"475","Red-billed Streamertail"
"476","Black-billed Streamertail"
"477","Pirre Hummingbird"
"478","Violet-capped Hummingbird"
"479","Xantus's Hummingbird"
"480","White-eared Hummingbird"
"481","Violet-chested Hummingbird"
"482","Scissor-tailed Hummingbird"
"483","Magnificent Hummingbird"
"484","Fiery-throated Hummingbird"
"485","Plain-capped Starthroat"
"486","Long-billed Starthroat"
"487","Stripe-breasted Starthroat"
"488","Blue-tufted Starthroat"
"489","Green-throated Mountain-gem"
"490","Green-breasted Mountain-gem"
"491","Amethyst-throated Hummingbird"
"492","Blue-throated Hummingbird"
"493","White-bellied Mountain-gem"
"494","Purple-throated Mountain-gem"
"495","Grey-tailed Mountain-gem"
"496","White-throated Mountain-gem"
"497","Garnet-throated Hummingbird"
"498","Purple-collared Woodstar"
"499","Chilean Woodstar"
"500","Oasis Hummingbird"
"501","Peruvian Sheartail"
"502","White-bellied Woodstar"
"503","Little Woodstar"
"504","Gorgeted Woodstar"
"505","Santa Marta Woodstar"
"506","Esmeraldas Woodstar"
"507","Rufous-shafted Woodstar"
"508","Short-tailed Woodstar"
"509","Slender-tailed Woodstar"
"510","Amethyst Woodstar"
"511","Magenta-throated Woodstar"
"512","Purple-throated Woodstar"
"513","Slender Sheartail"
"514","Mexican Sheartail"
"515","Sparkling-tailed Woodstar"
"516","Lucifer Hummingbird"
"517","Beautiful Hummingbird"
"518","Lyre-tailed Hummingbird"
"519","Bahama Hummingbird"
"520","Vervain Hummingbird"
"521","Bee Hummingbird"
"522","Anna's Hummingbird"
"523","Costa's Hummingbird"
"524","Black-chinned Hummingbird"
"525","Ruby-throated Hummingbird"
"526","Broad-tailed Hummingbird"
