,species,English.name,French.name,Spanish.name
102,Pipile cumanensis,Blue-throated Piping-guan,Penelope a gorge bleue,Pava Goliazul
103,Pipile grayi,White-throated Piping-guan,NA,NA
104,Pipile cujubi,Red-throated Piping-guan,Penelope cujubi,Pava Cuyubi
105,Pipile jacutinga,Black-fronted Piping-guan,Penelope a front noir,Pava Yacutinga
106,Aburria aburri,Wattled Guan,Penelope aburri,Pava Aburria
107,Oreophasis derbianus,Horned Guan,Oreophase cornu,Pavon Cornudo
108,Ortalis vetula,Plain Chachalaca,Ortalide chacamel,Chachalaca Nortena
109,Ortalis cinereiceps,Grey-headed Chachalaca,Ortalide a tete grise,Chachalaca Cabecigris
110,Ortalis garrula,Chestnut-winged Chachalaca,Ortalide babillarde,Chachalaca Alirroja
111,Ortalis ruficauda,Rufous-vented Chachalaca,Ortalide a ventre roux,Chachalaca Culirroja
112,Ortalis erythroptera,Rufous-headed Chachalaca,Ortalide a tete rousse,Chachalaca Cabecirrufa
113,Ortalis wagleri,Rufous-bellied Chachalaca,Ortalide a ventre marron,Chachalaca Ventricastana
114,Ortalis poliocephala,West Mexican Chachalaca,Ortalide de Wagler,Chachalaca Pechigris
115,Ortalis canicollis,Chaco Chachalaca,Ortalide du Chaco,Chachalaca Charata
116,Ortalis leucogastra,White-bellied Chachalaca,Ortalide a ventre blanc,Chachalaca Ventriblanca
117,Ortalis columbiana,Colombian Chachalaca,Ortalide de Colombie,Chachalaca Colombiana
118,Ortalis guttata,Speckled Chachalaca,Ortalide maillee,Chachalaca Moteada
119,Ortalis araucuan,East Brazilian Chachalaca,Ortalide araucuan,Chachalaca Oriental
120,Ortalis squamata,Scaled Chachalaca,Ortalide ecaillee,Chachalaca Escamosa
121,Ortalis motmot,Little Chachalaca,Ortalide motmot,Chachalaca Guayanesa
122,Ortalis superciliaris,Buff-browed Chachalaca,Ortalide a sourcils,Chachalaca Cejuda
123,Nothocrax urumutum,Nocturnal Curassow,Hocco nocturne,Pauji Nocturno
124,Crax rubra,Great Curassow,Grand Hocco,Pavon Norteno
125,Crax alberti,Blue-billed Curassow,Hocco d'Albert,Pavon Piquiazul
126,Crax daubentoni,Yellow-knobbed Curassow,Hocco de Daubenton,Pavon Poru
127,Crax alector,Black Curassow,Hocco alector,Pavon Guayanes
128,Crax fasciolata,Bare-faced Curassow,Hocco a face nue,Pavon Muitu
129,Crax pinima,Belem Curassow,NA,NA
130,Crax globulosa,Wattled Curassow,Hocco globuleux,Pavon Carunculado
131,Crax blumenbachii,Red-billed Curassow,Hocco de Blumenbach,Pavon Piquirrojo
132,Mitu tomentosum,Crestless Curassow,Hocco de Spix,Pauji Culicastano
133,Mitu mitu,Alagoas Curassow,Hocco mitou,Pauji de Alagoas
134,Mitu tuberosum,Razor-billed Curassow,Hocco tubercule,Pauji Tuberoso
135,Mitu salvini,Salvin's Curassow,Hocco de Salvin,Pauji Culiblanco
136,Pauxi unicornis,Horned Curassow,Hocco unicorne,Pauji Unicornio Boliviano
137,Pauxi koepckeae,Sira Curassow,Hocco de Koepcke,Pauji Unicornio Peruano
138,Pauxi pauxi,Helmeted Curassow,Hocco a pierre,Pauji de Yelmo
139,Numida meleagris,Helmeted Guineafowl,Pintade de Numidie,Pintada Comun
140,Agelastes meleagrides,White-breasted Guineafowl,Pintade a poitrine blanche,Pintada Pechiblanca
141,Agelastes niger,Black Guineafowl,Pintade noire,Pintada Negra
142,Acryllium vulturinum,Vulturine Guineafowl,Pintade vulturine,Pintada Vulturina
143,Guttera plumifera,Plumed Guineafowl,Pintade plumifere,Pintada Plumifera
144,Guttera verreauxi,Western Crested Guineafowl,NA,NA
145,Guttera pucherani,Eastern Crested Guineafowl,Pintade de Pucheran,Pintada Monuda Oriental
146,Guttera edouardi,Southern Crested Guineafowl,NA,NA
147,Ptilopachus petrosus,Stone Partridge,Poulette de roches,Gallinita Roquera
148,Ptilopachus nahani,Nahan's Partridge,Poulette de Nahan,Gallinita de Nahan
149,Philortyx fasciatus,Banded Quail,Colin barre,Colin Bandeado
150,Oreortyx pictus,Mountain Quail,Colin des montagnes,Colin Serrano
151,Colinus virginianus,Northern Bobwhite,Colin de Virginie,Colin de Virginia
152,Colinus nigrogularis,Black-throated Bobwhite,Colin a gorge noire,Colin Gorjinegro
153,Colinus leucopogon,Spot-bellied Bobwhite,NA,NA
154,Colinus cristatus,Crested Bobwhite,Colin huppe,Colin Crestudo
155,Callipepla squamata,Scaled Quail,Colin ecaille,Colin Escamado
156,Callipepla douglasii,Elegant Quail,Colin elegant,Colin Elegante
157,Callipepla gambelii,Gambel's Quail,Colin de Gambel,Colin de Gambel
158,Callipepla californica,California Quail,Colin de Californie,Colin de California
159,Dendrortyx barbatus,Bearded Wood-partridge,Colin barbu,Colin Barbudo
160,Dendrortyx macroura,Long-tailed Wood-partridge,Colin a longue queue,Colin Rabudo
161,Dendrortyx leucophrys,Buffy-crowned Wood-partridge,Colin a sourcils blancs,Colin Cariclaro
162,Odontophorus gujanensis,Marbled Wood-quail,Tocro de Guyane,Corcovado Comun
163,Odontophorus capueira,Spot-winged Wood-quail,Tocro uru,Corcovado Uru
164,Odontophorus melanotis,Black-eared Wood-quail,Tocro a face noire,Corcovado Orejinegro
165,Odontophorus erythrops,Rufous-fronted Wood-quail,Tocro a front roux,Corcovado Frentirrojo
166,Odontophorus atrifrons,Black-fronted Wood-quail,Tocro a front noir,Corcovado Carinegro
167,Odontophorus hyperythrus,Chestnut Wood-quail,Tocro marron,Corcovado Castano
168,Odontophorus melanonotus,Dark-backed Wood-quail,Tocro a dos noir,Corcovado Dorsioscuro
169,Odontophorus speciosus,Rufous-breasted Wood-quail,Tocro a poitrine rousse,Corcovado Pechirrufo
170,Odontophorus dialeucos,Tacarcuna Wood-quail,Tocro du Panama,Corcovado del Tacarcuna
171,Odontophorus strophium,Gorgeted Wood-quail,Tocro a miroir,Corcovado Gorjiblanco
172,Odontophorus columbianus,Venezuelan Wood-quail,Tocro du Venezuela,Corcovado Venezolano
173,Odontophorus leucolaemus,Black-breasted Wood-quail,Tocro a poitrine noire,Corcovado Pechinegro
174,Odontophorus balliviani,Stripe-faced Wood-quail,Tocro de Ballivian,Corcovado Enmascarado
175,Odontophorus stellatus,Starred Wood-quail,Tocro etoile,Corcovado Estrellado
176,Odontophorus guttatus,Spotted Wood-quail,Tocro tachete,Corcovado Goteado
177,Rhynchortyx cinctus,Tawny-faced Quail,Colin ceinture,Colin Carirrufo
178,Dactylortyx thoracicus,Singing Quail,Colin chanteur,Colin Cantor
179,Cyrtonyx montezumae,Montezuma Quail,Colin arlequin,Colin de Moctezuma
180,Cyrtonyx sallei,Spot-breasted Quail,NA,NA
181,Cyrtonyx ocellatus,Ocellated Quail,Colin ocelle,Colin Ocelado
182,Xenoperdix udzungwensis,Udzungwa Forest-partridge,Xenoperdrix de Tanzanie,Perdiz de Las Udzungwa
183,Rollulus rouloul,Crested Partridge,Rouloul couronne,Perdiz Rulrul
184,Arborophila torqueola,Hill Partridge,Torqueole a collier,Arborofila Comun
185,Arborophila rufogularis,Rufous-throated Partridge,Torqueole a gorge rousse,Arborofila Golirrufa
186,Arborophila atrogularis,White-cheeked Partridge,Torqueole a joues blanches,Arborofila Cariblanca
187,Arborophila crudigularis,Taiwan Partridge,Torqueole de Formose,Arborofila de Formosa
188,Arborophila mandellii,Chestnut-breasted Partridge,Torqueole de Mandelli,Arborofila Pechirroja
189,Arborophila brunneopectus,Bar-backed Partridge,Torqueole a poitrine brune,Arborofila Pechiparda
190,Arborophila rufipectus,Sichuan Partridge,Torqueole de Boulton,Arborofila de Sichuan
191,Arborophila gingica,Collared Partridge,Torqueole de Sonnerat,Arborofila de Fujian
192,Arborophila davidi,Orange-necked Partridge,Torqueole de David,Arborofila de David
193,Arborophila cambodiana,Chestnut-headed Partridge,Torqueole du Cambodge,Arborofila de Camboya
194,Arborophila campbelli,Malay Partridge,Torqueole de Campbell,Arborofila de Malasia
195,Arborophila rolli,Tan-breasted Partridge,Torqueole de Roll,Arborofila Batak
196,Arborophila sumatrana,Sumatran Partridge,Torqueole de Sumatra,Arborofila de Sumatra
197,Arborophila orientalis,White-faced Partridge,Torqueole de Horsfield,Arborofila Oriental
198,Arborophila javanica,Chestnut-bellied Partridge,Torqueole de Java,Arborofila de Java
199,Arborophila rubrirostris,Red-billed Partridge,Torqueole a bec rouge,Arborofila Piquirroja
200,Arborophila hyperythra,Bornean Partridge,Torqueole de Borneo,Arborofila de Borneo
201,Arborophila ardens,Hainan Partridge,Torqueole de Hainan,Arborofila de Hainan
