,species,English.name,French.name,Spanish.name
5455,Todirostrum maculatum,Spotted Tody-flycatcher,Todirostre tachete,Titiriji Moteado
5456,Todirostrum poliocephalum,Yellow-lored Tody-flycatcher,Todirostre a tete grise,Titiriji Cabecigris
5457,Todirostrum cinereum,Common Tody-flycatcher,Todirostre familier,Titiriji Comun
5458,Todirostrum viridanum,Maracaibo Tody-flycatcher,Todirostre du Maracaibo,Titiriji de Maracaibo
5459,Todirostrum nigriceps,Black-headed Tody-flycatcher,Todirostre a tete noire,Titiriji Cabecinegro
5460,Todirostrum pictum,Painted Tody-flycatcher,Todirostre peint,Titiriji Pintado
5461,Todirostrum chrysocrotaphum,Yellow-browed Tody-flycatcher,Todirostre bride,Titiriji Cejiamarillo
5462,Myiotriccus phoenicurus,Eastern Ornate Flycatcher,NA,NA
5463,Myiotriccus ornatus,Western Ornate Flycatcher,Moucherolle orne,Mosquerito Adornado
5464,Nephelomyias pulcher,Handsome Flycatcher,Moucherolle superbe,Mosquero Hermoso
5465,Nephelomyias lintoni,Orange-banded Flycatcher,Moucherolle de Linton,Mosquero de Linton
5466,Nephelomyias ochraceiventris,Ochraceous-breasted Flycatcher,Moucherolle a poitrine ocre,Mosquero Pechiocre
5467,Pyrrhomyias cinnamomeus,Cinnamon Flycatcher,Moucherolle cannelle,Birro Chico
5468,Hirundinea bellicosa,Swallow Flycatcher,NA,NA
5469,Hirundinea ferruginea,Cliff Flycatcher,Moucherolle hirondelle,Birro Comun
5470,Zimmerius cinereicapilla,Red-billed Tyrannulet,Tyranneau a bec rouge,Mosquerito Piquirrojo
5471,Zimmerius villarejoi,Mishana Tyrannulet,Tyranneau de Villarejo,Mosquerito de Villarejo
5472,Zimmerius chicomendesi,Chico's Tyrannulet,Tyranneau de Mendes,Mosquerito de Chico Mendes
5473,Zimmerius vilissimus,Paltry Tyrannulet,Tyranneau gobemoucheron,Mosquerito de Guatemala
5474,Zimmerius parvus,Mistletoe Tyrannulet,Tyranneau menu,Mosquerito Centroamericano
5475,Zimmerius petersi,Venezuelan Tyrannulet,Tyranneau de Peters,Mosquerito de Venezuela
5476,Zimmerius improbus,Mountain Tyrannulet,Tyranneau trompeur,Mosquerito Serrano
5477,Zimmerius chrysops,Golden-faced Tyrannulet,Tyranneau a face d'or,Mosquerito Caridorado
5478,Zimmerius albigularis,Choco Tyrannulet,Tyranneau du Choco,Mosquerito del Choco
5479,Zimmerius viridiflavus,Peruvian Tyrannulet,Tyranneau a face jaune,Mosquerito Peruano
5480,Zimmerius gracilipes,Slender-footed Tyrannulet,Tyranneau a petits pieds,Mosquerito Patifino
5481,Zimmerius acer,Guianan Tyrannulet,Tyranneau vif,Mosquerito Guayanes
5482,Zimmerius bolivianus,Bolivian Tyrannulet,Tyranneau de Bolivie,Mosquerito Boliviano
5483,Stigmatura napensis,Lesser Wagtail-tyrant,Calandrite du Napo,Rabicano Menor
5484,Stigmatura bahiae,Bahia Wagtail-tyrant,NA,NA
5485,Stigmatura budytoides,Greater Wagtail-tyrant,Calandrite bergeronnette,Rabicano Mayor
5486,Inezia tenuirostris,Slender-billed Tyrannulet,Tyranneau a bec fin,Piojito Picofino
5487,Inezia inornata,Plain Tyrannulet,Tyranneau terne,Piojito Picudo
5488,Inezia subflava,Amazonian Tyrannulet,Tyranneau givre,Piojito Pantanero
5489,Inezia caudata,Pale-tipped Tyrannulet,Tyranneau frange,Piojito Coludo
5490,Euscarthmus meloryphus,Tawny-crowned Pygmy-tyrant,Tyranneau a calotte fauve,Tiranuelo Copeton
5491,Euscarthmus fulviceps,Tawny-fronted Pygmy-tyrant,Tyranneau a front fauve,Tiranuelo Caripardo
5492,Euscarthmus rufomarginatus,Rufous-sided Pygmy-tyrant,Tyranneau a flancs roux,Tiranuelo Flanquirrufo
5493,Ornithion semiflavum,Yellow-bellied Tyrannulet,Tyranneau a ventre jaune,Mosquerito Ventriamarillo
5494,Ornithion brunneicapillus,Brown-capped Tyrannulet,Tyranneau a tete brune,Mosquerito Coronipardo
5495,Ornithion inerme,White-lored Tyrannulet,Tyranneau minute,Mosquerito Moteado
5496,Camptostoma imberbe,Northern Beardless Tyrannulet,Tyranneau imberbe,Mosquerito Imberbe
5497,Camptostoma obsoletum,Southern Beardless Tyrannulet,Tyranneau passegris,Mosquerito Silbon
5498,Elaenia ruficeps,Rufous-crowned Elaenia,elenie tete-de-feu,Fiofio Crestirrufo
5499,Elaenia cristata,Plain-crested Elaenia,elenie huppee,Fiofio Crestado
5500,Elaenia gigas,Mottle-backed Elaenia,elenie ecaillee,Fiofio Gigante
5501,Elaenia dayi,Great Elaenia,elenie de Day,Fiofio de Day
5502,Elaenia sordida,Brazilian Elaenia,elenie sordide,Fiofio Brasileno
5503,Elaenia obscura,Highland Elaenia,elenie obscure,Fiofio Oscuro
5504,Elaenia strepera,Slaty Elaenia,elenie bruyante,Fiofio Plomizo
5505,Elaenia flavogaster,Yellow-bellied Elaenia,elenie a ventre jaune,Fiofio Ventriamarillo
5506,Elaenia parvirostris,Small-billed Elaenia,elenie a bec court,Fiofio Piquicorto
5507,Elaenia pelzelni,Brownish Elaenia,elenie brune,Fiofio Pardo
5508,Elaenia spectabilis,Large Elaenia,elenie remarquable,Fiofio Grande
5509,Elaenia ridleyana,Noronha Elaenia,elenie de Noronha,Fiofio de Noronha
5510,Elaenia brachyptera,Coopmans's Elaenia,elenie de Berlepsch,Fiofio Alicorto
5511,Elaenia chiriquensis,Lesser Elaenia,elenie menue,Fiofio Belicoso
5512,Elaenia mesoleuca,Olivaceous Elaenia,elenie olivatre,Fiofio Olivaceo
5513,Elaenia pallatangae,Sierran Elaenia,elenie de Pallantanga,Fiofio Serrano
5514,Elaenia olivina,Tepui Elaenia,elenie des tepuis,Fiofio de Los Tepuis
5515,Elaenia albiceps,White-crested Elaenia,elenie a cimier blanc,Fiofio Crestiblanco
5516,Elaenia frantzii,Mountain Elaenia,elenie montagnarde,Fiofio Montano
5517,Elaenia martinica,Caribbean Elaenia,elenie siffleuse,Fiofio Caribeno
5518,Elaenia cherriei,Hispaniolan Elaenia,NA,NA
5519,Elaenia fallax,Large Jamaican Elaenia,elenie sara,Fiofio Canoso
5520,Tyrannulus elatus,Yellow-crowned Tyrannulet,Tyranneau roitelet,Mosquerito Coronado
5521,Myiopagis caniceps,Atlantic Grey Elaenia,elenie grise,Fiofio Gris
5522,Myiopagis cinerea,Amazonian Grey Elaenia,NA,NA
5523,Myiopagis parambae,Choco Grey Elaenia,NA,NA
5524,Myiopagis olallai,Foothill Elaenia,elenie d'avant-monts,Fiofio Submontano
5525,Myiopagis gaimardii,Forest Elaenia,elenie de Gaimard,Fiofio Selvatico
5526,Myiopagis subplacens,Pacific Elaenia,elenie striee,Fiofio del Pacifico
5527,Myiopagis flavivertex,Yellow-crowned Elaenia,elenie a couronne d'or,Fiofio Coroniamarillo
5528,Myiopagis viridicata,Greenish Elaenia,elenie verdatre,Fiofio Verdoso
5529,Myiopagis cotta,Small Jamaican Elaenia,elenie de Jamaique,Fiofio Jamaicano
5530,Suiriri suiriri,Suiriri Flycatcher,Tyranneau suiriri,Fiofio Suiriri
5531,Guyramemua affinis,Chapada Flycatcher,NA,NA
5532,Capsiempis flaveola,Yellow Tyrannulet,Tyranneau flaveole,Mosquerito Amarillo
5533,Phyllomyias fasciatus,Planalto Tyrannulet,Tyranneau fascie,Mosquerito Olivaceo
5534,Phyllomyias weedeni,Yungas Tyrannulet,Tyranneau de Weeden,Mosquerito de Las Yungas
5535,Phyllomyias burmeisteri,Rough-legged Tyrannulet,Tyranneau pattu,Mosquerito de Burmeister
5536,Phyllomyias zeledoni,White-fronted Tyrannulet,NA,NA
5537,Phyllomyias virescens,Greenish Tyrannulet,Tyranneau verdin,Mosquerito Verdoso
5538,Phyllomyias reiseri,Reiser's Tyrannulet,Tyranneau de Reiser,Mosquerito de Reiser
5539,Phyllomyias urichi,Urich's Tyrannulet,Tyranneau d'Urich,Mosquerito de Paria
5540,Phyllomyias sclateri,Sclater's Tyrannulet,Tyranneau de Sclater,Mosquerito de Sclater
5541,Phyllomyias griseocapilla,Grey-capped Tyrannulet,Tyranneau a tete grise,Mosquerito Coronigris
5542,Phyllomyias griseiceps,Sooty-headed Tyrannulet,Tyranneau nain,Mosquerito Cabecigris
5543,Phyllomyias plumbeiceps,Plumbeous-crowned Tyrannulet,Tyranneau plombe,Mosquerito Coroniplomizo
5544,Phyllomyias nigrocapillus,Black-capped Tyrannulet,Tyranneau a tete noire,Mosquerito Capirotado
5545,Phyllomyias cinereiceps,Ashy-headed Tyrannulet,Tyranneau a tete cendree,Mosquerito Cenizo
5546,Phyllomyias uropygialis,Tawny-rumped Tyrannulet,Tyranneau a croupion fauve,Mosquerito Culirrufo
5547,Phaeomyias tumbezana,Tumbes Tyrannulet,NA,NA
5548,Phaeomyias murina,Mouse-colored Tyrannulet,Tyranneau souris,Piojito Pardo
5549,Nesotriccus ridgwayi,Cocos Flycatcher,Tyranneau de Cocos,Mosquerito del Coco
5550,Pseudelaenia leucospodia,Grey-and-white Tyrannulet,Tyranneau gris et blanc,Mosquerito Blanquigris
5551,Mecocerculus poecilocercus,White-tailed Tyrannulet,Tyranneau a queue blanche,Piojito Coliblanco
5552,Mecocerculus hellmayri,Buff-banded Tyrannulet,Tyranneau de Hellmayr,Piojito de Los Pinos
5553,Mecocerculus stictopterus,White-banded Tyrannulet,Tyranneau a sourcils blancs,Piojito Alifranjeado
5554,Mecocerculus leucophrys,White-throated Tyrannulet,Tyranneau a gorge blanche,Piojito Gargantilla
5555,Mecocerculus calopterus,Rufous-winged Tyrannulet,Tyranneau a ailes rousses,Piojito Alirrufo
5556,Mecocerculus minor,Sulphur-bellied Tyrannulet,Tyranneau soufre,Piojito Azufre
5557,Anairetes nigrocristatus,Black-crested Tit-tyrant,Taurillon a cimier noir,Cachudito Crestinegro
5558,Anairetes reguloides,Pied-crested Tit-tyrant,Taurillon roitelet,Cachudito Crestiblanco
5559,Anairetes alpinus,Ash-breasted Tit-tyrant,Taurillon gris,Cachudito Pechicenizo
5560,Anairetes flavirostris,Yellow-billed Tit-tyrant,Taurillon a bec jaune,Cachudito Piquiamarillo
5561,Anairetes parulus,Tufted Tit-tyrant,Taurillon mesange,Cachudito Piquinegro
5562,Anairetes fernandezianus,Juan Fernandez Tit-tyrant,Taurillon de Juan Fernandez,Cachudito de Juan Fernandez
5563,Polystictus pectoralis,Bearded Tachuri,Tyranneau barbu,Tachuri Barbado
5564,Polystictus superciliaris,Grey-backed Tachuri,Tyranneau bride,Tachuri Gris
5565,Culicivora caudacuta,Sharp-tailed Tyrant,Tyranneau a queue aiguë,Tachuri Coludo
5566,Pseudocolopteryx sclateri,Crested Doradito,Doradite de Sclater,Doradito Copeton
5567,Pseudocolopteryx acutipennis,Subtropical Doradito,Doradite a ailes pointues,Doradito Olivaceo
5568,Pseudocolopteryx dinelliana,Dinelli's Doradito,Doradite de Dinelli,Doradito Tucumano
5569,Pseudocolopteryx flaviventris,Warbling Doradito,Doradite babillarde,Doradito Comun
5570,Pseudocolopteryx citreola,Ticking Doradito,Doradite de Landbeck,Doradito Limon
5571,Serpophaga cinerea,Torrent Tyrannulet,Tyranneau des torrents,Piojito Guardarrios
5572,Serpophaga hypoleuca,River Tyrannulet,Tyranneau des rivieres,Piojito Ribereno
5573,Serpophaga nigricans,Sooty Tyrannulet,Tyranneau noiratre,Piojito Gris
5574,Serpophaga subcristata,White-crested Tyrannulet,Tyranneau a toupet,Piojito Tiquitiqui
5575,Serpophaga griseicapilla,Straneck's Tyrannulet,Tyranneau de Straneck,Piojito de Straneck
5576,Uromyias agilis,Agile Tit-tyrant,Taurillon agile,Cachudito agil
5577,Uromyias agraphia,Unstreaked Tit-tyrant,Taurillon uni,Cachudito Liso
5578,Muscigralla brevicauda,Short-tailed Field-tyrant,Moucherolle a queue courte,Dormilona Colicorta
5579,Attila phoenicurus,Rufous-tailed Attila,Attila a queue rousse,Atila Cabecigris
5580,Attila cinnamomeus,Cinnamon Attila,Attila cannelle,Atila Canelo
5581,Attila torridus,Ochraceous Attila,Attila ocre,Atila Ocre
5582,Attila citriniventris,Citron-bellied Attila,Attila a ventre jaune,Atila Citrino
5583,Attila bolivianus,White-eyed Attila,Attila a calotte grise,Atila Ojiblanco
5584,Attila rufus,Grey-hooded Attila,Attila a tete grise,Atila Encapuchado
5585,Attila spadiceus,Bright-rumped Attila,Attila a croupion jaune,Atila Polimorfo
5586,Legatus leucophaius,Piratic Flycatcher,Tyran pirate,Mosquero Pirata
5587,Ramphotrigon megacephalum,Large-headed Flatbill,Tyran megacephale,Picoplano Cabezon
5588,Ramphotrigon ruficauda,Rufous-tailed Flatbill,Tyran rougequeue,Picoplano Colirrufo
5589,Ramphotrigon fuscicauda,Dusky-tailed Flatbill,Tyran a queue sombre,Picoplano Colioscuro
5590,Deltarhynchus flammulatus,Flammulated Flycatcher,NA,NA
5591,Pitangus sulphuratus,Great Kiskadee,Tyran quiquivi,Bienteveo Comun
5592,Philohydor lictor,Lesser Kiskadee,NA,NA
5593,Machetornis rixosa,Cattle Tyrant,Tyran querelleur,Picabuey
5594,Tyrannopsis sulphurea,Sulphury Flycatcher,Tyran des palmiers,Tirano Palmero
5595,Megarynchus pitangua,Boat-billed Flycatcher,Tyran pitangua,Bienteveo Pitangua
5596,Myiodynastes hemichrysus,Golden-bellied Flycatcher,Tyran a ventre d'or,Bienteveo Ventridorado
5597,Myiodynastes chrysocephalus,Golden-crowned Flycatcher,Tyran a casque d'or,Bienteveo Coronidorado
5598,Myiodynastes bairdii,Baird's Flycatcher,Tyran de Baird,Bienteveo de Baird
5599,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,Tyran tigre,Bienteveo Ventriazufrado
5600,Myiodynastes solitarius,Southern Streaked Flycatcher,NA,NA
5601,Myiodynastes maculatus,Northern Streaked Flycatcher,Tyran audacieux,Bienteveo Rayado
5602,Myiozetetes cayanensis,Rusty-margined Flycatcher,Tyran de Cayenne,Bienteveo Alicastano
5603,Myiozetetes similis,Social Flycatcher,Tyran sociable,Bienteveo Sociable
5604,Myiozetetes granadensis,Grey-capped Flycatcher,Tyran a tete grise,Bienteveo Cabecigris
5605,Myiozetetes luteiventris,Dusky-chested Flycatcher,Tyran a gorge rayee,Bienteveo Pechioscuro
5606,Conopias albovittatus,White-ringed Flycatcher,Tyran diademe,Bienteveo del Choco
5607,Conopias parvus,Yellow-throated Flycatcher,Tyran de Pelzeln,Bienteveo Guayanes
5608,Conopias trivirgatus,Three-striped Flycatcher,Tyran a triple bandeau,Bienteveo Trilistado
5609,Conopias cinchoneti,Lemon-browed Flycatcher,Tyran a sourcils jaunes,Bienteveo Cejiamarillo
5610,Phelpsia inornata,White-bearded Flycatcher,Tyran des llanos,Bienteveo Barbiblanco
5611,Empidonomus varius,Variegated Flycatcher,Tyran tachete,Tuquito Rayado
5612,Griseotyrannus aurantioatrocristatus,Crowned Slaty Flycatcher,NA,NA
5613,Tyrannus niveigularis,Snowy-throated Kingbird,Tyran chimu,Tirano Gorjiniveo
5614,Tyrannus albogularis,White-throated Kingbird,Tyran a gorge blanche,Tirano Gorjiblanco
5615,Tyrannus melancholicus,Tropical Kingbird,Tyran melancolique,Tirano Melancolico
5616,Tyrannus couchii,Couch's Kingbird,Tyran de Couch,Tirano Silbador
5617,Tyrannus vociferans,Cassin's Kingbird,Tyran de Cassin,Tirano Griton
5618,Tyrannus crassirostris,Thick-billed Kingbird,Tyran a bec epais,Tirano Piquigrueso
5619,Tyrannus verticalis,Western Kingbird,Tyran de l'Ouest,Tirano Occidental
5620,Tyrannus tyrannus,Eastern Kingbird,Tyran tritri,Tirano Oriental
5621,Tyrannus dominicensis,Grey Kingbird,Tyran gris,Tirano Dominicano
5622,Tyrannus caudifasciatus,Loggerhead Kingbird,Tyran tete-police,Tirano Guatibere
5623,Tyrannus cubensis,Giant Kingbird,Tyran geant,Tirano Cubano
5624,Tyrannus forficatus,Scissor-tailed Flycatcher,Tyran a longue queue,Tijereta Rosada
5625,Tyrannus savana,Fork-tailed Flycatcher,Tyran des savanes,Tijereta Sabanera
5626,Rhytipterna holerythra,Rufous Mourner,Tyran plaintif,Planidera Rojiza
5627,Rhytipterna simplex,Greyish Mourner,Tyran grisatre,Planidera Gris
5628,Rhytipterna immunda,Pale-bellied Mourner,Tyran a ventre pale,Planidera Palida
5629,Casiornis rufus,Rufous Casiornis,Casiorne roux,Burlisto Castano
5630,Casiornis fuscus,Ash-throated Casiornis,Casiorne a dos brun,Burlisto Gorjigris
5631,Sirystes albogriseus,Choco Sirystes,Tyran du Choco,Mosquero del Choco
5632,Sirystes albocinereus,White-rumped Sirystes,Tyran a croupion blanc,Mosquero Culiblanco
5633,Sirystes sibilator,Sibilant Sirystes,Tyran siffleur,Mosquero Silbador
5634,Sirystes subcanescens,Todd's Sirystes,Tyran de Todd,Mosquero Canoso
5635,Myiarchus semirufus,Rufous Flycatcher,Tyran roux,Copeton Rufo
5636,Myiarchus swainsoni,Swainson's Flycatcher,Tyran de Swainson,Copeton de Swainson
5637,Myiarchus barbirostris,Sad Flycatcher,Tyran triste,Copeton Jamaicano
5638,Myiarchus tuberculifer,Dusky-capped Flycatcher,Tyran olivatre,Copeton Capirotado
5639,Myiarchus phaeocephalus,Sooty-crowned Flycatcher,Tyran a front gris,Copeton Tiznado
5640,Myiarchus panamensis,Panama Flycatcher,Tyran du Panama,Copeton Panameno
5641,Myiarchus ferox,Short-crested Flycatcher,Tyran feroce,Copeton Feroz
5642,Myiarchus venezuelensis,Venezuelan Flycatcher,Tyran du Venezuela,Copeton Venezolano
5643,Myiarchus cephalotes,Pale-edged Flycatcher,Tyran givre,Copeton Montanero
5644,Myiarchus validus,Rufous-tailed Flycatcher,Tyran a queue rousse,Copeton Colirrufo
5645,Myiarchus sagrae,La Sagra's Flycatcher,Tyran de La Sagra,Copeton de De La Sagra
5646,Myiarchus stolidus,Stolid Flycatcher,Tyran grosse-tete,Copeton Bobito
5647,Myiarchus antillarum,Puerto Rican Flycatcher,Tyran de Porto Rico,Copeton Puertorriqueno
5648,Myiarchus oberi,Lesser Antillean Flycatcher,Tyran janeau,Copeton de Ober
5649,Myiarchus crinitus,Great Crested Flycatcher,Tyran huppe,Copeton Viajero
5650,Myiarchus yucatanensis,Yucatan Flycatcher,Tyran du Yucatan,Copeton Yucateco
5651,Myiarchus tyrannulus,Brown-crested Flycatcher,Tyran de Wied,Copeton Tiranillo
5652,Myiarchus nugator,Grenada Flycatcher,Tyran bavard,Copeton de Granada
5653,Myiarchus apicalis,Apical Flycatcher,Tyran a queue givree,Copeton Apical
5654,Myiarchus cinerascens,Ash-throated Flycatcher,Tyran a gorge cendree,Copeton Cenizo
5655,Myiarchus nuttingi,Nutting's Flycatcher,Tyran de Nutting,Copeton de Nutting
5656,Myiarchus magnirostris,Galapagos Flycatcher,Tyran des Galapagos,Copeton de Galapagos
5657,Colonia colonus,Long-tailed Tyrant,Moucherolle a longs brins,Mosquero Colilargo
5658,Myiophobus crypterythrus,Mouse-grey Flycatcher,NA,NA
5659,Myiophobus fasciatus,Bran-colored Flycatcher,Moucherolle fascie,Mosquero Estriado
5660,Myiophobus rufescens,Rufescent Flycatcher,NA,NA
5661,Myiophobus cryptoxanthus,Olive-chested Flycatcher,Moucherolle a poitrine olive,Mosquero Pechioliva
5662,Myiophobus flavicans,Flavescent Flycatcher,Moucherolle flavescent,Mosquero Amarillo
5663,Myiophobus phoenicomitra,Orange-crested Flycatcher,Moucherolle a cimier orange,Mosquero Crestinaranja
5664,Myiophobus inornatus,Unadorned Flycatcher,Moucherolle simple,Mosquero Sencillo
5665,Myiophobus roraimae,Roraiman Flycatcher,Moucherolle du Roraima,Mosquero del Roraima
5666,Silvicultrix frontalis,Crowned Chat-tyrant,NA,NA
5667,Silvicultrix jelskii,Jelski's Chat-tyrant,NA,NA
5668,Silvicultrix pulchella,Golden-browed Chat-tyrant,NA,NA
5669,Silvicultrix diadema,Yellow-bellied Chat-tyrant,NA,NA
5670,Colorhamphus parvirostris,Patagonian Tyrant,Pitajo de Patagonie,Peutren
5671,Ochthoeca cinnamomeiventris,Slaty-backed Chat-tyrant,Pitajo a ventre brun,Pitajo Negro
5672,Ochthoeca nigrita,Blackish Chat-tyrant,NA,NA
5673,Ochthoeca thoracica,Chestnut-belted Chat-tyrant,NA,NA
5674,Ochthoeca rufipectoralis,Rufous-breasted Chat-tyrant,Pitajo a poitrine rousse,Pitajo Pechirrufo
5675,Ochthoeca fumicolor,Brown-backed Chat-tyrant,Pitajo a dos brun,Pitajo Dorsipardo
5676,Ochthoeca superciliosa,Rufous-browed Chat-tyrant,NA,NA
5677,Ochthoeca oenanthoides,D'Orbigny's Chat-tyrant,Pitajo de d'Orbigny,Pitajo Canela
5678,Ochthoeca piurae,Piura Chat-tyrant,Pitajo de Piura,Pitajo de Piura
5679,Ochthoeca leucophrys,White-browed Chat-tyrant,Pitajo a sourcils blancs,Pitajo Gris
5680,Ochthoeca salvini,Tumbes Tyrant,NA,NA
5681,Sublegatus arenarum,Northern Scrub-flycatcher,Moucherolle des paletuviers,Mosquero Matorralero Norteno
5682,Sublegatus obscurior,Amazonian Scrub-flycatcher,Moucherolle de Todd,Mosquero Matorralero Amazonico
5683,Sublegatus modestus,Southern Scrub-flycatcher,Moucherolle modeste,Mosquero Matorralero Sureno
5684,Pyrocephalus rubinus,Common Vermilion Flycatcher,Moucherolle vermillon,Mosquero Cardenal
5685,Pyrocephalus nanus,Little Vermilion Flycatcher,Moucherolle des Galapagos,Mosquero de Galapagos
5686,Fluvicola pica,Pied Water-tyrant,Moucherolle pie,Viudita Pia
5687,Fluvicola albiventer,Black-backed Water-tyrant,Moucherolle a dos noir,Viudita Dorsinegra
5688,Fluvicola nengeta,Masked Water-tyrant,Moucherolle aquatique,Viudita Enmascarada
5689,Arundinicola leucocephala,White-headed Marsh-tyrant,Moucherolle a tete blanche,Viudita Cabeciblanca
5690,Gubernetes yetapa,Streamer-tailed Tyrant,Moucherolle yetapa,Yetapa Grande
5691,Muscipipra vetula,Shear-tailed Grey Tyrant,Moucherolle a queue-de-pie,Viudita Coluda
5692,Alectrurus tricolor,Cock-tailed Tyrant,Moucherolle petit-coq,Yetapa Chico
5693,Alectrurus risora,Strange-tailed Tyrant,Moucherolle a queue large,Yetapa Acollarado
5694,Lessonia rufa,Austral Negrito,Lessonie noire,Negrito Austral
5695,Lessonia oreas,Andean Negrito,Lessonie des Andes,Negrito Andino
5696,Hymenops perspicillatus,Spectacled Tyrant,Ada clignot,Viudita Picoplata
5697,Knipolegus orenocensis,Riverside Tyrant,Ada de l'Orenoque,Viudita Riberena
5698,Knipolegus sclateri,Sclater's Black-tyrant,NA,NA
5699,Knipolegus poecilocercus,Amazonian Black-tyrant,Ada d'Amazonie,Viudita Amazonica
5700,Knipolegus poecilurus,Rufous-tailed Tyrant,Ada a queue rousse,Viudita Colirrufa
5701,Knipolegus franciscanus,Caatinga Black-tyrant,Ada du Sao Francisco,Viudita del Rio San Francisco
5702,Knipolegus lophotes,Crested Black-tyrant,Ada huppe,Viudita Copetona
5703,Knipolegus nigerrimus,Velvety Black-tyrant,Ada noir,Viudita Aterciopelada
5704,Knipolegus signatus,Andean Black-tyrant,Ada de Jelski,Viudita Andina Septentrional
5705,Knipolegus cabanisi,Plumbeous Black-tyrant,Ada de Cabanis,Viudita Andina Meridional
5706,Knipolegus cyanirostris,Blue-billed Black-tyrant,Ada a bec bleu,Viudita Picoceleste
5707,Knipolegus striaticeps,Cinereous Black-tyrant,Ada cendre,Viudita Chaquena
5708,Knipolegus hudsoni,Hudson's Black-tyrant,Ada de Hudson,Viudita Patagona
5709,Knipolegus aterrimus,White-winged Black-tyrant,Ada a ailes blanches,Viudita Aliblanca
5710,Knipolegus heterogyna,White-rumped Black-tyrant,NA,NA
5711,Satrapa icterophrys,Yellow-browed Tyrant,Moucherolle a sourcils jaunes,Mosquero Cejiamarillo
5712,Muscisaxicola fluviatilis,Little Ground-tyrant,NA,NA
5713,Muscisaxicola maculirostris,Spot-billed Ground-tyrant,Dormilon a bec macule,Dormilona Chica
5714,Muscisaxicola griseus,Taczanowski's Ground-tyrant,Dormilon gris,Dormilona de Taczanowski
5715,Muscisaxicola juninensis,Puna Ground-tyrant,Dormilon de Junin,Dormilona Punena
5716,Muscisaxicola cinereus,Cinereous Ground-tyrant,Dormilon cendre,Dormilona Cenicienta
5717,Muscisaxicola albifrons,White-fronted Ground-tyrant,Dormilon a front blanc,Dormilona Gigante
5718,Muscisaxicola flavinucha,Ochre-naped Ground-tyrant,Dormilon a nuque jaune,Dormilona Fraile
5719,Muscisaxicola rufivertex,Rufous-naped Ground-tyrant,Dormilon a calotte rousse,Dormilona Nuquirroja
5720,Muscisaxicola occipitalis,Chestnut-naped Ground-tyrant,NA,NA
5721,Muscisaxicola maclovianus,Dark-faced Ground-tyrant,Dormilon bistre,Dormilona Carinegra
5722,Muscisaxicola albilora,White-browed Ground-tyrant,Dormilon a sourcils blancs,Dormilona Cejiblanca
5723,Muscisaxicola alpinus,Plain-capped Ground-tyrant,Dormilon a grands sourcils,Dormilona Gris
5724,Muscisaxicola capistratus,Cinnamon-bellied Ground-tyrant,Dormilon a ventre roux,Dormilona Canela
5725,Muscisaxicola frontalis,Black-fronted Ground-tyrant,Dormilon a front noir,Dormilona Frentinegra
5726,Cnemarchus erythropygius,Red-rumped Bush-tyrant,Moucherolle a croupion roux,Birro Culirrojo
5727,Polioxolmis rufipennis,Rufous-webbed Bush-tyrant,NA,NA
5728,Xolmis pyrope,Fire-eyed Diucon,NA,NA
5729,Xolmis cinereus,Grey Monjita,NA,NA
5730,Xolmis coronatus,Black-crowned Monjita,NA,NA
5731,Xolmis velatus,White-rumped Monjita,Pepoaza voile,Monjita Velada
5732,Xolmis irupero,White Monjita,Pepoaza irupero,Monjita Blanca
5733,Xolmis salinarum,Salinas Monjita,NA,NA
5734,Xolmis rubetra,Rusty-backed Monjita,NA,NA
5735,Xolmis dominicanus,Black-and-white Monjita,NA,NA
5736,Agriornis montanus,Black-billed Shrike-tyrant,Gaucho a bec noir,Gaucho Serrano
5737,Agriornis albicauda,White-tailed Shrike-tyrant,Gaucho a queue blanche,Gaucho Andino
5738,Agriornis lividus,Great Shrike-tyrant,Grand Gaucho,Gaucho Grande
5739,Agriornis micropterus,Grey-bellied Shrike-tyrant,Gaucho argentin,Gaucho Gris
5740,Agriornis murinus,Lesser Shrike-tyrant,Gaucho souris,Gaucho Chico
5741,Neoxolmis rufiventris,Chocolate-vented Tyrant,Pepoaza a ventre bai,Monjita Chocolate
5742,Myiotheretes striaticollis,Streak-throated Bush-tyrant,Moucherolle a gorge rayee,Birro Grande
5743,Myiotheretes pernix,Santa Marta Bush-tyrant,Moucherolle de Santa Marta,Birro de Santa Marta
5744,Myiotheretes fumigatus,Smoky Bush-tyrant,Moucherolle enfume,Birro Ahumado
5745,Myiotheretes fuscorufus,Rufous-bellied Bush-tyrant,Moucherolle a ventre fauve,Birro Ventrirrufo
5746,Ochthornis littoralis,Drab Water-tyrant,Moucherolle riverain,Mosquerito Guardarrios
5747,Cnemotriccus fuscatus,Fuscous Flycatcher,Moucherolle fuligineux,Mosquero Parduzco
5748,Aphanotriccus capitalis,Tawny-chested Flycatcher,Moucherolle a poitrine fauve,Mosquero Pechileonado
5749,Aphanotriccus audax,Black-billed Flycatcher,Moucherolle a bec noir,Mosquero Piquinegro
5750,Lathrotriccus euleri,Euler's Flycatcher,Moucherolle d'Euler,Mosquero de Euler
5751,Lathrotriccus griseipectus,Grey-breasted Flycatcher,Moucherolle a poitrine grise,Mosquero Pechigris
