cur_alternate_com_name,sci_name
anade Picopinto Indio,Anas poecilorhyncha
anade Picopinto Chino,Anas zonorhyncha
anade Picopinto Indio/Chino,Anas poecilorhyncha/zonorhyncha
anade Azulon,Anas platyrhynchos
anade Azulon (domestico),Anas platyrhynchos (Domestic type)
Pato Criollo x anade Azulon (hibrido),Cairina moschata x Anas platyrhynchos
Pato Joyuyo x anade Azulon (hibrido),Aix sponsa x Anas platyrhynchos
Cuchara Comun x anade Azulon (hibrido),Spatula clypeata x Anas platyrhynchos
anade Friso x Azulon (hibrido),Mareca strepera x Anas platyrhynchos
Silbon Europeo x anade Azulon (hibrido),Mareca penelope x Anas platyrhynchos
Silbon Americano x anade Azulon (hibrido),Mareca americana x Anas platyrhynchos
anade Picolimon x Azulon (hibrido),Anas undulata x platyrhynchos
anade Azulon x Cejudo (hibrido),Anas platyrhynchos x superciliosa
anade Azulon x Hawaiano (hibrido),Anas platyrhynchos x wyvilliana
anade Azulon x anade Picopinto Indio (hibrido),Anas platyrhynchos x poecilorhyncha
anade Azulon x anade Picopinto Chino (hibrido),Anas platyrhynchos x zonorhyncha
anade Azulon/Cejudo,Anas platyrhynchos/superciliosa
anade Azulon/Hawaiano,Anas platyrhynchos/wyvilliana
anade Azulon/Picopinto Indio,Anas platyrhynchos/poecilorhyncha
anade Azulon/Picopinto Chino,Anas platyrhynchos/zonorhyncha
anade Mexicano,Anas diazi
anade Azulon x Mexicano (hibrido),Anas platyrhynchos x diazi
anade Azulon/Mexicano,Anas platyrhynchos/diazi
anade Sombrio,Anas rubripes
Silbon Americano x anade Sombrio (hibrido),Mareca americana x Anas rubripes
anade Azulon x Sombrio (hibrido),Anas platyrhynchos x rubripes
anade Azulon/Sombrio,Anas platyrhynchos/rubripes
anade Moteado,Anas fulvigula
anade Moteado (fulvigula),Anas fulvigula fulvigula
anade Moteado (maculosa),Anas fulvigula maculosa
anade Azulon x Moteado (hibrido),Anas platyrhynchos x fulvigula
anade Azulon/Moteado,Anas platyrhynchos/fulvigula
anade Azulon x Mexicano/Moteado (hibrido),Anas platyrhynchos x diazi/fulvigula
anade Mexicano x Moteado (hibrido),Anas diazi x fulvigula
anade Mexicano/Moteado,Anas diazi/fulvigula
anade Sombrio/Moteado,Anas rubripes/fulvigula
Cerceta de El Cabo,Anas capensis
anade Gargantillo,Anas bahamensis
anade Gargantillo (bahamensis/rubrirostris),Anas bahamensis bahamensis/rubrirostris
anade Gargantillo (galapagos),Anas bahamensis galapagensis
anade Azulon x Gargantillo (hibrido),Anas platyrhynchos x bahamensis
anade Piquirrojo,Anas erythrorhyncha
anade Rabudo,Anas acuta
Cerceta del Baikal x anade Rabudo (hibrido),Sibirionetta formosa x Anas acuta
anade Friso x Rabudo (hibrido),Mareca strepera x Anas acuta
Silbon Europeo x anade Rabudo (hibrido),Mareca penelope x Anas acuta
Silbon Americano x anade Rabudo (hibrido),Mareca americana x Anas acuta
anade Azulon x Rabudo (hibrido),Anas platyrhynchos x acuta
anade Sombrio x Rabudo (hibrido),Anas rubripes x acuta
anade Subantartico,Anas eatoni
anade Maicero,Anas georgica
anade Maicero (georgica),Anas georgica georgica
anade Maicero (spinicauda/niceforoi),Anas georgica spinicauda/niceforoi
Cerceta Comun,Anas crecca
Cerceta Comun (Europea),Anas crecca crecca
Cerceta Comun (Americana),Anas crecca carolinensis
Cerceta Comun (Europea x Americana),Anas crecca crecca x carolinensis
Cerceta Carretona x Comun (hibrido),Spatula querquedula x Anas crecca
Cerceta Carretona/Comun,Spatula querquedula/Anas crecca
Cerceta Aliazul x Comun (hibrido),Spatula discors x Anas crecca
Cerceta Colorada x Comun (hibrido),Spatula cyanoptera x Anas crecca
anade Friso x Cerceta Comun (hibrido),Mareca strepera x Anas crecca
Silbon Europeo x Cerceta Comun (hibrido),Mareca penelope x Anas crecca
Silbon Americano x Cerceta Comun (hibrido),Mareca americana x Anas crecca
anade Azulon x Cerceta Comun (hibrido),Anas platyrhynchos x crecca
anade Rabudo x Cerceta Comun (hibrido),Anas acuta x crecca
Cerceta Andina,Anas andium
Cerceta Andina (altipetens),Anas andium altipetens
Cerceta Andina (andium),Anas andium andium
Cerceta Barcina,Anas flavirostris
Cerceta Barcina (flavirostris),Anas flavirostris flavirostris
Cerceta Barcina (oxyptera),Anas flavirostris oxyptera
anade Maicero/Cerceta Barcina,Anas georgica/flavirostris
Cerceta Andina/Barcina,Anas andium/flavirostris
anade de Mauricio,Anas theodori
Cerceta de Andaman,Anas albogularis
Cerceta de La Sonda,Anas gibberifrons
Cerceta Gris,Anas gracilis
anade Cejudo x Cerceta Gris (hibrido),Anas superciliosa x gracilis
Cerceta Castana,Anas castanea
anade Cejudo x Cerceta Castana (hibrido),Anas superciliosa x castanea
Cerceta Gris x Castana (hibrido),Anas gracilis x castanea
Cerceta Gris/Castana,Anas gracilis/castanea
Cerceta Malgache,Anas bernieri
Cerceta de Auckland,Anas aucklandica
Cerceta de Campbell,Anas nesiotis
Cerceta Maori,Anas chlorotis
anade Azulon x Cerceta Maori (hibrido),Anas platyrhynchos x chlorotis
anade (Anas) sp.,Anas sp.
Cerceta sp.,Anatidae sp. (teal sp.)
anade sp.,Anatidae sp. (dabbling duck sp.)
Pato Pachon,Malacorhynchus membranaceus
Cerceta Pardilla,Marmaronetta angustirostris
Pato Cabecirrosado,Rhodonessa caryophyllacea
Pato de Jungla,Asarcornis scutulata
Pato Colorado,Netta rufina
anade Azulon x Pato Colorado (hibrido),Anas platyrhynchos x Netta rufina
Pato Morado,Netta erythrophthalma
Pato Picazo,Netta peposaca
Porron Coacoxtle,Aythya valisineria
Porron Americano,Aythya americana
anade Azulon x Porron Americano (hibrido),Anas platyrhynchos x Aythya americana
Porron Coacoxtle x Americano (hibrido),Aythya valisineria x americana
Porron Europeo,Aythya ferina
Pato Colorado x Porron Europeo (hibrido),Netta rufina x Aythya ferina
Porron Acollarado,Aythya collaris
Porron Coacoxtle x Acollarado (hibrido),Aythya valisineria x collaris
Porron Americano x Acollarado (hibrido),Aythya americana x collaris
Porron Pardo,Aythya nyroca
Pato Colorado x Porron Pardo (hibrido),Netta rufina x Aythya nyroca
Porron Europeo x Pardo (hibrido),Aythya ferina x nyroca
Porron Malgache,Aythya innotata
Porron de Baer,Aythya baeri
Porron Pardo x de Baer (hibrido),Aythya nyroca x baeri
Porron Pardo/de Baer,Aythya nyroca/baeri
Porron Australiano,Aythya australis
Cerceta Gris x Porron Australiano (hibrido),Anas gracilis x Aythya australis
Porron Monudo,Aythya fuligula
anade Azulon x Porron Monudo (hibrido),Anas platyrhynchos x Aythya fuligula
Pato Colorado x Porron Monudo (hibrido),Netta rufina x Aythya fuligula
Porron Europeo x Monudo (hibrido),Aythya ferina x fuligula
Porron Acollarado x Monudo (hibrido),Aythya collaris x fuligula
Porron Pardo x Monudo (hibrido),Aythya nyroca x fuligula
Porron Maori,Aythya novaeseelandiae
Porron Bastardo,Aythya marila
Porron Americano x Bastardo (hibrido),Aythya americana x marila
Porron Acollarado x Bastardo (hibrido),Aythya collaris x marila
Porron Monudo x Bastardo (hibrido),Aythya fuligula x marila
Porron Bola,Aythya affinis
Porron Americano x Bola (hibrido),Aythya americana x affinis
Porron Acollarado x Bola (hibrido),Aythya collaris x affinis
Porron Monudo x Bola (hibrido),Aythya fuligula x affinis
Porron Bastardo/Bola,Aythya marila/affinis
Porron Coacoxtle x Bastardo/Bola (hibrido),Aythya valisineria x marila/affinis
Porron Americano x Bastardo/Bola (hibrido),Aythya americana x marila/affinis
Porron Acollarado x Bastardo/Bola (hibrido),Aythya collaris x marila/affinis
Porron Monudo x Bastardo/Bola (hibrido),Aythya fuligula x marila/affinis
Porron sp.,Aythya sp.
eider Menor,Polysticta stelleri
eider de Anteojos,Somateria fischeri
eider Real,Somateria spectabilis
eider de Anteojos x Real (hibrido),Somateria fischeri x spectabilis
eider Comun,Somateria mollissima
eider Comun (euroasiatico),Somateria mollissima mollissima
eider Comun (Islas Feroe),Somateria mollissima faeroeensis
eider Comun (Pacifico),Somateria mollissima v-nigrum
eider Comun (dresseri),Somateria mollissima dresseri
eider Comun (borealis),Somateria mollissima borealis
eider Comun (bahia de Hudson),Somateria mollissima sedentaria
anade Azulon x eider Comun (hibrido),Anas platyrhynchos x Somateria mollissima
eider Real/Comun,Somateria spectabilis/mollissima
eider Real x Comun (hibrido),Somateria spectabilis x mollissima
eider sp.,Somateria sp.
Pato Arlequin,Histrionicus histrionicus
Pato del Labrador,Camptorhynchus labradorius
Negron Careto,Melanitta perspicillata
Negron Especulado,Melanitta fusca
Negron Aliblanco,Melanitta deglandi
Negron Siberiano,Melanitta stejnegeri
Negron Careto x Aliblanco (hibrido),Melanitta perspicillata x deglandi
Negron Especulado/Aliblanco/Siberiano,Melanitta fusca/deglandi/stejnegeri
Negron Aliblanco/Siberiano,Melanitta deglandi/stejnegeri
Negron Comun,Melanitta nigra
Negron Americano,Melanitta americana
Negron Careto/Americano,Melanitta perspicillata/americana
Negron Comun/Americano,Melanitta nigra/americana
Negron sp.,Melanitta sp.
Pato Havelda,Clangula hyemalis
Porron Albeola,Bucephala albeola
Porron Osculado,Bucephala clangula
Porron Albeola x Osculado (hibrido),Bucephala albeola x clangula
Porron Albeola x Osculado/Islandico (hibrido),Bucephala albeola x clangula/islandica
Porron Islandico,Bucephala islandica
Porron Osculado x Islandico (hibrido),Bucephala clangula x islandica
Porron Osculado/Islandico,Bucephala clangula/islandica
Serreta Chica,Mergellus albellus
Porron Osculado x Serreta Chica (hibrido),Bucephala clangula x Mergellus albellus
Serreta Capuchona,Lophodytes cucullatus
Pato Joyuyo x Serreta Capuchona (hibrido),Aix sponsa x Lophodytes cucullatus
Porron Albeola x Serreta Capuchona (hibrido),Bucephala albeola x Lophodytes cucullatus
Porron Osculado x Serreta Capuchona (hibrido),Bucephala clangula x Lophodytes cucullatus
Porron Islandico x Serreta Capuchona (hibrido),Bucephala islandica x Lophodytes cucullatus
Porron Osculado/Islandico x Serreta Capuchona (hibrido),Bucephala clangula/islandica x Lophodytes cucullatus
Serreta Chica x Capuchona (hibrido),Mergellus albellus x Lophodytes cucullatus
Serreta de Auckland,Mergus australis
Serreta Grande,Mergus merganser
Serreta Grande (euroasiatica),Mergus merganser merganser/orientalis
Serreta Grande (americana),Mergus merganser americanus
Eider Comun x Serreta Grande (hibrido),Somateria mollissima x Mergus merganser
Serreta Capuchona x Grande (hibrido),Lophodytes cucullatus x Mergus merganser
Serreta Brasilena,Mergus octosetaceus
Serreta Mediana,Mergus serrator
Porron Acollarado x Serreta Mediana (hibrido),Aythya collaris x Mergus serrator
Serreta Grande x Mediana (hibrido),Mergus merganser x serrator
Serreta Grande/Mediana,Mergus merganser/serrator
Serreta China,Mergus squamatus
Serreta sp.,Mergellus/Lophodytes/Mergus sp.
Pato Rinconero,Heteronetta atricapilla
Malvasia Enmascarada,Nomonyx dominicus
Malvasia Canela,Oxyura jamaicensis
Malvasia Andina,Oxyura ferruginea
Malvasia Andina (andina),Oxyura ferruginea andina
Malvasia Andina (ferruginea),Oxyura ferruginea ferruginea
Malvasia Enmascarada/Canela,Nomonyx dominicus/Oxyura jamaicensis
Malvasia Cabeciblanca,Oxyura leucocephala
Malvasia Canela x Cabeciblanca (hibrido),Oxyura jamaicensis x leucocephala
Malvasia Maccoa,Oxyura maccoa
Malvasia Argentina,Oxyura vittata
Malvasia Canela/Argentina,Oxyura ferruginea/vittata
Malvasia Australiana,Oxyura australis
Malvasia Papuda,Biziura lobata
Pato sp.,Anatinae sp.
Anatida sp.,Anatidae sp.
Talegalo Cabecirrojo,Alectura lathami
Talegalo Carunculado,Aepypodius arfakianus
Talegalo de Waigeo,Aepypodius bruijnii
Talegalo de Cuvier,Talegalla cuvieri
Talegalo Piquinegro,Talegalla fuscirostris
Talegalo Patirrojo,Talegalla jobiensis
Talegalla sp.,Talegalla sp.
Talegalo Leipoa,Leipoa ocellata
Talegalo Maleo,Macrocephalon maleo
Talegalo de Wallace,Eulipoa wallacei
Talegalo de Tonga,Megapodius pritchardii
Talegalo de Las Marianas,Megapodius laperouse
Talegalo de Nicobar,Megapodius nicobariensis
Talegalo Filipino,Megapodius cumingii
Talegalo de Sula,Megapodius bernsteinii
Talegalo de Tanimbar,Megapodius tenimberensis
Talegalo de Freycinet,Megapodius freycinet
Talegalo de Biak,Megapodius geelvinkianus
Talegalo de Forsten,Megapodius forsteni
Talegalo Eremita,Megapodius eremita
Talegalo de Nuevas Hebridas,Megapodius layardi
Talegalo Papu,Megapodius decollatus
Talegalo de Reinwardt,Megapodius reinwardt
Chachalaca Nortena,Ortalis vetula
Chachalaca Cabecigris,Ortalis cinereiceps
Chachalaca Alirroja,Ortalis garrula
Chachalaca Culirroja,Ortalis ruficauda
