"","French.name"
"1944","Oceanite de Swinhoe"
"1946","Oceanite de Tristram"
"1947","Oceanite de Markham"
"1948","Oceanite a queue fourchue"
"1949","Oceanite de Hornby"
"1951","Albatros royal"
"1952","Albatros hurleur"
"1956","Albatros brun"
"1957","Albatros fuligineux"
"1958","Albatros des Galapagos"
"1959","Albatros a pieds noirs"
"1960","Albatros de Laysan"
"1961","Albatros a queue courte"
"1962","Albatros a nez jaune"
"1964","Albatros a tete grise"
"1965","Albatros a sourcils noirs"
"1967","Albatros de Buller"
"1968","Albatros a cape blanche"
"1970","Albatros des Chatham"
"1971","Albatros de Salvin"
"1972","Petrel de Hall"
"1973","Petrel geant"
"1974","Fulmar boreal"
"1975","Fulmar argente"
"1976","Petrel antarctique"
"1977","Damier du Cap"
"1978","Petrel des neiges"
"1979","Prion bleu"
"1980","Prion de Forster"
"1981","Prion de Salvin"
"1983","Prion de la Desolation"
"1984","Prion de Belcher"
"1985","Prion colombe"
"1986","Prion a bec epais"
"1987","Petrel des Kerguelen"
"1988","Petrel de Gould"
"1989","Petrel a collier"
"1990","Petrel de Filippi"
"1991","Petrel de Stejneger"
"1992","Petrel de Cook"
"1993","Petrel de Pycroft"
"1994","Petrel des Bonin"
"1995","Petrel a ailes noires"
"1996","Petrel des Chatham"
"1997","Petrel de Murphy"
"1998","Petrel de Solander"
"1999","Petrel des Kermadec"
"2000","Petrel de Trindade"
"2001","Petrel du Herald"
"2002","Petrel de Henderson"
"2003","Petrel a poitrine blanche"
"2004","Petrel de Barau"
"2005","Petrel macule"
"2006","Petrel des Hawai"
"2007","Petrel des Galapagos"
"2008","Petrel a col blanc"
"2009","Petrel de Juan Fernandez"
"2010","Petrel soyeux"
"2011","Petrel des Bermudes"
"2012","Petrel diablotin"
"2014","Petrel gongon"
"2016","Petrel de Madere"
"2017","Petrel du Magenta"
"2018","Petrel de Schlegel"
"2019","Petrel de Lesson"
"2020","Petrel noir"
"2021","Petrel a face grise"
"2022","Puffin gris"
"2023","Puffin a menton blanc"
"2024","Puffin a lunettes"
"2025","Puffin du Westland"
"2026","Puffin de Parkinson"
"2027","Puffin fouquet"
"2028","Puffin de Buller"
"2029","Puffin a bec grele"
"2030","Puffin fuligineux"
"2031","Puffin majeur"
"2032","Puffin a pieds pales"
"2033","Puffin a pieds roses"
"2034","Puffin leucomele"
"2035","Puffin cendre"
"2037","Puffin du Cap-Vert"
"2038","Puffin de la Nativite"
"2039","Puffin des Galapagos"
"2040","Puffin volage"
"2041","Puffin de Hutton"
"2042","Puffin cul-noir"
"2043","Puffin de Bryan"
"2044","Puffin de Rapa"
"2045","Puffin de Newell"
"2046","Puffin de Townsend"
"2047","Puffin de Baillon"
"2048","Puffin persique"
"2049","Puffin de Bannerman"
"2050","Puffin des Anglais"
"2051","Puffin yelkouan"
"2052","Puffin des Baleares"
"2053","Puffin elegant"
"2054","Petit Puffin"
"2055","Puffin d'Audubon"
"2056","Puffin de Heinroth"
"2057","Petrel des Fidji"
"2058","Petrel de Bourbon"
"2059","Petrel de Beck"
"2060","Petrel de Tahiti"
"2061","Petrel de Bulwer"
"2062","Petrel de Jouanin"
"2064","Puffinure de Garnot"
"2065","Puffinure de Magellan"
"2066","Puffinure de Georgie du Sud"
"2067","Puffinure plongeur"
"2068","Marabout d'Afrique"
"2069","Marabout argala"
"2070","Marabout chevelu"
"2071","Tantale d'Amerique"
"2072","Tantale ibis"
"2073","Tantale indien"
"2074","Tantale blanc"
"2075","Bec-ouvert indien"
"2076","Bec-ouvert africain"
"2077","Cigogne noire"
"2078","Cigogne d'Abdim"
"2080","Cigogne episcopale"
"2081","Cigogne de Storm"
"2082","Cigogne maguari"
"2083","Cigogne blanche"
"2084","Cigogne orientale"
"2085","Jabiru d'Amerique"
"2086","Jabiru d'Asie"
"2087","Jabiru d'Afrique"
"2088","Spatule a bec jaune"
"2089","Spatule rosee"
"2090","Spatule d'Afrique"
"2091","Spatule blanche"
"2092","Petite Spatule"
"2093","Spatule royale"
"2094","Ibis sacre"
"2095","Ibis malgache"
"2096","Ibis a tete noire"
"2098","Ibis d'Australie"
"2099","Ibis noir"
"2100","Ibis de Davison"
"2102","Ibis chauve"
"2103","Ibis du Cap"
"2104","Ibis nippon"
"2105","Ibis olive"
"2106","Ibis de Sao Tome"
"2107","Ibis vermicule"
"2108","Ibis hagedash"
"2109","Ibis caroncule"
"2110","Ibis plombe"
"2111","Ibis mandore"
"2112","Ibis des Andes"
"2113","Ibis a face noire"
"2114","Ibis a queue pointue"
"2115","Ibis vert"
"2116","Ibis a face nue"
"2117","Ibis blanc"
"2118","Ibis rouge"
"2119","Ibis falcinelle"
"2120","Ibis a face blanche"
"2121","Ibis de Ridgway"
"2122","Ibis huppe"
"2123","Onore phaeton"
"2124","Onore a huppe blanche"
"2125","Onore raye"
"2126","Onore fascie"
"2127","Onore du Mexique"
"2128","Heron agami"
"2129","Savacou huppe"
"2130","Butor zigzag"
"2131","Butor etoile"
"2132","Butor d'Australie"
"2133","Butor d'Amerique"
"2134","Butor mirasol"
"2135","Blongios varie"
"2136","Petit Blongios"
"2137","Blongios nain"
"2138","Blongios d'Australie"
"2139","Blongios de Chine"
"2140","Blongios de Schrenck"
"2141","Blongios cannelle"
"2142","Blongios de Sturm"
"2143","Blongios a cou jaune"
"2145","Bihoreau goisagi"
"2146","Bihoreau malais"
"2148","Bihoreau gris"
"2149","Bihoreau cannelle"
"2150","Bihoreau violace"
"2151","Heron strie"
"2152","Crabier chevelu"
"2153","Crabier de Gray"
"2154","Crabier chinois"
"2155","Crabier malais"
"2156","Crabier blanc"
"2157","Crabier a ventre roux"
"2158","Heron garde-boeufs"
"2159","Heron cendre"
"2160","Grand Heron"
"2162","Heron cocoi"
"2163","Heron a tete blanche"
"2164","Heron melanocephale"
"2165","Heron de Humblot"
"2166","Heron imperial"
"2167","Heron typhon"
"2168","Heron goliath"
"2169","Heron pourpre"
"2170","Grande Aigrette"
"2172","Heron intermediaire"
"2174","Heron flûte-du-soleil"
"2175","Heron coiffe"
"2176","Aigrette pie"
"2177","Aigrette a face blanche"
"2178","Aigrette roussatre"
"2179","Aigrette ardoisee"
"2180","Aigrette vineuse"
"2181","Aigrette tricolore"
"2182","Aigrette bleue"
"2183","Aigrette neigeuse"
"2184","Aigrette garzette"
"2185","Aigrette a gorge blanche"
"2186","Aigrette sacree"
"2187","Aigrette de Chine"
"2188","Ombrette africaine"
"2189","Bec-en-sabot du Nil"
"2190","Pelican frise"
"2191","Pelican a bec tachete"
"2192","Pelican gris"
"2193","Pelican a lunettes"
"2194","Pelican blanc"
"2195","Pelican brun"
"2196","Pelican thage"
"2197","Pelican d'Amerique"
"2198","Fregate ariel"
"2199","Fregate du Pacifique"
"2200","Fregate d'Andrews"
"2201","Fregate superbe"
"2202","Fregate aigle-de-mer"
"2203","Fou d'Abbott"
"2204","Fou de Bassan"
"2205","Fou du Cap"
"2206","Fou austral"
"2207","Fou a pieds rouges"
"2208","Fou brun"
"2209","Fou a pieds bleus"
"2210","Fou varie"
"2211","Fou masque"
"2212","Fou de Grant"
"2213","Cormoran couronne"
"2214","Cormoran africain"
"2215","Cormoran pygmee"
"2216","Cormoran de Vieillot"
"2217","Cormoran pie"
"2218","Cormoran de Gaimard"
"2219","Cormoran de Magellan"
"2221","Cormoran imperial"
"2222","Cormoran des Kerguelen"
"2223","Cormoran caroncule"
"2224","Cormoran bronze"
"2225","Cormoran des Chatham"
"2226","Cormoran de Campbell"
"2227","Cormoran de Bounty"
"2228","Cormoran des Auckland"
"2231","Cormoran aptere"
"2232","Cormoran de Brandt"
"2233","Cormoran pelagique"
"2234","Cormoran a face rouge"
"2235","Cormoran huppe"
"2236","Grand Cormoran"
"2237","Cormoran de Temminck"
"2238","Cormoran du Cap"
"2239","Cormoran de Socotra"
"2240","Cormoran des bancs"
"2241","Cormoran a cou brun"
"2242","Cormoran noir"
"2243","Cormoran de Tasmanie"
"2244","Cormoran varie"
"2245","Cormoran mouchete"
"2246","Cormoran de Featherston"
"2247","Anhinga d'Amerique"
"2248","Anhinga d'Afrique"
"2249","Anhinga roux"
"2250","Anhinga d'Australie"
"2251","Oedicneme criard"
"2252","Oedicneme indien"
"2253","Oedicneme du Senegal"
"2254","Oedicneme vermicule"
"2255","Oedicneme tachard"
"2256","Oedicneme bistrie"
"2257","Oedicneme du Perou"
"2258","Oedicneme bride"
"2259","Grand Oedicneme"
"2260","Oedicneme des recifs"
"2261","Chionis blanc"
"2262","Petit Chionis"
"2263","Pluvianelle magellanique"
"2264","Pluvian fluviatile"
"2265","Huitrier de Garnot"
"2266","Huitrier noir"
"2267","Huitrier d'Amerique"
"2268","Huitrier de Moquin"
"2269","Huitrier pie"
"2270","Huitrier de Finsch"
"2271","Huitrier a long bec"
"2272","Huitrier des Chatham"
"2273","Huitrier variable"
"2274","Huitrier fuligineux"
"2275","Bec-d'ibis tibetain"
"2276","echasse a tete blanche"
"2277","Avocette elegante"
"2278","Avocette d'Amerique"
"2279","Avocette d'Australie"
"2280","Avocette des Andes"
"2281","echasse blanche"
"2282","echasse noire"
"2283","Pluvier argente"
"2284","Pluvier dore"
"2285","Pluvier fauve"
"2286","Pluvier bronze"
"2287","Pluvier oreophile"
"2288","Pluvier des Andes"
"2291","Pluvier roux"
"2292","Pluvier grand-gravelot"
"2293","Pluvier semipalme"
"2294","Pluvier a long bec"
"2295","Pluvier petit-gravelot"
"2296","Pluvier de Wilson"
"2297","Pluvier kildir"
"2298","Pluvier siffleur"
"2299","Pluvier a bandeau noir"
"2300","Pluvier patre"
"2301","Pluvier de Sainte-Helene"
"2302","Pluvier a triple collier"
"2304","Pluvier de Forbes"
"2305","Pluvier a front blanc"
"2306","Pluvier a collier interrompu"
"2307","Pluvier de Swinhoe"
"2308","Pluvier neigeux"
"2309","Pluvier de Java"
"2310","Pluvier a tete rousse"
"2311","Pluvier de Peron"
"2312","Pluvier elegant"
"2313","Pluvier d'Azara"
"2314","Pluvier de la puna"
"2315","Pluvier des Falkland"
"2316","Pluvier a double collier"
"2317","Pluvier de Mongolie"
"2318","Pluvier de Leschenault"
"2319","Pluvier asiatique"
"2320","Pluvier oriental"
"2321","Pluvier montagnard"
"2322","Pluvier de d'Urville"
"2323","Pluvier a camail"
"2324","Pluvier de Nouvelle-Zelande"
"2325","Pluvier a face noire"
"2327","Vanneau huppe"
"2328","Vanneau a ailes blanches"
"2329","Vanneau arme"
"2330","Vanneau a eperons"
"2331","Vanneau pie"
"2332","Vanneau a tete noire"
"2333","Vanneau de Malabar"
"2334","Vanneau a tete blanche"
"2335","Vanneau terne"
"2336","Vanneau a ailes noires"
"2337","Vanneau couronne"
"2338","Vanneau du Senegal"
"2339","Vanneau d'Abyssinie"
"2340","Vanneau a poitrine chataine"
"2341","Vanneau a tete grise"
"2342","Vanneau indien"
"2343","Vanneau hirondelle"
"2344","Vanneau tricolore"
"2345","Vanneau soldat"
"2347","Vanneau sociable"
"2348","Vanneau a queue blanche"
"2349","Vanneau tero"
"2350","Vanneau des Andes"
"2351","Pluvier ceinture"
"2352","Pluvier australien"
"2353","Pluvier anarhynque"
"2354","Pedionome errant"
"2355","Attagis de Gay"
"2356","Attagis de Magellan"
"2357","Thinocore de d'Orbigny"
"2358","Thinocore de Patagonie"
"2359","Rhynchee peinte"
"2360","Rhynchee d'Australie"
"2361","Rhynchee de Saint-Hilaire"
"2362","Jacana du Mexique"
"2363","Jacana noir"
"2364","Jacana a longue queue"
"2365","Jacana a poitrine doree"
"2366","Jacana malgache"
"2367","Jacana bronze"
"2368","Jacana a crete"
"2369","Jacana nain"
"2370","Maubeche des champs"
"2371","Courlis d'Alaska"
"2372","Courlis corlieu"
"2373","Courlis nain"
"2374","Courlis esquimau"
"2375","Courlis a bec grele"
"2376","Courlis a long bec"
"2377","Courlis cendre"
"2378","Courlis de Siberie"
"2379","Barge rousse"
"2380","Barge marbree"
"2381","Barge hudsonienne"
"2382","Barge a queue noire"
"2383","Tournepierre a collier"
"2384","Tournepierre noir"
"2385","Becasseau de l'Anadyr"
"2386","Becasseau maubeche"
"2387","Becasseau du ressac"
"2388","Combattant varie"
"2389","Becasseau falcinelle"
"2390","Becasseau a queue pointue"
"2391","Becasseau a echasses"
"2392","Becasseau cocorli"
"2393","Becasseau de Temminck"
"2394","Becasseau a longs doigts"
"2395","Becasseau spatule"
"2396","Becasseau a col roux"
"2397","Becasseau sanderling"
"2398","Becasseau variable"
"2399","Becasseau des Aleoutiennes"
"2400","Becasseau violet"
"2401","Becasseau de Baird"
"2402","Becasseau minute"
"2403","Becasseau minuscule"
"2404","Becasseau a croupion blanc"
"2405","Becasseau roussatre"
"2406","Becasseau a poitrine cendree"
"2407","Becasseau semipalme"
"2408","Becasseau d'Alaska"
"2409","Becasseau des Tuamotu"
"2410","Becassin d'Asie"
"2411","Becassin roux"
"2412","Becassin a long bec"
"2413","Becasse des bois"
"2414","Becasse d'Amami"
"2415","Becasse de Java"
"2416","Becasse de Nouvelle-Guinee"
"2417","Becasse du Bukidnon"
"2418","Becasse des Celebes"
"2419","Becasse des Moluques"
"2420","Becasse d'Amerique"
"2421","Becassine des Chatham"
"2422","Becassine des Snares"
"2423","Becassine des Auckland"
"2424","Becassine imperiale"
"2425","Becassine des paramos"
"2426","Becassine de Strickland"
"2427","Becassine solitaire"
"2428","Becassine du Japon"
"2429","Becassine des bois"
"2430","Becassine a queue pointue"
"2431","Becassine de Swinhoe"
"2432","Becassine africaine"
"2433","Becassine malgache"
"2434","Becassine double"
"2435","Becassine des marais"
"2436","Becassine de Wilson"
"2437","Becassine du Paraguay"
"2438","Becassine de la puna"
"2439","Becassine noble"
"2440","Becassine geante"
"2441","Becassine sourde"
"2443","Phalarope a bec etroit"
"2444","Phalarope a bec large"
"2445","Chevalier bargette"
"2446","Chevalier guignette"
"2447","Chevalier grivele"
"2448","Chevalier cul-blanc"
"2449","Chevalier solitaire"
"2450","Chevalier de Siberie"
"2451","Chevalier errant"
"2452","Chevalier semipalme"
"2453","Petit Chevalier"
"2454","Chevalier arlequin"
"2455","Chevalier aboyeur"
"2456","Grand Chevalier"
"2457","Chevalier gambette"
"2458","Chevalier sylvain"
"2459","Chevalier stagnatile"
"2460","Chevalier tachete"
"2461","Turnix d'Andalousie"
"2462","Turnix mouchete"
"2463","Turnix indien"
"2464","Turnix nain"
"2465","Turnix du fynbos"
"2466","Turnix de Luçon"
"2467","Turnix combattant"
"2468","Turnix de Madagascar"
"2469","Turnix a poitrine noire"
"2471","Turnix bariole"
"2472","Turnix de Robinson"
"2473","Turnix castanote"
"2474","Turnix a poitrine rousse"
"2475","Turnix de Sumba"
"2476","Turnix de Worcester"
"2477","Petit Turnix"
"2478","Turnix a ailes blanches"
"2479","Drome ardeole"
"2480","Courvite a double collier"
"2481","Courvite a triple collier"
"2482","Courvite a ailes bronzees"
"2483","Courvite de Jerdon"
"2484","Courvite isabelle"
"2485","Courvite de Somalie"
"2486","Courvite de Burchell"
"2487","Courvite de Temminck"
"2488","Courvite de Coromandel"
"2489","Glareole isabelle"
"2490","Glareole a collier"
"2491","Glareole orientale"
"2492","Glareole a ailes noires"
"2493","Glareole malgache"
"2494","Glareole aureolee"
"2495","Glareole grise"
"2496","Glareole lactee"
"2497","Noddi brun"
"2498","Noddi marianne"
"2499","Noddi noir"
"2500","Noddi bleu"
"2502","Gygis blanche"
"2504","Bec-en-ciseaux noir"
"2505","Bec-en-ciseaux d'Afrique"
"2506","Bec-en-ciseaux a collier"
"2507","Mouette de Saunders"
"2508","Mouette pygmee"
"2509","Mouette rosee"
"2510","Mouette a queue fourchue"
"2511","Mouette de Sabine"
"2512","Mouette blanche"
"2513","Mouette des brumes"
"2514","Mouette tridactyle"
"2536","Goeland de Heermann"
"2537","Goeland austral"
"2538","Goeland a queue noire"
"2539","Goeland simeon"
"2540","Goeland d'Olrog"
"2541","Goeland a bec cercle"
"2542","Goeland cendre"
"2543","Goeland de Cortez"
"2544","Goeland d'Audubon"
"2545","Goeland de Californie"
"2546","Goeland dominicain"
"2547","Goeland brun"
"2548","Goeland argente"
"2549","Goeland d'Armenie"
"2550","Goeland leucophee"
"2551","Goeland pontique"
"2553","Goeland arctique"
"2554","Goeland a manteau ardoise"
"2555","Goeland a ailes grises"
"2556","Goeland bourgmestre"
"2557","Goeland marin"
"2558","Sterne des Aleoutiennes"
"2559","Sterne fuligineuse"
"2560","Sterne bridee"
"2561","Sterne a dos gris"
"2562","Sterne naine"
"2563","Sterne de Saunders"
"2564","Petite Sterne"
"2565","Sterne argentee"
"2566","Sterne du Perou"
"2567","Sterne nereis"
"2568","Sterne des baleiniers"
"2569","Sterne a gros bec"
"2570","Sterne hansel"
"2572","Sterne caspienne"
"2573","Sterne inca"
"2574","Guifette des galets"
"2575","Guifette moustac"
"2576","Guifette leucoptere"
"2577","Guifette noire"
"2578","Sterne de riviere"
"2579","Sterne de Dougall"
"2580","Sterne tara"
"2581","Sterne diamant"
"2582","Sterne hirundinacee"
"2583","Sterne pierregarin"
"2584","Sterne a joues blanches"
"2585","Sterne arctique"
"2586","Sterne couronnee"
"2587","Sterne des Kerguelen"
"2588","Sterne de Forster"
"2589","Sterne de Trudeau"
"2590","Sterne a ventre noir"
"2591","Sterne voyageuse"
"2592","Sterne d'Orient"
"2593","Sterne elegante"
"2594","Sterne caugek"
"2595","Sterne royale"
"2596","Sterne huppee"
"2597","Labbe a longue queue"
"2598","Labbe parasite"
"2599","Labbe pomarin"
"2604","Macareux rhinoceros"
"2605","Macareux huppe"
"2606","Macareux moine"
"2607","Macareux cornu"
"2608","Starique de Cassin"
"2609","Starique perroquet"
"2610","Starique minuscule"
"2611","Starique pygmee"
"2612","Starique cristatelle"
"2613","Guillemot a long bec"
"2614","Guillemot marbre"
"2615","Guillemot de Kittlitz"
"2616","Guillemot a miroir"
"2617","Guillemot colombin"
"2618","Guillemot a lunettes"
"2619","Guillemot a cou blanc"
"2620","Guillemot du Japon"
"2621","Guillemot de Scripps"
"2622","Guillemot de Xantus"
"2623","Guillemot de Craveri"
"2624","Petit Pingouin"
"2625","Mergule nain"
"2626","Guillemot de Brünnich"
"2627","Guillemot marmette"
"2628","Phodile calong"
"2629","Phodile de Ceylan"
"2630","Phodile de Prigogine"
"2631","Effraie du Cap"
"2632","Effraie de prairie"
"2633","Effraie ombree"
"2635","Effraie masquee"
"2636","Effraie doree"
"2637","Effraie de Ceram"
"2638","Effraie de Taliabu"
"2639","Effraie de Minahassa"
"2640","Effraie des Celebes"
"2641","Effraie de Soumagne"
"2642","Effraie des clochers"
"2643","Effraie d'Hispaniola"
"2644","Ninoxe rousse"
"2645","Ninoxe puissante"
"2646","Ninoxe aboyeuse"
"2647","Ninoxe de Sumba"
"2648","Ninoxe d'Australie"
"2650","Ninoxe boubouk"
"2651","Ninoxe boreale"
"2652","Ninoxe hirsute"
"2653","Ninoxe de Rand"
"2654","Ninoxe de Hume"
"2655","Ninoxe des Andaman"
"2656","Ninoxe des Philippines"
"2657","Ninoxe de Mindanao"
"2658","Ninoxe de Camiguin"
"2659","Ninoxe des Sulu"
"2660","Ninoxe de Cebu"
"2661","Ninoxe du Romblon"
"2662","Ninoxe de Mindoro"
"2663","Ninoxe mineure"
"2664","Ninoxe de Burhan"
"2665","Ninoxe ocree"
"2666","Ninoxe rouilleuse"
"2667","Ninoxe d'Halmahera"
"2668","Ninoxe de Buru"
"2669","Ninoxe des Moluques"
"2670","Ninoxe des Tanimbar"
"2671","Ninoxe de Christmas"
"2672","Ninoxe de l'Amiraute"
"2673","Ninoxe brune"
"2674","Ninoxe pointillee"
"2675","Ninoxe odieuse"
"2676","Ninoxe bariolee"
"2677","Ninoxe de Jacquinot"
"2681","Ninoxe papoue"
"2682","eperviere boreale"
"2683","Chevechette d'Europe"
"2685","Chevechette perlee"
"2686","Chevechette a pieds jaunes"
"2687","Chevechette a queue barree"
"2688","Chevechette cuculoide"
"2689","Chevechette spadicee"
"2690","Chevechette de jungle"
"2691","Chevechette a dos marron"
"2692","Chevechette du Cap"
"2693","Chevechette chataine"
"2694","Chevechette de Prigogine"
"2695","Chevechette naine"
"2699","Chevechette du Costa Rica"
"2700","Chevechette des nuages"
"2701","Chevechette des Andes"
"2702","Chevechette des yungas"
"2703","Chevechette du Colima"
"2704","Chevechette du Tamaulipas"
"2705","Chevechette a tete grise"
"2706","Chevechette de Parker"
"2707","Chevechette d'Amazonie"
"2708","Chevechette caboure"
"2709","Chevechette des Moore"
"2710","Chevechette brune"
"2712","Chevechette du Perou"
"2713","Chevechette australe"
"2714","Chevechette de Cuba"
"2715","Chevechette nimbee"
"2716","Chevechette des saguaros"
"2717","Cheveche des terriers"
"2718","Cheveche brame"
"2719","Cheveche d'Athena"
"2720","Cheveche a sourcils blancs"
"2721","Cheveche forestiere"
"2722","Nyctale de Tengmalm"
"2723","Petite Nyctale"
"2724","Nyctale immaculee"
"2725","Nyctale de Harris"
"2726","Petit-duc a front blanc"
"2727","Petit-duc roussatre"
"2728","Petit-duc de Serendip"
"2729","Petit-duc a bec jaune"
"2730","Petit-duc d'Irene"
"2731","Petit-duc de Gurney"
"2732","Petit-duc du Japon"
"2733","Petit-duc a collier"
"2734","Petit-duc de Horsfield"
"2735","Petit-duc indien"
"2736","Petit-duc de Luçon"
"2737","Petit-duc de Negros"
"2738","Petit-duc d'Everett"
"2739","Petit-duc de Palawan"
"2740","Petit-duc des Mentawai"
"2741","Petit-duc de Wallace"
"2742","Petit-duc d'Enggano"
"2743","Petit-duc de Simalur"
"2744","Petit-duc des Nicobar"
"2745","Petit-duc des Andaman"
"2746","Petit-duc de Flores"
"2747","Petit-duc tachete"
"2748","Petit-duc de Java"
"2749","Petit-duc radjah"
"2750","Petit-duc d'Arabie"
"2751","Petit-duc de Pemba"
"2752","Petit-duc africain"
"2754","Petit-duc de Sao Tome"
"2755","Petit-duc scops"
"2756","Petit-duc de Chypre"
"2757","Petit-duc de Bruce"
"2758","Petit-duc longicorne"
"2759","Petit-duc de Mindanao"
"2760","Petit-duc de Mindoro"
"2761","Petit-duc malgache"
"2762","Petit-duc de Mayotte"
"2763","Petit-duc d'Anjouan"
"2764","Petit-duc du Karthala"
"2765","Petit-duc de Moheli"
"2766","Petit-duc de Socotra"
"2767","Petit-duc scieur"
"2768","Petit-duc d'Orient"
"2769","Petit-duc elegant"
"2770","Petit-duc de Siau"
"2771","Petit-duc de Manado"
"2773","Petit-duc des Sula"
"2774","Petit-duc des Sangihe"
"2775","Petit-duc de Mantanani"
"2776","Petit-duc mysterieux"
"2777","Petit-duc de Lombok"
"2779","Petit-duc de Beccari"
"2780","Petit-duc des Palau"
"2781","Petit-duc a face blanche"
"2782","Petit-duc de Grant"
"2783","Hibou maitre-bois"
"2784","Hibou moyen-duc"
"2785","Hibou d'Abyssinie"
"2786","Hibou malgache"
"2787","Hibou strie"
"2788","Hibou des marais"
"2789","Hibou du Cap"
"2792","Petit-duc nain"
"2793","Petit-duc des montagnes"
"2794","Petit-duc du Balsas"
"2795","Petit-duc de Cooper"
"2796","Petit-duc macule"
"2797","Petit-duc a moustaches"
"2798","Petit-duc choliba"
"2799","Petit-duc du Perou"
"2800","Petit-duc de Koepcke"
"2801","Petit-duc de Clark"
"2802","Petit-duc bride"
"2804","Petit-duc de Salvin"
"2805","Petit-duc de Peterson"
"2806","Petit-duc de Marshall"
"2807","Petit-duc de Watson"
"2808","Petit-duc guatemalteque"
"2810","Petit-duc de Hoy"
"2811","Petit-duc a meches noires"
"2812","Petit-duc a aigrettes longues"
"2814","Petit-duc a gorge blanche"
"2815","Petit-duc de Santa Marta"
"2816","Petit-duc de Cuba"
"2817","Chouette a lunettes"
"2818","Chouette a sourcils jaunes"
"2819","Chouette a collier"
"2820","Chouette des pagodes"
"2821","Chouette ocellee"
"2822","Chouette leptogramme"
"2823","Chouette hulotte"
"2824","Chouette de l'Himalaya"
"2825","Chouette de Hadoram"
"2826","Chouette de Butler"
"2827","Chouette tachetee"
"2828","Chouette rayee"
"2829","Chouette fauve"
"2830","Chouette dryade"
"2831","Chouette du Chaco"
"2832","Chouette masquee"
"2833","Chouette de l'Oural"
"2834","Chouette lapone"
"2835","Chouette africaine"
"2836","Duc a criniere"
"2837","Duc a aigrettes"
"2838","Harfang des neiges"
"2839","Grand-duc d'Amerique"
"2841","Grand-duc d'Europe"
"2842","Grand-duc ascalaphe"
"2843","Grand-duc indien"
"2844","Grand-duc du Cap"
"2845","Grand-duc africain"
"2846","Grand-duc du Sahel"
"2847","Grand-duc a aigrettes"
"2848","Grand-duc de Verreaux"
"2849","Grand-duc de Shelley"
"2850","Grand-duc bruyant"
"2851","Grand-duc du Nepal"
"2852","Grand-duc de Coromandel"
"2853","Grand-duc tachete"
"2854","Grand-duc des Philippines"
"2856","Ketoupa brun"
"2857","Ketoupa roux"
"2858","Ketoupa malais"
"2859","Chouette-pecheuse de Pel"
"2860","Chouette-pecheuse rousse"
"2861","Chouette-pecheuse de Bouvier"
"2862","Chouette mouchetee"
"2863","Chouette a lignes noires"
"2864","Chouette huhul"
"2865","Chouette fasciee"
"2866","Urubu a tete rouge"
"2867","Urubu a tete jaune"
"2868","Grand Urubu"
"2869","Urubu noir"
"2870","Sarcoramphe roi"
"2871","Condor de Californie"
"2872","Condor des Andes"
"2873","Messager sagittaire"
"2874","Balbuzard pecheur"
"2875","elanion blanc"
"2876","elanion d'Australie"
"2877","elanion a queue blanche"
"2878","elanion lettre"
"2879","elanion perle"
"2880","elanion naucler"
"2881","Bec-en-croc de Cayenne"
"2882","Bec-en-croc de Forbes"
"2883","Bec-en-croc de Temminck"
"2885","Naucler a queue fourchue"
"2886","Bondree apivore"
"2887","Bondree orientale"
"2888","Bondree des Celebes"
"2889","Bondree de Steere"
"2890","Bondree a plastron"
"2891","Bondree a queue carree"
"2892","Bondree a longue queue"
"2893","Bondree noire"
"2894","Baza coucou"
"2895","Baza malgache"
"2896","Baza de Jerdon"
"2897","Baza huppe"
"2898","Baza huppard"
"2899","Firasabe de Madagascar"
"2900","Gymnogene d'Afrique"
"2901","Gymnogene de Madagascar"
"2902","Palmiste africain"
"2903","Gypaete barbu"
"2904","Percnoptere d'egypte"
"2905","Serpentaire bacha"
"2906","Serpentaire des Philippines"
"2907","Serpentaire des Nicobar"
"2908","Serpentaire du Kinabalu"
"2909","Serpentaire des Celebes"
"2910","Serpentaire des Andaman"
"2911","Serpentaire du Congo"
"2912","Bateleur des savanes"
"2913","Pithecophage des Philippines"
"2914","Circaete Jean-le-Blanc"
"2915","Circaete de Beaudouin"
"2916","Circaete a poitrine noire"
"2917","Circaete brun"
"2918","Circaete barre"
"2919","Circaete cendre"
"2920","Vautour royal"
"2921","Vautour a tete blanche"
"2922","Vautour charognard"
"2923","Vautour de l'Himalaya"
"2924","Vautour chaugoun"
"2925","Vautour africain"
"2926","Vautour indien"
"2927","Vautour a long bec"
"2928","Vautour chassefiente"
"2929","Vautour de Rüppell"
"2930","Vautour fauve"
"2931","Vautour moine"
"2932","Vautour oricou"
"2933","Alcin des chauves-souris"
"2934","Harpie de Nouvelle-Guinee"
"2935","Harpie huppee"
"2936","Harpie feroce"
"2937","Aigle couronne"
"2938","Aigle montagnard"
"2939","Aigle de Java"
"2940","Aigle de Wallace"
"2941","Aigle de Blyth"
"2942","Aigle des Celebes"
"2943","Aigle des Philippines"
"2944","Aigle de Pinsker"
"2945","Aigle huppe"
"2946","Aigle de Flores"
"2947","Aigle a ventre roux"
"2948","Aigle martial"
"2949","Aigle tyran"
"2950","Aigle noir et blanc"
"2951","Aigle orne"
"2952","Aigle d'Isidore"
"2953","Aigle noir"
"2954","Aigle huppard"
"2955","Aigle pomarin"
"2956","Aigle lanceole"
"2957","Aigle criard"
