"","French.name"
"369","Dendrocygne veuf"
"370","Dendrocygne a ventre noir"
"371","Dendrocygne tachete"
"372","Dendrocygne des Antilles"
"373","Dendrocygne fauve"
"374","Dendrocygne d'Eyton"
"375","Dendrocygne a lunules"
"376","Dendrocygne siffleur"
"377","Dendrocygne a dos blanc"
"378","Heteronette a tete noire"
"379","erismature routoutou"
"380","erismature rousse"
"381","erismature des Andes"
"382","erismature ornee"
"383","erismature australe"
"384","erismature maccoa"
"385","erismature a tete blanche"
"386","erismature a barbillons"
"387","Malacorhynque a oreilles roses"
"388","Stictonette tachetee"
"389","Cereopse cendre"
"390","Coscoroba blanc"
"391","Cygne a cou noir"
"392","Cygne noir"
"393","Cygne tubercule"
"394","Cygne trompette"
"395","Cygne chanteur"
"396","Cygne siffleur"
"397","Bernache cravant"
"398","Bernache nonnette"
"399","Bernache a cou roux"
"400","Bernache de Hutchins"
"401","Bernache du Canada"
"402","Bernache nene"
"403","Oie empereur"
"404","Oie des neiges"
"405","Oie de Ross"
"406","Oie a tete barree"
"407","Oie cendree"
"409","Oie des moissons"
"410","Oie a bec court"
"411","Oie rieuse"
"412","Oie naine"
"413","Harelde kakawi"
"414","Eider a lunettes"
"415","Eider a tete grise"
"416","Eider a duvet"
"417","Eider de Steller"
"418","Macreuse a front blanc"
"419","Macreuse brune"
"420","Macreuse de Siberie"
"421","Macreuse a ailes blanches"
"422","Macreuse noire"
"423","Macreuse a bec jaune"
"424","Petit Garrot"
"425","Garrot a oeil d'or"
"426","Garrot d'Islande"
"427","Harle piette"
"428","Harle couronne"
"429","Grand Harle"
"430","Harle de Chine"
"431","Harle huppe"
"432","Harle huppard"
"433","Arlequin plongeur"
"436","Ouette de Magellan"
"437","Ouette marine"
"438","Ouette a tete grise"
"439","Ouette a tete rousse"
"440","Tadorne radjah"
"441","Ouette d'egypte"
"442","Tadorne de Belon"
"443","Tadorne casarca"
"444","Tadorne a tete grise"
"445","Tadorne d'Australie"
"446","Tadorne de paradis"
"447","Tadorne de Coree"
"448","Oie-armee de Gambie"
"449","Canard musque"
"450","Canard sylvicole"
"451","Canard a bosse"
"452","Anserelle naine"
"453","Anserelle de Coromandel"
"454","Anserelle elegante"
"455","Canard a collier noir"
"456","Canard branchu"
"457","Canard mandarin"
"458","Canard a criniere"
"459","Canard bleu"
"460","Merganette des torrents"
"461","Pteronette de Hartlaub"
"462","Cyanoie a ailes bleues"
"463","Marmaronette marbree"
"464","Nette a ailes blanches"
"465","Nette rousse"
"466","Nette demi-deuil"
"467","Nette brune"
"468","Fuligule milouin"
"469","Fuligule a tete rouge"
"470","Fuligule a dos blanc"
"471","Fuligule austral"
"472","Fuligule de Madagascar"
"473","Fuligule de Baer"
"474","Fuligule nyroca"
"475","Fuligule de Nouvelle-Zelande"
"476","Fuligule a collier"
"477","Fuligule morillon"
"478","Fuligule milouinan"
"479","Petit Fuligule"
"480","Nette a cou rose"
"481","Canard de Salvadori"
"482","Brassemer de Patagonie"
"483","Brassemer a tete blanche"
"484","Brassemer cendre"
"485","Brassemer des Malouines"
"486","Canard huppe"
"487","Canard a lunettes"
"488","Canard amazonette"
"489","Sarcelle d'ete"
"490","Sarcelle a bec bleu"
"491","Sarcelle de la puna"
"492","Sarcelle bariolee"
"493","Canard spatule"
"494","Canard de Smith"
"495","Canard bride"
"496","Canard souchet"
"497","Sarcelle cannelle"
"498","Sarcelle a ailes bleues"
"499","Sarcelle elegante"
"500","Canard a faucilles"
"501","Canard chipeau"
"502","Canard siffleur"
"503","Canard d'Amerique"
"504","Canard de Chiloe"
"505","Canard noiratre"
"506","Canard a bec jaune"
"507","Canard de Meller"
"508","Canard a sourcils"
"509","Canard des Philippines"
"510","Canard de Chine"
"511","Canard a bec tachete"
"512","Canard de Laysan"
"513","Canard colvert"
"514","Canard noir"
"515","Canard brun"
"516","Canard des Hawai"
"517","Sarcelle des Andaman"
"518","Sarcelle grise"
"519","Sarcelle australasienne"
"520","Sarcelle rousse"
"521","Sarcelle de Nouvelle-Zelande"
"522","Sarcelle des Auckland"
"523","Sarcelle de Campbell"
"524","Sarcelle de Bernier"
"525","Canard du Cap"
"526","Canard des Bahamas"
"527","Canard a bec rouge"
"528","Canard pilet"
"529","Canard d'Eaton"
"530","Canard a queue pointue"
"531","Sarcelle d'hiver"
"533","Sarcelle des Andes"
"534","Sarcelle tachetee"
"535","Grebe castagneux"
"536","Grebe australasien"
"537","Grebe malgache"
"538","Grebe minime"
"539","Grebe a bec bigarre"
"540","Grebe de Rolland"
"541","Grebe microptere"
"542","Grebe argente"
"543","Grebe de Nouvelle-Zelande"
"544","Grand Grebe"
"545","Grebe jougris"
"546","Grebe huppe"
"547","Grebe esclavon"
"548","Grebe a cou noir"
"550","Grebe aux belles joues"
"551","Grebe de Taczanowski"
"552","Grebe mitre"
"553","Grebe elegant"
"554","Grebe a face blanche"
"555","Flamant rose"
"556","Flamant des Caraibes"
"557","Flamant du Chili"
"558","Flamant nain"
"559","Flamant des Andes"
"560","Flamant de James"
"561","Phaeton a bec rouge"
"562","Phaeton a brins rouges"
"563","Phaeton a bec jaune"
"564","Kagou huppe"
"565","Caurale soleil"
"566","Mesite variee"
"567","Mesite unicolore"
"568","Mesite monias"
"569","Pigeon biset"
"570","Pigeon des rochers"
"571","Pigeon des neiges"
"572","Pigeon roussard"
"573","Pigeon a collier blanc"
"574","Pigeon colombin"
"575","Pigeon d'Eversmann"
"576","Pigeon de Somalie"
"577","Pigeon ramier"
"578","Pigeon trocaz"
"579","Pigeon de Bolle"
"580","Pigeon des lauriers"
"581","Pigeon gris"
"582","Pigeon rameron"
"583","Pigeon du Cameroun"
"584","Pigeon de Sao Tome"
"585","Pigeon des Comores"
"586","Pigeon de Hodgson"
"587","Pigeon a nuque blanche"
"588","Pigeon cendre"
"589","Pigeon d'Elphinstone"
"590","Pigeon de Ceylan"
"591","Pigeon marron"
"592","Pigeon argente"
"593","Pigeon des Andaman"
"594","Pigeon violet"
"595","Pigeon a gorge blanche"
"596","Pigeon leucomele"
"597","Pigeon a tete pale"
