species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
renpar1,avibase-D1E2E2F9,12356,species,Red-necked Parrot,Amazone de Bouquet,Amazona arausiaca,fr
marpar1,avibase-F6E73280,12357,species,Martinique Parrot,Amazone de Martinique,Amazona martinicana,fr
stlpar1,avibase-2156EB72,12358,species,St. Lucia Parrot,Amazone de Sainte-Lucie,Amazona versicolor,fr
yenpar1,avibase-74D1AE14,12359,species,Yellow-naped Parrot,Amazone a nuque d'or,Amazona auropalliata,fr
yehpar,avibase-F9D03943,12363,species,Yellow-headed Parrot,Amazone a tete jaune,Amazona oratrix,fr
yehpar2,avibase-5927F39D,12364,issf,Yellow-headed Parrot (Tres Marias Is.),Amazone a tete jaune (tresmariae),Amazona oratrix tresmariae,fr
yehpar1,avibase-C18AAFA8,12365,issf,Yellow-headed Parrot (Mainland),Amazone a tete jaune (groupe oratrix),Amazona oratrix [oratrix Group],fr
ywcpar,avibase-45BCA1AA,12369,species,Yellow-crowned Parrot,Amazone a front jaune,Amazona ochrocephala,fr
yespar1,avibase-CA4C6B17,12374,species,Yellow-shouldered Parrot,Amazone a epaulettes jaunes,Amazona barbadensis,fr
bufpar,avibase-4B268FD2,12375,species,Turquoise-fronted Parrot,Amazone a front bleu,Amazona aestiva,fr
blbpar1,avibase-EE676594,12378,species,Black-billed Parrot,Amazone verte,Amazona agilis,fr
whfpar1,avibase-DD669F07,12379,species,White-fronted Parrot,Amazone a front blanc,Amazona albifrons,fr
yelpar1,avibase-E0993B27,12383,species,Yellow-lored Parrot,Amazone du Yucatan,Amazona xantholora,fr
yebpar1,avibase-03EC041F,12384,species,Yellow-billed Parrot,Amazone sasabe,Amazona collaria,fr
y00876,avibase-9E5D3375,12385,slash,Black-billed/Yellow-billed Parrot,Amazone verte ou A. sasabe,Amazona agilis/collaria,fr
cubpar1,avibase-8B2843E8,12386,species,Cuban Parrot,Amazone de Cuba,Amazona leucocephala,fr
