,keyword,en_count,en_mean
253,Black-bellied Storm-petrel,288,1.29
254,Black-bellied Whistling-duck,1442,6.47
255,Black-billed Cuckoo,957,4.29
256,Black-billed Magpie,1591,7.13
257,Black-billed Thrush,1376,6.17
258,Black-breasted Buzzard,609,2.73
259,Black-browed Albatross,1217,5.46
260,Black-browed Babbler,317,1.42
261,Black-capped Chickadee,2989,13.40
262,Black-capped Lory,522,2.34
263,Black-capped Petrel,594,2.66
264,Black-capped Vireo,1611,7.22
265,Black-casqued Hornbill,417,1.87
266,Black-cheeked Lovebird,815,3.65
267,Black-chinned Hummingbird,2380,10.67
268,Black-collared Barbet,372,1.67
269,Black-collared Starling,518,2.32
270,Black-crested Finch,236,1.06
271,Black-crested Titmouse,1544,6.92
272,Black-crowned Night-heron,1419,6.36
273,Black-faced Bunting,635,2.85
274,Black-faced Dacnis,599,2.69
275,Black-faced Grassquit,359,1.61
276,Black-faced Spoonbill,1327,5.95
277,Black-footed Albatross,838,3.76
278,Black-fronted Bulbul,589,2.64
279,Black-fronted Tern,1362,6.11
280,Black-headed Grosbeak,2342,10.50
281,Black-headed Gull,2749,12.33
282,Black-headed Ibis,453,2.03
283,Black-headed Parrot,692,3.10
284,Black-headed Siskin,840,3.77
285,Black-hooded Oriole,1680,7.53
286,Black-legged Kittiwake,1757,7.88
287,Black-legged Seriema,427,1.91
288,Black-naped Monarch,816,3.66
289,Black-naped Oriole,1468,6.58
290,Black-necked Crane,961,4.31
291,Black-necked Grebe,1847,8.28
292,Black-necked Stork,1239,5.56
293,Black-necked Wattle-eye,213,0.96
294,Black-rumped Flameback,593,2.66
295,Black-shouldered Kite,1490,6.68
296,Black-tailed Godwit,2125,9.53
297,Black-tailed Gull,1018,4.57
298,Black-thighed Falconet,829,3.72
299,Black-throated Accentor,687,3.08
300,Black-throated Blue Warbler,1967,8.82
301,Black-throated Finch,1010,4.53
302,Black-throated Green Warbler,1272,5.70
303,Black-throated Grosbeak,282,1.26
304,Black-throated Magpie-jay,1095,4.91
305,Black-throated Sparrow,1507,6.76
306,Black-throated Thrush,990,4.44
307,Black-throated Tit,409,1.83
308,Black-whiskered Vireo,523,2.35
309,Black-winged Kite,919,4.12
310,Black-winged Pratincole,610,2.74
311,Black-winged Stilt,2614,11.72
312,Black Baza,6363,28.53
313,Black Bishop,9509,42.64
314,Black Bittern,671.5,3.01
315,Black Bulbul,7000,31.39
316,Black Butcherbird,2821,12.65
317,Black Caracara,2571,11.53
318,Black Catbird,2756,12.36
319,Black Coucal,4462,20.01
320,Black Crake,3919,17.57
321,Black Crowned Crane,1425,6.39
322,Black Cuckoo,6110,27.40
323,Black Currawong,2607,11.69
324,Black Drongo,5498,24.65
325,Black Eagle,7639,34.26
326,Black Falcon,5337,23.93
327,Black Fantail,5070,22.74
328,Black Francolin,5227,23.44
329,Black Grasswren,1051,4.71
330,Black Grouse,10358,46.45
331,Black Guan,5219,23.40
332,Black Guillemot,3161,14.17
333,Black Guineafowl,850,3.81
334,Black Harrier,4211,18.88
335,Black Hawk-eagle,1116,5.00
336,Black Heron,10137,45.46
337,Black Honeyeater,4194,18.81
338,Black Hornbill,4959,22.24
339,Black Inca,5861,26.28
340,Black Jacobin,2101,9.42
341,Black Kite,10750,48.21
342,Black Lark,5264,23.61
343,Black Lory,4444,19.93
344,Black Metaltail,723,3.24
345,Black Monarch,7856,35.23
346,Black Noddy,3236,14.51
347,Black Oriole,2635,11.82
348,Black Parrot,12749,57.17
349,Black Partridge,5360,24.04
350,Black Petrel,2507,11.24
351,Black Phoebe,2906,13.03
352,Black Rail,12414,55.67
353,Black Redstart,4858,21.78
354,Black Robin,5243,23.51
355,Black Scoter,6043,27.10
356,Black Shama,778.5,3.49
357,Black Sicklebill,529,2.37
358,Black Siskin,4642,20.82
359,Black Skimmer,7817,35.05
360,Black Solitaire,7894,35.40
361,Black Solitary Eagle,841,3.77
362,Black Sparrowhawk,3556,15.95
363,Black Stilt,6612,29.65
364,Black Stork,7421,33.28
365,Black Sunbird,5198,23.31
366,Black Swan,1218,5.46
367,Black Swift,5494,24.64
368,Black Tern,10675,47.87
369,Black Thrush,9268,41.56
370,Black Turnstone,2329,10.44
371,Black Wheatear,1865,8.36
372,Black Woodpecker,5796,25.99
373,Blackburnian Warbler,3456,15.50
374,Blackish Oystercatcher,631,2.83
375,Blackpoll Warbler,3062,13.73
376,Blacksmith Lapwing,1365,6.12
377,Blackstart,3782,16.96
378,Blackthroat,7227,32.41
379,Blood Pheasant,2427,10.88
380,Blossom-headed Parakeet,269,1.21
381,Blue-and-white Flycatcher,468,2.10
382,Blue-and-white Swallow,811,3.64
383,Blue-and-yellow Macaw,4681,20.99
384,Blue-backed Parrot,286,1.28
385,Blue-bearded Helmetcrest,473,2.12
386,Blue-bellied Roller,841,3.77
387,Blue-billed Duck,975,4.37
388,Blue-capped Cordon-bleu,774,3.47
389,Blue-capped Ifrit,514,2.30
390,Blue-cheeked Bee-eater,612,2.74
391,Blue-crowned Motmot,1252,5.61
392,Blue-eared Kingfisher,606,2.72
393,Blue-eyed Cockatoo,921,4.13
394,Blue-eyed Ground-dove,147,0.66
395,Blue-faced Honeyeater,1269,5.69
396,Blue-footed Booby,2684,12.04
397,Blue-fronted Redstart,1354,6.07
398,Blue-grey Gnatcatcher,407,1.83
399,Blue-headed Parrot,1132,5.08
400,Blue-headed Vireo,1030,4.62
401,Blue-naped Parrot,697,3.13
402,Blue-streaked Lory,578,2.59
403,Blue-tailed Bee-eater,1588,7.12
404,Blue-throated Barbet,445,2.00
405,Blue-throated Macaw,1535,6.88
406,Blue-winged Kookaburra,911,4.09
407,Blue-winged Pitta,587,2.63
408,Blue-winged Teal,1478,6.63
409,Blue-winged Warbler,2133,9.57
410,Blue Bird-of-paradise,2039,9.14
411,Blue Bunting,2697,12.09
412,Blue Bustard,2032,9.11
413,Blue Coua,876,3.93
414,Blue Crane,9112,40.86
415,Blue Dacnis,2605,11.68
416,Blue Duck,15476,69.40
417,Blue Finch,5626,25.23
418,Blue Grosbeak,3458,15.51
419,Blue Jay,7136,32.00
420,Blue Lorikeet,6013,26.96
421,Blue Manakin,2205,9.89
422,Blue Mockingbird,8255,37.02
423,Blue Mountain Vireo,514,2.30
424,Blue Noddy,3844,17.24
425,Blue Nuthatch,3874,17.37
426,Blue Petrel,1396,6.26
427,Blue Pitta,5303,23.78
428,Blue Swallow,8217,36.85
429,Bluebonnet,9991,44.80
430,Bluethroat,2488,11.16
431,Blyth's Pipit,328,1.47
432,Boat-billed Heron,1384,6.21
433,Boat-tailed Grackle,1816,8.14
434,Bobolink,8532,38.26
435,Bohemian Waxwing,4013,18.00
436,Bokmakierie,7192,32.25
437,Bonaparte's Gull,1478,6.63
438,Bonelli's Eagle,1433,6.43
439,Bonin Petrel,481,2.16
440,Booted Eagle,7397,33.17
441,Booted Warbler,1254,5.62
442,Boreal Chickadee,2416,10.83
443,Boreal Owl,3287,14.74
444,Bornean Frogmouth,644,2.89
445,Bornean Peacock-pheasant,799,3.58
446,Bougainville Moustached Kingfisher,650,2.91
447,Boulder Chat,2470,11.08
448,Bourke's Parrot,1529,6.86
449,Brahminy Kite,5529,24.79
450,Brahminy Starling,3668,16.45
451,Brambling,7923,35.53
452,Brazilian Merganser,1261,5.65
453,Brazilian Ruby,6749,30.26
454,Brazilian Tanager,1453,6.52
455,Brazilian Teal,1353,6.07
456,Brent Goose,5136,23.03
457,Brewer's Blackbird,4946,22.18
458,Brewer's Sparrow,2118,9.50
459,Bridled Tern,1843,8.26
460,Bridled Titmouse,714,3.20
461,Bridled White-eye,582,2.61
462,Broad-billed Hummingbird,1477,6.62
463,Broad-billed Roller,226,1.01
464,Broad-billed Sandpiper,915,4.10
465,Broad-tailed Hummingbird,1717,7.70
466,Broad-winged Hawk,2929,13.13
467,Bronze-winged Courser,290,1.30
468,Bronze Mannikin,2132,9.56
469,Bronzed Cowbird,2104,9.43
470,Bronzed Drongo,910,4.08
471,Bronzy Inca,541,2.43
472,Brown-backed Solitaire,364,1.63
473,Brown-chested Martin,476,2.13
474,Brown-crested Flycatcher,912,4.09
475,Brown-eared Bulbul,1600,7.17
476,Brown-headed Barbet,1452,6.51
477,Brown-headed Cowbird,2579,11.57
478,Brown-headed Gull,848,3.80
479,Brown-headed Nuthatch,1629,7.30
480,Brown-hooded Gull,188,0.84
481,Brown-throated Sunbird,1729,7.75
482,Brown Booby,3211,14.40
483,Brown Bullfinch,1629,7.30
484,Brown Dipper,3641,16.33
485,Brown Falcon,5626,25.23
486,Brown Goshawk,1941,8.70
487,Brown Honeyeater,1768,7.93
488,Brown Inca,2850,12.78
489,Brown Jay,3945,17.69
490,Brown Lory,2315,10.38
491,Brown Noddy,3020,13.54
492,Brown Oriole,2784,12.48
493,Brown Parrot,8114,36.39
494,Brown Pelican,4155,18.63
495,Brown Quail,4672,20.95
496,Brown Shrike,2866,12.85
497,Brown Skua,2302,10.32
498,Brown Tanager,1742,7.81
499,Brown Teal,13741,61.62
500,Brown Thornbill,2005,8.99
501,Brown Thrasher,5594,25.09
502,Brown Treecreeper,1266,5.68
503,Brown Trembler,211,0.95
504,Brown Whistler,3063,13.74
505,Brubru,3181,14.26
506,Brush Bronzewing,936,4.20
507,Brush Cuckoo,1206,5.41
508,Budgerigar,6135,27.51
509,Buff-banded Rail,751,3.37
510,Buff-bellied Pipit,802,3.60
511,Buff-breasted Sandpiper,1420,6.37
512,Buff-collared Nightjar,366,1.64
513,Buff-faced Pygmy-parrot,826,3.70
514,Bufflehead,10378,46.54
515,Bugun Liocichla,255.5,1.15
516,Bull-headed Shrike,898,4.03
517,Buller's Albatross,1221,5.48
518,Bullock's Oriole,2068,9.27
519,Bumblebee Hummingbird,3625,16.26
520,Burrowing Owl,8213,36.83
521,Burrowing Parrot,1456,6.53
522,Cackling Goose,3565,15.99
523,Cactus Wren,6044,27.10
524,Calandra Lark,1942,8.71
525,Calayan Rail,252.5,1.13
526,California Condor,6543,29.34
527,California Gnatcatcher,2667,11.96
528,California Gull,2379,10.67
529,California Quail,5448,24.43
530,California Thrasher,3435,15.40
531,California Towhee,4396,19.71
532,Calliope Hummingbird,4023,18.04
533,Cambodian Laughingthrush,438,1.96
534,Cambodian Tailorbird,267,1.20
535,Campbell Teal,2612,11.71
536,Campo Flicker,635,2.85
537,Campo Troupial,1315,5.90
538,Canada Goose,4054,18.18
539,Canada Warbler,5073,22.75
540,Canvasback,11881,53.28
541,Canyon Wren,3812,17.09
542,Cape Barren Goose,2525,11.32
543,Cape Bulbul,3669,16.45
544,Cape Bunting,1873,8.40
545,Cape Canary,8373,37.55
546,Cape Cormorant,1170,5.25
547,Cape Crow,5658,25.37
548,Cape Gannet,3012,13.51
549,Cape May Warbler,941,4.22
550,Cape Parrot,5689,25.51
551,Cape Petrel,3073,13.78
552,Cape Sparrow,2781,12.47
553,Cape Starling,2072,9.29
554,Cape Sugarbird,1665,7.47
555,Cape Teal,2984,13.38
556,Cape Vulture,3811,17.09
557,Cape Wagtail,1607,7.21
558,Cape Weaver,3384,15.17
559,Cape White-eye,698,3.13
560,Capped Heron,2539,11.39
561,Capuchinbird,649,2.91
562,Cardinal Woodpecker,6252,28.04
563,Carib Grackle,1980,8.88
564,Caribbean Dove,5683,25.48
565,Caribbean Martin,7377,33.08
566,Carolina Chickadee,6464,28.99
567,Carolina Wren,5704,25.58
568,Carrion Crow,6657,29.85
569,Carunculated Caracara,1189,5.33
570,Caspian Gull,2458,11.02
571,Caspian Plover,1611,7.22
572,Caspian Tern,6240,27.98
573,Caspian Tit,1015,4.55
574,Cassin's Auklet,993,4.45
575,Cassin's Finch,891,4.00
576,Cassin's Vireo,1080,4.84
577,Cattle Egret,8325,37.33
578,Cattle Tyrant,815,3.65
579,Cave Swallow,3121,14.00
580,Cave Swiftlet,953,4.27
581,Cebu Flowerpecker,1510,6.77
582,Cedar Waxwing,8593,38.53
583,Cerulean Warbler,3809,17.08
584,Cetti's Warbler,798,3.58
585,Chaco Owl,1288,5.78
586,Chalk-browed Mockingbird,722,3.24
587,Channel-billed Cuckoo,1380,6.19
588,Channel-billed Toucan,1418,6.36
589,Chatham Albatross,1964,8.81
590,Chatham Petrel,822,3.69
591,Chatham Pigeon,1802,8.08
592,Chattering Lory,3031,13.59
593,Cheer Pheasant,1741,7.81
594,Chestnut-backed Chickadee,1660,7.44
595,Chestnut-breasted Mannikin,195,0.87
596,Chestnut-breasted Partridge,237,1.06
597,Chestnut-crowned Babbler,600,2.69
598,Chestnut-eared Bunting,161,0.72
599,Chestnut-headed Bee-eater,757,3.39
600,Chestnut-sided Warbler,1707,7.65
601,Chestnut-tailed Starling,1597,7.16
602,Chestnut Bunting,1104,4.95
603,Chestnut Munia,372,1.67
604,Chestnut Rail,3986,17.87
605,Chestnut Sparrow,2203,9.88
606,Chestnut Teal,3362,15.08
607,Chestnut Thrush,2711,12.16
608,Chestnut Weaver,2053,9.21
609,Chestnut Woodpecker,832,3.73
610,Chihuahuan Raven,1758,7.88
611,Chilean Flamingo,1800,8.07
612,Chilean Tinamou,1070,4.80
613,Chiloe Wigeon,991,4.44
614,Chimango Caracara,925,4.15
615,Chiming Wedgebill,1228,5.51
616,Chimney Swift,6029,27.04
617,Chinese Blackbird,2946,13.21
618,Chinese Crested Tern,661,2.96
619,Chinese Egret,1948,8.74
620,Chinese Francolin,937,4.20
621,Chinese Grouse,2967,13.30
622,Chinese Monal,1268,5.69
623,Chinese Sparrowhawk,3399,15.24
624,Chinese Thrush,5393,24.18
625,Chinstrap Penguin,4417,19.81
626,Chipping Sparrow,4965,22.26
627,Chopi Blackbird,513,2.30
628,Chowchilla,8559,38.38
629,Christmas Island Frigatebird,1491,6.69
630,Chukar,13085,58.68
631,Cinderella Waxbill,1160,5.20
632,Cinereous Bulbul,876,3.93
633,Cinereous Bunting,1131,5.07
634,Cinereous Mourner,964,4.32
635,Cinereous Vulture,2704,12.13
636,Cinnamon Bittern,1011,4.53
637,Cinnamon Hummingbird,2105,9.44
638,Cinnamon Teal,6748,30.26
639,Cirl Bunting,3510,15.74
640,Citril Finch,978,4.39
641,Citrine Wagtail,2513,11.27
642,Clapper Rail,4900,21.97
643,Clark's Grebe,1503,6.74
644,Clark's Nutcracker,3644,16.34
645,Clay-colored Sparrow,1442,6.47
646,Clay-colored Thrush,1210,5.43
647,Cliff Swallow,7189,32.24
648,Club-winged Manakin,420,1.88
649,Coal Tit,3688,16.54
650,Cockatiel,10511,47.13
651,Cocoi Heron,1689,7.57
652,Coconut Lorikeet,1261,5.65
653,Coleto,9312,41.76
654,Colima Warbler,1048,4.70
655,Collared Crow,1415,6.35
656,Collared Falconet,1390,6.23
657,Collared Flycatcher,2914,13.07
658,Collared Inca,852,3.82
659,Collared Kingfisher,4163,18.67
660,Collared Lory,822,3.69
661,Collared Nightjar,422,1.89
662,Collared Owlet,2196,9.85
663,Collared Plover,1337,6.00
664,Collared Pratincole,1042,4.67
665,Collared Puffbird,901,4.04
666,Collared Sparrowhawk,2053,9.21
667,Collared Sunbird,1897,8.51
668,Collared Trogon,1001,4.49
669,Comb-crested Jacana,731,3.28
670,Common Babbler,3732,16.74
671,Common Black Hawk,2521,11.30
672,Common Bronzewing,1324,5.94
673,Common Bulbul,5067,22.72
674,Common Buttonquail,1447,6.49
675,Common Chaffinch,1933,8.67
676,Common Chiffchaff,1361,6.10
677,Common Coot,2775,12.44
678,Common Crane,7052,31.62
679,Common Cuckoo,6699,30.04
680,Common Eider,3893,17.46
681,Common Emu,3284,14.73
682,Common Firecrest,1381,6.19
683,Common Fiscal,6447,28.91
684,Common Flameback,1294,5.80
685,Common Gallinule,5101,22.87
686,Common Goldeneye,3664,16.43
687,Common Grackle,4591,20.59
688,Common Green Magpie,3304,14.82
689,Common Greenshank,1646,7.38
690,Common Hill Myna,3015,13.52
691,Common Hoopoe,4101,18.39
692,Common Iora,3966,17.78
693,Common Kestrel,3088,13.85
694,Common Kingfisher,5815,26.08
695,Common Linnet,377,1.69
696,Common Loon,5056,22.67
697,Common Miner,3329,14.93
698,Common Moorhen,7260,32.56
699,Common Murre,3431,15.39
700,Common Myna,6646,29.80
701,Common Nighthawk,4183,18.76
702,Common Nightingale,5115,22.94
703,Common Ostrich,3471,15.57
704,Common Pheasant,7250,32.51
705,Common Pochard,2865,12.85
706,Common Poorwill,3018,13.53
707,Common Potoo,1575,7.06
708,Common Quail,4101,18.39
709,Common Raven,6687,29.99
710,Common Redshank,4065,18.23
711,Common Redstart,2359,10.58
712,Common Ringed Plover,2557,11.47
713,Common Rosefinch,3051,13.68
714,Common Sandpiper,6872,30.82
715,Common Scoter,3523,15.80
716,Common Shelduck,1150,5.16
717,Common Snipe,4527,20.30
718,Common Starling,4191,18.79
719,Common Stonechat,1601,7.18
720,Common Swift,6832,30.64
721,Common Tailorbird,3999,17.93
722,Common Teal,5560,24.93
723,Common Tern,6046,27.11
724,Common Waxbill,2284,10.24
725,Common White Tern,1071,4.80
726,Common Woodshrike,1584,7.10
727,Common Yellowthroat,4550,20.40
728,Compact Weaver,2492,11.17
729,Congo Peafowl,2709,12.15
730,Connecticut Warbler,2218,9.95
731,Cook's Petrel,895,4.01
732,Cooper's Hawk,8202,36.78
733,Copper Pheasant,3689,16.54
734,Coppersmith Barbet,3867,17.34
735,Coppery-headed Emerald,210,0.94
736,Cordilleran Flycatcher,1243,5.57
737,Corn Bunting,5011,22.47
738,Corncrake,8103,36.34
739,Coscoroba Swan,1948,8.74
740,Costa's Hummingbird,1981,8.88
741,Cozumel Thrasher,217.5,0.98
742,Crane Hawk,2625,11.77
743,Cream-colored Woodpecker,277,1.24
744,Cream-coloured Courser,719,3.22
745,Crescent-chested Warbler,770,3.45
746,Crescent Honeyeater,2936,13.17
747,Crested Auklet,1278,5.73
748,Crested Barbet,5159,23.13
749,Crested Bellbird,613,2.75
750,Crested Bunting,1521,6.82
751,Crested Caracara,4977,22.32
752,Crested Coua,1579,7.08
753,Crested Duck,6228,27.93
754,Crested Eagle,6197,27.79
755,Crested Francolin,1542,6.91
756,Crested Goshawk,3196,14.33
757,Crested Guan,768,3.44
758,Crested Jay,4165,18.68
759,Crested Kingfisher,2787,12.50
760,Crested Lark,4564,20.47
761,Crested Myna,3345,15.00
762,Crested Oropendola,1154,5.17
763,Crested Owl,5571,24.98
764,Crested Partridge,1488,6.67
765,Crested Pigeon,5237,23.48
766,Crested Quetzal,743,3.33
767,Crested Tit,4232,18.98
768,Crested Treeswift,910,4.08
769,Crimson-rumped Toucanet,1111,4.98
770,Crimson Chat,2429,10.89
771,Crimson Fruitcrow,843,3.78
772,Crimson Rosella,7620,34.17
773,Crimson Sunbird,5621,25.21
774,Crimson Topaz,1172,5.26
775,Crissal Thrasher,730,3.27
776,Crowned Eagle,3058,13.71
777,Crowned Hornbill,2498,11.20
778,Crowned Lapwing,1323,5.93
779,Crowned Solitary Eagle,1210,5.43
780,Crowned Woodnymph,1308,5.87
781,Cuban Amazon,10982,49.25
782,Cuban Bullfinch,1184,5.31
783,Cuban Crow,3543,15.89
784,Cuban Emerald,2358,10.57
785,Cuban Grassquit,1027,4.61
786,Cuban Green Woodpecker,516,2.31
787,Cuban Kite,1322,5.93
788,Cuban Martin,1431,6.42
789,Cuban Pewee,381,1.71
790,Cuban Solitaire,3161,14.17
791,Cuban Tody,4017,18.01
792,Cuban Trogon,2070,9.28
793,Cuban Vireo,469,2.10
794,Cuckoo Roller,1963,8.80
795,Curl-crested Jay,269,1.21
796,Curl-crested Manucode,512,2.30
797,Curlew Sandpiper,5972,26.78
798,Curve-billed Thrasher,1944,8.72
799,Dalmatian Pelican,1492,6.69
800,Dark-billed Cuckoo,280,1.26
801,Dark-eyed Junco,2342,10.50
802,Dark-necked Tailorbird,367,1.65
803,Daurian Jackdaw,1935,8.68
804,Daurian Redstart,880,3.95
805,Dead Sea Sparrow,839,3.76
806,Demoiselle Crane,4270,19.15
807,Desert Finch,2443,10.96
808,Desert Lark,2318,10.39
809,Desert Sparrow,3600,16.14
810,Desert Tawny Owl,439,1.97
811,Desert Wheatear,2056,9.22
812,Diamond Dove,11791,52.87
813,Diamond Firetail,2436,10.92
814,Dickcissel,3484,15.62
815,Diederik Cuckoo,2344,10.51
816,Dolphin Gull,1955,8.77
817,Donacobius,836,3.75
818,Double-crested Cormorant,2543,11.40
819,Double-toothed Kite,358,1.61
820,Downy Woodpecker,6380,28.61
821,Drab Seedeater,280,1.26
822,Dulit Frogmouth,692,3.10
823,Dunlin,13068,58.60
824,Dunnock,4683,21.00
825,Dusky Grouse,3744,16.79
826,Dusky Lory,1274,5.71
827,Dusky Moorhen,2982,13.37
828,Dusky Parrot,956,4.29
829,Dusky Robin,3604,16.16
830,Dusky Scrubfowl,283,1.27
831,Dusky Thrush,913,4.09
832,Dusky Warbler,1578,7.08
833,Dusky Woodswallow,2324,10.42
834,Dwarf Bittern,750,3.36
835,Dwarf Cassowary,2113,9.48
836,Dwarf Jay,2975,13.34
837,Eared Dove,2027,9.09
838,Eared Pitta,437,1.96
839,Eared Quetzal,951,4.26
840,Eastern Bluebird,4469,20.04
841,Eastern Bristlebird,933,4.18
842,Eastern Crowned Warbler,304,1.36
843,Eastern Goldfinch,2672.5,11.98
844,Eastern Imperial Eagle,881,3.95
845,Eastern Kingbird,3562,15.97
846,Eastern Koel,1888,8.47
847,Eastern Meadowlark,3630,16.28
848,Eastern Phoebe,4455,19.98
849,Eastern Rosella,4291,19.24
850,Eastern Screech-owl,740,3.32
851,Eastern Spinebill,2407,10.79
852,Eastern Towhee,4624,20.74
853,Eastern Whip-poor-will,1703,7.64
854,Eastern Whipbird,1901,8.52
855,Eastern Wood-pewee,1057,4.74
856,Eastern Yellow Robin,1755,7.87
857,Eastern Yellow Wagtail,1863,8.35
858,Echo Parakeet,1715,7.69
859,Ecuadorian Hermit,1737,7.79
860,Edible-nest Swiftlet,890,3.99
861,Egyptian Goose,8471,37.99
862,Egyptian Nightjar,1079,4.84
863,Egyptian Plover,3716,16.66
864,Egyptian Vulture,3260,14.62
865,Elegant Crested Tinamou,567,2.54
866,Elegant Parrot,2868,12.86
867,Elegant Pitta,411,1.84
868,Elegant Tern,806,3.61
869,Elegant Tit,2809,12.60
870,Elegant Trogon,2565,11.50
871,Eleonora's Falcon,552,2.48
872,Elf Owl,3996,17.92
873,Elfin Woods Warbler,510,2.29
874,Elliot's Pheasant,425,1.91
875,Emerald Starling,1536,6.89
876,Emerald Tanager,753,3.38
877,Emerald Toucanet,1739,7.80
878,Emperor Goose,2740,12.29
879,Emperor Penguin,5935,26.61
880,Empress Brilliant,1984,8.90
881,Erect-crested Penguin,1609,7.22
882,Eskimo Curlew,3140,14.08
883,Esmeraldas Woodstar,403,1.81
884,Eurasian Bittern,1029,4.61
885,Eurasian Blackbird,1390,6.23
886,Eurasian Blackcap,1512,6.78
887,Eurasian Blue Tit,2586,11.60
888,Eurasian Bullfinch,3265,14.64
889,Eurasian Collared-dove,1695,7.60
890,Eurasian Crag Martin,1264,5.67
891,Eurasian Curlew,1717,7.70
892,Eurasian Dotterel,973,4.36
893,Eurasian Eagle-owl,3243,14.54
894,Eurasian Golden Oriole,2445,10.96
895,Eurasian Hobby,2203,9.88
896,Eurasian Jackdaw,858,3.85
897,Eurasian Jay,4262,19.11
898,Eurasian Magpie,3885,17.42
899,Eurasian Nuthatch,1993,8.94
900,Eurasian Oystercatcher,1595,7.15
901,Eurasian Siskin,1502,6.74
902,Eurasian Skylark,1911,8.57
903,Eurasian Sparrowhawk,3052,13.69
904,Eurasian Spoonbill,1892,8.48
905,Eurasian Tree Sparrow,3180,14.26
906,Eurasian Treecreeper,1959,8.78
907,Eurasian Wigeon,3514,15.76
908,Eurasian Woodcock,1628,7.30
909,Eurasian Wryneck,2074,9.30
910,European Bee-eater,1080,4.84
911,European Goldfinch,4585,20.56
912,European Greenfinch,2401,10.77
913,European Herring Gull,968,4.34
914,European Nightjar,2069,9.28
915,European Pied Flycatcher,1110,4.98
916,European Robin,6269,28.11
917,European Roller,4544,20.38
918,European Serin,1440,6.46
919,European Shag,1447,6.49
920,Evening Grosbeak,4243,19.03
921,Eyebrowed Thrush,1641,7.36
922,Eyrean Grasswren,504,2.26
923,Fairy Martin,5328,23.89
924,Fairy Pitta,2368,10.62
925,Fairy Prion,1222,5.48
926,Fairy Tern,4430,19.87
927,Falcated Duck,1180,5.29
928,Familiar Chat,3996,17.92
929,Fan-tailed Warbler,666,2.99
930,Far Eastern Curlew,2787,12.50
931,Fearful Owl,1556,6.98
932,Fernwren,914,4.10
933,Ferruginous Duck,2771,12.43
934,Ferruginous Flycatcher,592,2.65
935,Ferruginous Hawk,4591,20.59
936,Ferruginous Pygmy-owl,1078,4.83
937,Field Sparrow,4149,18.61
938,Fieldfare,2274,10.20
939,Fiery-throated Hummingbird,1063,4.77
940,Fiery Topaz,1401,6.28
941,Fiji Parrotfinch,292,1.31
942,Fiji Petrel,311,1.39
943,Fiordland Penguin,2438,10.93
944,Fire-tailed Sunbird,344,1.54
945,Firethroat,1031,4.62
946,Fischer's Lovebird,2753,12.35
947,Fish Crow,8381,37.58
948,Flame-faced Tanager,516,2.31
949,Flame Bowerbird,782,3.51
950,Flame Robin,6704,30.06
951,Flamecrest,1884,8.45
952,Flammulated Owl,3064,13.74
953,Flightless Cormorant,2626,11.78
954,Floreana Mockingbird,1768,7.93
955,Flores Crow,1728,7.75
956,Flores Monarch,3498,15.69
957,Florida Scrub-jay,1558,6.99
958,Fluffy-backed Tit-babbler,1012,4.54
959,Forest Bittern,1411,6.33
960,Forest Buzzard,4387,19.67
961,Forest Canary,3389,15.20
962,Forest Kingfisher,5247,23.53
963,Forest Owlet,4476,20.07
964,Forest Raven,6956,31.19
965,Forest Swallow,3657,16.40
966,Forest Thrush,3773,16.92
967,Forest Wagtail,2735,12.26
968,Fork-tailed Drongo,531,2.38
969,Fork-tailed Flycatcher,991,4.44
970,Fork-tailed Sunbird,592,2.65
971,Forster's Tern,1340,6.01
972,Forty-spotted Pardalote,734,3.29
973,Fox Kestrel,2849,12.78
974,Franklin's Gull,1879,8.43
975,Freckled Duck,1186,5.32
976,Frilled Coquette,534,2.39
977,Fulvous Whistling-duck,408,1.83
978,Gabar Goshawk,2159,9.68
979,Gadwall,8768,39.32
980,Galah,11500,51.57
981,Galapagos Dove,3392,15.21
982,Galapagos Hawk,1660,7.44
983,Galapagos Martin,3905,17.51
984,Galapagos Mockingbird,1194,5.35
985,Galapagos Penguin,3982,17.86
986,Galapagos Rail,1398,6.27
987,Gambel's Quail,1473,6.61
988,Gang-gang Cockatoo,2155,9.66
989,Garden Emerald,13086,58.68
990,Garden Warbler,3895,17.47
991,Garganey,846,3.79
992,Gentoo Penguin,5053,22.66
993,Giant Antpitta,761,3.41
994,Giant Coot,770,3.45
995,Giant Hummingbird,2975,13.34
996,Giant Ibis,7244,32.48
997,Giant Kingbird,411,1.84
998,Giant Kingfisher,5453,24.45
999,Giant Nuthatch,1368,6.13
1000,Giant Pitta,922,4.13
1001,Giant Snipe,2409,10.80
1002,Giant Weaver,2143,9.61
1003,Giant Wren,1718,7.70
1004,Gila Woodpecker,2290,10.27
1005,Gilded Flicker,1878,8.42
1006,Glaucous-winged Gull,1212,5.43
1007,Glaucous Gull,2191,9.83
1008,Glaucous Macaw,2472,11.09
1009,Glossy Ibis,4716,21.15
1010,Glossy Swiftlet,641,2.87
1011,Goldcrest,10760,48.25
1012,Golden-bellied Gerygone,1277,5.73
1013,Golden-capped Parakeet,363,1.63
1014,Golden-cheeked Warbler,1965,8.81
1015,Golden-chevroned Tanager,437,1.96
1016,Golden-collared Manakin,256,1.15
1017,Golden-crowned Kinglet,2179,9.77
1018,Golden-crowned Sparrow,1777,7.97
