,keyword,en_count,en_mean
1975,Purple Swamphen,5977,26.80
1976,Pygmy Cormorant,1583,7.10
1977,Pygmy Eagle,2138,9.59
1978,Pygmy Nightjar,877,3.93
1979,Pygmy Nuthatch,2692,12.07
1980,Pyrrhuloxia,2366,10.61
1981,Radde's Warbler,450,2.02
1982,Radjah Shelduck,1164,5.22
1983,Raggiana Bird-of-paradise,1204,5.40
1984,Rain Quail,4980,22.33
1985,Rainbow Bee-eater,1529,6.86
1986,Rainbow Lorikeet,11294,50.65
1987,Rainbow Pitta,1831,8.21
1988,Rainbow Starfrontlet,611,2.74
1989,Razorbill,4382,19.65
1990,Red-and-green Macaw,1880,8.43
1991,Red-and-yellow Barbet,1035,4.64
1992,Red-backed Shrike,1107,4.96
1993,Red-bellied Woodpecker,4755,21.32
1994,Red-billed Blue Magpie,948,4.25
1995,Red-billed Curassow,262,1.17
1996,Red-billed Hornbill,2308,10.35
1997,Red-billed Leiothrix,1479,6.63
1998,Red-billed Oxpecker,1188,5.33
1999,Red-billed Quelea,1446,6.48
2000,Red-billed Streamertail,1051,4.71
2001,Red-billed Tropicbird,1629,7.30
2002,Red-breasted Chat,503,2.26
2003,Red-breasted Flycatcher,1303,5.84
2004,Red-breasted Goose,1458,6.54
2005,Red-breasted Merganser,3401,15.25
2006,Red-breasted Nuthatch,1263,5.66
2007,Red-breasted Parakeet,600,2.69
2008,Red-breasted Sapsucker,852,3.82
2009,Red-browed Finch,831,3.73
2010,Red-capped Manakin,1162,5.21
2011,Red-cheeked Cordon-bleu,1208,5.42
2012,Red-cockaded Woodpecker,2409,10.80
2013,Red-collared Woodpecker,565,2.53
2014,Red-crested Cardinal,1801,8.08
2015,Red-crested Pochard,1849,8.29
2016,Red-crested Turaco,560,2.51
2017,Red-crowned Amazon,490,2.20
2018,Red-crowned Crane,3143,14.09
2019,Red-eyed Vireo,1892,8.48
2020,Red-footed Booby,2058,9.23
2021,Red-footed Falcon,223.5,1.00
2022,Red-fronted Macaw,1153,5.17
2023,Red-headed Barbet,1422,6.38
2024,Red-headed Falcon,699,3.13
2025,Red-headed Finch,1301,5.83
2026,Red-headed Lovebird,914,4.10
2027,Red-headed Vulture,863,3.87
2028,Red-headed Woodpecker,2172,9.74
2029,Red-knobbed Coot,567,2.54
2030,Red-legged Honeycreeper,866,3.88
2031,Red-legged Kittiwake,513,2.30
2032,Red-legged Partridge,1907,8.55
2033,Red-legged Seriema,554,2.48
2034,Red-lored Amazon,1314,5.89
2035,Red-naped Ibis,1856,8.32
2036,Red-naped Sapsucker,1935,8.68
2037,Red-necked Buzzard,406,1.82
2038,Red-necked Grebe,1485,6.66
2039,Red-necked Phalarope,1059,4.75
2040,Red-necked Stint,843,3.78
2041,Red-rumped Parrot,1749,7.84
2042,Red-rumped Swallow,2012,9.02
2043,Red-shouldered Blackbird,344,1.54
2044,Red-shouldered Hawk,3093,13.87
2045,Red-tailed Hawk,4214,18.90
2046,Red-tailed Laughingthrush,394,1.77
2047,Red-tailed Shrike,344,1.54
2048,Red-tailed Tropicbird,550,2.47
2049,Red-tailed Wheatear,243,1.09
2050,Red-throated Caracara,416,1.87
2051,Red-throated Loon,1245,5.58
2052,Red-throated Pipit,1359,6.09
2053,Red-throated Twinspot,208,0.93
2054,Red-vented Bulbul,2524,11.32
2055,Red-wattled Lapwing,709,3.18
2056,Red-whiskered Bulbul,3414,15.31
2057,Red-winged Blackbird,2764,12.39
2058,Red-winged Parrot,588,2.64
2059,Red-winged Starling,1437,6.44
2060,Red Avadavat,2324,10.42
2061,Red Crossbill,3741,16.78
2062,Red Fody,1955,8.77
2063,Red Goshawk,4848,21.74
2064,Red Junglefowl,2836,12.72
2065,Red Kite,13814,61.95
2066,Red Knot,9440,42.33
2067,Red Lark,6242,27.99
2068,Red Lory,6286,28.19
2069,Red Phalarope,1846,8.28
2070,Red Siskin,7090,31.79
2071,Red Spurfowl,3221,14.44
2072,Red Tanager,2403,10.78
2073,Red Warbler,4387,19.67
2074,Red Wattlebird,4496,20.16
2075,Red Weaver,11362,50.95
2076,Reddish Egret,5169,23.18
2077,Redhead,12796,57.38
2078,Redpoll,6153,27.59
2079,Redthroat,860,3.86
2080,Redwing,13797,61.87
2081,Reed Bunting,5531,24.80
2082,Regal Sunbird,830,3.72
2083,Regent Bowerbird,3130,14.04
2084,Regent Honeyeater,3612,16.20
2085,Regent Parrot,5371,24.09
2086,Resplendent Quetzal,4377,19.63
2087,Restless Flycatcher,2480,11.12
2088,Rhinoceros Auklet,2117,9.49
