,keyword,mean
305,Black-throated Sparrow,6.757847534
306,Black-throated Thrush,4.439461883
307,Black-throated Tit,1.834080717
308,Black-whiskered Vireo,2.34529148
309,Black-winged Kite,4.121076233
310,Black-winged Pratincole,2.735426009
311,Black-winged Stilt,11.72197309
312,Black Baza,28.53363229
313,Black Bishop,42.64125561
314,Black Bittern,3.011210762
315,Black Bulbul,31.39013453
316,Black Butcherbird,12.65022422
317,Black Caracara,11.52914798
318,Black Catbird,12.35874439
319,Black Coucal,20.00896861
320,Black Crake,17.57399103
321,Black Crowned Crane,6.390134529
322,Black Cuckoo,27.39910314
323,Black Currawong,11.69058296
324,Black Drongo,24.65470852
325,Black Eagle,34.25560538
326,Black Falcon,23.93273543
327,Black Fantail,22.73542601
328,Black Francolin,23.43946188
329,Black Grasswren,4.713004484
330,Black Grouse,46.44843049
331,Black Guan,23.40358744
332,Black Guillemot,14.17488789
333,Black Guineafowl,3.811659193
334,Black Harrier,18.88340807
335,Black Hawk-eagle,5.004484305
336,Black Heron,45.4573991
337,Black Honeyeater,18.80717489
338,Black Hornbill,22.23766816
339,Black Inca,26.28251121
340,Black Jacobin,9.421524664
341,Black Kite,48.20627803
342,Black Lark,23.60538117
343,Black Lory,19.92825112
344,Black Metaltail,3.242152466
345,Black Monarch,35.22869955
346,Black Noddy,14.51121076
347,Black Oriole,11.8161435
348,Black Parrot,57.17040359
349,Black Partridge,24.03587444
350,Black Petrel,11.24215247
351,Black Phoebe,13.03139013
352,Black Rail,55.66816143
353,Black Redstart,21.78475336
354,Black Robin,23.51121076
355,Black Scoter,27.09865471
356,Black Shama,3.49103139
357,Black Sicklebill,2.372197309
358,Black Siskin,20.8161435
359,Black Skimmer,35.05381166
360,Black Solitaire,35.39910314
361,Black Solitary Eagle,3.771300448
362,Black Sparrowhawk,15.94618834
363,Black Stilt,29.65022422
364,Black Stork,33.27802691
365,Black Sunbird,23.30941704
366,Black Swan,5.461883408
367,Black Swift,24.6367713
368,Black Tern,47.86995516
369,Black Thrush,41.56053812
370,Black Turnstone,10.44394619
371,Black Wheatear,8.3632287
372,Black Woodpecker,25.99103139
373,Blackburnian Warbler,15.49775785
374,Blackish Oystercatcher,2.829596413
375,Blackpoll Warbler,13.7309417
376,Blacksmith Lapwing,6.121076233
377,Blackstart,16.95964126
378,Blackthroat,32.40807175
379,Blood Pheasant,10.88340807
380,Blossom-headed Parakeet,1.206278027
381,Blue-and-white Flycatcher,2.098654709
382,Blue-and-white Swallow,3.6367713
383,Blue-and-yellow Macaw,20.99103139
384,Blue-backed Parrot,1.282511211
385,Blue-bearded Helmetcrest,2.121076233
386,Blue-bellied Roller,3.771300448
387,Blue-billed Duck,4.372197309
388,Blue-capped Cordon-bleu,3.470852018
389,Blue-capped Ifrit,2.304932735
390,Blue-cheeked Bee-eater,2.744394619
391,Blue-crowned Motmot,5.614349776
392,Blue-eared Kingfisher,2.717488789
393,Blue-eyed Cockatoo,4.130044843
394,Blue-eyed Ground-dove,0.659192825
