,keyword,count
308,Black-whiskered Vireo,523
309,Black-winged Kite,919
310,Black-winged Pratincole,610
311,Black-winged Stilt,2614
312,Black Baza,6363
313,Black Bishop,9509
314,Black Bittern,671.5
315,Black Bulbul,7000
316,Black Butcherbird,2821
317,Black Caracara,2571
318,Black Catbird,2756
319,Black Coucal,4462
320,Black Crake,3919
321,Black Crowned Crane,1425
322,Black Cuckoo,6110
323,Black Currawong,2607
324,Black Drongo,5498
325,Black Eagle,7639
326,Black Falcon,5337
327,Black Fantail,5070
328,Black Francolin,5227
329,Black Grasswren,1051
330,Black Grouse,10358
331,Black Guan,5219
332,Black Guillemot,3161
333,Black Guineafowl,850
334,Black Harrier,4211
335,Black Hawk-eagle,1116
336,Black Heron,10137
337,Black Honeyeater,4194
338,Black Hornbill,4959
339,Black Inca,5861
340,Black Jacobin,2101
341,Black Kite,10750
342,Black Lark,5264
343,Black Lory,4444
344,Black Metaltail,723
345,Black Monarch,7856
346,Black Noddy,3236
347,Black Oriole,2635
348,Black Parrot,12749
349,Black Partridge,5360
350,Black Petrel,2507
351,Black Phoebe,2906
352,Black Rail,12414
353,Black Redstart,4858
354,Black Robin,5243
355,Black Scoter,6043
356,Black Shama,778.5
357,Black Sicklebill,529
358,Black Siskin,4642
359,Black Skimmer,7817
360,Black Solitaire,7894
361,Black Solitary Eagle,841
362,Black Sparrowhawk,3556
363,Black Stilt,6612
364,Black Stork,7421
365,Black Sunbird,5198
366,Black Swan,1218
367,Black Swift,5494
368,Black Tern,10675
369,Black Thrush,9268
370,Black Turnstone,2329
371,Black Wheatear,1865
372,Black Woodpecker,5796
373,Blackburnian Warbler,3456
374,Blackish Oystercatcher,631
375,Blackpoll Warbler,3062
376,Blacksmith Lapwing,1365
377,Blackstart,3782
378,Blackthroat,7227
379,Blood Pheasant,2427
380,Blossom-headed Parakeet,269
381,Blue-and-white Flycatcher,468
382,Blue-and-white Swallow,811
383,Blue-and-yellow Macaw,4681
384,Blue-backed Parrot,286
385,Blue-bearded Helmetcrest,473
386,Blue-bellied Roller,841
387,Blue-billed Duck,975
388,Blue-capped Cordon-bleu,774
389,Blue-capped Ifrit,514
390,Blue-cheeked Bee-eater,612
391,Blue-crowned Motmot,1252
392,Blue-eared Kingfisher,606
393,Blue-eyed Cockatoo,921
394,Blue-eyed Ground-dove,147
395,Blue-faced Honeyeater,1269
396,Blue-footed Booby,2684
397,Blue-fronted Redstart,1354
398,Blue-grey Gnatcatcher,407
399,Blue-headed Parrot,1132
400,Blue-headed Vireo,1030
401,Blue-naped Parrot,697
402,Blue-streaked Lory,578
403,Blue-tailed Bee-eater,1588
404,Blue-throated Barbet,445
405,Blue-throated Macaw,1535
406,Blue-winged Kookaburra,911
407,Blue-winged Pitta,587
408,Blue-winged Teal,1478
409,Blue-winged Warbler,2133
410,Blue Bird-of-paradise,2039
411,Blue Bunting,2697
412,Blue Bustard,2032
413,Blue Coua,876
414,Blue Crane,9112
415,Blue Dacnis,2605
416,Blue Duck,15476
417,Blue Finch,5626
418,Blue Grosbeak,3458
419,Blue Jay,7136
420,Blue Lorikeet,6013
421,Blue Manakin,2205
422,Blue Mockingbird,8255
423,Blue Mountain Vireo,514
424,Blue Noddy,3844
425,Blue Nuthatch,3874
426,Blue Petrel,1396
427,Blue Pitta,5303
428,Blue Swallow,8217
429,Bluebonnet,9991
430,Bluethroat,2488
431,Blyth's Pipit,328
432,Boat-billed Heron,1384
433,Boat-tailed Grackle,1816
434,Bobolink,8532
435,Bohemian Waxwing,4013
436,Bokmakierie,7192
437,Bonaparte's Gull,1478
438,Bonelli's Eagle,1433
439,Bonin Petrel,481
440,Booted Eagle,7397
441,Booted Warbler,1254
442,Boreal Chickadee,2416
443,Boreal Owl,3287
444,Bornean Frogmouth,644
445,Bornean Peacock-pheasant,799
446,Bougainville Moustached Kingfisher,650
447,Boulder Chat,2470
448,Bourke's Parrot,1529
449,Brahminy Kite,5529
450,Brahminy Starling,3668
451,Brambling,7923
452,Brazilian Merganser,1261
453,Brazilian Ruby,6749
454,Brazilian Tanager,1453
455,Brazilian Teal,1353
456,Brent Goose,5136
457,Brewer's Blackbird,4946
458,Brewer's Sparrow,2118
459,Bridled Tern,1843
460,Bridled Titmouse,714
461,Bridled White-eye,582
462,Broad-billed Hummingbird,1477
463,Broad-billed Roller,226
464,Broad-billed Sandpiper,915
465,Broad-tailed Hummingbird,1717
466,Broad-winged Hawk,2929
467,Bronze-winged Courser,290
468,Bronze Mannikin,2132
469,Bronzed Cowbird,2104
470,Bronzed Drongo,910
471,Bronzy Inca,541
472,Brown-backed Solitaire,364
473,Brown-chested Martin,476
474,Brown-crested Flycatcher,912
475,Brown-eared Bulbul,1600
476,Brown-headed Barbet,1452
477,Brown-headed Cowbird,2579
478,Brown-headed Gull,848
479,Brown-headed Nuthatch,1629
480,Brown-hooded Gull,188
481,Brown-throated Sunbird,1729
482,Brown Booby,3211
483,Brown Bullfinch,1629
484,Brown Dipper,3641
485,Brown Falcon,5626
486,Brown Goshawk,1941
487,Brown Honeyeater,1768
488,Brown Inca,2850
489,Brown Jay,3945
490,Brown Lory,2315
491,Brown Noddy,3020
492,Brown Oriole,2784
493,Brown Parrot,8114
494,Brown Pelican,4155
495,Brown Quail,4672
496,Brown Shrike,2866
497,Brown Skua,2302
498,Brown Tanager,1742
499,Brown Teal,13741
500,Brown Thornbill,2005
501,Brown Thrasher,5594
502,Brown Treecreeper,1266
503,Brown Trembler,211
504,Brown Whistler,3063
505,Brubru,3181
506,Brush Bronzewing,936
507,Brush Cuckoo,1206
508,Budgerigar,6135
509,Buff-banded Rail,751
510,Buff-bellied Pipit,802
511,Buff-breasted Sandpiper,1420
512,Buff-collared Nightjar,366
513,Buff-faced Pygmy-parrot,826
514,Bufflehead,10378
515,Bugun Liocichla,255.5
516,Bull-headed Shrike,898
517,Buller's Albatross,1221
518,Bullock's Oriole,2068
519,Bumblebee Hummingbird,3625
520,Burrowing Owl,8213
521,Burrowing Parrot,1456
522,Cackling Goose,3565
523,Cactus Wren,6044
524,Calandra Lark,1942
525,Calayan Rail,252.5
526,California Condor,6543
527,California Gnatcatcher,2667
528,California Gull,2379
529,California Quail,5448
530,California Thrasher,3435
531,California Towhee,4396
532,Calliope Hummingbird,4023
533,Cambodian Laughingthrush,438
534,Cambodian Tailorbird,267
535,Campbell Teal,2612
536,Campo Flicker,635
537,Campo Troupial,1315
538,Canada Goose,4054
539,Canada Warbler,5073
540,Canvasback,11881
541,Canyon Wren,3812
542,Cape Barren Goose,2525
543,Cape Bulbul,3669
544,Cape Bunting,1873
545,Cape Canary,8373
546,Cape Cormorant,1170
547,Cape Crow,5658
548,Cape Gannet,3012
549,Cape May Warbler,941
550,Cape Parrot,5689
551,Cape Petrel,3073
552,Cape Sparrow,2781
553,Cape Starling,2072
554,Cape Sugarbird,1665
555,Cape Teal,2984
556,Cape Vulture,3811
557,Cape Wagtail,1607
558,Cape Weaver,3384
559,Cape White-eye,698
560,Capped Heron,2539
561,Capuchinbird,649
562,Cardinal Woodpecker,6252
563,Carib Grackle,1980
564,Caribbean Dove,5683
565,Caribbean Martin,7377
566,Carolina Chickadee,6464
567,Carolina Wren,5704
568,Carrion Crow,6657
569,Carunculated Caracara,1189
570,Caspian Gull,2458
571,Caspian Plover,1611
572,Caspian Tern,6240
573,Caspian Tit,1015
574,Cassin's Auklet,993
575,Cassin's Finch,891
576,Cassin's Vireo,1080
577,Cattle Egret,8325
578,Cattle Tyrant,815
579,Cave Swallow,3121
580,Cave Swiftlet,953
581,Cebu Flowerpecker,1510
582,Cedar Waxwing,8593
583,Cerulean Warbler,3809
584,Cetti's Warbler,798
585,Chaco Owl,1288
586,Chalk-browed Mockingbird,722
587,Channel-billed Cuckoo,1380
588,Channel-billed Toucan,1418
589,Chatham Albatross,1964
590,Chatham Petrel,822
591,Chatham Pigeon,1802
592,Chattering Lory,3031
593,Cheer Pheasant,1741
594,Chestnut-backed Chickadee,1660
595,Chestnut-breasted Mannikin,195
596,Chestnut-breasted Partridge,237
597,Chestnut-crowned Babbler,600
598,Chestnut-eared Bunting,161
599,Chestnut-headed Bee-eater,757
600,Chestnut-sided Warbler,1707
601,Chestnut-tailed Starling,1597
602,Chestnut Bunting,1104
603,Chestnut Munia,372
604,Chestnut Rail,3986
605,Chestnut Sparrow,2203
606,Chestnut Teal,3362
607,Chestnut Thrush,2711
608,Chestnut Weaver,2053
609,Chestnut Woodpecker,832
610,Chihuahuan Raven,1758
611,Chilean Flamingo,1800
612,Chilean Tinamou,1070
613,Chiloe Wigeon,991
614,Chimango Caracara,925
615,Chiming Wedgebill,1228
616,Chimney Swift,6029
617,Chinese Blackbird,2946
618,Chinese Crested Tern,661
619,Chinese Egret,1948
620,Chinese Francolin,937
621,Chinese Grouse,2967
622,Chinese Monal,1268
623,Chinese Sparrowhawk,3399
624,Chinese Thrush,5393
625,Chinstrap Penguin,4417
626,Chipping Sparrow,4965
627,Chopi Blackbird,513
628,Chowchilla,8559
629,Christmas Island Frigatebird,1491
630,Chukar,13085
631,Cinderella Waxbill,1160
632,Cinereous Bulbul,876
633,Cinereous Bunting,1131
634,Cinereous Mourner,964
635,Cinereous Vulture,2704
636,Cinnamon Bittern,1011
637,Cinnamon Hummingbird,2105
638,Cinnamon Teal,6748
639,Cirl Bunting,3510
640,Citril Finch,978
641,Citrine Wagtail,2513
642,Clapper Rail,4900
643,Clark's Grebe,1503
644,Clark's Nutcracker,3644
645,Clay-colored Sparrow,1442
646,Clay-colored Thrush,1210
647,Cliff Swallow,7189
648,Club-winged Manakin,420
649,Coal Tit,3688
650,Cockatiel,10511
651,Cocoi Heron,1689
652,Coconut Lorikeet,1261
653,Coleto,9312
654,Colima Warbler,1048
655,Collared Crow,1415
656,Collared Falconet,1390
657,Collared Flycatcher,2914
658,Collared Inca,852
659,Collared Kingfisher,4163
660,Collared Lory,822
661,Collared Nightjar,422
662,Collared Owlet,2196
663,Collared Plover,1337
664,Collared Pratincole,1042
665,Collared Puffbird,901
666,Collared Sparrowhawk,2053
667,Collared Sunbird,1897
668,Collared Trogon,1001
669,Comb-crested Jacana,731
670,Common Babbler,3732
671,Common Black Hawk,2521
672,Common Bronzewing,1324
673,Common Bulbul,5067
674,Common Buttonquail,1447
675,Common Chaffinch,1933
676,Common Chiffchaff,1361
677,Common Coot,2775
678,Common Crane,7052
679,Common Cuckoo,6699
680,Common Eider,3893
681,Common Emu,3284
682,Common Firecrest,1381
683,Common Fiscal,6447
684,Common Flameback,1294
685,Common Gallinule,5101
686,Common Goldeneye,3664
687,Common Grackle,4591
688,Common Green Magpie,3304
689,Common Greenshank,1646
690,Common Hill Myna,3015
691,Common Hoopoe,4101
692,Common Iora,3966
693,Common Kestrel,3088
694,Common Kingfisher,5815
695,Common Linnet,377
696,Common Loon,5056
697,Common Miner,3329
698,Common Moorhen,7260
699,Common Murre,3431
700,Common Myna,6646
701,Common Nighthawk,4183
702,Common Nightingale,5115
703,Common Ostrich,3471
704,Common Pheasant,7250
705,Common Pochard,2865
706,Common Poorwill,3018
707,Common Potoo,1575
708,Common Quail,4101
709,Common Raven,6687
710,Common Redshank,4065
711,Common Redstart,2359
712,Common Ringed Plover,2557
713,Common Rosefinch,3051
714,Common Sandpiper,6872
715,Common Scoter,3523
716,Common Shelduck,1150
717,Common Snipe,4527
718,Common Starling,4191
719,Common Stonechat,1601
720,Common Swift,6832
721,Common Tailorbird,3999
722,Common Teal,5560
723,Common Tern,6046
724,Common Waxbill,2284
725,Common White Tern,1071
726,Common Woodshrike,1584
727,Common Yellowthroat,4550
728,Compact Weaver,2492
729,Congo Peafowl,2709
730,Connecticut Warbler,2218
731,Cook's Petrel,895
732,Cooper's Hawk,8202
733,Copper Pheasant,3689
734,Coppersmith Barbet,3867
735,Coppery-headed Emerald,210
736,Cordilleran Flycatcher,1243
737,Corn Bunting,5011
738,Corncrake,8103
739,Coscoroba Swan,1948
740,Costa's Hummingbird,1981
741,Cozumel Thrasher,217.5
742,Crane Hawk,2625
743,Cream-colored Woodpecker,277
744,Cream-coloured Courser,719
745,Crescent-chested Warbler,770
746,Crescent Honeyeater,2936
747,Crested Auklet,1278
748,Crested Barbet,5159
749,Crested Bellbird,613
750,Crested Bunting,1521
751,Crested Caracara,4977
752,Crested Coua,1579
753,Crested Duck,6228
754,Crested Eagle,6197
755,Crested Francolin,1542
756,Crested Goshawk,3196
757,Crested Guan,768
758,Crested Jay,4165
759,Crested Kingfisher,2787
760,Crested Lark,4564
761,Crested Myna,3345
762,Crested Oropendola,1154
763,Crested Owl,5571
764,Crested Partridge,1488
765,Crested Pigeon,5237
766,Crested Quetzal,743
767,Crested Tit,4232
768,Crested Treeswift,910
769,Crimson-rumped Toucanet,1111
770,Crimson Chat,2429
771,Crimson Fruitcrow,843
772,Crimson Rosella,7620
773,Crimson Sunbird,5621
774,Crimson Topaz,1172
775,Crissal Thrasher,730
776,Crowned Eagle,3058
777,Crowned Hornbill,2498
778,Crowned Lapwing,1323
779,Crowned Solitary Eagle,1210
780,Crowned Woodnymph,1308
781,Cuban Amazon,10982
782,Cuban Bullfinch,1184
783,Cuban Crow,3543
784,Cuban Emerald,2358
785,Cuban Grassquit,1027
786,Cuban Green Woodpecker,516
787,Cuban Kite,1322
788,Cuban Martin,1431
789,Cuban Pewee,381
790,Cuban Solitaire,3161
791,Cuban Tody,4017
792,Cuban Trogon,2070
793,Cuban Vireo,469
794,Cuckoo Roller,1963
795,Curl-crested Jay,269
796,Curl-crested Manucode,512
797,Curlew Sandpiper,5972
798,Curve-billed Thrasher,1944
799,Dalmatian Pelican,1492
800,Dark-billed Cuckoo,280
801,Dark-eyed Junco,2342
802,Dark-necked Tailorbird,367
803,Daurian Jackdaw,1935
804,Daurian Redstart,880
805,Dead Sea Sparrow,839
806,Demoiselle Crane,4270
807,Desert Finch,2443
808,Desert Lark,2318
809,Desert Sparrow,3600
810,Desert Tawny Owl,439
811,Desert Wheatear,2056
812,Diamond Dove,11791
813,Diamond Firetail,2436
814,Dickcissel,3484
815,Diederik Cuckoo,2344
816,Dolphin Gull,1955
817,Donacobius,836
818,Double-crested Cormorant,2543
819,Double-toothed Kite,358
820,Downy Woodpecker,6380
821,Drab Seedeater,280
822,Dulit Frogmouth,692
823,Dunlin,13068
824,Dunnock,4683
825,Dusky Grouse,3744
826,Dusky Lory,1274
827,Dusky Moorhen,2982
828,Dusky Parrot,956
829,Dusky Robin,3604
830,Dusky Scrubfowl,283
831,Dusky Thrush,913
832,Dusky Warbler,1578
833,Dusky Woodswallow,2324
834,Dwarf Bittern,750
835,Dwarf Cassowary,2113
836,Dwarf Jay,2975
837,Eared Dove,2027
838,Eared Pitta,437
839,Eared Quetzal,951
840,Eastern Bluebird,4469
841,Eastern Bristlebird,933
842,Eastern Crowned Warbler,304
843,Eastern Goldfinch,2672.5
844,Eastern Imperial Eagle,881
845,Eastern Kingbird,3562
846,Eastern Koel,1888
847,Eastern Meadowlark,3630
848,Eastern Phoebe,4455
849,Eastern Rosella,4291
850,Eastern Screech-owl,740
851,Eastern Spinebill,2407
852,Eastern Towhee,4624
853,Eastern Whip-poor-will,1703
854,Eastern Whipbird,1901
855,Eastern Wood-pewee,1057
856,Eastern Yellow Robin,1755
857,Eastern Yellow Wagtail,1863
858,Echo Parakeet,1715
859,Ecuadorian Hermit,1737
860,Edible-nest Swiftlet,890
861,Egyptian Goose,8471
862,Egyptian Nightjar,1079
863,Egyptian Plover,3716
864,Egyptian Vulture,3260
865,Elegant Crested Tinamou,567
866,Elegant Parrot,2868
867,Elegant Pitta,411
868,Elegant Tern,806
869,Elegant Tit,2809
870,Elegant Trogon,2565
871,Eleonora's Falcon,552
872,Elf Owl,3996
873,Elfin Woods Warbler,510
874,Elliot's Pheasant,425
875,Emerald Starling,1536
876,Emerald Tanager,753
877,Emerald Toucanet,1739
878,Emperor Goose,2740
879,Emperor Penguin,5935
880,Empress Brilliant,1984
881,Erect-crested Penguin,1609
882,Eskimo Curlew,3140
883,Esmeraldas Woodstar,403
884,Eurasian Bittern,1029
885,Eurasian Blackbird,1390
886,Eurasian Blackcap,1512
887,Eurasian Blue Tit,2586
888,Eurasian Bullfinch,3265
889,Eurasian Collared-dove,1695
890,Eurasian Crag Martin,1264
891,Eurasian Curlew,1717
892,Eurasian Dotterel,973
893,Eurasian Eagle-owl,3243
894,Eurasian Golden Oriole,2445
895,Eurasian Hobby,2203
896,Eurasian Jackdaw,858
897,Eurasian Jay,4262
898,Eurasian Magpie,3885
899,Eurasian Nuthatch,1993
900,Eurasian Oystercatcher,1595
901,Eurasian Siskin,1502
902,Eurasian Skylark,1911
903,Eurasian Sparrowhawk,3052
904,Eurasian Spoonbill,1892
905,Eurasian Tree Sparrow,3180
906,Eurasian Treecreeper,1959
907,Eurasian Wigeon,3514
908,Eurasian Woodcock,1628
909,Eurasian Wryneck,2074
910,European Bee-eater,1080
911,European Goldfinch,4585
912,European Greenfinch,2401
913,European Herring Gull,968
914,European Nightjar,2069
915,European Pied Flycatcher,1110
916,European Robin,6269
917,European Roller,4544
918,European Serin,1440
919,European Shag,1447
920,Evening Grosbeak,4243
921,Eyebrowed Thrush,1641
922,Eyrean Grasswren,504
923,Fairy Martin,5328
924,Fairy Pitta,2368
925,Fairy Prion,1222
926,Fairy Tern,4430
927,Falcated Duck,1180
928,Familiar Chat,3996
929,Fan-tailed Warbler,666
930,Far Eastern Curlew,2787
931,Fearful Owl,1556
932,Fernwren,914
933,Ferruginous Duck,2771
934,Ferruginous Flycatcher,592
935,Ferruginous Hawk,4591
936,Ferruginous Pygmy-owl,1078
937,Field Sparrow,4149
938,Fieldfare,2274
939,Fiery-throated Hummingbird,1063
940,Fiery Topaz,1401
941,Fiji Parrotfinch,292
942,Fiji Petrel,311
943,Fiordland Penguin,2438
944,Fire-tailed Sunbird,344
945,Firethroat,1031
946,Fischer's Lovebird,2753
947,Fish Crow,8381
948,Flame-faced Tanager,516
949,Flame Bowerbird,782
950,Flame Robin,6704
951,Flamecrest,1884
952,Flammulated Owl,3064
953,Flightless Cormorant,2626
954,Floreana Mockingbird,1768
955,Flores Crow,1728
956,Flores Monarch,3498
957,Florida Scrub-jay,1558
958,Fluffy-backed Tit-babbler,1012
959,Forest Bittern,1411
960,Forest Buzzard,4387
961,Forest Canary,3389
962,Forest Kingfisher,5247
963,Forest Owlet,4476
964,Forest Raven,6956
965,Forest Swallow,3657
966,Forest Thrush,3773
967,Forest Wagtail,2735
968,Fork-tailed Drongo,531
969,Fork-tailed Flycatcher,991
970,Fork-tailed Sunbird,592
971,Forster's Tern,1340
972,Forty-spotted Pardalote,734
973,Fox Kestrel,2849
974,Franklin's Gull,1879
975,Freckled Duck,1186
976,Frilled Coquette,534
977,Fulvous Whistling-duck,408
978,Gabar Goshawk,2159
979,Gadwall,8768
980,Galah,11500
981,Galapagos Dove,3392
982,Galapagos Hawk,1660
983,Galapagos Martin,3905
984,Galapagos Mockingbird,1194
985,Galapagos Penguin,3982
986,Galapagos Rail,1398
987,Gambel's Quail,1473
988,Gang-gang Cockatoo,2155
