,species,gbif_mean,gbif_sum
243,Aethopyga magnifica,30.2,574
244,Aethopyga mystacalis,14.3,243
245,Aethopyga nipalensis,829.2,15754
246,Aethopyga primigenia,27.9,503
247,Aethopyga pulcherrima,30.4,548
248,Aethopyga saturata,852.3,16194
249,Aethopyga shelleyi,59.6,1072
250,Aethopyga siparaja,1860.1,35342
251,Aethopyga temminckii,224.3,4262
252,Aethopyga tibolii,12.3,74
253,Aethopyga vigorsii,356.5,6773
254,Afropavo congensis,2.3,21
255,Afrotis afra,361.9,6876
256,Afrotis afraoides,2301.3,43725
257,Agamia agami,352.5,6698
258,Agapornis canus,105.3,1895
259,Agapornis fischeri,233.7,4440
260,Agapornis lilianae,61.2,1162
261,Agapornis nigrigenis,24.0,384
262,Agapornis personatus,186.1,3535
263,Agapornis pullarius,91.8,1745
264,Agapornis roseicollis,1945.2,36958
265,Agapornis swindernianus,5.8,87
266,Agapornis taranta,113.6,2158
267,Agelaioides badius,5053.9,96025
268,Agelaioides oreopsar,46.8,843
269,Agelaius assimilis,89.0,1691
270,Agelaius humeralis,447.3,8499
271,Agelaius phoeniceus,663522.2,12606922
272,Agelaius tricolor,2906.6,55225
273,Agelaius xanthomus,155.6,2957
274,Agelastes meleagrides,2.9,23
275,Agelastes niger,3.6,43
276,Agelasticus cyanopus,884.3,16801
277,Agelasticus thilius,2602.0,49438
278,Agelasticus xanthophthalmus,47.1,848
279,Aglaeactis aliciae,6.5,98
280,Aglaeactis castelnaudii,78.4,1412
281,Aglaeactis cupripennis,1031.8,19605
282,Aglaeactis pamela,15.7,267
283,Aglaiocercus berlepschi,9.8,156
284,Aglaiocercus coelestis,1303.1,24758
285,Aglaiocercus kingii,1834.3,34852
286,Agraphospiza rubescens,9.4,170
287,Agriornis albicauda,42.4,764
288,Agriornis lividus,324.3,6161
289,Agriornis micropterus,196.6,3735
290,Agriornis montanus,654.6,12437
291,Agriornis murinus,131.4,2497
292,Agropsar philippensis,182.1,3460
293,Agropsar sturninus,270.7,5143
294,Ailuroedus arfakianus,14.2,199
295,Ailuroedus astigmaticus,2.2,11
296,Ailuroedus buccoides,3.7,56
297,Ailuroedus crassirostris,1427.0,27113
298,Ailuroedus geislerorum,7.3,109
299,Ailuroedus jobiensis,1.0,1
300,Ailuroedus maculosus,621.1,11801
301,Ailuroedus melanocephalus,7.7,23
302,Ailuroedus melanotis,75.7,1439
303,Ailuroedus stonii,4.1,58
304,Aimophila notosticta,65.0,1235
305,Aimophila rufescens,1777.5,33773
306,Aimophila ruficeps,9142.3,173704
307,Aix galericulata,5839.2,110945
308,Aix sponsa,180891.7,3436942
309,Alaemon alaudipes,441.2,8383
310,Alaemon hamertoni,2.6,13
311,Alauda arvensis,90663.6,1722609
312,Alauda gulgula,3249.7,61745
313,Alauda razae,13.3,159
314,Alca torda,16807.2,319337
315,Alcedo argentata,39.0,741
316,Alcedo atthis,65096.7,1236837
317,Alcedo azurea,1777.2,33767
318,Alcedo coerulescens,104.7,1990
319,Alcedo cristata,3710.6,70502
320,Alcedo cyanopectus,35.9,682
321,Alcedo euryzona,53.9,970
322,Alcedo hercules,11.2,201
323,Alcedo leucogaster,37.6,714
324,Alcedo meninting,510.0,9690
325,Alcedo pusilla,180.0,3420
326,Alcedo quadribrachys,70.7,1344
327,Alcedo semitorquata,369.0,7011
328,Alcedo vintsioides,173.2,3117
329,Alcedo websteri,1.3,9
330,Alcippe brunnea,2174.1,41308
331,Alcippe brunneicauda,182.6,3286
332,Alcippe castaneceps,397.6,7554
333,Alcippe cinerea,129.8,2467
334,Alcippe davidi,83.2,1498
335,Alcippe dubia,94.1,1788
336,Alcippe fratercula,275.7,5238
337,Alcippe grotei,33.3,600
338,Alcippe hueti,161.5,3069
339,Alcippe klossi,13.6,218
340,Alcippe morrisonia,2936.3,55790
341,Alcippe nipalensis,283.8,5393
342,Alcippe peracensis,238.7,4535
343,Alcippe poioicephala,1376.9,26162
344,Alcippe pyrrhoptera,43.1,776
345,Alcippe rufogularis,40.6,771
346,Alcippe variegaticeps,8.9,107
347,Aleadryas rufinucha,77.3,1392
348,Alectoris barbara,284.2,5400
349,Alectoris chukar,3944.9,74954
350,Alectoris graeca,393.7,7481
351,Alectoris magna,12.6,214
352,Alectoris melanocephala,47.9,910
353,Alectoris philbyi,4.2,55
354,Alectoris rufa,10693.8,203183
355,Alectroenas madagascariensis,80.9,1537
356,Alectroenas pulcherrimus,38.1,723
357,Alectroenas sganzini,6.4,102
358,Alectrurus risora,100.8,1916
359,Alectrurus tricolor,57.6,1036
360,Alectura lathami,6284.6,119408
361,Alethe castanea,67.5,1215
362,Alethe diademata,51.5,979
363,Alisterus amboinensis,1.5,9
364,Alisterus chloropterus,33.7,539
365,Alisterus scapularis,10337.5,196413
366,Alle alle,3305.8,62810
367,Allenia fusca,502.6,9549
368,Alophoixus aureus,1.9,13
369,Alophoixus bres,8.4,143
370,Alophoixus chloris,37.4,674
371,Alophoixus finschii,79.2,1505
372,Alophoixus flaveolus,341.1,6481
373,Alophoixus frater,59.4,1070
374,Alophoixus longirostris,8.8,114
375,Alophoixus lucasi,16.7,117
376,Alophoixus mystacalis,12.8,166
377,Alophoixus ochraceus,475.3,9031
378,Alophoixus pallidus,403.3,7662
379,Alophoixus phaeocephalus,221.6,4210
380,Alopochelidon fucata,461.3,8765
381,Alopochen aegyptiaca,61068.1,1160293
382,Amadina erythrocephala,3032.2,57611
383,Amadina fasciata,940.4,17867
384,Amalocichla incerta,47.3,757
385,Amalocichla sclateriana,5.4,54
386,Amandava amandava,3068.5,58301
387,Amandava formosa,2.9,26
388,Amandava subflava,794.4,15093
389,Amaurocichla bocagii,5.5,71
390,Amaurolimnas concolor,220.3,4186
391,Amaurornis akool,263.9,5015
392,Amaurornis flavirostra,3770.3,71636
393,Amaurornis isabellina,28.1,534
394,Amaurornis magnirostris,5.4,38
395,Amaurornis olivacea,342.3,6504
396,Amaurornis olivieri,6.1,61
397,Amaurornis phoenicurus,17254.8,327841
398,Amaurospiza aequatorialis,2.3,14
399,Amaurospiza carrizalensis,1.3,4
400,Amaurospiza concolor,105.9,2013
401,Amaurospiza moesta,76.0,1444
402,Amazilia boucardi,189.7,3605
403,Amazilia cyanocephala,7.2,94
404,Amazilia luciae,88.1,1586
405,Amazilia rutila,6475.5,123035
406,Amazilia tzacatl,21951.4,417077
407,Amazilia yucatanensis,5517.1,104825
408,Amazilis amazilia,1222.4,23226
409,Amazona aestiva,1945.5,36965
410,Amazona agilis,62.8,1131
411,Amazona albifrons,6190.5,117620
412,Amazona amazonica,2789.1,52993
413,Amazona arausiaca,27.8,529
414,Amazona auropalliata,17.7,337
415,Amazona autumnalis,7898.3,150068
416,Amazona barbadensis,116.8,2220
417,Amazona brasiliensis,68.1,1294
418,Amazona collaria,85.1,1531
419,Amazona dufresniana,39.9,718
420,Amazona farinosa,4070.8,77346
421,Amazona festiva,211.9,4026
422,Amazona finschi,406.0,7714
423,Amazona guildingii,11.0,198
424,Amazona imperialis,9.3,167
425,Amazona kawalli,71.8,1364
426,Amazona leucocephala,483.5,9186
427,Amazona mercenaria,816.7,15518
428,Amazona ochrocephala,2443.9,46434
429,Amazona oratrix,369.5,7021
430,Amazona pretrei,32.9,559
431,Amazona rhodocorytha,68.6,1304
432,Amazona tresmariae,4.0,4
433,Amazona tucumana,96.7,1838
434,Amazona ventralis,127.8,2429
435,Amazona versicolor,27.2,516
436,Amazona vinacea,109.5,2081
437,Amazona viridigenalis,2809.7,53385
438,Amazona vittata,2.6,23
439,Amazona xantholora,146.7,2788
440,Amazona xanthops,128.2,2435
441,Amazonetta brasiliensis,3763.7,71510
442,Amblycercus holosericeus,3370.7,64044
443,Amblyornis flavifrons,25.3,76
444,Amblyornis inornata,26.3,395
445,Amblyornis macgregoriae,26.9,431
446,Amblyornis newtoniana,94.8,1707
447,Amblyornis subalaris,3.0,9
448,Amblyospiza albifrons,3770.3,71635
449,Amblyramphus holosericeus,628.0,11932
450,Ammodramus aurifrons,1714.4,32574
451,Ammodramus bairdii,9.3,149
452,Ammodramus caudacutus,2655.9,50463
453,Ammodramus henslowii,15.7,283
454,Ammodramus humeralis,2061.6,39170
455,Ammodramus leconteii,2751.8,52284
456,Ammodramus maritimus,4451.6,84580
457,Ammodramus nelsoni,12.0,216
458,Ammodramus savannarum,16373.0,311087
459,Ammomanes cinctura,249.3,4737
460,Ammomanes deserti,993.3,18873
461,Ammomanes phoenicura,1418.2,26945
462,Ammomanopsis grayi,53.3,1013
463,Ammoperdix griseogularis,83.6,1589
464,Ammoperdix heyi,577.3,10968
465,Ammospiza nelsoni,3427.3,65119
