,species,gbif_mean,gbif_sum
4741,Hydrobates melania,1510.7,28703
4742,Hydrobates melitensis,349.9,4898
4743,Hydrobates monteiroi,8.2,106
4744,Hydrobates pelagicus,1955.3,37151
4745,Hydrobates socorroensis,137.5,2062
4746,Hydrochous gigas,13.4,241
4747,Hydrocoloeus minutus,13744.6,261147
4748,Hydrophasianus chirurgus,3496.0,66424
4749,Hydroprogne caspia,77281.6,1468351
4750,Hydropsalis cayennensis,241.7,4593
4751,Hydropsalis climacocerca,270.7,5144
4752,Hydropsalis maculicaudus,153.6,2765
4753,Hydropsalis torquata,433.7,8241
4754,Hydrornis irena,65.9,1253
4755,Hydrornis schwaneri,29.6,503
4756,Hyetornis pluvialis,79.1,1503
4757,Hyetornis rufigularis,22.1,419
4758,Hylexetastes perrotii,63.8,1213
4759,Hylexetastes stresemanni,16.9,287
4760,Hylia prasina,322.8,6134
4761,Hyliota australis,66.9,1271
4762,Hyliota flavigaster,49.1,933
4763,Hyliota usambara,5.3,63
4764,Hyliota violacea,24.7,469
4765,Hylocharis chrysura,2335.0,44365
4766,Hylocharis sapphirina,127.1,2415
4767,Hylocichla mustelina,70516.7,1339818
4768,Hylocitrea bonensis,14.4,245
4769,Hylocryptus erythrocephalus,64.1,1153
4770,Hylocryptus rectirostris,2.3,7
4771,Hyloctistes subulatus,335.9,6047
4772,Hylomanes momotula,751.3,14275
4773,Hylonympha macrocerca,3.4,41
4774,Hylopezus auricularis,9.8,118
4775,Hylopezus berlepschi,4.9,78
4776,Hylopezus dives,9.5,142
4777,Hylopezus fulviventris,2.2,22
4778,Hylopezus macularius,74.7,1419
4779,Hylopezus nattereri,124.2,2360
4780,Hylopezus ochroleucus,43.1,818
4781,Hylopezus perspicillatus,389.2,7394
4782,Hylopezus whittakeri,35.1,632
4783,Hylophilus amaurocephalus,224.3,4262
4784,Hylophilus aurantiifrons,806.2,15318
4785,Hylophilus brunneiceps,30.2,513
4786,Hylophilus decurtatus,7209.0,136971
4787,Hylophilus flavipes,1622.0,30818
4788,Hylophilus hypoxanthus,366.2,6591
4789,Hylophilus insularis,3.0,3
4790,Hylophilus muscicapinus,191.3,3444
4791,Hylophilus ochraceiceps,13.6,244
4792,Hylophilus olivaceus,193.6,3484
4793,Hylophilus pectoralis,290.5,5520
4794,Hylophilus poicilotis,610.3,11595
4795,Hylophilus sclateri,13.3,200
4796,Hylophilus semibrunneus,582.2,11061
4797,Hylophilus semicinereus,235.8,4245
4798,Hylophilus thoracicus,277.8,5279
4799,Hylophylax naevioides,1014.1,19267
4800,Hylophylax naevius,271.3,5154
4801,Hylophylax punctulatus,158.5,3012
4802,Hylopsar cupreocauda,37.2,707
4803,Hylopsar purpureiceps,96.3,1829
4804,Hylorchilus navai,41.7,792
4805,Hylorchilus sumichrasti,33.8,609
4806,Hymenolaimus malacorhynchos,112.0,2128
4807,Hymenops perspicillatus,2337.6,44415
4808,Hypargos margaritatus,168.7,3205
4809,Hypargos niveoguttatus,185.8,3531
4810,Hypergerus atriceps,144.6,2748
4811,Hypnelus bicinctus,3.1,31
4812,Hypnelus ruficollis,780.8,14835
4813,Hypocharmosyna placentis,88.9,1601
4814,Hypocharmosyna rubronotata,4.3,60
4815,Hypocnemis cantator,183.6,3489
4816,Hypocnemis flavescens,75.0,1425
4817,Hypocnemis hypoxantha,124.8,2246
4818,Hypocnemis ochrogyna,28.3,537
4819,Hypocnemis peruviana,428.5,8142
4820,Hypocnemis rondoni,8.4,117
4821,Hypocnemis striata,139.9,2658
4822,Hypocnemis subflava,176.6,3178
4823,Hypocnemoides maculicauda,233.1,4428
4824,Hypocnemoides melanopogon,166.4,3161
4825,Hypocolius ampelinus,141.2,2683
4826,Hypocryptadius cinnamomeus,45.8,824
4827,Hypoedaleus guttatus,702.6,13350
4828,Hypogramma hypogrammicum,315.6,5996
4829,Hypopyrrhus pyrohypogaster,432.5,8217
4830,Hypositta corallirostris,38.9,701
4831,Hypothymis azurea,8318.9,158060
4832,Hypothymis coelestis,9.8,176
4833,Hypothymis helenae,23.7,427
4834,Hypsipetes amaurotis,4483.7,85191
4835,Hypsipetes borbonicus,55.3,1050
4836,Hypsipetes crassirostris,38.1,723
4837,Hypsipetes everetti,43.3,823
4838,Hypsipetes ganeesa,938.6,17834
4839,Hypsipetes guimarasensis,46.0,782
4840,Hypsipetes leucocephalus,11174.4,212313
4841,Hypsipetes madagascariensis,427.9,7702
4842,Hypsipetes mindorensis,13.2,225
4843,Hypsipetes moheliensis,3.0,12
4844,Hypsipetes olivaceus,13.3,253
4845,Hypsipetes parvirostris,3.0,24
4846,Hypsipetes philippinus,453.9,8624
4847,Hypsipetes rufigularis,6.5,98
4848,Hypsipetes siquijorensis,12.3,222
4849,Ianthocincla albogularis,1.0,3
4850,Ianthocincla davidi,9.0,9
4851,Ianthocincla mitrata,2.5,5
4852,Ianthocincla pectoralis,3.0,6
4853,Ianthocincla ruficollis,1.0,1
4854,Ianthocincla sannio,2.4,17
4855,Ianthocincla treacheri,2.0,2
4856,Ianthocincla vassali,3.0,3
4857,Ibidorhyncha struthersii,171.8,3265
4858,Ibycter americanus,897.4,17051
4859,Ichthyaetus audouinii,4431.2,84192
4860,Ichthyaetus hemprichii,442.2,8402
4861,Ichthyaetus ichthyaetus,1286.9,24451
4862,Ichthyaetus leucophthalmus,221.1,4201
4863,Ichthyaetus melanocephalus,14080.8,267535
4864,Ichthyaetus melanocephalus x Chroicocephalus ridibundus,4.7,33
4865,Ichthyaetus melanocephalus x Larus canus,1.0,1
4866,Ichthyaetus relictus,100.9,1817
4867,Ichthyornis dispar,1.6,11
4868,Icteria virens,30132.1,572509
4869,Icterus abeillei,659.2,12524
4870,Icterus auratus,657.1,12485
4871,Icterus auricapillus,451.9,8587
4872,Icterus bonana,9.9,168
4873,Icterus bullockii,29018.9,551360
4874,Icterus bullockiorum,1.6,13
4875,Icterus cayanensis,3322.7,63132
4876,Icterus chrysater,4401.9,83637
4877,Icterus cucullatus,20161.1,383061
4878,Icterus dominicensis,1023.5,19447
4879,Icterus fuertesi,1.7,5
4880,Icterus galbula,133655.7,2539458
4881,Icterus graceannae,219.3,4167
4882,Icterus graduacauda,1491.9,28346
4883,Icterus gularis,7460.5,141749
4884,Icterus icterus,2935.2,55768
4885,Icterus laudabilis,27.3,518
4886,Icterus leucopteryx,357.8,6798
4887,Icterus maculialatus,118.7,2255
4888,Icterus mesomelas,1575.9,29942
4889,Icterus nigrogularis,3004.7,57090
4890,Icterus northropi,32.6,554
4891,Icterus oberi,17.7,283
4892,Icterus parisorum,4443.6,84428
4893,Icterus pectoralis,2123.4,40344
4894,Icterus prosthemelas,2882.3,54764
4895,Icterus pustulatus,4956.4,94171
4896,Icterus spurius,45704.5,868385
4897,Icterus wagleri,1529.6,29063
4898,Icterus xanthornus,2.0,2
4899,Icthyophaga humilis,274.8,4946
4900,Icthyophaga ichthyaetus,626.4,11902
4901,Ictinaetus malayensis,1787.5,33962
4902,Ictinia mississippiensis,15562.6,295690
4903,Ictinia plumbea,3287.4,62460
4904,Idiopsar brachyurus,14.3,243
4905,Idiopsar dorsalis,51.8,984
4906,Idiopsar speculifer,162.8,3093
4907,Iduna aedon,603.2,11460
4908,Iduna caligata,1901.2,36122
4909,Iduna natalensis,714.9,13584
4910,Iduna opaca,611.6,11620
4911,Iduna pallida,2915.2,55388
4912,Iduna rama,864.2,16420
4913,Iduna similis,73.5,1397
4914,Ifrita kowaldi,62.6,1001
4915,Ilicura militaris,450.1,8552
4916,Illadopsis albipectus,77.6,1396
4917,Illadopsis cleaveri,30.4,578
4918,Illadopsis fulvescens,95.6,1817
4919,Illadopsis puveli,30.8,585
4920,Illadopsis pyrrhoptera,49.3,888
4921,Illadopsis rufescens,11.5,195
4922,Illadopsis rufipennis,49.0,882
4923,Incana incana,2.8,33
4924,Incaspiza laeta,38.2,687
4925,Incaspiza ortizi,26.1,443
4926,Incaspiza personata,16.8,303
4927,Incaspiza pulchra,32.2,580
4928,Incaspiza watkinsi,23.8,429
4929,Indicator archipelagicus,16.4,295
4930,Indicator conirostris,22.0,396
4931,Indicator exilis,33.6,638
4932,Indicator indicator,1301.5,24728
4933,Indicator maculatus,25.1,476
4934,Indicator meliphilus,38.1,723
4935,Indicator minor,1896.6,36036
4936,Indicator pumilio,19.2,307
4937,Indicator variegatus,432.9,8225
4938,Indicator willcocksi,28.2,535
4939,Indicator xanthonotus,64.0,1088
4940,Inezia caudata,155.0,2945
4941,Inezia inornata,165.2,2974
4942,Inezia subflava,91.9,1655
4943,Inezia tenuirostris,310.4,5588
4944,Iodopleura fusca,32.1,578
4945,Iodopleura isabellae,236.9,4264
4946,Iodopleura pipra,73.6,1325
4947,Iole crypta,228.0,4332
4948,Iole olivacea,100.3,1806
4949,Iole palawanensis,36.2,651
4950,Iole propinqua,372.1,7070
4951,Iole virescens,30.2,453
4952,Iole viridescens,149.3,2837
4953,Irania gutturalis,233.6,4438
4954,Irediparra gallinacea,2232.5,42417
4955,Irena cyanogastra,59.2,1124
4956,Irena puella,2468.7,46905
4957,Iridophanes pulcherrimus,229.5,4360
4958,Iridosornis analis,166.1,3155
4959,Iridosornis jelskii,81.5,1549
4960,Iridosornis porphyrocephalus,349.0,6631
4961,Iridosornis reinhardti,57.3,1088
4962,Iridosornis rufivertex,279.6,5313
4963,Isleria guttata,56.1,1010
4964,Isleria hauxwelli,308.8,5559
4965,Islerothraupis luctuosa,15.7,220
4966,Ithaginis cruentus,98.9,1781
4967,Ixobrychus cinnamomeus,1990.1,37811
4968,Ixobrychus dubius,133.4,2402
4969,Ixobrychus eurhythmus,48.1,913
4970,Ixobrychus exilis,8730.5,165879
4971,Ixobrychus involucris,173.7,3300
4972,Ixobrychus minutus,4284.5,81406
4973,Ixobrychus sinensis,3471.1,65951
4974,Ixobrychus sturmii,176.3,3350
4975,Ixonotus guttatus,76.2,1447
4976,Ixoreus naevius,22290.8,423526
4977,Ixos malaccensis,170.1,3232
4978,Ixos mcclellandii,993.3,18872
4979,Ixos nicobariensis,5.3,58
4980,Ixos sumatranus,10.5,21
4981,Ixos virescens,38.0,646
4982,Jabiru mycteria,1506.6,28625
4983,Jabouilleia danjoui,16.1,257
4984,Jabouilleia naungmungensis,2.0,4
4985,Jacamaralcyon tridactyla,29.6,563
4986,Jacamerops aureus,408.9,7770
4987,Jacana jacana,8037.5,152713
4988,Jacana spinosa,6386.7,121347
4989,Jubula lettii,1.0,2
4990,Junco bairdi,14.1,253
4991,Junco hyemalis,466660.2,8866544
4992,Junco insularis,43.4,651
4993,Junco phaeonotus,4788.6,90984
4994,Junco vulcani,207.4,3941
4995,Jynx ruficollis,1568.6,29803
4996,Jynx torquilla,14781.6,280851
4997,Kakamega poliothorax,18.9,341
4998,Kaupifalco monogrammicus,1243.2,23621
4999,Kempiella flavovirescens,1.8,7
5000,Kenopia striata,43.8,789
5001,Ketupa flavipes,48.2,867
5002,Ketupa ketupu,233.2,4430
5003,Ketupa zeylonensis,630.7,11984
5004,Kittacincla malabarica,3.9,66
5005,Klais guimeti,1588.4,30180
5006,Kleinothraupis parodii,26.8,482
5007,Knipolegus aterrimus,405.1,7696
5008,Knipolegus cabanisi,52.8,1003
5009,Knipolegus cyanirostris,281.7,5352
5010,Knipolegus franciscanus,28.8,375
5011,Knipolegus hudsoni,54.8,1042
5012,Knipolegus lophotes,292.7,5562
5013,Knipolegus nigerrimus,202.4,3845
5014,Knipolegus orenocensis,35.1,632
5015,Knipolegus poecilocercus,37.5,712
5016,Knipolegus poecilurus,143.8,2732
5017,Knipolegus signatus,8.1,145
5018,Knipolegus striaticeps,108.6,2063
5019,Kupeornis gilberti,9.1,145
5020,Kupeornis rufocinctus,5.8,76
5021,Lacedo pulchella,278.3,5287
5022,Lafresnaya lafresnayi,666.4,12662
5023,Lagonosticta jamesoni,2.0,2
5024,Lagonosticta landanae,3.6,40
5025,Lagonosticta larvata,31.1,590
5026,Lagonosticta nitidula,253.2,4811
5027,Lagonosticta rara,51.1,971
5028,Lagonosticta rhodopareia,1499.2,28484
5029,Lagonosticta rubricata,1852.0,35188
5030,Lagonosticta rufopicta,123.9,2355
5031,Lagonosticta sanguinodorsalis,38.9,661
5032,Lagonosticta senegala,3980.4,75627
5033,Lagonosticta umbrinodorsalis,3.8,19
5034,Lagonosticta virata,8.1,89
5035,Lagopus lagopus,8274.5,157216
5036,Lagopus leucura,391.4,7436
5037,Lagopus muta,2809.3,53376
5038,Lalage atrovirens,38.9,700
5039,Lalage aurea,42.2,759
5040,Lalage conjuncta,2.0,4
5041,Lalage leucomela,3342.4,63506
5042,Lalage leucopyga,78.1,1483
5043,Lalage leucopygialis,21.4,386
5044,Lalage maculosa,123.6,2348
5045,Lalage melanoleuca,21.9,394
5046,Lalage moesta,7.8,94
5047,Lalage nigra,820.8,15596
5048,Lalage sharpei,9.0,126
5049,Lalage sueurii,1199.5,22790
5050,Lalage tricolor,2202.4,41845
5051,Lampornis amethystinus,370.7,7044
5052,Lampornis calolaemus,1261.5,23969
5053,Lampornis castaneoventris,877.3,16669
5054,Lampornis cinereicauda,7.3,109
5055,Lampornis clemenciae,1699.5,32290
5056,Lampornis hemileucus,242.2,4601
5057,Lampornis sybillae,171.7,3262
5058,Lampornis viridipallens,589.8,11207
5059,Lamprolaima rhami,188.7,3585
5060,Lamprolia klinesmithi,3.9,39
5061,Lamprolia victoriae,6.5,111
5062,Lampropsar tanagrinus,121.4,2307
5063,Lamprospiza melanoleuca,163.2,3100
5064,Lamprotornis acuticaudus,18.6,353
5065,Lamprotornis albicapillus,39.8,717
5066,Lamprotornis australis,2163.3,41102
5067,Lamprotornis bicolor,3785.6,71927
5068,Lamprotornis caudatus,594.5,11295
5069,Lamprotornis chalcurus,86.9,1651
5070,Lamprotornis chalybaeus,2372.5,45077
5071,Lamprotornis chloropterus,193.6,3678
5072,Lamprotornis elisabeth,56.8,965
5073,Lamprotornis fischeri,132.6,2520
5074,Lamprotornis hildebrandti,450.6,8561
5075,Lamprotornis iris,2.4,26
5076,Lamprotornis mevesii,878.2,16686
5077,Lamprotornis nitens,10076.9,191462
5078,Lamprotornis ornatus,9.9,138
5079,Lamprotornis pulcher,197.1,3745
5080,Lamprotornis purpureus,358.9,6820
5081,Lamprotornis purpuroptera,1041.7,19792
5082,Lamprotornis regius,143.6,2729
5083,Lamprotornis shelleyi,36.1,686
5084,Lamprotornis splendidus,415.8,7900
5085,Lamprotornis superbus,1863.9,35414
5086,Lamprotornis unicolor,148.4,2819
5087,Lamprotornis violacior,2.0,4
5088,Laniarius aethiopicus,697.1,12548
5089,Laniarius amboimensis,2.9,23
5090,Laniarius atrococcineus,2264.7,43030
5091,Laniarius atroflavus,29.2,525
5092,Laniarius barbarus,536.9,10201
5093,Laniarius bicolor,291.2,5533
5094,Laniarius brauni,3.8,30
5095,Laniarius erythrogaster,403.3,7662
5096,Laniarius ferrugineus,7317.1,139024
5097,Laniarius fuelleborni,23.7,450
5098,Laniarius funebris,751.1,14270
5099,Laniarius leucorhynchus,38.2,725
5100,Laniarius luehderi,141.7,2692
5101,Laniarius major,1297.2,24646
5102,Laniarius mufumbiri,73.4,1394
5103,Laniarius nigerrimus,8.4,42
5104,Laniarius poensis,60.1,1082
5105,Laniarius ruficeps,20.8,375
5106,Laniarius sublacteus,84.1,1597
5107,Laniarius turatii,12.9,206
5108,Laniarius willardi,21.4,257
5109,Laniisoma buckleyi,1.7,5
5110,Laniisoma elegans,18.9,341
5111,Lanio aurantius,407.5,7743
5112,Lanio fulvus,143.7,2586
5113,Lanio leucothorax,319.3,6066
5114,Lanio versicolor,161.6,3071
5115,Laniocera hypopyrra,172.5,3105
5116,Laniocera rufescens,80.1,1521
5117,Lanioturdus torquatus,163.3,3102
5118,Lanius borealis,11751.4,223277
5119,Lanius bucephalus,1038.2,19726
5120,Lanius cabanisi,470.0,8930
5121,Lanius collaris,13647.3,259299
5122,Lanius collurio,31292.6,594559
5123,Lanius collurioides,441.2,8382
5124,Lanius cristatus,14035.3,266670
5125,Lanius dorsalis,224.6,4267
5126,Lanius elegans,14.0,84
5127,Lanius excubitor,24688.0,469072
5128,Lanius excubitoroides,669.4,12718
5129,Lanius giganteus,7.4,125
5130,Lanius gubernator,7.4,134
5131,Lanius humeralis,1168.9,22210
5132,Lanius isabellinus,1788.3,33977
5133,Lanius lahtora,5.0,25
5134,Lanius ludovicianus,52966.7,1006368
5135,Lanius mackinnoni,155.2,2948
5136,Lanius meridionalis,5527.5,105023
5137,Lanius minor,2683.4,50984
5138,Lanius newtoni,4.3,51
5139,Lanius nubicus,1584.9,30113
5140,Lanius pallidirostris,4.7,14
5141,Lanius phoenicuroides,838.8,15938
5142,Lanius schach,12657.5,240492
5143,Lanius senator,7528.1,143034
5144,Lanius somalicus,55.0,1045
5145,Lanius souzae,22.9,435
5146,Lanius sphenocercus,145.6,2766
5147,Lanius tephronotus,1204.2,22880
5148,Lanius tigrinus,315.9,6003
5149,Lanius validirostris,17.9,322
5150,Lanius vittatus,2549.9,48449
5151,Larosterna inca,798.2,15165
5152,Larus argentatus,409449.7,7779544
5153,Larus argentatus x hyperboreus,17.5,333
5154,Larus argentatus x marinus,5.2,67
5155,Larus armenicus,979.2,18604
5156,Larus atlanticus,143.7,2730
5157,Larus belcheri,914.9,17383
5158,Larus brachyrhynchus,22669.1,430713
5159,Larus bulleri,3.6,32
5160,Larus cachinnans,7408.5,140761
5161,Larus cachinnans x argentatus,15.5,217
5162,Larus cachinnans x michahellis,1.3,4
5163,Larus californicus,58734.6,1115957
5164,Larus canus,91196.7,1732737
5165,Larus crassirostris,1980.9,37638
5166,Larus delawarensis,369689.2,7024095
5167,Larus dominicanus,22335.9,424382
5168,Larus fuscus,188974.9,3590523
5169,Larus fuscus x argentatus,15.0,90
5170,Larus glaucescens,49553.7,941520
5171,Larus glaucoides,16534.6,314158
5172,Larus heermanni,15970.6,303441
5173,Larus hyperboreus,12839.2,243944
5174,Larus leucopterus,1.0,1
5175,Larus livens,866.1,16455
5176,Larus marinus,155124.5,2947366
5177,Larus michahellis,34245.5,650664
5178,Larus occidentalis,52147.8,990808
5179,Larus pacificus,3769.7,71624
5180,Larus schistisagus,1005.4,19103
5181,Larus smithsonianus,178.4,3390
5182,Larus thayeri,33.8,372
5183,Larus vegae,25.0,475
5184,Larvivora sibilans,243.8,4632
5185,Laterallus albigularis,1865.3,35441
5186,Laterallus exilis,539.5,10250
5187,Laterallus jamaicensis,98.3,1867
5188,Laterallus leucopyrrhus,109.5,1971
5189,Laterallus levraudi,23.8,428
5190,Laterallus melanophaius,1084.2,20600
5191,Laterallus ruber,1477.3,28069
5192,Laterallus spilonotus,29.2,526
5193,Laterallus xenopterus,28.9,260
5194,Lathamus discolor,515.7,9798
5195,Lathrotriccus euleri,1325.1,25177
5196,Lathrotriccus griseipectus,62.3,1184
5197,Laticilla burnesii,11.4,171
5198,Laticilla cinerascens,15.4,200
5199,Legatus leucophaius,5605.8,106510
5200,Leiopicus mahrattensis,781.5,14848
5201,Leiothlypis celata,94435.1,1794266
5202,Leiothlypis crissalis,165.6,3147
5203,Leiothlypis luciae,7762.4,147486
5204,Leiothlypis peregrina,44745.1,850156
5205,Leiothlypis ruficapilla,55991.0,1063829
5206,Leiothlypis virginiae,3455.9,65662
5207,Leiothrix argentauris,598.7,11375
5208,Leiothrix lutea,2015.4,38292
5209,Leipoa ocellata,180.1,3422
5210,Lemuresthes nana,112.4,2136
5211,Leonardina woodi,13.6,231
5212,Lepidocolaptes affinis,1320.3,25086
5213,Lepidocolaptes albolineatus,196.1,3725
5214,Lepidocolaptes angustirostris,3439.0,65341
5215,Lepidocolaptes duidae,66.6,1266
5216,Lepidocolaptes falcinellus,227.4,4321
5217,Lepidocolaptes fatimalimae,70.1,1262
5218,Lepidocolaptes lacrymiger,2258.9,42920
5219,Lepidocolaptes layardi,2.4,34
5220,Lepidocolaptes leucogaster,296.0,5624
5221,Lepidocolaptes souleyetii,6195.3,117710
5222,Lepidocolaptes squamatus,206.9,3931
5223,Lepidogrammus cumingi,91.3,1735
5224,Lepidothrix coeruleocapilla,22.7,408
5225,Lepidothrix coronata,1428.6,27143
5226,Lepidothrix iris,26.2,419
5227,Lepidothrix isidorei,104.9,1889
5228,Lepidothrix nattereri,129.9,2338
5229,Lepidothrix serena,74.3,1338
5230,Lepidothrix suavissima,17.5,297
5231,Lepidothrix vilasboasi,5.8,58
5232,Leptasthenura aegithaloides,2231.1,42391
5233,Leptasthenura andicola,320.2,6083
5234,Leptasthenura fuliginiceps,163.6,3108
5235,Leptasthenura pileata,91.3,1644
5236,Leptasthenura platensis,429.7,8165
5237,Leptasthenura setaria,313.5,5956
5238,Leptasthenura striata,90.8,1725
5239,Leptasthenura striolata,31.9,606
5240,Leptasthenura xenothorax,35.2,634
5241,Leptasthenura yanacensis,3.0,15
5242,Leptocoma brasiliana,237.8,4519
5243,Leptocoma calcostetha,178.6,3394
5244,Leptocoma minima,1795.8,34121
5245,Leptocoma sericea,312.6,5627
5246,Leptocoma sperata,136.3,2590
5247,Leptocoma zeylonica,18234.4,346453
5248,Leptodon cayanensis,1184.9,22514
5249,Leptodon forbesi,15.9,303
5250,Leptopoecile elegans,19.4,350
5251,Leptopoecile sophiae,60.7,1154
5252,Leptopogon amaurocephalus,2060.0,39140
5253,Leptopogon rufipectus,460.0,8740
5254,Leptopogon superciliaris,2111.2,40112
5255,Leptopogon taczanowskii,86.4,1641
5256,Leptopterus chabert,146.7,2787
5257,Leptoptilos crumenifer,1790.3,34016
5258,Leptoptilos crumeniferus,680.4,12927
5259,Leptoptilos dubius,235.5,4474
5260,Leptoptilos javanicus,981.2,18642
5261,Leptosittaca branickii,363.1,6899
5262,Leptosomus discolor,145.9,2626
5263,Leptotila battyi,2.0,2
5264,Leptotila cassinii,1520.9,28897
5265,Leptotila conoveri,98.3,1867
5266,Leptotila jamaicensis,499.2,9485
5267,Leptotila megalura,209.4,3770
5268,Leptotila ochraceiventris,43.1,818
5269,Leptotila pallida,327.2,6217
5270,Leptotila plumbeiceps,930.8,17685
5271,Leptotila rufaxilla,2218.4,42149
5272,Leptotila verreauxi,29607.3,562538
5273,Leptotila wellsi,13.8,249
5274,Leptotrygon veraguensis,104.4,1879
5275,Lerwa lerwa,36.2,651
5276,Lesbia nuna,617.2,11726
5277,Lesbia victoriae,1119.7,21275
5278,Lessonia oreas,289.1,5493
5279,Lessonia rufa,2501.8,47534
5280,Leucippus fallax,260.3,4946
5281,Leucocarbo albiventer,30.3,545
5282,Leucocarbo atriceps,1690.3,32115
5283,Leucocarbo bougainvillii,714.9,13584
5284,Leucocarbo bougainvilliorum,2.0,6
5285,Leucocarbo campbelli,13.2,225
5286,Leucocarbo carunculatus,75.5,1434
5287,Leucocarbo chalconotus,292.1,5549
5288,Leucocarbo colensoi,25.2,454
5289,Leucocarbo onslowi,26.3,421
5290,Leucocarbo ranfurlyi,6.4,96
5291,Leucocarbo stewarti,3.8,45
5292,Leucocarbo verrucosus,27.0,378
5293,Leucochloris albicollis,981.3,18644
5294,Leucolia violiceps,2340.8,44476
5295,Leucolia viridifrons,79.7,1514
5296,Leucolia wagneri,1.3,4
5297,Leuconotopicus albolarvatus,3474.2,66009
5298,Leuconotopicus arizonae,2661.7,50573
5299,Leuconotopicus borealis,4535.5,86174
5300,Leuconotopicus fumigatus,2682.1,50960
5301,Leuconotopicus stricklandi,77.6,1474
5302,Leuconotopicus villosus,235416.1,4472906
5303,Leucophaeus atricilla,101713.8,1932562
5304,Leucophaeus fuliginosus,335.2,6368
5305,Leucophaeus modestus,1324.0,25156
5306,Leucophaeus pipixcan,19316.9,367021
5307,Leucophaeus scoresbii,908.5,17262
5308,Leucopsar rothschildi,7.1,106
5309,Leucopternis albicollis,1765.9,33552
5310,Leucopternis kuhli,42.9,773
5311,Leucopternis lacernulatus,64.2,1219
5312,Leucopternis melanops,56.8,1022
5313,Leucopternis occidentalis,121.8,2192
5314,Leucopternis plumbeus,4.7,33
5315,Leucopternis polionotus,67.8,1289
5316,Leucopternis princeps,577.3,10969
5317,Leucopternis schistaceus,320.6,6091
5318,Leucopternis semiplumbeus,262.3,4983
5319,Leucosarcia melanoleuca,2919.0,55461
5320,Leucosticte arctoa,34.5,655
5321,Leucosticte atrata,652.1,12390
5322,Leucosticte australis,660.1,12541
5323,Leucosticte brandti,112.9,2145
5324,Leucosticte nemoricola,275.8,5241
5325,Leucosticte sillemi,4.0,12
5326,Leucosticte tephrocotis,2290.1,43512
5327,Lewinia mirifica,4.0,8
5328,Lewinia muelleri,3.0,6
5329,Lewinia pectoralis,339.6,6452
5330,Lichenostomus chrysops,12354.2,234730
5331,Lichenostomus cratitius,243.1,4618
5332,Lichenostomus fasciogularis,630.9,11987
5333,Lichenostomus flavescens,636.4,12091
5334,Lichenostomus flavicollis,1166.3,22160
5335,Lichenostomus flavus,1736.1,32986
5336,Lichenostomus frenatus,353.2,6711
5337,Lichenostomus fuscus,1911.4,36317
5338,Lichenostomus hindwoodi,34.2,615
5339,Lichenostomus keartlandi,419.3,7966
5340,Lichenostomus leucotis,5277.0,100263
5341,Lichenostomus melanops,1677.8,31879
5342,Lichenostomus obscurus,8.6,129
5343,Lichenostomus ornatus,1286.2,24438
5344,Lichenostomus penicillatus,15442.2,293401
5345,Lichenostomus plumulus,378.7,7195
5346,Lichenostomus reticulatus,123.2,2218
5347,Lichenostomus subfrenatus,52.8,951
5348,Lichenostomus unicolor,1899.0,36081
5349,Lichenostomus versicolor,409.7,7784
5350,Lichenostomus virescens,7636.8,145100
5351,Lichmera alboauricularis,8.1,122
5352,Lichmera argentauris,6.6,93
5353,Lichmera deningeri,5.0,40
5354,Lichmera flavicans,52.3,941
5355,Lichmera incana,125.9,2393
5356,Lichmera indistincta,12908.5,245261
5357,Lichmera lombokia,19.6,352
5358,Lichmera monticola,6.5,78
5359,Lichmera notabilis,9.0,63
5360,Lichmera squamata,19.0,266
5361,Limicola falcinellus,3285.9,62432
5362,Limnocorax flavirostris,1.0,1
5363,Limnoctites rectirostris,68.3,1297
5364,Limnodromus griseus,25695.8,488221
5365,Limnodromus scolopaceus,27292.7,518561
5366,Limnodromus semipalmatus,321.7,6112
5367,Limnofregata azygosternon,1.0,1
5368,Limnornis curvirostris,182.2,3462
5369,Limnothlypis swainsonii,2235.4,42472
5370,Limosa fedoa,24069.7,457324
5371,Limosa haemastica,4169.4,79218
5372,Limosa lapponica,21628.0,410932
5373,Limosa limosa,34350.2,652654
5374,Linaria cannabina,75164.5,1428126
5375,Linaria flavirostris,9196.3,174729
5376,Linaria johannis,1.0,2
5377,Linaria yemenensis,15.8,237
5378,Linurgus olivaceus,50.3,906
5379,Liocichla bugunorum,24.4,391
5380,Liocichla omeiensis,2.1,15
5381,Liocichla phoenicea,85.4,1538
5382,Liocichla ripponi,82.3,1481
5383,Liocichla steerii,1955.0,37145
5384,Lioparus chrysotis,128.7,2446
5385,Lioptilus nigricapillus,128.9,2449
5386,Liosceles thoracicus,221.3,3983
5387,Lipaugus ater,108.4,1951
5388,Lipaugus fuscocinereus,160.2,3044
5389,Lipaugus lanioides,97.7,1856
5390,Lipaugus streptophorus,8.1,130
5391,Lipaugus unirufus,664.3,12622
5392,Lipaugus uropygialis,3.7,56
5393,Lipaugus vociferans,1511.5,28718
5394,Lipaugus weberi,33.9,610
5395,Lissotis hartlaubii,54.5,1036
5396,Lissotis melanogaster,597.4,11351
5397,Loboparadisea sericea,2.0,12
5398,Lobotos lobatus,1.0,3
5399,Lobotos oriolinus,2.0,4
5400,Lochmias nematura,798.3,15168
5401,Locustella accentor,4.6,83
5402,Locustella alishanensis,323.0,6137
5403,Locustella amnicola,18.4,332
5404,Locustella castanea,36.2,651
