"","family","year","n"
"199","Apodidae",2017,544256
"200","Picidae",2013,2138524
"201","Alcedinidae",2010,179873
"202","Aegithalidae",2019,316048
"203","Certhiidae",2016,210753
"204","Rallidae",2018,1444379
"205","Hirundinidae",2019,3232859
"206","Accipitridae",2017,3889281
"207","Charadriidae",2013,803997
"208","Anatidae",2016,8060323
"209","Anatidae",2012,4683707
"210","Cuculidae",2019,812356
"211","Phylloscopidae",2016,474407
"212","Phasianidae",2013,278591
"213","Ardeidae",2011,1017393
"214","Sylviidae",2011,326333
"215","Falconidae",2010,359551
"216","Passeridae",2010,431516
"217","Strigidae",2018,538228
"218","Phasianidae",2010,191547
"219","Hirundinidae",2012,980602
"220","Aegithalidae",2018,295649
"221","Sturnidae",2013,826298
"222","Paridae",2017,3361364
"223","Ardeidae",2017,3402129
"224","Phasianidae",2019,756139
"225","Scolopacidae",2016,2533824
"226","Phasianidae",2018,665685
"227","Phasianidae",2009,200407
"228","Ardeidae",2013,1593565
"229","Scolopacidae",2019,3395421
"230","Laniidae",2018,357853
"231","Laniidae",2013,163491
"232","Phasianidae",2016,475082
"233","Oriolidae",2013,37407
"234","Aegithalidae",2013,139354
"235","Oriolidae",2018,142226
"236","Strigidae",2009,174283
"237","Cuculidae",2009,121639
"238","Sittidae",2019,1700264
"239","Podicipedidae",2016,824278
"240","Oriolidae",2016,90237
"241","Alaudidae",2011,158604
"242","Emberizidae",2017,5565213
"243","Hirundinidae",2011,817538
"244","Cuculidae",2016,467571
"245","Oriolidae",2010,27167
"246","Apodidae",2013,260163
"247","Alcedinidae",2013,335427
"248","Passeridae",2012,586956
"249","Corvidae",2011,1703442
"250","Sylviidae",2012,316619
"251","Turdidae",2017,3665880
"252","Rallidae",2010,358187
"253","Sittidae",2010,324867
"254","Prunellidae",2018,148830
"255","Passeridae",2018,1661614
"256","Alaudidae",2019,502478
"257","Acrocephalidae",2016,250252
"258","Aegithalidae",2010,91386
"259","Laridae",2018,4726378
"260","Regulidae",2018,815502
"261","Prunellidae",2016,133823
"262","Laridae",2013,2150745
"263","Prunellidae",2019,142261
"264","Phylloscopidae",2012,314958
"265","Phylloscopidae",2010,325935
"266","Aegithalidae",2011,95061
"267","Meropidae",2010,24096
"268","Podicipedidae",2018,1062408
