"","family","year","n"
"852","Psittacidae",2006,134454
"853","Pycnonotidae",2004,20168
"854","Rheidae",2007,474
"855","Tyrannidae",2010,581759
"856","Threskiornithidae",2015,380982
"857","Alaudidae",2015,287080
"858","Cotingidae",2006,9146
"859","Phaethontidae",2005,847
"860","Glareolidae",2010,3429
"861","Cettiidae",2010,28294
"862","Nectariniidae",2016,162241
"863","Pipridae",2017,44343
"864","Motacillidae",2006,201442
"865","Mimidae",2007,175725
"866","Campephagidae",2007,22838
"867","Mimidae",2010,334930
"868","Motacillidae",2008,280229
"869","Heliornithidae",2006,199
"870","Laniidae",2006,57912
"871","Parulidae",2008,600177
"872","Spheniscidae",2013,13264
"873","Diomedeidae",2009,51394
"874","Bucerotidae",2017,66097
"875","Apodidae",2014,312005
"876","Trogonidae",2018,104415
"877","Podicipedidae",2007,196889
"878","Momotidae",2005,3011
"879","Thraupidae",2008,77265
"880","Nectariniidae",2011,42084
"881","Meropidae",2014,52385
"882","Tytonidae",2016,25300
"883","Columbidae",2008,789063
"884","Cariamidae",2011,270
"885","Bernieridae",2007,247
"886","Gruidae",2014,160136
"887","Acanthizidae",2006,55343
"888","Leiothrichidae",2016,95134
"889","Pelecanoididae",2016,1951
"890","Cuculidae",2006,73279
"891","Icteridae",2005,284536
"892","Pittidae",2012,2301
"893","Grallariidae",2010,4117
"894","Ciconiidae",2012,73945
"895","Bernieridae",2009,292
"896","Nectariniidae",2014,75292
"897","Cisticolidae",2017,335809
"898","Phaethontidae",2008,1135
"899","Paridae",2014,2215539
"900","Lybiidae",2009,22650
"901","Tinamidae",2006,3295
"902","Nectariniidae",2005,22189
"903","Aramidae",2008,2346
"904","Ramphastidae",2006,6466
"905","Sittidae",2006,150094
"906","Threskiornithidae",2005,46443
"907","Acrocephalidae",2014,220371
"908","Phaethontidae",2011,3435
"909","Threskiornithidae",2011,163094
"910","Alcidae",2012,104742
"911","Hydrobatidae",2006,9269
"912","Alcidae",2005,38121
"913","Rhipiduridae",2004,34128
"914","Alaudidae",2006,69350
"915","Tephrodornithidae",2017,12038
"916","Caprimulgidae",2011,44682
"917","Hydrobatidae",2008,9426
"918","Pycnonotidae",2016,265343
"919","Estrildidae",2015,136657
"920","Zosteropidae",2017,116221
"921","Thraupidae",2018,991455
"922","Dicaeidae",2018,71866
"923","Vireonidae",2006,93868
"924","Hydrobatidae",2005,8826
"925","Acanthisittidae",2010,540
"926","Passeridae",2005,210046
"927","Diomedeidae",2010,59059
"928","Jacanidae",2012,11583
"929","Polioptilidae",2008,42104
"930","Parulidae",2009,740815
"931","Trochilidae",2004,73429
"932","Psittacidae",2012,246409
"933","Caprimulgidae",2009,32805
"934","Tyrannidae",2013,1188600
"935","Pelecanoididae",2008,323
"936","Thraupidae",2019,1320053
"937","Regulidae",2004,82914
"938","Motacillidae",2005,177187
"939","Thraupidae",2017,699133
"940","Tyrannidae",2017,2860105
"941","Vireonidae",2017,937098
"942","Parulidae",2017,4044228
"943","Caprimulgidae",2017,137873
"944","Trochilidae",2017,1091682
"945","Cotingidae",2017,96951
"946","Ramphastidae",2017,87178
"947","Cardinalidae",2017,2284554
"948","Icteridae",2017,3672791
"949","Coerebidae",2017,48046
"950","Momotidae",2017,47266
"951","Cettiidae",2018,95109
"952","Charadriidae",2018,1658521
"953","Recurvirostridae",2018,346653
"954","Pandionidae",2018,485403
"955","Burhinidae",2018,34413
"956","Cinclidae",2018,47714
"957","Gaviidae",2018,350407
"958","Locustellidae",2018,50351
"959","Odontophoridae",2018,190323
"960","Threskiornithidae",2018,645800
"961","Stercorariidae",2018,61048
"962","Alcidae",2018,217906
"963","Remizidae",2018,80365
"964","Otididae",2018,27228
"965","Tichodromidae",2018,1999
"966","Coraciidae",2018,71783
"967","Sulidae",2018,114213
"968","Hydrobatidae",2018,34718
"969","Calcariidae",2018,74943
"970","Leiothrichidae",2018,146534
"971","Panuridae",2018,19291
"972","Phoenicopteridae",2018,42077
"973","Pteroclididae",2018,13799
"974","Pelecanidae",2018,381176
"975","Glareolidae",2018,18482
"976","Falconidae",2020,1526487
"977","Emberizidae",2020,10030497
"978","Columbidae",2020,7192939
"979","Trochilidae",2020,2030303
"980","Cracidae",2020,105495
"981","Turdidae",2020,6701752
"982","Tyrannidae",2020,4960813
"983","Cardinalidae",2020,4436730
"984","Caprimulgidae",2020,199864
"985","Cathartidae",2020,2223155
"986","Furnariidae",2020,428799
"987","Cuculidae",2020,974164
"988","Hirundinidae",2020,3706754
"989","Strigidae",2020,679519
"990","Grallariidae",2020,21571
"991","Thraupidae",2020,1221460
"992","Mimidae",2020,2659647
"993","Icteridae",2020,6277680
"994","Motacillidae",2014,549026
"995","Falconidae",2014,642932
"996","Sylviidae",2014,392926
"997","Fringillidae",2014,2640377
"998","Alcedinidae",2014,430592
"999","Burhinidae",2014,13604
"1000","Ardeidae",2015,2395620
"1001","Regulidae",2015,533142
"1002","Motacillidae",2015,620160
"1003","Muscicapidae",2015,968749
"1004","Hirundinidae",2015,1692217
"1005","Sturnidae",2015,1214260
"1006","Pandionidae",2016,352172
"1007","Columbidae",2015,2828895
"1008","Motacillidae",2007,274952
"1009","Corcoracidae",2012,9796
"1010","Meliphagidae",2020,616515
"1011","Meliphagidae",2015,312716
"1012","Apodidae",2006,65495
"1013","Petroicidae",2008,21580
"1014","Cracticidae",2020,315707
"1015","Pachycephalidae",2008,34416
"1016","Psittacidae",2004,115313
"1017","Pomatostomidae",2009,5135
"1018","Climacteridae",2019,28455
"1019","Estrildidae",2019,292151
"1020","Climacteridae",2017,26755
"1021","Cracticidae",2018,255736
"1022","Meliphagidae",2011,169265
"1023","Menuridae",2013,6567
"1024","Climacteridae",2013,15208
"1025","Pelecanidae",2004,24227
"1026","Meliphagidae",2016,355641
"1027","Phalacrocoracidae",2014,726536
"1028","Monarchidae",2011,53543
"1029","Estrildidae",2005,56883
"1030","Meliphagidae",2017,423239
"1031","Pomatostomidae",2010,5055
"1032","Scolopacidae",2015,2150870
"1033","Climacteridae",2011,12122
"1034","Corvidae",2020,9914919
"1035","Corcoracidae",2014,10227
"1036","Corcoracidae",2017,12386
"1037","Meliphagidae",2009,150686
"1038","Monarchidae",2004,28601
"1039","Corcoracidae",2010,6908
"1040","Menuridae",2007,1388
"1041","Climacteridae",2010,11217
"1042","Acanthizidae",2011,71937
"1043","Cracticidae",2019,259027
"1044","Psittacidae",2021,1592021
"1045","Threskiornithidae",2004,42839
"1046","Petroicidae",2010,23603
"1047","Pardalotidae",2020,68687
"1048","Meliphagidae",2014,271137
"1049","Meliphagidae",2018,539541
"1050","Megapodiidae",2018,18477
"1051","Pardalotidae",2019,55647
"1052","Maluridae",2006,25444
"1053","Megapodiidae",2013,10780
"1054","Pardalotidae",2004,19129
"1055","Maluridae",2008,26574
"1056","Climacteridae",2005,10288
"1057","Artamidae",2019,51948
"1058","Cracticidae",2004,50740
"1059","Sturnidae",2020,3048128
"1060","Menuridae",2014,8321
"1061","Rhipiduridae",2015,97723
"1062","Acanthizidae",2012,85515
"1063","Maluridae",2009,28390
"1064","Campephagidae",2021,163688
"1065","Meliphagidae",2007,137747
"1066","Pachycephalidae",2016,77724
"1067","Menuridae",2019,5525
"1068","Menuridae",2012,10064
"1069","Pedionomidae",2015,22
"1070","Cracticidae",2010,74650
"1071","Acanthizidae",2016,131672
"1072","Ptilonorhynchidae",2019,26418
"1073","Pardalotidae",2009,20312
"1074","Dasyornithidae",2020,714
"1075","Pardalotidae",2007,21302
"1076","Threskiornithidae",2007,79485
"1077","Podargidae",2013,4859
"1078","Campephagidae",2013,39455
"1079","Pardalotidae",2012,30061
"1080","Megapodiidae",2021,21262
"1081","Meliphagidae",2019,542818
"1082","Dicaeidae",2013,13159
"1083","Procellariidae",2019,149932
"1084","Sulidae",2005,13361
"1085","Maluridae",2018,91373
"1086","Acanthizidae",2014,108499
"1087","Meliphagidae",2006,133775
"1088","Pardalotidae",2017,50271
"1089","Corcoracidae",2019,13752
"1090","Podargidae",2021,12957
"1091","Megapodiidae",2012,6852
"1092","Cracticidae",2016,169949
"1093","Acanthizidae",2017,151977
"1094","Campephagidae",2005,20258
"1095","Psittacidae",2020,1356276
"1096","Cracticidae",2017,196816
"1097","Locustellidae",2014,32819
"1098","Climacteridae",2018,33098
"1099","Estrildidae",2009,119163
"1100","Locustellidae",2012,28881
"1101","Ptilonorhynchidae",2007,5384
"1102","Climacteridae",2021,37046
"1103","Phasianidae",2021,1029436
"1104","Acanthizidae",2013,92270
"1105","Acanthizidae",2007,59953
"1106","Psophodidae",2013,8878
"1107","Psittacidae",2017,768542
"1108","Psittacidae",2008,156093
"1109","Podargidae",2020,10851
"1110","Monarchidae",2019,182522
"1111","Meliphagidae",2005,127714
"1112","Aegothelidae",2016,2733
"1113","Podargidae",2018,11544
"1114","Acanthizidae",2010,66032
"1115","Podargidae",2005,2101
"1116","Alcedinidae",2004,71931
"1117","Ptilonorhynchidae",2005,5198
"1118","Pelecanidae",2012,120180
"1119","Megapodiidae",2020,18405
"1120","Petroicidae",2016,48737
"1121","Pachycephalidae",2013,49757
"1122","Monarchidae",2015,96389
"1123","Climacteridae",2015,18392
"1124","Acanthizidae",2015,118743
"1125","Acrocephalidae",2005,121226
"1126","Pomatostomidae",2020,10016
"1127","Pardalotidae",2018,67927
"1128","Climacteridae",2007,10307
"1129","Campephagidae",2016,80696
"1130","Cracticidae",2005,55169
"1131","Monarchidae",2014,79047
"1132","Monarchidae",2010,45424
"1133","Petroicidae",2013,30551
"1134","Monarchidae",2021,232029
"1135","Oriolidae",2014,48556
"1136","Corcoracidae",2021,19046
"1137","Monarchidae",2009,43180
"1138","Cracticidae",2014,129556
"1139","Recurvirostridae",2011,97179
"1140","Cracticidae",2013,110096
"1141","Menuridae",2018,6208
"1142","Meliphagidae",2010,160162
"1143","Dicaeidae",2005,7706
"1144","Pachycephalidae",2009,35457
"1145","Podargidae",2015,6696
"1146","Aegothelidae",2013,1486
"1147","Pardalotidae",2005,20624
"1148","Podargidae",2016,8010
"1149","Acanthizidae",2004,50892
"1150","Threskiornithidae",2016,457320
"1151","Climacteridae",2016,22266
"1152","Maluridae",2007,26742
"1153","Artamidae",2013,16789
"1154","Cracticidae",2009,69856
"1155","Corcoracidae",2013,9247
"1156","Psittacidae",2009,172915
"1157","Pachycephalidae",2018,111601
"1158","Cracticidae",2021,361263
"1159","Petroicidae",2005,17276
"1160","Zosteropidae",2015,82758
"1161","Dicaeidae",2012,11974
"1162","Zosteropidae",2016,99340
"1163","Coraciidae",2012,15520
"1164","Corcoracidae",2016,10997
"1165","Corcoracidae",2011,6497
"1166","Pardalotidae",2013,32805
"1167","Menuridae",2010,1981
"1168","Monarchidae",2012,57852
"1169","Psophodidae",2018,21723
"1170","Cacatuidae",2016,1666
"1171","Pachycephalidae",2004,29927
"1172","Megapodiidae",2015,13091
"1173","Haematopodidae",2019,432137
"1174","Cacatuidae",2017,2108
"1175","Maluridae",2020,103897
"1176","Pelecanidae",2016,276758
"1177","Acanthizidae",2020,226137
"1178","Campephagidae",2008,23561
"1179","Maluridae",2015,57760
"1180","Phalacrocoracidae",2017,1181012
"1181","Rhipiduridae",2009,43938
"1182","Petroicidae",2004,17194
"1183","Rhipiduridae",2011,52040
"1184","Megapodiidae",2019,20173
"1185","Campephagidae",2010,28494
"1186","Dromaiidae",2006,1579
"1187","Pachycephalidae",2007,33975
"1188",NA,2006,5264
"1189","Pachycephalidae",2015,65663
"1190","Campephagidae",2011,30946
"1191","Psophodidae",2019,21653
"1192","Psittacidae",2022,21944
"1193","Pardalotidae",2016,42435
"1194","Rhipiduridae",2017,138840
"1195","Petroicidae",2009,23007
"1196","Podargidae",2009,2559
"1197","Psophodidae",2007,5869
"1198","Monarchidae",2005,31073
"1199","Maluridae",2019,89533
"1200","Maluridae",2010,30099
"1201","Climacteridae",2006,11275
"1202","Meliphagidae",2021,735436
"1203","Rhipiduridae",2012,61353
"1204","Acanthizidae",2019,186579
"1205","Cracticidae",2011,82424
"1206","Meliphagidae",2004,122347
"1207","Pachycephalidae",2021,136797
"1208","Aegothelidae",2017,3205
"1209","Maluridae",2005,23449
"1210","Pardalotidae",2011,25037
"1211","Podargidae",2017,9659
"1212","Threskiornithidae",2008,89395
"1213","Psophodidae",2021,31533
"1214","Maluridae",2011,34441
"1215","Petroicidae",2012,29134
"1216","Pachycephalidae",2019,105592
"1217","Rhipiduridae",2019,190635
"1218","Podicipedidae",2015,748064
"1219","Artamidae",2016,29175
"1220","Threskiornithidae",2019,748574
"1221","Monarchidae",2016,116593
"1222","Pachycephalidae",2017,90003
"1223","Meropidae",2020,220546
"1224","Acanthizidae",2021,264263
"1225","Cacatuidae",2013,1114
"1226","Petroicidae",2018,69338
"1227","Rhipiduridae",2014,84196
"1228","Monarchidae",2020,190269
"1229","Corcoracidae",2005,5565
"1230","Pardalotidae",2008,24328
"1231","Cracticidae",2012,95578
"1232","Cracticidae",2006,58232
"1233","Petroicidae",2019,66794
"1234","Zosteropidae",2013,52917
"1235","Psophodidae",2004,5637
"1236","Estrildidae",2016,173290
"1237","Petroicidae",2020,69108
"1238","Pachycephalidae",2012,44668
"1239","Menuridae",2016,4327
"1240","Columbidae",2004,371584
"1241","Pachycephalidae",2011,40348
"1242","Pomatostomidae",2008,5131
"1243","Monarchidae",2006,31211
"1244","Psophodidae",2011,7691
"1245","Megapodiidae",2014,9119
"1246","Neosittidae",2012,1964
"1247","Petroicidae",2017,56085
"1248","Oriolidae",2015,66842
"1249","Menuridae",2017,4559
"1250","Oreoicidae",2009,1285
"1251","Aegothelidae",2011,1538
"1252","Campephagidae",2018,121105
"1253","Artamidae",2017,37509
"1254","Haematopodidae",2015,157130
"1255","Campephagidae",2017,101558
"1256","Cracticidae",2015,144856
"1257","Psophodidae",2014,10492
"1258","Acanthizidae",2018,187294
"1259","Estrildidae",2004,25191
"1260","Podargidae",2012,4059
"1261","Cracticidae",2007,63182
"1262","Strigidae",2008,125007
"1263","Rhipiduridae",2006,35507
"1264","Campephagidae",2015,62632
"1265","Ptilonorhynchidae",2009,6872
"1266","Pardalotidae",2014,37601
"1267","Podargidae",2007,2195
"1268","Sulidae",2006,160158
"1269","Charadriidae",2012,679589
"1270","Anhingidae",2008,16947
"1271","Pachycephalidae",2014,59410
"1272","Anhingidae",2018,145936
"1273","Artamidae",2005,8755
"1274","Rhipiduridae",2005,35206
"1275","Campephagidae",2012,34169
"1276","Pachycephalidae",2005,30556
"1277","Columbidae",2021,8350739
"1278","Threskiornithidae",2010,136303
"1279","Tytonidae",2005,10382
"1280","Cuculidae",2005,62209
"1281","Climacteridae",2008,11677
"1282","Pachycephalidae",2020,121511
"1283","Pomatostomidae",2012,5723
"1284","Pardalotidae",2015,37984
"1285","Psittaculidae",2018,6805
"1286","Dromaiidae",2014,3082
"1287","Tytonidae",2012,18451
"1288","Estrildidae",2007,56354
"1289","Artamidae",2008,10537
"1290","Climacteridae",2009,11531
"1291","Pomatostomidae",2007,5803
"1292","Phalacrocoracidae",2020,1729367
"1293","Burhinidae",2011,10120
"1294","Anhingidae",2006,10945
"1295","Psophodidae",2009,6516
"1296","Maluridae",2004,23432
"1297","Anhingidae",2019,167721
"1298","Pardalotidae",2021,86897
"1299","Podargidae",2011,3388
"1300","Estrildidae",2011,64736
"1301","Pachycephalidae",2010,37294
"1302","Climacteridae",2020,32304
"1303","Corcoracidae",2020,17507
"1304","Coraciidae",2011,13259
"1305","Dromaiidae",2019,5892
"1306","Dicaeidae",2019,79629
"1307","Coraciidae",2014,26712
"1308","Rhipiduridae",2008,38986
"1309","Sturnidae",2007,285838
"1310","Oreoicidae",2017,3107
"1311","Ptilonorhynchidae",2012,7654
"1312","Artamidae",2014,19777
"1313",NA,2010,11469
"1314","Zosteropidae",2020,206581
"1315","Turnicidae",2014,1486
"1316","Psophodidae",2015,12742
"1317","Cuculidae",2014,272885
"1318","Megapodiidae",2016,11039
"1319","Rhipiduridae",2010,47156
"1320","Cacatuidae",2019,2296
"1321","Cacatuidae",2014,1173
"1322","Dicaeidae",2022,369
"1323","Maluridae",2021,123885
"1324","Neosittidae",2017,3494
"1325","Locustellidae",2004,17583
"1326","Artamidae",2018,45509
"1327","Menuridae",2005,1497
"1328","Climacteridae",2012,14557
"1329","Haematopodidae",2017,333765
"1330","Campephagidae",2009,26802
"1331","Dromaiidae",2018,5622
"1332","Estrildidae",2020,329484
"1333","Podargidae",2010,2256
"1334","Cacatuidae",2011,935
"1335","Ptilonorhynchidae",2006,5007
"1336","Petroicidae",2014,37187
"1337","Podargidae",2006,2105
"1338","Megapodiidae",2017,13943
"1339","Dromaiidae",2020,3265
"1340","Pardalotidae",2006,22379
"1341","Psophodidae",2008,6677
"1342","Aegothelidae",2012,1514
"1343","Pachycephalidae",2006,31761
"1344","Oriolidae",2007,19629
"1345","Hirundinidae",2014,1421019
"1346","Dasyornithidae",2014,845
"1347","Campephagidae",2006,20755
"1348","Corcoracidae",2008,7261
"1349","Rhipiduridae",2020,222020
"1350","Recurvirostridae",2016,256118
"1351","Cisticolidae",2006,27931
"1352","Cuculidae",2008,96528
"1353","Podargidae",2014,5808
"1354",NA,2012,13363
"1355","Dromaiidae",2009,1915
"1356","Dicaeidae",2009,8921
"1357","Monarchidae",2013,67193
"1358","Campephagidae",2004,19571
"1359","Maluridae",2017,78424
"1360","Aegothelidae",2008,1462
"1361","Oriolidae",2005,12680
"1362","Haematopodidae",2014,149146
"1363","Threskiornithidae",2020,775067
"1364","Megapodiidae",2011,3990
"1365","Cacatuidae",2012,1118
"1366","Threskiornithidae",2021,932066
"1367","Pomatostomidae",2019,10315
"1368","Turnicidae",2009,1468
"1369","Menuridae",2020,5674
"1370","Dasyornithidae",2016,1187
"1371","Pittidae",2018,9832
"1372","Motacillidae",2020,1261454
"1373","Climacteridae",2004,9514
"1374","Petroicidae",2006,19151
"1375","Ptilonorhynchidae",2008,5979
"1376","Hirundinidae",2007,517133
"1377","Pycnonotidae",2008,39490
"1378","Pelecanidae",2017,310707
"1379","Pelecanidae",2015,235891
"1380","Megapodiidae",2007,2481
"1381","Maluridae",2016,66785
"1382","Aegothelidae",2004,1305
"1383","Artamidae",2021,57173
"1384","Petroicidae",2015,41513
"1385","Strigidae",2015,332261
"1386","Campephagidae",2020,132020
"1387","Dromaiidae",2010,1808
"1388","Megapodiidae",2005,1811
"1389","Psophodidae",2020,26628
"1390","Dromaiidae",2015,3256
"1391","Locustellidae",2008,18621
"1392","Podargidae",2004,2187
"1393","Zosteropidae",2019,185593
"1394","Zosteropidae",2005,41450
"1395","Corcoracidae",2018,14339
"1396","Artamidae",2012,14540
"1397","Aegothelidae",2018,3308
"1398","Pomatostomidae",2004,4452
"1399",NA,2007,5965
"1400","Monarchidae",2007,34739
"1401","Corcoracidae",2015,9697
"1402","Ciconiidae",2005,18530
"1403","Menuridae",2021,5661
"1404","Pomatostomidae",2014,6633
"1405","Dicaeidae",2014,19864
"1406","Passeridae",2004,152073
"1407","Alcedinidae",2020,1202836
"1408","Pelecanidae",2007,37633
"1409","Oriolidae",2008,20359
"1410","Phalacrocoracidae",2021,2094156
"1411","Menuridae",2015,3568
"1412","Alcedinidae",2005,79716
"1413","Rhipiduridae",2021,274084
"1414","Campephagidae",2014,49529
"1415","Orthonychidae",2011,715
"1416","Pomatostomidae",2017,8977
"1417","Cuculidae",2021,1111741
"1418","Haematopodidae",2012,173296
"1419","Campephagidae",2019,136831
"1420","Petroicidae",2007,20758
"1421","Dromaiidae",2017,5441
"1422","Megapodiidae",2006,2036
"1423","Podargidae",2019,10750
"1424","Anhingidae",2017,121263
"1425","Aegothelidae",2015,2023
"1426","Anhingidae",2004,8040
"1427","Estrildidae",2021,416481
"1428","Spheniscidae",2018,10007
"1429","Anhingidae",2016,101883
"1430","Hirundinidae",2004,292948
"1431","Ptilonorhynchidae",2016,16914
"1432",NA,2019,20081
"1433","Psophodidae",2012,8384
"1434","Recurvirostridae",2012,123751
"1435","Ptilonorhynchidae",2020,26445
"1436","Podicipedidae",2012,468608
"1437","Cacatuidae",2009,908
"1438","Corcoracidae",2004,4692
"1439","Petroicidae",2011,24722
"1440","Locustellidae",2015,36360
"1441","Tytonidae",2015,22230
"1442","Anhingidae",2015,82460
"1443","Artamidae",2009,11282
"1444","Pedionomidae",2009,19
"1445","Turnicidae",2006,1350
"1446","Cisticolidae",2008,58918
"1447","Caprimulgidae",2005,17035
"1448","Ptilonorhynchidae",2014,12134
"1449","Dromaiidae",2005,1531
"1450","Pardalotidae",2010,23169
"1451","Pomatostomidae",2006,5220
"1452","Aegothelidae",2010,1319
"1453","Procellariidae",2013,84018
"1454","Pomatostomidae",2011,5366
"1455","Menuridae",2004,1473
"1456","Aegothelidae",2006,1405
"1457","Neosittidae",2018,3947
"1458","Pomatostomidae",2015,7055
"1459","Oreoicidae",2018,3063
"1460","Recurvirostridae",2004,32585
"1461","Locustellidae",2021,70278
"1462","Procellariidae",2016,110599
"1463","Anhingidae",2007,13968
"1464","Psophodidae",2017,18681
"1465","Neosittidae",2006,1582
"1466","Cacatuidae",2006,1281
"1467","Sulidae",2014,142236
"1468","Anhingidae",2010,26750
"1469","Cacatuidae",2007,1074
"1470","Anhingidae",2021,205520
"1471","Pittidae",2013,2575
"1472","Psophodidae",2006,5455
"1473","Menuridae",2006,1400
"1474","Aegothelidae",2019,2911
"1475","Psophodidae",2016,15941
"1476","Aegothelidae",2007,1318
"1477","Meropidae",2007,19173
"1478","Pomatostomidae",2016,7658
"1479","Ciconiidae",2004,17830
"1480","Procellariidae",2015,107633
"1481","Alcedinidae",2021,1377880
"1482","Dasyornithidae",2018,1376
"1483","Dromaiidae",2013,2875
"1484","Locustellidae",2020,61176
"1485","Psophodidae",2005,5360
"1486","Psittaculidae",2016,4820
"1487","Hirundinidae",2006,354744
"1488","Podicipedidae",2020,1265367
"1489","Artamidae",2020,47817
"1490","Ptilonorhynchidae",2015,14301
"1491","Psittaculidae",2005,2551
"1492","Ptilonorhynchidae",2011,7817
"1493","Sulidae",2011,42551
"1494","Climacteridae",2014,16861
"1495","Menuridae",2008,1678
"1496","Neosittidae",2009,1751
"1497","Cacatuidae",2008,1020
"1498","Dicaeidae",2004,6607
"1499","Cacatuidae",2018,2318
"1500","Passeridae",2014,827656
"1501","Corcoracidae",2009,6618
"1502","Dicruridae",2006,12823
"1503","Rhipiduridae",2013,68993
"1504","Ciconiidae",2007,30318
"1505","Anseranatidae",2017,8438
"1506","Spheniscidae",2017,7150
"1507","Caprimulgidae",2006,20059
"1508","Dromaiidae",2012,2746
"1509","Ptilonorhynchidae",2018,23858
"1510","Orthonychidae",2015,1039
"1511","Petroicidae",2021,82282
"1512","Sturnidae",2006,215520
"1513","Dicruridae",2014,52696
"1514","Dicruridae",2018,203758
"1515","Dicaeidae",2016,45171
"1516","Pelecanidae",2019,439348
"1517","Passeridae",2020,2438422
"1518","Ptilonorhynchidae",2004,5336
"1519","Artamidae",2015,25544
"1520","Dicruridae",2011,25936
"1521","Orthonychidae",2009,704
"1522","Tytonidae",2021,44055
"1523","Anseranatidae",2007,822
"1524","Aegothelidae",2009,1450
"1525","Meropidae",2006,12399
"1526","Neosittidae",2011,1600
"1527","Pelecanidae",2014,202879
"1528","Passeridae",2015,956376
"1529","Dromaiidae",2016,4254
"1530","Zosteropidae",2018,160266
"1531","Artamidae",2004,8552
"1532","Aegothelidae",2005,1283
"1533","Caprimulgidae",2021,218372
"1534","Podicipedidae",2021,1472150
"1535","Pelecanidae",2011,84507
"1536","Spheniscidae",2008,82403
"1537","Pandionidae",2006,53562
"1538","Psophodidae",2010,7187
"1539","Psittaculidae",2017,5627
"1540","Meropidae",2012,28850
"1541","Meropidae",2011,26600
"1542","Coraciidae",2015,33805
"1543","Pittidae",2019,10681
"1544","Procellariidae",2017,114381
"1545","Turnicidae",2020,6495
"1546","Locustellidae",2019,55436
"1547","Pelecanidae",2013,164829
"1548","Coraciidae",2007,8602
"1549","Pedionomidae",2004,40
"1550","Pedionomidae",2006,58
"1551","Oreoicidae",2014,2245
"1552","Meropidae",2008,17526
"1553","Oriolidae",2004,11543
"1554","Oriolidae",2006,13804
"1555","Corcoracidae",2007,6896
"1556","Coraciidae",2004,4937
"1557","Atrichornithidae",2018,327
"1558",NA,2020,19578
"1559","Cacatuidae",2020,1597
"1560","Oriolidae",2020,176473
"1561","Pomatostomidae",2005,4642
"1562","Cacatuidae",2010,978
"1563","Dicruridae",2015,90532
"1564","Passeridae",2007,305887
"1565","Apodidae",2015,375150
"1566","Paradisaeidae",2008,846
"1567","Aegothelidae",2014,1797
"1568","Neosittidae",2016,2980
"1569","Dromaiidae",2007,1752
"1570","Oreoicidae",2020,2130
"1571","Cisticolidae",2015,202867
"1572","Ptilonorhynchidae",2010,6647
"1573","Pomatostomidae",2018,9948
"1574","Spheniscidae",2020,7309
"1575","Dasyornithidae",2004,241
"1576","Pandionidae",2019,555190
"1577","Oreoicidae",2016,2319
"1578","Psittaculidae",2020,7925
"1579","Coraciidae",2019,75428
"1580","Haematopodidae",2020,343033
"1581","Ptilonorhynchidae",2013,8675
"1582","Dicaeidae",2008,8454
"1583","Coraciidae",2016,47689
"1584","Pelecanidae",2006,32144
"1585","Dicaeidae",2015,32960
"1586","Podicipedidae",2014,670464
"1587","Pittidae",2009,1431
"1588","Pelecanidae",2010,71247
"1589","Motacillidae",2004,148396
"1590","Anhingidae",2020,174385
"1591","Pelecanidae",2020,441186
"1592","Meropidae",2005,11391
"1593","Paradisaeidae",2007,898
"1594","Coraciidae",2005,6296
"1595","Tytonidae",2017,31877
"1596","Anhingidae",2011,31094
"1597","Turnicidae",2021,10950
"1598","Acrocephalidae",2006,132355
"1599","Laridae",2020,5344695
"1600","Tytonidae",2007,14557
"1601","Orthonychidae",2008,636
"1602","Megapodiidae",2009,3310
"1603","Recurvirostridae",2015,222543
"1604","Pelecanidae",2008,44321
"1605","Neosittidae",2004,1579
"1606","Dasyornithidae",2019,1161
"1607","Charadriidae",2021,2468893
"1608","Coraciidae",2008,8941
"1609","Psittaculidae",2012,2525
"1610","Sulidae",2004,12067
"1611","Tytonidae",2019,34623
"1612","Burhinidae",2006,3476
"1613","Apodidae",2007,94755
"1614","Sturnidae",2021,3463485
"1615","Cisticolidae",2005,29859
"1616","Oreoicidae",2007,2166
"1617","Meropidae",2017,145993
"1618","Paradisaeidae",2004,792
"1619","Anhingidae",2014,64599
"1620",NA,2015,15294
"1621","Atrichornithidae",2011,97
"1622","Ptilonorhynchidae",2017,18976
"1623","Psittaculidae",2019,6242
"1624","Locustellidae",2006,17797
"1625","Menuridae",2009,1870
"1626","Artamidae",2007,10247
"1627","Jacanidae",2006,4101
"1628","Psittaculidae",2011,2277
"1629","Neosittidae",2014,2305
"1630","Dasyornithidae",2005,165
"1631","Haematopodidae",2011,222151
"1632","Psittaculidae",2015,4008
"1633","Strigidae",2021,773593
"1634","Menuridae",2022,174
"1635","Recurvirostridae",2020,402378
"1636","Apodidae",2008,98175
"1637","Dicaeidae",2020,85788
"1638","Artamidae",2010,10725
"1639","Dromaiidae",2004,1381
"1640","Cacatuidae",2015,1506
"1641","Caprimulgidae",2007,27278
"1642","Dicruridae",2009,21510
"1643","Locustellidae",2010,26100
"1644","Pycnonotidae",2015,188654
"1645","Neosittidae",2020,4323
"1646","Cacatuidae",2004,1151
"1647","Anhingidae",2009,23017
"1648","Coraciidae",2020,69896
"1649","Pandionidae",2004,37322
"1650","Cacatuidae",2021,1427
"1651","Diomedeidae",2017,22109
"1652","Zosteropidae",2021,254421
"1653","Cisticolidae",2020,561042
"1654","Caprimulgidae",2004,15770
"1655","Oreoicidae",2008,1393
"1656","Aegothelidae",2020,2608
"1657","Coraciidae",2006,6586
