"","english_name","french_name","sci_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"10865","Angola Lark","Alouette d'Angola","Mirafra angolensis","Alondra Angolena",NA,NA,NA,NA,NA,NA
"10866","Flappet Lark","Alouette bourdonnante","Mirafra rufocinnamomea","Alondra Aplaudidora Canela",NA,NA,NA,NA,NA,NA
"10867","Kordofan Lark","Alouette du Kordofan","Mirafra cordofanica","Alondra del Kordofan",NA,NA,NA,NA,NA,NA
"10868","Williams's Lark","Alouette de Williams","Mirafra williamsi","Alondra de Williams",NA,NA,NA,NA,NA,NA
"10869","Friedmann's Lark","Alouette de Friedmann","Mirafra pulpa","Alondra de Friedmann",NA,NA,NA,NA,NA,NA
"10870","Monotonous Lark","Alouette monotone","Mirafra passerina","Alondra Monotona",1015,4.55,NA,NA,NA,NA
"10871","White-tailed Lark","Alouette a queue blanche","Mirafra albicauda","Alondra Coliblanca",NA,NA,NA,NA,NA,NA
"10872","Latakoo Lark","Alouette melodieuse","Mirafra cheniana","Alondra Melodiosa",NA,NA,NA,NA,NA,NA
"10873","Australasian Bushlark","Alouette de Java","Mirafra javanica","Alondra de Java",NA,NA,NA,NA,NA,NA
"10874","Singing Bushlark","Alouette chanteuse","Mirafra cantillans","Alondra Cantarina",NA,NA,NA,NA,NA,NA
"10875","Burmese Bushlark","Alouette de Birmanie","Mirafra microptera","Alondra Birmana",NA,NA,NA,NA,NA,NA
"10876","Bengal Bushlark","Alouette d'Assam","Mirafra assamica","Alondra de Assam",NA,NA,NA,NA,NA,NA
"10877","Indochinese Bushlark","Alouette d'Indochine","Mirafra erythrocephala","Alondra Indochina",NA,NA,NA,NA,NA,NA
"10878","Jerdon's Bushlark","Alouette du Deccan","Mirafra affinis","Alondra de Jerdon",NA,NA,NA,NA,NA,NA
"10879","Indian Bushlark","Alouette a ailes rousses","Mirafra erythroptera","Alondra India",NA,NA,NA,NA,NA,NA
"10880","Singing/Indian Bushlark","Alouette chanteuse ou A. a ailes rousses","Mirafra cantillans/erythroptera","Alondra Cantarina/India",NA,NA,NA,NA,NA,NA
"10881","Jerdon's/Indian Bushlark","Alouette du Deccan ou A. a ailes rousses","Mirafra affinis/erythroptera","Alondra de Jerdon/India",NA,NA,NA,NA,NA,NA
"10882","Rusty Lark","Alouette rousse","Mirafra rufa","Alondra Rufa",NA,NA,NA,NA,NA,NA
"10883","Gillett's Lark","Alouette de Gillett","Mirafra gilletti","Alondra de Gillett",NA,NA,NA,NA,NA,NA
"10884","Mirafra sp.","Mirafra sp.","Mirafra sp.","Mirafra sp.",NA,NA,NA,NA,NA,NA
"10885","Horned Lark","Alouette hausse-col","Eremophila alpestris","Alondra Cornuda",2876,12.9,NA,NA,1584,7.14
"10886","Horned Lark (Atlas)","Alouette hausse-col (atlas)","Eremophila alpestris atlas","Alondra Cornuda (atlas)",NA,NA,NA,NA,NA,NA
"10887","Horned Lark (Black-necklaced)","Alouette hausse-col (groupe penicillata)","Eremophila alpestris [penicillata Group]","Alondra Cornuda (grupo penicillata)",NA,NA,NA,NA,NA,NA
"10888","Horned Lark (Tibetan)","Alouette hausse-col (groupe longirostris)","Eremophila alpestris [longirostris Group]","Alondra Cornuda (tibetana)",NA,NA,NA,NA,NA,NA
"10889","Horned Lark (Brandt's)","Alouette hausse-col (brandti)","Eremophila alpestris brandti","Alondra Cornuda (brandti)",NA,NA,NA,NA,NA,NA
"10890","Horned Lark (Shore)","Alouette hausse-col (flava)","Eremophila alpestris flava","Alondra Cornuda (flava)",NA,NA,NA,NA,NA,NA
"10891","Horned Lark (Eastern dark Group)","Alouette hausse-col (groupe alpestris)","Eremophila alpestris [alpestris Group]","Alondra Cornuda (grupo alpestris)",NA,NA,NA,NA,NA,NA
"10892","Horned Lark (Western pale Group)","Alouette hausse-col (groupe occidentalis)","Eremophila alpestris [occidentalis Group]","Alondra Cornuda (grupo occidentalis)",NA,NA,NA,NA,NA,NA
"10893","Horned Lark (Western rufous Group)","Alouette hausse-col (groupe strigata)","Eremophila alpestris [strigata Group]","Alondra Cornuda (grupo strigata)",NA,NA,NA,NA,NA,NA
"10894","Horned Lark (South Baja)","Alouette hausse-col (enertera)","Eremophila alpestris enertera","Alondra Cornuda (enertera)",NA,NA,NA,NA,NA,NA
"10895","Horned Lark (Mexican)","Alouette hausse-col (groupe chrysolaema)","Eremophila alpestris [chrysolaema Group]","Alondra Cornuda (grupo chrysolaema)",NA,NA,NA,NA,NA,NA
"10896","Horned Lark (Colombian)","Alouette hausse-col (peregrina)","Eremophila alpestris peregrina","Alondra Cornuda (peregrina)",NA,NA,NA,NA,NA,NA
"10897","Temminck's Lark","Alouette bilophe","Eremophila bilopha","Alondra Sahariana",NA,NA,NA,NA,NA,NA
"10898","Horned/Temminck's Lark","Alouette hausse-col ou A. bilophe","Eremophila alpestris/bilopha","Alondra Cornuda/Sahariana",NA,NA,NA,NA,NA,NA
"10899","Blanford's Lark","Alouette de Blanford","Calandrella blanfordi","Terrera de Blanford",NA,NA,NA,NA,NA,NA
"10900","Blanford's Lark (Blanford's)","Alouette de Blanford (blanfordi)","Calandrella blanfordi blanfordi","Terrera de Blanford (blanfordi)",NA,NA,NA,NA,NA,NA
"10901","Blanford's Lark (Erlanger's)","Alouette de Blanford (erlangeri)","Calandrella blanfordi erlangeri","Terrera de Blanford (de Erlanger)",NA,NA,NA,NA,NA,NA
"10902","Rufous-capped Lark","Alouette de Peters","Calandrella eremica","Terrera Herrumbrosa",NA,NA,NA,NA,NA,NA
"10903","Red-capped Lark","Alouette cendrille","Calandrella cinerea","Terrera Capirotada",NA,NA,NA,NA,NA,NA
"10904","Greater Short-toed Lark","Alouette calandrelle","Calandrella brachydactyla","Terrera Comun",NA,NA,870,3.9,1058,4.77
"10905","Mongolian Short-toed Lark","Alouette de Sykes","Calandrella dukhunensis","Terrera Oriental",NA,NA,NA,NA,NA,NA
"10906","Greater/Mongolian Short-toed Lark","Alouette calandrelle ou A. de Sykes","Calandrella brachydactyla/dukhunensis","Terrera Comun/Oriental",NA,NA,NA,NA,NA,NA
"10907","Hume's Lark","Alouette de Hume","Calandrella acutirostris","Terrera de Hume",NA,NA,NA,NA,NA,NA
"10908","Greater Short-toed/Hume's Lark","Alouette calandrelle ou A. de Hume","Calandrella brachydactyla/acutirostris","Terrera Comun/de Hume",NA,NA,NA,NA,NA,NA
"10909","Mongolian Short-toed/Hume's Lark","Alouette de Sykes ou A. de Hume","Calandrella dukhunensis/acutirostris","Terrera Oriental/de Hume",NA,NA,NA,NA,NA,NA
"10910","Calandrella sp.","Calandrella sp.","Calandrella sp.","Calandrella sp.",NA,NA,NA,NA,NA,NA
"10911","Bimaculated Lark","Alouette monticole","Melanocorypha bimaculata","Calandria Bimaculada",1998,8.96,NA,NA,NA,NA
"10912","Calandra Lark","Alouette calandre","Melanocorypha calandra","Calandria Comun",1942,8.71,1256,5.63,4308,19.41
"10913","Bimaculated/Calandra Lark","Alouette monticole ou A. calandre","Melanocorypha bimaculata/calandra","Calandria Bimaculada/Comun",NA,NA,NA,NA,NA,NA
"10914","Tibetan Lark","Alouette du Tibet","Melanocorypha maxima","Calandria Tibetana",NA,NA,NA,NA,NA,NA
"10915","Black Lark","Alouette negre","Melanocorypha yeltoniensis","Calandria Negra",5264,23.61,NA,NA,2295,10.34
"10916","Mongolian Lark","Alouette de Mongolie","Melanocorypha mongolica","Calandria de Mongolia",1624,7.28,NA,NA,NA,NA
"10917","Dupont's Lark","Alouette de Dupont","Chersophilus duponti","Alondra Ricoti",NA,NA,NA,NA,2062,9.29
"10918","Dunn's Lark","Alouette de Dunn","Eremalauda dunni","Alondra de Dunn",NA,NA,NA,NA,NA,NA
"10919","Arabian Lark","Alouette d'Arabie","Eremalauda eremodites","Alondra arabe",NA,NA,NA,NA,NA,NA
"10920","Dunn's/Arabian Lark","Alouette de Dunn ou A. d'Arabie","Eremalauda dunni/eremodites","Alondra de Dunn/arabe",NA,NA,NA,NA,NA,NA
"10921","Somali Short-toed Lark","Alouette roussatre","Alaudala somalica","Terrera Somali",NA,NA,NA,NA,NA,NA
"10922","Somali Short-toed Lark (Somali)","Alouette roussatre (groupe somalica)","Alaudala somalica [somalica Group]","Terrera Somali (grupo somalica)",NA,NA,NA,NA,NA,NA
"10923","Somali Short-toed Lark (Athi)","Alouette roussatre (athensis)","Alaudala somalica athensis","Terrera Somali (athensis)",NA,NA,NA,NA,NA,NA
"10924","Asian Short-toed Lark","Alouette de Swinhoe","Alaudala cheleensis","Terrera de Mongolia",NA,NA,NA,NA,NA,NA
"10925","Mediterranean Short-toed Lark","Alouette pispolette","Alaudala rufescens","Terrera Marismena",NA,NA,418,1.87,NA,NA
"10926","Turkestan Short-toed Lark","Alouette de Heine","Alaudala heinei","Terrera Palida",NA,NA,NA,NA,NA,NA
"10927","Asian/Turkestan Short-toed Lark","Alouette de Swinhoe ou A. de Heine","Alaudala cheleensis/heinei","Terrera de Mongolia/Palida",NA,NA,NA,NA,NA,NA
"10928","Mediterranean/Turkestan Short-toed Lark","Alouette pispolette ou A. de Heine","Alaudala rufescens/heinei","Terrera Marismena/Palida",NA,NA,NA,NA,NA,NA
"10929","Sand Lark","Alouette raytal","Alaudala raytal","Terrera Raytal",1645,7.38,NA,NA,NA,NA
"10930","Alaudala sp.","Alaudala sp. (Alouette)","Alaudala sp.","Alaudala sp.",NA,NA,NA,NA,NA,NA
"10931","Greater Short-toed Lark/Alaudala sp.","Alouette calandrelle ou Alaudala sp.","Calandrella brachydactyla/Alaudala sp.","Terrera Comun/Alaudala sp.",NA,NA,NA,NA,NA,NA
"10932","Calandrella/Alaudala sp.","Calandrella ou Alaudala sp.","Calandrella/Alaudala sp.","Calandrella/Alaudala sp.",NA,NA,NA,NA,NA,NA
"10933","Wood Lark","Alouette lulu","Lullula arborea","Alondra Totovia",NA,NA,3762,16.87,NA,NA
"10934","Stark's Lark","Alouette de Stark","Spizocorys starki","Alondra de Stark",NA,NA,NA,NA,NA,NA
"10935","Sclater's Lark","Alouette de Sclater","Spizocorys sclateri","Alondra de Sclater",NA,NA,NA,NA,NA,NA
"10936","Short-tailed Lark","Alouette a queue courte","Spizocorys fremantlii","Alondra Colicorta",NA,NA,NA,NA,NA,NA
"10937","Pink-billed Lark","Alouette a bec rose","Spizocorys conirostris","Alondra Piquirrosa",NA,NA,NA,NA,NA,NA
"10938","Botha's Lark","Alouette de Botha","Spizocorys fringillaris","Alondra de Botha",NA,NA,NA,NA,NA,NA
"10939","Obbia Lark","Alouette d'Obbia","Spizocorys obbiensis","Alondra de Obbia",NA,NA,NA,NA,NA,NA
"10940","Masked Lark","Alouette masquee","Spizocorys personata","Alondra Enmascarada",NA,NA,NA,NA,NA,NA
"10941","White-winged Lark","Alouette leucoptere","Alauda leucoptera","Calandria Aliblanca",NA,NA,NA,NA,NA,NA
"10942","Eurasian Skylark","Alouette des champs","Alauda arvensis","Alondra Comun",1911,8.57,4485,20.11,1290,5.81
"10943","Eurasian Skylark (European)","Alouette des champs (groupe arvensis)","Alauda arvensis [arvensis Group]","Alondra Comun (europea)",NA,NA,NA,NA,NA,NA
"10944","Eurasian Skylark (Asian)","Alouette des champs (groupe pekinensis)","Alauda arvensis [pekinensis Group]","Alondra Comun (asiatica)",NA,NA,NA,NA,NA,NA
"10945","Eurasian Skylark (Far Eastern)","Alouette des champs (japonica/intermedia)","Alauda arvensis japonica/intermedia","Alondra Comun (oriental)",NA,NA,NA,NA,NA,NA
"10946","Oriental Skylark","Alouette gulgule","Alauda gulgula","Alondra Oriental",2372,10.64,NA,NA,NA,NA
"10947","Eurasian/Oriental Skylark","Alouette des champs ou A. gulgule","Alauda arvensis/gulgula","Alondra Comun/Oriental",NA,NA,NA,NA,NA,NA
"10948","Razo Skylark","Alouette de Razo","Alauda razae","Alondra de Razo",NA,NA,NA,NA,NA,NA
"10949","Sun Lark","Cochevis modeste","Galerida modesta","Cogujada Modesta",3680,16.5,NA,NA,NA,NA
"10950","Large-billed Lark","Cochevis a gros bec","Galerida magnirostris","Cogujada Picogorda",NA,NA,NA,NA,NA,NA
"10951","Thekla's Lark","Cochevis de Thekla","Galerida theklae","Cogujada Montesina",NA,NA,NA,NA,2670,12.03
"10952","Crested Lark","Cochevis huppe","Galerida cristata","Cogujada Comun",4564,20.47,NA,NA,1277,5.75
"10953","Thekla's/Crested Lark","Cochevis de Thekla ou C. huppe","Galerida theklae/cristata","Cogujada Montesina/Comun",NA,NA,NA,NA,NA,NA
"10954","Maghreb Lark","Cochevis du Maghreb","Galerida macrorhyncha","Cogujada Magrebi",NA,NA,NA,NA,NA,NA
"10955","Thekla's/Crested/Maghreb Lark","Cochevis de Thekla, C. huppe ou C. du Maghreb","Galerida theklae/cristata/macrorhyncha","Cogujada Montesina/Comun/Magrebi",NA,NA,NA,NA,NA,NA
"10956","Crested/Maghreb Lark","Cochevis huppe ou C. du Maghreb","Galerida cristata/macrorhyncha","Cogujada Comun/Magrebi",NA,NA,NA,NA,NA,NA
"10957","Malabar Lark","Cochevis de Malabar","Galerida malabarica","Cogujada Malabar",NA,NA,NA,NA,NA,NA
"10958","Crested/Malabar Lark","Cochevis huppe ou C. de Malabar","Galerida cristata/malabarica","Cogujada Comun/Malabar",NA,NA,NA,NA,NA,NA
"10959","Tawny Lark","Cochevis de Sykes","Galerida deva","Cogujada de Deva",NA,NA,NA,NA,NA,NA
"10960","Galerida sp.","Galerida sp. (Cochevis)","Galerida sp.","Cogujada sp.",NA,NA,NA,NA,NA,NA
"10961","lark sp.","Alaudide sp.","Alaudidae sp.","Alaudido sp.",NA,NA,NA,NA,NA,NA
"10962","Bearded Reedling","Panure a moustaches","Panurus biarmicus","Bigotudo",1028,4.61,NA,NA,2714,12.23
"10963","Western Nicator","Nicator du Senegal","Nicator chloris","Conquistador Occidental",NA,NA,NA,NA,NA,NA
"10964","Eastern Nicator","Nicator a tete brune","Nicator gularis","Conquistador Oriental",NA,NA,NA,NA,NA,NA
"10965","Yellow-throated Nicator","Nicator a gorge jaune","Nicator vireo","Conquistador Gorjiamarillo",NA,NA,NA,NA,NA,NA
"10966","Western/Yellow-throated Nicator","Nicator du Senegal ou N. a gorge jaune","Nicator chloris/vireo","Conquistador Occidental/Gorjiamarillo",NA,NA,NA,NA,NA,NA
"10967","Green Crombec","Crombec vert","Sylvietta virens","Crombec Verde",NA,NA,NA,NA,NA,NA
"10968","Lemon-bellied Crombec","Crombec a gorge tachetee","Sylvietta denti","Crombec Ventrilimon",NA,NA,NA,NA,NA,NA
"10969","White-browed Crombec","Crombec a sourcils blancs","Sylvietta leucophrys","Crombec Cejiblanco",NA,NA,NA,NA,NA,NA
"10970","White-browed Crombec (White-browed)","Crombec a sourcils blancs (leucophrys/chloronota)","Sylvietta leucophrys leucophrys/chloronota","Crombec Cejiblanco (leucophrys/chloronota)",NA,NA,NA,NA,NA,NA
"10971","White-browed Crombec (Chapin's)","Crombec a sourcils blancs (chapini)","Sylvietta leucophrys chapini","Crombec Cejiblanco (chapini)",NA,NA,NA,NA,NA,NA
"10972","Northern Crombec","Crombec sittelle","Sylvietta brachyura","Crombec Norteno",NA,NA,NA,NA,NA,NA
"10973","Northern Crombec (Northern)","Crombec sittelle (brachyura/carnapi)","Sylvietta brachyura brachyura/carnapi","Crombec Norteno (brachyura/carnapi)",NA,NA,NA,NA,NA,NA
"10974","Northern Crombec (Eastern)","Crombec sittelle (leucopsis)","Sylvietta brachyura leucopsis","Crombec Norteno (leucopsis)",NA,NA,NA,NA,NA,NA
"10975","Short-billed Crombec","Crombec de Somalie","Sylvietta philippae","Crombec Piquicorto",NA,NA,NA,NA,NA,NA
"10976","Red-capped Crombec","Crombec a calotte rousse","Sylvietta ruficapilla","Crombec Orejirrufo",NA,NA,NA,NA,NA,NA
"10977","Red-faced Crombec","Crombec a face rousse","Sylvietta whytii","Crombec Carirrojo",NA,NA,NA,NA,NA,NA
"10978","Somali Crombec","Crombec isabelle","Sylvietta isabellina","Crombec Isabelino",NA,NA,NA,NA,NA,NA
"10979","Cape Crombec","Crombec a long bec","Sylvietta rufescens","Crombec Piquilargo",NA,NA,NA,NA,NA,NA
"10980","crombec sp.","Sylvietta sp.","Sylvietta sp.","Crombec sp.",NA,NA,NA,NA,NA,NA
"10981","Rockrunner","Achetopse a flancs roux","Achaetops pycnopygius","Saltarrocas de Damara",4688,21.02,NA,NA,NA,NA
"10982","Moustached Grass-Warbler","Melocichle a moustaches","Melocichla mentalis","Yerbera Bigotuda",NA,NA,NA,NA,NA,NA
"10983","Cape Grassbird","Sphenoeque du Cap","Sphenoeacus afer","Yerbera de El Cabo",NA,NA,NA,NA,NA,NA
"10984","Victorin's Warbler","Cryptille de Victorin","Cryptillas victorini","Zarzalero de Victorin",NA,NA,NA,NA,NA,NA
"10985","Kemp's Longbill","Nasique de Kemp","Macrosphenus kempi","Picolargo de Kemp",NA,NA,NA,NA,NA,NA
"10986","Yellow Longbill","Nasique jaune","Macrosphenus flavicans","Picolargo Amarillo",NA,NA,NA,NA,NA,NA
"10987","Gray Longbill","Nasique grise","Macrosphenus concolor","Picolargo Gris",NA,NA,NA,NA,NA,NA
"10988","Pulitzer's Longbill","Nasique de Pulitzer","Macrosphenus pulitzeri","Picolargo de Pulitzer",NA,NA,NA,NA,NA,NA
"10989","Kretschmer's Longbill","Nasique de Kretschmer","Macrosphenus kretschmeri","Picolargo de Kretschmer",NA,NA,NA,NA,NA,NA
"10990","longbill sp.","Macrosphenus sp.","Macrosphenus sp.","Macrosphenus sp.",NA,NA,NA,NA,NA,NA
"10991","Grauer's Warbler","Grauerie striee","Graueria vittata","Mosquitero Barrado",NA,NA,NA,NA,NA,NA
"10992","Green Hylia","Hylia verte","Hylia prasina","Hilia Verde",NA,NA,NA,NA,NA,NA
"10993","Tit-hylia","Mesangette rayee","Pholidornis rushiae","Hilia Estriada",NA,NA,NA,NA,NA,NA
"10994","Common Jery","Petite eroesse","Neomixis tenella","Jiji Comun",NA,NA,NA,NA,NA,NA
"10995","Green Jery","eroesse verte","Neomixis viridis","Jiji Verde",NA,NA,NA,NA,NA,NA
"10996","Stripe-throated Jery","Grande eroesse","Neomixis striatigula","Jiji Grande",NA,NA,NA,NA,NA,NA
"10997","Stripe-throated Jery (Stripe-throated)","Grande eroesse (striatigula/sclateri)","Neomixis striatigula striatigula/sclateri","Jiji Grande (garganta estriada)",NA,NA,NA,NA,NA,NA
"10998","Stripe-throated Jery (Subdesert)","Grande eroesse (pallidior)","Neomixis striatigula pallidior","Jiji Grande (subdesertico)",NA,NA,NA,NA,NA,NA
"10999","jery sp.","eroesse sp.","Neomixis sp.","Jiji sp.",NA,NA,NA,NA,NA,NA
"11000","Leyte Plumed-Warbler","Camaroptere de Leyte","Micromacronus leytensis","Timali Enano de Visayan",NA,NA,NA,NA,NA,NA
"11001","Mindanao Plumed-Warbler","Camaroptere de Mindanao","Micromacronus sordidus","Timali Enano de Mindanao",NA,NA,NA,NA,NA,NA
"11002","Salvadori's Eremomela","eremomele de Salvadori","Eremomela salvadorii","Eremomela de Salvadori",NA,NA,NA,NA,NA,NA
"11003","Yellow-vented Eremomela","eremomele a ventre jaune","Eremomela flavicrissalis","Eremomela Culigualda",NA,NA,NA,NA,NA,NA
"11004","Yellow-bellied Eremomela","eremomele a croupion jaune","Eremomela icteropygialis","Eremomela Ventrigualda",NA,NA,NA,NA,NA,NA
"11005","Senegal Eremomela","eremomele a dos vert","Eremomela pusilla","Eremomela Senegalesa",NA,NA,NA,NA,NA,NA
"11006","Green-backed Eremomela","eremomele grisonnante","Eremomela canescens","Eremomela Dorsiverde",NA,NA,NA,NA,NA,NA
"11007","Greencap Eremomela","eremomele a calotte verte","Eremomela scotops","Eremomela Coroniverde",NA,NA,NA,NA,NA,NA
"11008","Yellow-rumped Eremomela","eremomele du Karoo","Eremomela gregalis","Eremomela del Karoo",NA,NA,NA,NA,NA,NA
"11009","Rufous-crowned Eremomela","eremomele a tete brune","Eremomela badiceps","Eremomela Capirotada",NA,NA,NA,NA,NA,NA
"11010","Turner's Eremomela","eremomele de Turner","Eremomela turneri","Eremomela de Turner",NA,NA,NA,NA,NA,NA
"11011","Black-necked Eremomela","eremomele a cou noir","Eremomela atricollis","Eremomela Cuellinegra",NA,NA,NA,NA,NA,NA
"11012","Burnt-neck Eremomela","eremomele a cou roux","Eremomela usticollis","Eremomela Cuellirrufa",NA,NA,NA,NA,NA,NA
"11013","eremomela sp.","Eremomela sp.","Eremomela sp.","Eremomela sp.",NA,NA,NA,NA,NA,NA
"11014","Red-winged Gray Warbler","Apalis grise","Drymocichla incana","Prinia Alicastana",NA,NA,NA,NA,NA,NA
"11015","Sierra Leone Prinia","Apalis du Sierra Leone","Schistolais leontica","Prinia de Sierra Leona",NA,NA,NA,NA,NA,NA
"11016","White-chinned Prinia","Apalis a gorge blanche","Schistolais leucopogon","Prinia Gorjiblanca",NA,NA,NA,NA,NA,NA
"11017","Roberts's Warbler","Apalis de Roberts","Oreophilais robertsi","Prinia de Roberts",NA,NA,NA,NA,NA,NA
"11018","Namaqua Warbler","Apalis namaqua","Phragmacia substriata","Prinia Namaqua",NA,NA,NA,NA,NA,NA
"11019","Green Longtail","Apalis verte","Urolais epichlorus","Prinia Rabilarga",NA,NA,NA,NA,NA,NA
"11020","Green Longtail (Green)","Apalis verte (epichlorus)","Urolais epichlorus epichlorus","Prinia Rabilarga (epichlorus)",NA,NA,NA,NA,NA,NA
"11021","Green Longtail (Bioko)","Apalis verte (mariae)","Urolais epichlorus mariae","Prinia Rabilarga (mariae)",NA,NA,NA,NA,NA,NA
"11022","Black-collared Apalis","Apalis a col noir","Oreolais pulcher","Apalis Cuellinegro",NA,NA,NA,NA,NA,NA
"11023","Rwenzori Apalis","Apalis du Rwenzori","Oreolais ruwenzorii","Apalis del Ruwenzori",NA,NA,NA,NA,NA,NA
"11024","African Tailorbird","Apalis couturiere","Artisornis metopias","Sastrecillo Africano",NA,NA,NA,NA,NA,NA
"11025","Long-billed Tailorbird","Apalis a long bec","Artisornis moreaui","Sastrecillo de Moreau",NA,NA,NA,NA,NA,NA
"11026","Long-billed Tailorbird (Long-billed)","Apalis a long bec (moreaui)","Artisornis moreaui moreaui","Sastrecillo de Moreau (moreaui)",NA,NA,NA,NA,NA,NA
"11027","Long-billed Tailorbird (Njesi)","Apalis a long bec (sousae)","Artisornis moreaui sousae","Sastrecillo de Moreau (sousae)",NA,NA,NA,NA,NA,NA
"11028","White-tailed Warbler","Poliolais a queue blanche","Poliolais lopezi","Camaroptera Coliblanca",NA,NA,NA,NA,NA,NA
"11029","White-tailed Warbler (Highland)","Poliolais a queue blanche (manengubae)","Poliolais lopezi manengubae","Camaroptera Coliblanca (manengubae)",NA,NA,NA,NA,NA,NA
"11030","White-tailed Warbler (Alexander's)","Poliolais a queue blanche (alexanderi)","Poliolais lopezi alexanderi","Camaroptera Coliblanca (alexanderi)",NA,NA,NA,NA,NA,NA
"11031","White-tailed Warbler (Bioko)","Poliolais a queue blanche (lopezi)","Poliolais lopezi lopezi","Camaroptera Coliblanca (lopezi)",NA,NA,NA,NA,NA,NA
"11032","Miombo Wren-Warbler","Camaroptere du miombo","Calamonastes undosus","Camaroptera del Miombo",NA,NA,NA,NA,NA,NA
"11033","Stierling's Wren-Warbler","Camaroptere de Stierling","Calamonastes stierlingi","Camaroptera del Stierling",NA,NA,NA,NA,NA,NA
"11034","Miombo x Stierling's Wren-Warbler (hybrid)","Hybride Camaroptere du miombo x C. de Stierling","Calamonastes undosus x stierlingi","Camaroptera del Miombo x de Stierling (hibrido)",NA,NA,NA,NA,NA,NA
"11035","Miombo/Stierling's Wren-Warbler","Camaroptere du miombo ou C. de Stierling","Calamonastes undosus/stierlingi","Camaroptera del Miombo/Stierling",NA,NA,NA,NA,NA,NA
"11036","Gray Wren-Warbler","Camaroptere modeste","Calamonastes simplex","Camaroptera Sencilla",NA,NA,NA,NA,NA,NA
"11037","Barred Wren-Warbler","Camaroptere barree","Calamonastes fasciolatus","Camaroptera Barrada",NA,NA,NA,NA,NA,NA
"11038","Green-backed Camaroptera","Camaroptere a tete grise","Camaroptera brachyura","Camaroptera Baladora",NA,NA,NA,NA,NA,NA
"11039","Green-backed Camaroptera (Gray-backed)","Camaroptere a tete grise (groupe brevicaudata)","Camaroptera brachyura [brevicaudata Group]","Camaroptera Baladora (grupo brevicauda)",NA,NA,NA,NA,NA,NA
"11040","Green-backed Camaroptera (Green-backed)","Camaroptere a tete grise (groupe brachyura)","Camaroptera brachyura [brachyura Group]","Camaroptera Baladora (grupo brachyura)",NA,NA,NA,NA,NA,NA
"11041","Hartert's Camaroptera","Camaroptere de Hartert","Camaroptera harterti","Camaroptera de Hartert",NA,NA,NA,NA,NA,NA
"11042","Green-backed/Hartert's Camaroptera","Camaroptere a tete grise ou C. de Hartert","Camaroptera brachyura/harterti","Camaroptera Baladora/de Hartert",NA,NA,NA,NA,NA,NA
"11043","Yellow-browed Camaroptera","Camaroptere a sourcils jaunes","Camaroptera superciliaris","Camaroptera Cejigualda",NA,NA,NA,NA,NA,NA
"11044","Olive-green Camaroptera","Camaroptere a dos vert","Camaroptera chloronota","Camaroptera Dorsiverde",NA,NA,NA,NA,NA,NA
"11045","Olive-green Camaroptera (Olive-green)","Camaroptere a dos vert (groupe chloronota)","Camaroptera chloronota [chloronota Group]","Camaroptera Dorsiverde (dorsiverde)",NA,NA,NA,NA,NA,NA
"11046","Olive-green Camaroptera (Tawny-breasted)","Camaroptere a dos vert (toroensis/kamitugaensis)","Camaroptera chloronota toroensis/kamitugaensis","Camaroptera Dorsiverde (pechileonada)",NA,NA,NA,NA,NA,NA
"11047","camaroptera sp.","Camaroptera sp.","Camaroptera sp.","Camaroptera sp.",NA,NA,NA,NA,NA,NA
"11048","Cricket Longtail","Spiloptile a front ecailleux","Spiloptila clamans","Prinia Charlatana",NA,NA,NA,NA,NA,NA
"11049","Buff-bellied Warbler","Phyllolais a ventre fauve","Phyllolais pulchella","Prinia Ventripalida",NA,NA,NA,NA,NA,NA
"11050","Bar-throated Apalis","Apalis a collier","Apalis thoracica","Apalis Acollarado",NA,NA,NA,NA,NA,NA
"11051","Taita Apalis","Apalis des Taita","Apalis fuscigularis","Apalis de Taita",NA,NA,NA,NA,NA,NA
"11052","Yellow-throated Apalis","Apalis noir et jaune","Apalis flavigularis","Apalis de Garganta Amarilla",NA,NA,NA,NA,NA,NA
"11053","Namuli Apalis","Apalis de Lynes","Apalis lynesi","Apalis de Namuli",NA,NA,NA,NA,NA,NA
"11054","Black-capped Apalis","Apalis a calotte noire","Apalis nigriceps","Apalis Capirotado",NA,NA,NA,NA,NA,NA
"11055","Black-capped Apalis (Black-capped)","Apalis a calotte noire (nigriceps)","Apalis nigriceps nigriceps","Apalis Capirotado (nigriceps)",NA,NA,NA,NA,NA,NA
"11056","Black-capped Apalis (White-tailed)","Apalis a calotte noire (collaris)","Apalis nigriceps collaris","Apalis Capirotado (collaris)",NA,NA,NA,NA,NA,NA
"11057","Black-throated Apalis","Apalis a gorge noire","Apalis jacksoni","Apalis Gorjinegro",NA,NA,NA,NA,NA,NA
"11058","White-winged Apalis","Apalis a ailes blanches","Apalis chariessa","Apalis Aliblanco",NA,NA,NA,NA,NA,NA
"11059","Masked Apalis","Apalis masquee","Apalis binotata","Apalis Enmascarado",NA,NA,NA,NA,NA,NA
"11060","Black-faced Apalis","Apalis a face noire","Apalis personata","Apalis Carinegro",NA,NA,NA,NA,NA,NA
"11061","Yellow-breasted Apalis","Apalis a gorge jaune","Apalis flavida","Apalis Pechigualdo",NA,NA,NA,NA,NA,NA
