"","english_name","french_name","sci_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"12977","Makira Starling","Stourne de San Cristobal","Aplonis dichroa","Estornino de San Cristobal",NA,NA,NA,NA,NA,NA
"12978","Rusty-winged Starling","Stourne melanesien","Aplonis zelandica","Estornino de Melanesia",NA,NA,NA,NA,NA,NA
"12979","Striated Starling","Stourne caledonien","Aplonis striata","Estornino de Nueva Caledonia",NA,NA,NA,NA,NA,NA
"12980","Pohnpei Starling","Stourne de Ponape","Aplonis pelzelni","Estornino de Ponape",NA,NA,NA,NA,NA,NA
"12981","Singing Starling","Stourne chanteur","Aplonis cantoroides","Estornino Cantor",1538,6.9,NA,NA,NA,NA
"12982","Mountain Starling","Stourne d'Espiritu Santo","Aplonis santovestris","Estornino de Espiritu Santo",1953,8.76,NA,NA,NA,NA
"12983","Asian Glossy Starling","Stourne bronze","Aplonis panayensis","Estornino Bronceado",3176,14.24,NA,NA,NA,NA
"12984","Moluccan Starling","Stourne des Moluques","Aplonis mysolensis","Estornino Moluqueno",NA,NA,NA,NA,NA,NA
"12985","Short-tailed Starling","Stourne a queue courte","Aplonis minor","Estornino Colicorto",NA,NA,NA,NA,NA,NA
"12986","Micronesian Starling","Stourne de Micronesie","Aplonis opaca","Estornino de Micronesia",967,4.34,NA,NA,NA,NA
"12987","Polynesian Starling","Stourne de Polynesie","Aplonis tabuensis","Estornino de Polinesia",NA,NA,NA,NA,NA,NA
"12988","Polynesian Starling (Polynesian)","Stourne de Polynesie (groupe tabuensis)","Aplonis tabuensis [tabuensis Group]","Estornino de Polinesia (grupo tabuensis)",NA,NA,NA,NA,NA,NA
"12989","Polynesian Starling (Manua)","Stourne de Polynesie (manuae)","Aplonis tabuensis manuae","Estornino de Polinesia (manuae)",NA,NA,NA,NA,NA,NA
"12990","Samoan Starling","Stourne de Samoa","Aplonis atrifusca","Estornino de Samoa",NA,NA,NA,NA,NA,NA
"12991","Kosrae Starling","Stourne de Kusaie","Aplonis corvina","Estornino de Kosrae",NA,NA,NA,NA,NA,NA
"12992","Rarotonga Starling","Stourne de Rarotonga","Aplonis cinerascens","Estornino de Rarotonga",NA,NA,NA,NA,NA,NA
"12993","Mysterious Starling","Stourne mysterieux","Aplonis mavornata","Estornino Misterioso",NA,NA,NA,NA,NA,NA
"12994","Norfolk Starling","Stourne de Norfolk","Aplonis fusca","Estornino de Isla Norfolk",NA,NA,NA,NA,NA,NA
"12995","Raiatea Starling","Stourne de Raiatea","Aplonis ulietensis","Estornino de Raiatea",NA,NA,NA,NA,NA,NA
"12996","Aplonis sp.","Stourne sp.","Aplonis sp.","Aplonis sp.",NA,NA,NA,NA,NA,NA
"12997","Sulawesi Myna","Basilorne des Celebes","Basilornis celebensis","Mina de Celebes",NA,NA,NA,NA,NA,NA
"12998","Helmeted Myna","Basilorne huppe","Basilornis galeatus","Mina de Yelmo",NA,NA,NA,NA,NA,NA
"12999","Long-crested Myna","Basilorne de Ceram","Basilornis corythaix","Mina Moluqueno",NA,NA,NA,NA,NA,NA
"13000","Apo Myna","Basilorne de Mindanao","Goodfellowia miranda","Mina de Mindanao",NA,NA,NA,NA,NA,NA
"13001","Coleto","Goulin gris","Sarcops calvus","Mina Coleto",9312,41.76,NA,NA,NA,NA
"13002","White-necked Myna","Streptocitte a cou blanc","Streptocitta albicollis","Mina Cuelliblanco",NA,NA,NA,NA,NA,NA
"13003","White-necked Myna (Northern)","Streptocitte a cou blanc (torquata)","Streptocitta albicollis torquata","Mina Cuelliblanco (torquata)",NA,NA,NA,NA,NA,NA
"13004","White-necked Myna (Southern)","Streptocitte a cou blanc (albicollis)","Streptocitta albicollis albicollis","Mina Cuelliblanco (albicollis)",NA,NA,NA,NA,NA,NA
"13005","Bare-eyed Myna","Streptocitte des Sula","Streptocitta albertinae","Mina Caricalvo",NA,NA,NA,NA,NA,NA
"13006","Yellow-faced Myna","Mino de Dumont","Mino dumontii","Mina Carigualdo",NA,NA,NA,NA,NA,NA
"13007","Golden Myna","Mino d'Anais","Mino anais","Mina Dorado",1927,8.64,NA,NA,2969,13.37
"13008","Long-tailed Myna","Mino de Krefft","Mino kreffti","Mina de Las Bismarck",NA,NA,NA,NA,NA,NA
"13009","Golden-crested Myna","Mainate couronne","Ampeliceps coronatus","Mina Coronado",NA,NA,NA,NA,NA,NA
"13010","Sri Lanka Myna","Mainate de Ceylan","Gracula ptilogenys","Mina Cingales",NA,NA,NA,NA,NA,NA
"13011","Common Hill Myna","Mainate religieux","Gracula religiosa","Mina Religioso",3015,13.52,1240,5.56,NA,NA
"13012","Common Hill Myna (Common)","Mainate religieux (groupe religiosa)","Gracula religiosa [religiosa Group]","Mina Religioso (grupo religiosa)",NA,NA,NA,NA,NA,NA
"13013","Common Hill Myna (Tenggara)","Mainate religieux (venerata)","Gracula religiosa venerata","Mina Religioso (venerado)",NA,NA,NA,NA,NA,NA
"13014","Southern Hill Myna","Mainate indien","Gracula indica","Mina Indio",NA,NA,NA,NA,3595,16.19
"13015","Enggano Myna","Mainate d'Enggano","Gracula enganensis","Mina de Enggano",NA,NA,NA,NA,NA,NA
"13016","Nias Myna","Mainate de Nias","Gracula robusta","Mina de La Nias",NA,NA,NA,NA,NA,NA
"13017","European Starling","etourneau sansonnet","Sturnus vulgaris","Estornino Pinto",NA,NA,3615,16.21,2969,13.37
"13018","Spotless Starling","etourneau unicolore","Sturnus unicolor","Estornino Negro",1370,6.14,NA,NA,2681,12.08
"13019","European/Spotless Starling","etourneau sansonnet ou e. unicolore","Sturnus vulgaris/unicolor","Estornino Pinto/Negro",NA,NA,NA,NA,NA,NA
"13020","Wattled Starling","etourneau caroncule","Creatophora cinerea","Estornino Carunculado",727,3.26,NA,NA,NA,NA
"13021","Rosy Starling","etourneau roselin","Pastor roseus","Estornino Rosado",1823,8.17,267,1.2,911,4.1
"13022","Daurian Starling","etourneau de Daourie","Agropsar sturninus","Estornino Daurico",NA,NA,NA,NA,NA,NA
"13023","Chestnut-cheeked Starling","etourneau a joues marron","Agropsar philippensis","Estornino Carirrojo",NA,NA,NA,NA,NA,NA
"13024","Daurian/Chestnut-cheeked Starling","etourneau de Daourie ou e. a joues marron","Agropsar sturninus/philippensis","Estornino Daurico/Carirrojo",NA,NA,NA,NA,NA,NA
"13025","Black-collared Starling","etourneau a cou noir","Gracupica nigricollis","Estornino Cuellinegro",518,2.32,NA,NA,NA,NA
"13026","Asian Pied Starling","etourneau pie","Gracupica contra","Estornino Pio",1591,7.13,NA,NA,NA,NA
"13027","Asian Pied Starling (Asian)","etourneau pie (groupe contra)","Gracupica contra [contra Group]","Estornino Pio (grupo contra)",NA,NA,NA,NA,NA,NA
"13028","Asian Pied Starling (Javan)","etourneau pie (jalla)","Gracupica contra jalla","Estornino Pio (jalla)",NA,NA,NA,NA,NA,NA
"13029","White-faced Starling","etourneau de Ceylan","Sturnornis albofrontatus","Estornino Cingales",NA,NA,NA,NA,NA,NA
"13030","Bali Myna","etourneau de Rothschild","Leucopsar rothschildi","Estornino de Bali",2165,9.71,NA,NA,693,3.12
"13031","Rodrigues Starling","etourneau de Rodrigues","Necropsar rodericanus","Estornino de Rodrigues",NA,NA,NA,NA,NA,NA
"13032","Reunion Starling","etourneau de Bourbon","Fregilupus varius","Estornino de Reunion",NA,NA,NA,NA,NA,NA
"13033","White-shouldered Starling","etourneau mandarin","Sturnia sinensis","Estornino Chino",NA,NA,NA,NA,NA,NA
"13034","Brahminy Starling","etourneau des pagodes","Sturnia pagodarum","Estornino de Las Pagodas",3668,16.45,NA,NA,NA,NA
"13035","Chestnut-tailed Starling","etourneau a tete grise","Sturnia malabarica","Estornino Cabecigris",1597,7.16,NA,NA,NA,NA
"13036","Chestnut-tailed Starling (Western)","etourneau a tete grise (malabarica)","Sturnia malabarica malabarica","Estornino Cabecigris (occidental)",NA,NA,NA,NA,NA,NA
"13037","Chestnut-tailed Starling (Eastern)","etourneau a tete grise (nemoricola)","Sturnia malabarica nemoricola","Estornino Cabecigris (oriental)",NA,NA,NA,NA,NA,NA
"13038","Malabar Starling","etourneau de Blyth","Sturnia blythii","Estornino Sedoso",NA,NA,NA,NA,NA,NA
"13039","Chestnut-tailed/Malabar Starling","etourneau a tete grise ou e. de Blyth","Sturnia malabarica/blythii","Estornino Cabecigris/sedoso",NA,NA,NA,NA,NA,NA
"13040","White-headed Starling","etourneau a tete blanche","Sturnia erythropygia","Estornino Cabeciblanco",NA,NA,NA,NA,NA,NA
"13041","Red-billed Starling","etourneau soyeux","Spodiopsar sericeus","Estornino Piquirrojo",NA,NA,NA,NA,NA,NA
"13042","White-cheeked Starling","etourneau gris","Spodiopsar cineraceus","Estornino Gris",1546,6.93,NA,NA,NA,NA
"13043","Common Myna","Martin triste","Acridotheres tristis","Mina Comun",6646,29.8,6409,28.74,NA,NA
"13044","Bank Myna","Martin des berges","Acridotheres ginginianus","Mina Ribereno",1807,8.1,NA,NA,NA,NA
"13045","Vinous-breasted Starling","Martin vineux","Acridotheres burmannicus","Mina Birmano",NA,NA,NA,NA,NA,NA
"13046","Vinous-breasted Starling (Burmese)","Martin vineux (burmannicus)","Acridotheres burmannicus burmannicus","Mina Birmano (burmannicus)",NA,NA,NA,NA,NA,NA
"13047","Vinous-breasted Starling (Vinous-breasted)","Martin vineux (leucocephalus)","Acridotheres burmannicus leucocephalus","Mina Birmano (leucocephalus)",NA,NA,NA,NA,NA,NA
"13048","Black-winged Starling","Martin a ailes noires","Acridotheres melanopterus","Mina Alinegro",NA,NA,NA,NA,NA,NA
"13049","Black-winged Starling (Black-winged)","Martin a ailes noires (melanopterus)","Acridotheres melanopterus melanopterus","Mina Alinegro (melanopterus)",NA,NA,NA,NA,NA,NA
"13050","Black-winged Starling (Gray-backed)","Martin a ailes noires (tricolor)","Acridotheres melanopterus tricolor","Mina Alinegro (tricolor)",NA,NA,NA,NA,NA,NA
"13051","Black-winged Starling (Gray-rumped)","Martin a ailes noires (tertius)","Acridotheres melanopterus tertius","Mina Alinegro (tertius)",NA,NA,NA,NA,NA,NA
"13052","Jungle Myna","Martin forestier","Acridotheres fuscus","Mina de La Jungla",2114,9.48,2659,11.92,NA,NA
"13053","Common/Jungle Myna","Martin triste ou M. forestier","Acridotheres tristis/fuscus","Mina Comun/de La Jungla",NA,NA,NA,NA,NA,NA
"13054","Javan Myna","Martin de Java","Acridotheres javanicus","Mina de Java",2666,11.96,1686,7.56,NA,NA
"13055","Pale-bellied Myna","Martin cendre","Acridotheres cinereus","Mina Cenizo",NA,NA,NA,NA,NA,NA
"13056","Collared Myna","Martin a collier","Acridotheres albocinctus","Mina Acollarado",NA,NA,NA,NA,NA,NA
"13057","Great Myna","Grand Martin","Acridotheres grandis","Mina Grande",1917,8.6,12311,55.21,10432,46.99
"13058","Black-collared Starling x Great Myna (hybrid)","Hybride etourneau a cou noir x Grand Martin","Gracupica nigricollis x Acridotheres grandis","Estornino Cuellinegro x Mina Grande (hibrido)",NA,NA,NA,NA,NA,NA
"13059","Common x Great Myna (hybrid)","Hybride Martin triste x Grand Martin","Acridotheres tristis x grandis","Mina Comun x Grande (hibrido)",NA,NA,NA,NA,NA,NA
"13060","Javan x Great Myna (hybrid)","Hybride Martin de Java x Grand Martin","Acridotheres javanicus x grandis","Mina de Java x Grande (hibrido)",NA,NA,NA,NA,NA,NA
"13061","Crested Myna","Martin huppe","Acridotheres cristatellus","Mina Crestado",3345,15,NA,NA,NA,NA
"13062","Jungle/Crested Myna","Martin forestier ou M. huppe","Acridotheres fuscus/cristatellus","Mina de La Jungla/Crestado",NA,NA,NA,NA,NA,NA
"13063","black myna sp.","Acridotheres sp. (Martin fonce)","Acridotheres sp. (black myna sp.)","Mina negro sp.",NA,NA,NA,NA,NA,NA
"13064","Acridotheres sp.","Acridotheres sp.","Acridotheres sp.","Mina sp.",NA,NA,NA,NA,NA,NA
"13065","Madagascar Starling","etourneau malgache","Hartlaubius auratus","Estornino Malgache",NA,NA,NA,NA,NA,NA
"13066","Violet-backed Starling","etourneau amethyste","Cinnyricinclus leucogaster","Estornino Amatista",1322,5.93,NA,NA,909,4.09
"13067","Slender-billed Starling","Rufipenne a bec fin","Onychognathus tenuirostris","Estornino Picofino",NA,NA,NA,NA,NA,NA
"13068","Pale-winged Starling","Rufipenne nabouroup","Onychognathus nabouroup","Estornino Naburup",NA,NA,NA,NA,NA,NA
"13069","Neumann's Starling","Rufipenne de Neumann","Onychognathus neumanni","Estornino de Neumann",NA,NA,NA,NA,NA,NA
"13070","Red-winged Starling","Rufipenne morio","Onychognathus morio","Estornino Alirrojo",1437,6.44,NA,NA,NA,NA
"13071","Chestnut-winged Starling","Rufipenne de foret","Onychognathus fulgidus","Estornino Alirrufo",NA,NA,NA,NA,NA,NA
"13072","Chestnut-winged Starling (Chestnut-winged)","Rufipenne de foret (fulgidus)","Onychognathus fulgidus fulgidus","Estornino Alirrufo (fulgidus)",NA,NA,NA,NA,NA,NA
"13073","Chestnut-winged Starling (Hartlaub's)","Rufipenne de foret (hartlaubii/intermedius)","Onychognathus fulgidus hartlaubii/intermedius","Estornino Alirrufo (hartlaubii/intermedius)",NA,NA,NA,NA,NA,NA
"13074","Waller's Starling","Rufipenne de Waller","Onychognathus walleri","Estornino de Waller",NA,NA,NA,NA,NA,NA
"13075","Waller's Starling (Preuss's)","Rufipenne de Waller (preussi)","Onychognathus walleri preussi","Estornino de Waller (preussi)",NA,NA,NA,NA,NA,NA
"13076","Waller's Starling (Albertine)","Rufipenne de Waller (elgonensis)","Onychognathus walleri elgonensis","Estornino de Waller (elgonensis)",NA,NA,NA,NA,NA,NA
"13077","Waller's Starling (Waller's)","Rufipenne de Waller (walleri)","Onychognathus walleri walleri","Estornino de Waller (walleri)",NA,NA,NA,NA,NA,NA
"13078","Tristram's Starling","Rufipenne de Tristram","Onychognathus tristramii","Estornino de Tristram",NA,NA,NA,NA,NA,NA
"13079","White-billed Starling","Rufipenne a bec blanc","Onychognathus albirostris","Estornino Piquiblanco",NA,NA,NA,NA,NA,NA
"13080","Bristle-crowned Starling","Rufipenne de Salvadori","Onychognathus salvadorii","Estornino de Salvadori",NA,NA,NA,NA,NA,NA
"13081","Somali Starling","Rufipenne de Blyth","Onychognathus blythii","Estornino Somali",NA,NA,NA,NA,NA,NA
"13082","Socotra Starling","Rufipenne de Socotra","Onychognathus frater","Estornino de Socotra",NA,NA,NA,NA,NA,NA
"13083","Spot-winged Starling","Choucador a ailes tachetees","Saroglossa spilopterus","Estornino Alipinto",NA,NA,NA,NA,NA,NA
"13084","Babbling Starling","Choucador a gorge noire","Neocichla gutturalis","Estornino Gorjinegro",NA,NA,NA,NA,NA,NA
"13085","Babbling Starling (Western)","Choucador a gorge noire (gutturalis)","Neocichla gutturalis gutturalis","Estornino Gorjinegro (oeste)",NA,NA,NA,NA,NA,NA
"13086","Babbling Starling (Eastern)","Choucador a gorge noire (angusta)","Neocichla gutturalis angusta","Estornino Gorjinegro (este)",NA,NA,NA,NA,NA,NA
"13087","White-collared Starling","Choucador a cou blanc","Grafisia torquata","Estornino Acollarado",NA,NA,NA,NA,NA,NA
"13088","Magpie Starling","Choucador pie","Speculipastor bicolor","Estornino Urraca",3892,17.45,NA,NA,NA,NA
"13089","Sharpe's Starling","Choucador de Sharpe","Pholia sharpii","Estornino de Sharpe",NA,NA,NA,NA,NA,NA
"13090","Abbott's Starling","Choucador d'Abbott","Poeoptera femoralis","Estornino de Abbott",NA,NA,NA,NA,NA,NA
"13091","Narrow-tailed Starling","Choucador a queue etroite","Poeoptera lugubris","Estornino Rabilargo",NA,NA,NA,NA,NA,NA
"13092","Stuhlmann's Starling","Choucador de Stuhlmann","Poeoptera stuhlmanni","Estornino de Stuhlmann",NA,NA,NA,NA,NA,NA
"13093","Kenrick's Starling","Choucador de Kenrick","Poeoptera kenricki","Estornino de Kenrick",NA,NA,NA,NA,NA,NA
"13094","Black-bellied Starling","Choucador a ventre noir","Notopholia corusca","Estornino Ventrinegro",NA,NA,NA,NA,NA,NA
"13095","Purple-headed Starling","Choucador a tete pourpree","Hylopsar purpureiceps","Estornino Cabecipurpura",NA,NA,NA,NA,NA,NA
"13096","Copper-tailed Starling","Choucador a queue bronzee","Hylopsar cupreocauda","Estornino Colicobrizo",NA,NA,NA,NA,NA,NA
"13097","Hildebrandt's Starling","Choucador de Hildebrandt","Lamprotornis hildebrandti","Estornino de Hildebrant",NA,NA,NA,NA,NA,NA
"13098","Shelley's Starling","Choucador de Shelley","Lamprotornis shelleyi","Estornino de Shelley",NA,NA,NA,NA,NA,NA
"13099","Burchell's Starling","Choucador de Burchell","Lamprotornis australis","Estornino de Burchell",NA,NA,NA,NA,NA,NA
"13100","Ruppell's Starling","Choucador de Ruppell","Lamprotornis purpuroptera","Estornino de Ruppell",NA,NA,NA,NA,NA,NA
"13101","Long-tailed Glossy Starling","Choucador a longue queue","Lamprotornis caudatus","Estornino Colilargo",NA,NA,NA,NA,NA,NA
"13102","Meves's Starling","Choucador de Meves","Lamprotornis mevesii","Estornino de Meves",NA,NA,NA,NA,NA,NA
"13103","Meves's Starling (Meves's)","Choucador de Meves (mevesii)","Lamprotornis mevesii mevesii","Estornino de Meves (Meves’s)",NA,NA,NA,NA,NA,NA
"13104","Meves's Starling (Cunene)","Choucador de Meves (violacior)","Lamprotornis mevesii violacior","Estornino de Meves (de Cunene)",NA,NA,NA,NA,NA,NA
"13105","Meves's Starling (Benguela)","Choucador de Meves (benguelensis)","Lamprotornis mevesii benguelensis","Estornino de Meves (Benguela)",NA,NA,NA,NA,NA,NA
"13106","Ashy Starling","Choucador cendre","Lamprotornis unicolor","Estornino Cenizo",NA,NA,NA,NA,NA,NA
"13107","Splendid Starling","Choucador splendide","Lamprotornis splendidus","Estornino Esplendido",NA,NA,NA,NA,NA,NA
"13108","Principe Starling","Choucador de Principe","Lamprotornis ornatus","Estornino de Principe",NA,NA,NA,NA,NA,NA
"13109","Golden-breasted Starling","Choucador royal","Lamprotornis regius","Estornino Pechidorado",NA,NA,NA,NA,NA,NA
"13110","Superb Starling","Choucador superbe","Lamprotornis superbus","Estornino Soberbio",2201,9.87,274,1.23,NA,NA
"13111","Chestnut-bellied Starling","Choucador a ventre roux","Lamprotornis pulcher","Estornino Ventrirrufo",NA,NA,NA,NA,NA,NA
"13112","African Pied Starling","Spreo bicolore","Lamprotornis bicolor","Estornino Bicolor",473,2.12,NA,NA,NA,NA
"13113","White-crowned Starling","Spreo a calotte blanche","Lamprotornis albicapillus","Estornino Coroniblanco",NA,NA,NA,NA,NA,NA
"13114","Fischer's Starling","Spreo de Fischer","Lamprotornis fischeri","Estornino de Fischer",NA,NA,NA,NA,NA,NA
"13115","Lesser Blue-eared Starling","Choucador de Swainson","Lamprotornis chloropterus","Estornino de Swainson",NA,NA,NA,NA,NA,NA
"13116","Lesser Blue-eared Starling (Lesser)","Choucador de Swainson (chloropterus)","Lamprotornis chloropterus chloropterus","Estornino de Swainson (chloropterus)",NA,NA,NA,NA,NA,NA
"13117","Lesser Blue-eared Starling (Miombo)","Choucador de Swainson (elisabeth)","Lamprotornis chloropterus elisabeth","Estornino de Swainson (elisabeth)",NA,NA,NA,NA,NA,NA
"13118","Sharp-tailed Starling","Choucador a queue fine","Lamprotornis acuticaudus","Estornino Colifino",NA,NA,NA,NA,NA,NA
"13119","Greater Blue-eared Starling","Choucador a oreillons bleus","Lamprotornis chalybaeus","Estornino Orejiazul",781,3.5,NA,NA,NA,NA
"13120","Emerald Starling","Choucador iris","Lamprotornis iris","Estornino Esmeralda",1536,6.89,NA,NA,NA,NA
"13121","Purple Starling","Choucador pourpre","Lamprotornis purpureus","Estornino Purpureo",2562,11.49,NA,NA,NA,NA
"13122","Cape Starling","Choucador a epaulettes rouges","Lamprotornis nitens","Estornino de El Cabo",2072,9.29,NA,NA,NA,NA
"13123","Bronze-tailed Starling","Choucador a queue violette","Lamprotornis chalcurus","Estornino Colibronceado",NA,NA,NA,NA,NA,NA
"13124","Lamprotornis sp.","Lamprotornis sp.","Lamprotornis sp.","Estornino (Lamprotornis) sp.",NA,NA,NA,NA,NA,NA
"13125","myna/starling sp.","Sturnide sp.","Sturnidae sp.","Estornino/Mina sp.",NA,NA,NA,NA,NA,NA
"13126","Blue Mockingbird","Moqueur bleu","Melanotis caerulescens","Mulato Azul",8255,37.02,4009,17.98,2566,11.56
"13127","Blue-and-white Mockingbird","Moqueur bleu et blanc","Melanotis hypoleucus","Mulato Pechiblanco",NA,NA,NA,NA,NA,NA
"13128","Black Catbird","Moqueur noir","Melanoptila glabrirostris","Pajaro Gato Negro",2756,12.36,4097,18.37,NA,NA
"13129","Gray Catbird","Moqueur chat","Dumetella carolinensis","Pajaro Gato Gris",NA,NA,2911,13.05,NA,NA
"13130","White-breasted Thrasher","Moqueur gorge-blanche","Ramphocinclus brachyurus","Cuitlacoche Pechiblanco",NA,NA,NA,NA,NA,NA
"13131","White-breasted Thrasher (Martinique)","Moqueur gorge-blanche (brachyurus)","Ramphocinclus brachyurus brachyurus","Cuitlacoche Pechiblanco (Martinica)",NA,NA,NA,NA,NA,NA
"13132","White-breasted Thrasher (St. Lucia)","Moqueur gorge-blanche (sanctaeluciae)","Ramphocinclus brachyurus sanctaeluciae","Cuitlacoche Pechiblanco (Sta. Lucia)",NA,NA,NA,NA,NA,NA
"13133","Scaly-breasted Thrasher","Moqueur grivotte","Allenia fusca","Cuitlacoche Oscuro",NA,NA,NA,NA,NA,NA
"13134","Pearly-eyed Thrasher","Moqueur corossol","Margarops fuscatus","Cuitlacoche Chucho",NA,NA,NA,NA,NA,NA
"13135","Scaly-breasted/Pearly-eyed Thrasher","Moqueur grivotte ou M. corossol","Allenia fusca/Margarops fuscatus","Cuitlacoche Oscuro/Chucho",NA,NA,NA,NA,NA,NA
"13136","Brown Trembler","Trembleur brun","Cinclocerthia ruficauda","Cocobino Pardo",211,0.95,NA,NA,NA,NA
"13137","Gray Trembler","Trembleur gris","Cinclocerthia gutturalis","Cocobino Gris",NA,NA,NA,NA,NA,NA
"13138","Brown/Gray Trembler","Trembleur brun ou T. gris","Cinclocerthia ruficauda/gutturalis","Cocobino Pardo/Gris",NA,NA,NA,NA,NA,NA
