"","masscentr","rangecentr","Migration","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","gbif_mean_scaled","mean","CITES_species","threatened"
"107",-0.304153,-6.064541,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149870713557543,0,0,0
"108",-1.062757,0.839248,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148430366002806,0,0,0
"109",-0.7389703,3.033738,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.10911144980768,0,0,0
"110",-0.7096181,-2.803746,3,1,0,0,0,0,1,0,0,0,0,0,0,-0.149932442738461,0,0,0
"111",-1.444966,-0.3355482,3,1,0,0,0,0,1,0,1,0,0,1,0,-0.134582453083688,5.826666667,0,1
"112",-1.453624,3.156188,3,0,0,0,0,0,0,0,0,0,0,0,0,0.298530056625852,5.53,0,0
"113",-0.4555526,-6.280059,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149860425360724,0,0,0
"114",-0.8952509,-9.543626,1,0,1,0,1,0,0,0,0,0,0,1,0,-0.149904150197207,0,0,1
"115",-0.618826,-10.52774,1,0,1,1,0,0,0,0,0,0,0,1,0,-0.149904150197207,0,0,1
"116",-1.427871,-11.44623,1,1,1,0,0,0,1,1,0,0,0,1,0,-0.149899006098797,0,1,0
"117",-0.7736058,1.701523,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.147265227712992,0,0,0
"118",-1.427871,3.847215,3,0,0,0,0,0,0,0,0,0,0,0,0,0.852539167161959,7.4,0,0
"119",-1.386371,4.080528,3,0,0,0,0,0,0,0,0,0,0,0,0,1.81528290504367,4.456666667,0,0
"120",-1.129652,-11.98679,1,1,1,0,0,0,0,0,0,0,0,0,0,-0.14971124650684,1.546666667,0,0
"121",-1.791837,NA,3,1,0,1,0,0,1,0,0,1,0,0,0,-0.149968451427329,0,0,1
"122",-0.7096181,2.79507,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.0555485251158821,0,0,0
"123",-0.3696102,-6.118705,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14983213281947,0,0,0
"124",-0.7054943,-8.653915,1,0,1,0,0,0,1,0,0,0,0,1,0,-0.149932442738461,0,0,1
"125",-1.816529,1.081366,3,1,0,1,0,0,0,0,1,0,0,0,0,-0.14869528707091,0,0,1
"126",-0.7013876,-10.88191,1,1,1,1,0,0,0,0,0,0,0,1,0,-0.149960735279715,0,0,1
"127",0.602727248,-0.816163166,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.139286731079428,0,0,0
"128",3.296963527,1.569283474,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.145431356629906,5.386666667,0,0
"129",1.340471269,-3.689136847,1,1,1,0,0,0,1,0,0,0,0,0,0,-0.149628940932284,0,0,1
"130",0.401314712,1.389120031,1,1,0,0,0,0,1,0,1,0,0,0,0,-0.147468419600178,0,0,0
"131",0.866203241,-2.33539192,1,1,0,0,1,0,1,0,1,0,0,0,0,-0.149446325438737,0,0,1
"132",0.634475946,-0.873492837,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148039414523663,3.723333333,0,0
"133",1.1146646,-1.262641531,1,1,0,0,0,0,1,0,1,0,0,0,0,-0.148780164694671,0,0,0
"134",0.757989656,-0.927845086,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.149574927898981,0,0,0
"135",-0.3124518,0.02690361,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.142038823728659,0,0,0
"136",-0.2479132,-1.48033,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.146951437709995,0,0,0
"137",-0.2479132,-3.195518,1,1,0,0,0,1,0,0,0,0,0,0,0,-0.149914438394027,0,0,0
"138",-0.024769683,4.617194822,3,0,0,0,0,0,0,1,0,0,0,0,0,1.71068538002848,17.63333333,0,0
"139",-0.197140909,3.977036506,3,0,0,0,0,0,0,0,0,0,0,0,0,2.82398916221674,6.093333333,0,0
"140",1.346305282,4.197516981,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499851826857088,5.556666667,0,0
"141",1.580492858,-0.814897583,2,1,0,0,0,0,1,0,1,1,0,0,0,-0.149343443470541,0,0,1
"142",-2.306735489,0.887301221,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0880900916561281,2.646666667,1,0
"143",3.098787629,2.642876294,3,0,0,0,0,0,0,0,0,0,0,0,0,0.13252742889316,2.7,0,0
"144",3.1401778,2.947302375,3,0,0,0,0,0,0,0,0,0,0,0,0,0.780851011723314,4.703333333,0,0
"145",-1.950061,-0.5459647,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14995816323051,0,0,0
"146",-1.744208,4.269001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.92396741624543,14.59333333,0,0
"147",-2.087682,2.393711,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.0874522234533158,0.61,0,0
"148",-2.155505,-0.1640602,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149405172651459,0,0,0
"149",-1.744208,1.949641,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14316023718199,0,0,0
"150",-1.950061,-1.320311,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.145799159666205,0,0,0
"151",-1.993863,-0.3977879,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149754971343323,0,0,0
"152",-1.841847,-0.3465158,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149536347160908,0,0,0
"153",-1.411064044,1.881341874,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.142643255291808,0,0,0
"154",-1.427871162,1.028527958,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.145639692615502,0,0,0
"155",-1.411064044,3.214383948,1,0,0,0,0,0,0,0,0,0,0,0,0,0.143695266540785,5.926666667,0,0
"156",-1.300715987,1.468989365,1,1,0,0,0,0,1,0,1,0,0,0,0,-0.141436964214715,1.486666667,0,0
"157",0.716175106,3.107708725,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.0321891742370871,8.123333333,1,0
"158",1.025469021,4.526063736,2,0,1,0,0,0,1,0,0,1,0,0,0,-0.000817890085065316,7.323333333,1,0
"159",0.891521049,1.458975188,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.148764732399442,0,1,0
"160",0.486055941,-1.758747073,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.148787880842286,0,1,0
"161",0.198373868,-5.405892389,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.149814128475036,0,0,0
"162",-0.334924611,-0.986916986,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149523486914884,0,0,0
"163",0.198373868,-0.253933336,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149572355849776,0,0,0
"164",1.016684192,-2.524137905,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149598076341825,0,0,0
"165",-0.139432591,3.40656376,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.10300797704448,0,0,0
"166",0.467127931,-0.418741157,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149549207406932,0,0,0
"167",0.055273025,-4.244186452,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.149911866344822,0,0,0
"168",0.029955217,-1.85173729,1,1,1,0,0,0,1,0,0,0,0,0,0,-0.149847565114699,0,0,0
"169",5.244011589,3.408612626,1,1,0,0,1,1,1,1,1,0,0,1,1,0.138962696003791,16.68666667,1,0
"170",3.392820379,-0.276352734,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.149814128475036,0,0,0
"171",1.361524678,-5.717863675,1,0,1,0,0,0,1,0,1,0,0,1,0,-0.149955591181305,0,0,1
"172",-1.894490694,-5.910623375,1,0,1,0,0,0,0,1,0,1,0,0,0,-0.149083666500848,0,0,1
"173",-1.300715987,2.147377726,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.134484715213902,0,0,0
