species_code,avibase_code,taxon_order,category,primary_com_name,cur_alternate_com_name,sci_name,com_name_locale_code
bkhbat2,avibase-90D0D245,19126,species,Eastern Black-headed Batis,Batis Carinegro Oriental,Batis minor,es
blhbat1,avibase-204130B2,19129,slash,Western/Eastern Black-headed Batis,Batis Carinegro Occidental/Oriental,Batis erlangeri/minor,es
pygbat1,avibase-5C9DDB02,19130,species,Pygmy Batis,Batis Pigmeo,Batis perkeo,es
verbat1,avibase-43F4D13C,19131,species,Verreaux's Batis,Batis de Verreaux,Batis minima,es
itubat1,avibase-45C905C5,19132,species,Ituri Batis,Batis del Ituri,Batis ituriensis,es
fepbat1,avibase-0718A157,19133,species,Bioko Batis,Batis de Fernando Poo,Batis poensis,es
weabat1,avibase-8662B6A1,19134,species,West African Batis,Batis Oculto,Batis occulta,es
angbat1,avibase-F254EE2D,19135,species,Angola Batis,Batis Angoleno,Batis minulla,es
batis1,avibase-D7A0E987,19136,spuh,batis sp.,Batis sp.,Batis sp.,es
whihel1,avibase-3996ECD0,19137,species,White Helmetshrike,Prionopo Crestiblanco,Prionops plumatus,es
whihel2,avibase-E12A0349,19138,issf,White Helmetshrike (Long-crested),Prionopo Crestiblanco (plumatus),Prionops plumatus plumatus,es
whihel3,avibase-7FEAEF5D,19139,issf,White Helmetshrike (Yellow-eyed),Prionopo Crestiblanco (grupo poliocephalus),Prionops plumatus [poliocephalus Group],es
gychel1,avibase-1F2F7323,19144,species,Gray-crested Helmetshrike,Prionopo Crestigris,Prionops poliolophus,es
yechel1,avibase-523B438A,19145,species,Yellow-crested Helmetshrike,Prionopo Crestigualdo,Prionops alberti,es
chbhel1,avibase-B1EF3E4F,19146,species,Red-billed Helmetshrike,Prionopo Piquirrojo,Prionops caniceps,es
rebhel1,avibase-8CDE78BB,19147,issf,Red-billed Helmetshrike (Red-billed),Prionopo Piquirrojo (caniceps),Prionops caniceps caniceps,es
rebhel2,avibase-971E0EF5,19148,issf,Red-billed Helmetshrike (Gray-cheeked),Prionopo Piquirrojo (harterti),Prionops caniceps harterti,es
rubhel1,avibase-1B2AF453,19149,species,Rufous-bellied Helmetshrike,Prionopo Ventrirrojo,Prionops rufiventris,es
rethel1,avibase-5B9EA71C,19152,species,Retz's Helmetshrike,Prionopo de Retz,Prionops retzii,es
anghel1,avibase-A7E4E1E5,19157,species,Angola Helmetshrike,Prionopo de Gabela,Prionops gabela,es
chfhel1,avibase-E27EEDC5,19158,species,Chestnut-fronted Helmetshrike,Prionopo Frentirrufo,Prionops scopifrons,es
afrshf1,avibase-18A968DB,19162,species,African Shrike-flycatcher,Bias Llameante,Megabyas flammulatus,es
bawfly1,avibase-F1A4B955,19165,species,Black-and-white Shrike-flycatcher,Bias Musico,Bias musicus,es
malwoo1,avibase-AC47E292,19169,species,Malabar Woodshrike,Ceniciento de Malabar,Tephrodornis sylvicola,es
larwoo1,avibase-DA88E410,19170,species,Large Woodshrike,Ceniciento Grande,Tephrodornis virgatus,es
comwoo1,avibase-E410E9A6,19181,species,Common Woodshrike,Ceniciento Chico,Tephrodornis pondicerianus,es
y01096,avibase-B89656E2,19185,slash,Malabar/Common Woodshrike,Ceniciento de Malabar/Chico,Tephrodornis sylvicola/pondicerianus,es
y00663,avibase-AD668CF5,19186,slash,Large/Common Woodshrike,Ceniciento Grande/Chico,Tephrodornis virgatus/pondicerianus,es
srlwoo1,avibase-77F025E0,19187,species,Sri Lanka Woodshrike,Ceniciento de Ceilan,Tephrodornis affinis,es
bwfshr1,avibase-B0066A99,19188,species,Bar-winged Flycatcher-shrike,Oruguero Alibarrado,Hemipus picatus,es
bwfshr2,avibase-98B4A716,19193,species,Black-winged Flycatcher-shrike,Oruguero Golondrina,Hemipus hirundinaceus,es
ruwphi2,avibase-B4722276,19194,species,Rufous-winged Philentoma,Filentoma Alicastano,Philentoma pyrhoptera,es
mabphi2,avibase-5D96E28C,19197,species,Maroon-breasted Philentoma,Filentoma Pechipardo,Philentoma velata,es
y00889,avibase-4598D692,19200,slash,Rufous-winged/Maroon-breasted Philentoma,Filentoma Alicastano/Pechipardo,Philentoma pyrhoptera/velata,es
arcnew1,avibase-E4B78086,19201,species,Archbold's Newtonia,Newtonia de Archbold,Newtonia archboldi,es
comnew1,avibase-4C71BFD5,19202,species,Common Newtonia,Newtonia Comun,Newtonia brunneicauda,es
darnew1,avibase-57F73C4A,19205,species,Dark Newtonia,Newtonia Oscura,Newtonia amphichroa,es
darnew2,avibase-4E8C7F22,19206,issf,Dark Newtonia (amphichroa),Newtonia Oscura (nortena),Newtonia amphichroa amphichroa,es
darnew3,avibase-29E098AB,19207,issf,Dark Newtonia (lavarambo),Newtonia Oscura (surena),Newtonia amphichroa lavarambo,es
retnew1,avibase-B42659F8,19208,species,Red-tailed Newtonia,Newtonia Colirroja,Newtonia fanovanae,es
tylvan1,avibase-E4E68AA1,19209,species,Tylas Vanga,Vanga Cabecinegro,Tylas eduardi,es
tylvan2,avibase-48FC2440,19210,issf,Tylas Vanga (Eduard's),Vanga Cabecinegro (eduardi),Tylas eduardi eduardi,es
tylvan3,avibase-833F0BB5,19211,issf,Tylas Vanga (White-throated),Vanga Cabecinegro (albigularis),Tylas eduardi albigularis,es
retvan1,avibase-1C857735,19212,species,Red-tailed Vanga,Vanga Colirrojo,Calicalicus madagascariensis,es
