"","Sequence","species","Family1","Order1","Avibase.ID1","wing.lcentr","Wing.Length","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","masscentr","rangecentr","clutchcentr","clutch.size","gen.length","genlcentr","gbif_mean","gbif_sum","CITES_species","english_name","french_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean","count_mean","mean","category.n","prediction","threatened","prob.predictions"
"2473",7036,"Cyanocorax dickeyi","Corvidae","Passeriformes","AVIBASE-735CC47C",0.255653422,173,161.2,181,"Forest",1,1,"Herbivore","Omnivore","Insessorial",22.28,24.53,23.4,-105.48,13431.36,1,0,0,0,0,1,0,0,0,0,1,0,1.302526337,-2.945179649,0.230811813,4,6.864503198,0.64940517,53.1,1008,0,"Tufted Jay","Geai panache","Chara Pinta",3133,14.05,0,0,1644,7.41,1592.333333,7.153333333,2,0.544935644101385,0,0.632959825537606
"2490",7010,"Cyanolyca nanus","Corvidae","Passeriformes","AVIBASE-945C18FA",-0.062869662,113.4,113.9,41,"Forest",1,1,"Carnivore","Invertivore","Insessorial",17.14,21.26,17.98,-96.79,4670.68,1,0,1,0,0,1,1,0,0,0,1,0,-0.182398627,-4.001467249,-0.038237683,3,3.448632305,-0.060416215,47.4,900,0,"Dwarf Jay","Geai nain","Chara Enana",2975,13.34,0,0,1781,8.02,1585.333333,7.12,2,0.879795149090372,0,0.706779769153695
"2506",4325,"Cyanoramphus auriceps","Psittacidae","Psittaciformes","AVIBASE-57B42328",-0.107762177,105,114.4,45.6,"Forest",1,1,"Herbivore","Granivore","Insessorial",-50.92,-35.48,-43.04,170.77,65410.62,1,1,0,0,0,1,0,0,0,0,0,0,-0.076062977,-1.36208729,0.83617318,6.25,2.466617382,-0.264479897,224.4,4264,1,"Yellow-crowned Parakeet","Perruche a tete d'or","Perico Maori Cabecigualdo",0,0,0,0,0,0,0,0,2,0.529406767664514,0,0.629344739318629
"2590",5968,"Dasyornis broadbenti","Dasyornithidae","Passeriformes","AVIBASE-CA9DB79D",-0.183651905,90.8,120.9,67.9,"Shrubland",2,1,"Omnivore","Invertivore","Generalist",-38.86,-35.31,-37.67,141.5,26759.89,1,1,1,0,0,0,0,1,0,0,1,0,0.322065341,-2.255867796,-0.30728718,2,3.716938109,-0.004662,286.6,5445,1,"Rufous Bristlebird","Dasyorne roux","Picocerdas Rufo",729,3.27,0,0,0,0,243,1.09,1,1.08939983268984,0,0.748268689342854
"2632",379,"Dendrocygna arborea","Anatidae","Anseriformes","AVIBASE-DC65FCE7",0.7019064,256.5,72.8,1150,"Forest",3,2,"Herbivore","Omnivore","Terrestrial",15.2,24.8,21.23,-77.39,101817.5,1,1,1,0,0,1,0,0,1,0,1,0,3.151546527,-0.919589925,1.65293058,9.285714286,4.458377096,0.149409762,440.6,8372,1,"West Indian Whistling-Duck","Dendrocygne des Antilles","Suiriri Yaguaza",0,0,0,0,0,0,0,0,2,2.68868328020333,0,0.936355558363655
"2635",380,"Dendrocygna bicolor","Anatidae","Anseriformes","AVIBASE-9A60617E",0.522870774,223,63,756.4,"Wetland",3,2,"Herbivore","Omnivore","Terrestrial",-39.86,34.72,-5.6,11.08,18668766.17,1,1,0,0,1,1,0,0,1,0,0,0,2.732599643,4.291835228,1.845108792,10,2.619713927,-0.232666282,4834.7,91860,1,"Fulvous Whistling-Duck","Dendrocygne fauve","Suiriri Bicolor",0,0,1648,7.42,0,0,549.3333333,2.473333333,1,0.0271831878762851,0,0.506795378534236
"2698",9415,"Dicaeum vincens","Dicaeidae","Passeriformes","AVIBASE-6D711040",-0.3723074,55.5,33,8.5,"Forest",1,1,"Herbivore","Frugivore","Insessorial",5.92,7.58,6.71,80.32,12166.57,1,0,1,1,0,1,0,1,0,0,0,0,-1.755905,-3.04408,-0.3072872,2,2.20311,-0.3192371,81.1,1540,0,"White-throated Flowerpecker","Dicee de Ceylan","Picaflores Cingales",0,0,0,0,0,0,0,0,2,0.22625814325482,0,0.556324456935823
"2704",6770,"Dicrurus andamanensis","Dicruridae","Passeriformes","AVIBASE-EED766E8",0.025846499,130,158.2,50.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",10.51,14.19,12.3,92.78,5726.81,1,0,1,0,0,1,0,0,0,0,0,0,0.026002642,-3.797613264,-0.199667381,2.4,3.368279328,-0.077113644,169.6,3052,0,"Andaman Drongo","Drongo des Andaman","Drongo de Andaman",0,0,0,0,0,0,0,0,1,0.336188245543534,0,0.583264306091046
"2718",6769,"Dicrurus megarhynchus","Dicruridae","Passeriformes","AVIBASE-1C7931F4",0.283978461,178.3,307.2,130,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-4.85,-2.56,-3.81,152.33,7019.61,1,0,0,0,0,1,0,0,0,0,0,0,0.971563757,-3.594064259,NA,NA,3.583781847,-0.032332005,3.9,31,0,"Ribbon-tailed Drongo","Drongo de Nouvelle-Irlande","Drongo de Nueva Irlanda",0,0,0,0,0,0,0,0,2,0.142443017828555,0,0.535550664486611
"2736",11032,"Diglossa gloriosissima","Thraupidae","Passeriformes","AVIBASE-B5A814A5",-0.2798502,72.8,63.3,14,"Shrubland",2,1,"Omnivore","Nectarivore","Insessorial",2.34,6.65,5.22,-76.2,1245.03,1,0,1,1,0,0,1,1,0,0,0,0,-1.256913,-5.323612,NA,NA,2.578741,-0.2411805,91.1,1731,0,"Chestnut-bellied Flowerpiercer","Percefleur a ventre marron","Pinchaflor Ventrirrufo",0,0,0,0,0,0,0,0,2,-0.021658033489771,0,0.494585703266437
"2747",3816,"Dinopium everetti","Picidae","Piciformes","AVIBASE-449435CA",0.063791363,137.1,81.7,93.8,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",7.8,12.33,9.93,118.67,13144.63,1,0,0,1,0,1,0,0,0,0,0,0,0.645194162,-2.96675861,-0.172762432,2.5,2.374183038,-0.283687846,43.5,783,0,"Spot-throated Flameback","Pic d'Everett","Pito Culirrojo de Filipinas",0,0,0,0,0,0,0,0,2,0.0422019868801031,0,0.510548931122538
"2790",4734,"Drymophila hellmayri","Thamnophilidae","Passeriformes","AVIBASE-7694CC98",-0.394753614,51.3,77.5,11.9,"Forest",1,1,"Carnivore","Invertivore","Insessorial",10.73,11.15,10.94,-73.77,3040.78,1,0,0,0,0,1,0,1,0,0,1,0,-1.419432294,-4.430657859,NA,NA,2.534393376,-0.250395978,95.7,1723,0,"Santa Marta Antbird","Grisin de Santa Marta","Tiluchi de Santa Marta",0,0,0,0,0,0,0,0,2,0.74147656768626,0,0.677318656515658
"2819",865,"Ducula bakeri","Columbidae","Columbiformes","AVIBASE-E5C4225B",0.43041357,205.7,140.7,394,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-16.38,-13.48,-15.3,167.51,4126.49,1,0,0,0,0,1,0,0,0,0,1,0,2.080380215,-4.125344754,NA,NA,5.286497638,0.321494038,20.1,161,0,"Baker's Imperial-Pigeon","Carpophage de Baker","Ducula de Nuevas Hebridas",0,0,0,0,0,0,0,0,1,1.11347515877634,0,0.752776420640234
