"","Sequence","species","Family1","Order1","Avibase.ID1","wing.lcentr","Wing.Length","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","category.n","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","masscentr","rangecentr","clutchcentr","clutch.size","gen.length","genlcentr","threatened","gbif_mean","gbif_sum","CITES_species","english_name","french_name","spanish_name","en_count","en_mean","fr_count","fr_mean","spa_count","spa_mean"
"19",6220,"Acanthiza nana","Acanthizidae","Passeriformes","AVIBASE-D6D77AFA",-0.406511177,49.1,36.8,6.2,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",-39.14,-15.68,-29.95,146.15,2021416.13,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.071421402,2.068781679,-0.038237683,3,2.801969371,-0.194793418,0,5190.9,98627,0,"Yellow Thornbill","Acanthize nain","Acantiza Enana",1727,7.74,NA,NA,NA,NA
"20",6224,"Acanthiza pusilla","Acanthizidae","Passeriformes","AVIBASE-8F6C8E9E",-0.39208144,51.8,43.4,7.6,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",-43.64,-20,-32.24,147.72,1131818.69,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.867822447,1.488809158,-0.118952532,2.7,4.669792334,0.19334206,0,18390.7,349423,0,"Brown Thornbill","Acanthize mignon","Acantiza Parda",2005,8.99,116,0.52,NA,NA
"21",6229,"Acanthiza reguloides","Acanthizidae","Passeriformes","AVIBASE-7B1144C8",-0.391012571,52,38.9,7.7,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-39.14,-15.8,-29.59,146.67,1843422.3,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.854750365,1.976607148,0.150096964,3.7,2.650466523,-0.226275862,0,3194.2,60690,0,"Buff-rumped Thornbill","Acanthize a croupion beige","Acantiza Reguloide",NA,NA,NA,NA,NA,NA
"22",6226,"Acanthiza robustirostris","Acanthizidae","Passeriformes","AVIBASE-4D64891A",-0.397425787,50.8,40.2,6.1,"Woodland",2,2,"Carnivore","Invertivore","Insessorial",-30.4,-19.66,-25.85,127.45,2061848.42,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.087681923,2.08858623,-0.118952532,2.7,2.864634882,-0.181771463,0,100.8,1815,0,"Slaty-backed Thornbill","Acanthize ardoise","Acantiza Pizarrosa",NA,NA,NA,NA,NA,NA
"23",6228,"Acanthiza uropygialis","Acanthizidae","Passeriformes","AVIBASE-27F7E242",-0.39208144,51.8,38.3,6.4,"Woodland",2,1,"Carnivore","Invertivore","Insessorial",-38.05,-19.82,-28.24,134,4788831.67,1,0,0,0,0,0,0,0,0,0,0,0,0,-2.039672704,2.93126983,-0.038237683,3,2.732433321,-0.209243079,0,1882.2,35762,0,"Chestnut-rumped Thornbill","Acanthize a croupion roux","Acantiza Culirroja",NA,NA,NA,NA,NA,NA
"24",8398,"Acanthoptila nipalensis","Leiotrichidae","Passeriformes","AVIBASE-9295CC66",-0.2296133,82.2,112.6,61,"Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",26.83,29.77,28.38,83.4,28765.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2149032,-2.183603,NA,NA,3.347383,-0.08145584,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",6069,"Acanthorhynchus superciliosus","Meliphagidae","Passeriformes","AVIBASE-C5ACCD75",-0.341310143,61.3,54.3,9.7,"Shrubland",2,1,"Herbivore","Nectarivore","Insessorial",-35.14,-28.9,-32.88,117.85,182218.54,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.623844808,-0.337565184,-0.447192918,1.48,2.564395028,-0.244161604,0,351.1,6671,0,"Western Spinebill","Meliphage festonne","Picoespina Occidental",1087,4.87,NA,NA,NA,NA
"26",6070,"Acanthorhynchus tenuirostris","Meliphagidae","Passeriformes","AVIBASE-A542D690",-0.318329451,65.6,57.1,10.4,"Forest",2,1,"Omnivore","Nectarivore","Insessorial",-43.64,-15,-33.06,147.62,763502.74,1,0,0,0,0,0,0,0,0,0,0,1,0,-1.554164888,1.095144793,-0.28038223,2.1,3.100284106,-0.132803318,0,12052.6,228999,0,"Eastern Spinebill","Meliphage a bec grele","Picoespina Oriental",2407,10.79,NA,NA,NA,NA
"27",6213,"Acanthornis magna","Acanthizidae","Passeriformes","AVIBASE-69825DA0",-0.369635182,56,48,10.2,"Forest",1,1,"Carnivore","Invertivore","Generalist",-43.64,-39.58,-41.92,146.39,45032.53,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.573582974,-1.735386803,0.029024691,3.25,2.220154725,-0.315695083,0,107.9,2050,0,"Scrubtit","Sericorne de Tasmanie","Sedosito Tasmano",658,2.95,NA,NA,NA,NA
"28",3103,"Accipiter albogularis","Accipitridae","Accipitriformes","AVIBASE-BBB59880",-0.543276735,235.2,169,248.8,"Forest",1,2,"Carnivore","Vertivore","Insessorial",-11.73,-4.02,-8.15,158.49,37461.21,1,0,0,0,0,0,0,0,0,0,0,0,0,1.620678667,-1.919465923,NA,NA,4.556979558,0.169899452,0,9.6,153,1,"Pied Goshawk","Autour pie","Gavilan Pio",532,2.39,NA,NA,2353,10.6
"29",3090,"Accipiter badius","Accipitridae","Accipitriformes","AVIBASE-1A0ECB6E",0.328870976,186.7,140.6,131.2,"Shrubland",2,3,"Carnivore","Vertivore","Insessorial",-29.47,46.39,8.23,44.98,22374973,1,1,0,0,0,0,1,0,1,1,0,0,0,0.980752183,4.472926416,0.029024691,3.25,3.541144678,-0.041192051,0,12279.6,233313,1,"Shikra","epervier shikra","Gavilan Chikra",7326,32.85,NA,NA,NA,NA
