,Spanish.name
796,Vinago Africano Comun
798,Vinago de Pemba
799,Vinago de Santo Tome
800,Vinago Rabudo
801,Vinago de Sumatra
802,Vinago Culigualdo
803,Vinago Rabocuna
804,Vinago Japones
806,Vinago de Formosa
807,Ducula Ventrirrosa
808,Ducula de Forsten
809,Ducula de Mindoro
810,Ducula Colibarrada
811,Ducula de Carlota
812,Ducula Verde
814,Ducula de Anteojos
815,Ducula de Ceram
816,Ducula Coliazul
817,Ducula del Pacifico
818,Ducula de Micronesia
819,Ducula de Makatea
820,Ducula de Las Marquesas
821,Ducula Cerirrubra
822,Ducula de la Nuez Moscada
824,Ducula Ventrirrufa
825,Ducula Moluquena
827,Ducula de Finsch
828,Ducula Capuchina
829,Ducula Insular
830,Ducula Rosacea
831,Ducula de Isla de Navidad
832,Ducula Gris
833,Ducula Ladradora
834,Ducula de Las Salomon
835,Ducula de Nuevas Hebridas
836,Ducula Goliat
837,Ducula de Pinon
839,Ducula Negra
840,Ducula Acollarada
841,Ducula de Zoe
843,Ducula Dorsicastana
844,Ducula Dorsioscura
845,Ducula de Timor
846,Ducula Bicolor
847,Ducula Australiana
848,Ducula Amarillenta
849,Ducula Luctuosa
862,Paloma Azul Malgache
863,Paloma Azul de Las Comoras
864,Paloma Azul de Seychelles
865,Tilopo de Nueva Caledonia
869,Tilopo Enano
870,Tilopo de Negros
871,Tilopo Nuquinegro
872,Tilopo Dorsinegro
873,Tilopo del Alligator
874,Tilopo de Sumba
875,Tilopo Cuellirrosa
877,Tilopo Soberbio
878,Tilopo de Rivoli
880,Tilopo de Las Salomon
881,Tilopo de Tanna
882,Tilopo Cabecigris
883,Tilopo Carunculado
884,Tilopo de Wallace
885,Tilopo Frentiaureo
886,Tilopo Adornado Occidental
888,Tilopo Perlado
889,Tilopo Ventrinaranja
890,Tilopo Insolito
891,Tilopo Pechirrojo
892,Tilopo de Eugenia
893,Tilopo Bonito
894,Tilopo Monje
895,Tilopo Coronita
896,Tilopo Reina
897,Tilopo Coroniblanco
898,Tilopo de Las Palau
899,Tilopo de Richards
900,Tilopo de Las Marianas
901,Tilopo de Ponape
902,Tilopo de Kosrae
903,Tilopo de Grey
904,Tilopo Coronipurpura
906,Tilopo Multicolor
907,Tilopo de Rapa
908,Tilopo de La Henderson
909,Tilopo de La Makatea
910,Tilopo de Tuamotu
912,Tilopo de Rarotonga
913,Tilopo de Tahiti
914,Paloma Maori
915,Paloma de Las Chatham
916,Paloma Culipinta
917,Paloma Montana Papu
918,Paloma Montana de Ceram
919,Paloma Montana de Buru
920,Paloma Montana de Las Salomon
921,Paloma Bicrestada
922,Ganga de Pallas
923,Ganga Tibetana
924,Ganga Ortega
925,Ganga Namaqua
926,Ganga Moruna
927,Ganga Moteada
928,Ganga Gorjigualda
929,Ganga Malgache
930,Ganga Coronada
931,Ganga Iberica
932,Ganga Goteada
933,Ganga Decorada
