,keyword,count
459,Jilguero Rojo,2437
460,Junquero,1985
461,Kagu,10147
462,Kaka,4970
463,Kakapo,5081
464,Kea,5927
465,Lagopodo Comun,878
466,Lavandera Blanca,4653
467,Lavandera Boyera,2971
468,Lechuza Comun,5352
469,Llanero,1931
470,Loica Comun,1663
471,Loica Pampeana,2212
472,Lori Arcoiris,3658
473,Lori Rojo,893
474,Lorito Senegales,378
475,Loro Barranquero,3028
476,Loro Cacique,1750
477,Loro Choclero,766
478,Loro Morado,2537
479,Loro Negro,5652
480,Loro Yaco,6190
481,Maluro Esplendido,357
482,Malvasia Cabeciblanca,1803
483,Mango Dominicano,3584
484,Marabu Africano,1074
485,Marabu Argala,411
486,Martin Pescador Enano,472
487,Martineta Comun,768
488,Martinete Comun,1206
489,Microloro Pusio,527
490,Mielero Regente,162
491,Milano Negro,7035
492,Milano Real,9700
493,Mina Dorado,2969
494,Mina Grande,10432
495,Mina Indio,3595
496,Minero Grande,4154
497,Minero Peruano,4142
498,Mirlo Capiblanco,854
499,Mirlo Comun,4216
500,Mito Comun,6576
501,Mochuelo Boreal,718
502,Mochuelo Chico,814
503,Mochuelo de Madriguera,1962
504,Mochuelo Europeo,1293
505,Mochuelo Peludo,382
506,Mochuelo Tamaulipeco,507
507,Momoto Mexicano,557
508,Monal Colirrojo,210
509,Monarca de Flores,2088
510,Monarca Negro,3317
511,Monarca Nuquinegro,1137
512,Monja Negra,4965
513,Monjita Blanca,1920
514,Monjita Chocolate,969
515,Monterita Canela,857
516,Morito Comun,1705
517,Mosquero Cardenal,2115
518,Mosquero Real,610
519,Mosquitero Bilistado,1255
520,Mosquitero Canario,452
521,Mosquitero Comun,3884
522,Mosquitero Musical,2786
523,Mosquitero Papialbo,1652
524,Mosquitero Silbador,994
525,Mulato Azul,2566
526,Nictibio Colilargo,385
527,Nictibio Grande,216
528,Nictibio Jamaicano,283
529,Nictibio Urutau,486
530,Obispo Colilargo,534
531,Obispo Negro,2522
532,Obispo Rojo,3089
533,Ocotero,987
534,Oropendola Europea,786
535,Ou,12778
536,Pagaza Piconegra,1659
537,Pajaro Capuchino,2273
538,Pajaro Militar,2607
539,Palmero,4950
540,Paloma Bravia,3529
541,Paloma de Nicobar,854
542,Paloma Peruana,3414
543,Paloma Rabiche,1827
544,Paloma Rosada,2090
545,Paloma Torcaz,4961
546,Paloma Torcaza,6064
547,Paloma Zurita,3933
548,Papamoscas Cerrojillo,1858
549,Papamoscas Gris,1702
550,Pardela Balear,3254
551,Pardela Cenicienta,2094
552,Pardela Culinegra,160
553,Pardela de Townsend,1238
554,Pardela Pichoneta,628
555,Pardillo Comun,5900
556,Pato Arlequin,1245
557,Pato Azul,4064
558,Pato Colorado,4213
559,Pato Criollo,5306
560,Pato Joyuyo,1855
561,Pato Mandarin,3528
562,Pato Morado,4034
563,Pato Picazo,2583
564,Pava Aliblanca,1064
565,Pava Andina,2358
566,Pava Cojolita,733
567,Pava Negra,2921
568,Pavo Real Comun,2406
569,Pavo Real Cuelliverde,969
570,Pavon Cornudo,855
571,Pelicano Alcatraz,1613
572,Pelicano Australiano,315
573,Pelicano Pardo,2890
574,Pelicano Rosado,1651
575,Perdiz Griega,1793
576,Perdiz Moruna,1994
577,Perdiz Negra,1535
578,Perdiz Pardilla,1998
579,Perdiz Roja,3566
580,Pergolero Grande,304
581,Pergolero Pardo,734
582,Perico Multicolor,807
583,Perico Nocturno,400
584,Petirrojo Europeo,1583
585,Petrel de Barau,712
586,Petrel de Bulwer,596
587,Petrel de Galapagos,1637
588,Petrel Freira,236
589,Petrel Niveo,446
590,Petroica Carbonera,452
591,Petroica Encarnada,558
592,Peutren,1431
593,Picabuey,2043
594,Picamaderos Negro,2203
595,Pico del Himalaya,3173
596,Pico Menor,5887
597,Pico Mexicano,9100
598,Pico Picapinos,2358
599,Picogordo Comun,807
600,Picogrueso Pechirrosado,233
601,Picozapato,1460.5
602,Pigargo Americano,1123
603,Pigargo Europeo,1020
604,Pigargo Gigante,5050
605,Pigargo Oriental,1172
606,Pintada Negra,6502
607,Pintada Vulturina,1237
608,Pinzon Real,2911
609,Pinzon Vulgar,2391
610,Piquero Pardo,1124
611,Piquero Patirrojo,330
612,Piquero Peruano,896
613,Pirincho,3280
614,Pita Azul,3496
615,Pita India,6056
616,Pitohui Bicolor,633
617,Platanero,7947
618,Pluvial,13784
619,Podargo Australiano,612
620,Podargo de Ceilan,291
621,Podargo Orejudo,296
622,Podargo Papu,220
623,Polluela Pintoja,1260
624,Porron Bola,545
625,Porron Malgache,334
626,Porron Maori,181
627,Porron Osculado,347
628,Porron Pardo,1056
629,Potoyunco Peruano,1038
630,Quebrantahuesos,3099
631,Quetzal Guatemalteco,3702
632,Rabijunco Etereo,900
633,Rascon de Cuvier,315
634,Rascon Weka,185
635,Reinita de Kentucky,184
636,Reinita Estriada,859
637,Reinita Trepadora,738
638,Remolinera Ventriblanca,1183
639,Reyezuelo Listado,1491
640,Reyezuelo Sencillo,896
641,Saltarin Alitorcido,839
642,Saltarin Azul,974
643,Saltarin Coronidorado,100
644,Saltarin Enano,1372
645,Sapayoa,675
646,Sastrecillo Comun,621
647,Secretario,8294
648,Semillero de Barbados,261
649,Serin Verdecillo,1481
650,Serreta Chica,526
651,Sietecolores,2187
652,Sinsonte de Floreana,347
653,Sinsonte Tropical,590
654,Solitario Negro,5637
655,Somormujo Cuellirrojo,742
656,Somormujo Lavanco,1733
657,Tangara Multicolor,786
658,Tangara Verde,6807
659,Tantalo Africano,458
660,Tarabilla Canaria,782
661,Tarro Blanco,6189
662,Tarro Canelo,976
663,Tejedor Baya,1081
664,Tejedor Dorado Asiatico,238
665,Tejedor Republicano,178.5
666,Terrera Comun,1058
667,Tigana,3298
668,Tirano Griton,510
669,Tirano Oriental,1088
670,Tordina Cejinegra,148
671,Tordo Amarillo,2982
672,Tordo Musico,1558
673,Tordo Renegrido,3063
674,Torillo Andaluz,889
675,Torillo Tanki,209
676,Tortola Europea,2203
677,Tortola Oriental,676
678,Tortola Rosigris,1545
679,Tortola Turca,3427
680,Tortolita Mexicana,2280
681,Trepador Azul,3427
682,Treparriscos,4134
683,Trogon Malabar,3491
684,Trompetero Aligris,685
685,Tucan Pechiblanco,444
686,Tucan Toco,3401
687,Tucanete Culirrojo,266
688,Turaco de Guinea,612
689,Turaco de Knysna,427
690,Turaco de Livingstone,446
691,Turaco de Ross,438
692,Turpial Amarillo,3683
693,Turpial Venezolano,1761
694,Urraca Comun,4531
695,Urraca de Formosa,1278
696,Urraca Negra,2935
697,Urraca Verde,2330
698,Vencejo Cafre,1734
699,Vencejo Comun,2698
700,Vencejo Mongol,2170
701,Vencejo Moro,466
702,Vencejo Palido,401
703,Verderon Comun,2510
704,Verderon Serrano,1715
705,Verdugo Flautista,632
706,Vinago Cuellirrosa,267
707,Viuda del Paraiso,1618
708,Viuda Real,5025
709,Yacutoro,1718
710,Zanate Mexicano,3713
711,Zarapito Boreal,1414
712,Zarapito Fino,680
713,Zarapito Real,1691
714,Zarapito Trinador,1138
715,Zenaida Peruana,1390
716,Zopilote Negro,3550
717,Zopilote Rey,2478
718,Zorzal Alirrojo,1754
719,Zorzal Cabecinegro,2165
720,Zorzal Chalchalero,3134
721,Zorzal Charlo,1950
722,Zorzal Colorado,4524
723,Zorzal Comun,5646
724,Zorzal Dorado,432
725,Zorzal Grandala,474
726,Zorzal Pardo,872
727,Zorzal Real,2626
728,Zorzal Rojigris,560
729,Paraguero Corbatudo,582
730,Paraguero Ornado,285
731,Pinguino Barbijo,1412
732,Pinguino de Adelia,1694
733,Pinguino de Galapagos,3825
734,Pinguino de Humboldt,4860
735,Pinguino Emperador,3108
736,Pinguino Enano,948
737,Pinguino Juanito,1816
738,Pinguino Macaroni,1910
739,Pinguino Magallanico,3029
740,Pinguino Rey,5345
