,keyword,spa_count,spa_mean
565,Pava Andina,2358,10.62
566,Pava Cojolita,733,3.30
567,Pava Negra,2921,13.16
568,Pavo Real Comun,2406,10.84
569,Pavo Real Cuelliverde,969,4.36
570,Pavon Cornudo,855,3.85
571,Pelicano Alcatraz,1613,7.27
572,Pelicano Australiano,315,1.42
573,Pelicano Pardo,2890,13.02
574,Pelicano Rosado,1651,7.44
575,Perdiz Griega,1793,8.08
576,Perdiz Moruna,1994,8.98
577,Perdiz Negra,1535,6.91
578,Perdiz Pardilla,1998,9.00
579,Perdiz Roja,3566,16.06
580,Pergolero Grande,304,1.37
581,Pergolero Pardo,734,3.31
582,Perico Multicolor,807,3.64
583,Perico Nocturno,400,1.80
584,Petirrojo Europeo,1583,7.13
585,Petrel de Barau,712,3.21
586,Petrel de Bulwer,596,2.68
587,Petrel de Galapagos,1637,7.37
588,Petrel Freira,236,1.06
589,Petrel Niveo,446,2.01
590,Petroica Carbonera,452,2.04
591,Petroica Encarnada,558,2.51
592,Peutren,1431,6.45
593,Picabuey,2043,9.20
594,Picamaderos Negro,2203,9.92
595,Pico del Himalaya,3173,14.29
596,Pico Menor,5887,26.52
597,Pico Mexicano,9100,40.99
598,Pico Picapinos,2358,10.62
599,Picogordo Comun,807,3.64
600,Picogrueso Pechirrosado,233,1.05
601,Picozapato,1460.5,6.58
602,Pigargo Americano,1123,5.06
603,Pigargo Europeo,1020,4.59
604,Pigargo Gigante,5050,22.75
605,Pigargo Oriental,1172,5.28
606,Pintada Negra,6502,29.29
607,Pintada Vulturina,1237,5.57
608,Pinzon Real,2911,13.11
609,Pinzon Vulgar,2391,10.77
610,Piquero Pardo,1124,5.06
611,Piquero Patirrojo,330,1.49
612,Piquero Peruano,896,4.04
613,Pirincho,3280,14.77
614,Pita Azul,3496,15.75
615,Pita India,6056,27.28
616,Pitohui Bicolor,633,2.85
617,Platanero,7947,35.80
618,Pluvial,13784,62.09
619,Podargo Australiano,612,2.76
620,Podargo de Ceilan,291,1.31
621,Podargo Orejudo,296,1.33
622,Podargo Papu,220,0.99
623,Polluela Pintoja,1260,5.68
624,Porron Bola,545,2.45
625,Porron Malgache,334,1.50
626,Porron Maori,181,0.82
627,Porron Osculado,347,1.56
628,Porron Pardo,1056,4.76
629,Potoyunco Peruano,1038,4.68
630,Quebrantahuesos,3099,13.96
