,keyword,mean
286,Cotorrita Amazonica,2.274774775
287,Crialo Europeo,4.608108108
288,Cua Azul,21.36936937
289,Cuco Comun,13.16666667
290,Cuco Grande,11
291,Cuco Negro,14.28828829
292,Cuco Terrestre de Sumatra,0.914414414
293,Cuervo Americano,13.13963964
294,Cuervo Cubano,9.900900901
295,Cuervo de Flores,12.28378378
296,Cuervo de Torres,13.24324324
297,Cuervo Grande,20.96396396
298,Cuervo Gris,13.06756757
299,Cuervo Hawaiano,8.887387387
300,Cuervo Picogordo,2.121621622
301,Cuitlacoche Rojizo,2.828828829
302,Culebrera Europea,7.009009009
303,Curruca Capirotada,13.13963964
304,Curruca Mosquitera,4.472972973
305,Diamante Cebra,4.608108108
306,Diamante de Gould,41.08558559
307,Diamante Escarlata,6.306306306
308,Diamante Moteado,9.977477477
309,Diamante Tricolor,9.274774775
310,Dromas,16.35585586
311,Ducula Bicolor,2.914414414
312,Egotelo de Nueva Caledonia,4.184684685
313,eider Real,5.414414414
314,Elanio Comun,2.842342342
315,Elanio Tijereta,3.783783784
316,Eminia,18.29279279
317,Emu,37.7027027
318,Escribano Aureolado,1.927927928
319,Escribano Cerillo,8.495495495
320,Escribano de Smith,1.117117117
321,Escribano Hortelano,13.36036036
322,Escribano Lapon,3.842342342
323,Escribano Montesino,8.396396396
324,Escribano Nival,5.085585586
325,Escribano Palustre,6.166666667
326,Escribano Sahariano,2.369369369
327,Escribano Triguero,4.265765766
328,Esmerejon,15.89189189
329,Espatula Real,4.126126126
330,Espatula Rosada,12.60810811
331,Espinero Chico,1.914414414
332,Espinero Grande,6.202702703
333,Espolonero de Borneo,1.828828829
334,Estornino Amatista,4.094594595
335,Estornino de Bali,3.121621622
336,Estornino Negro,12.07657658
337,Estornino Pinto,13.37387387
338,Estornino Rosado,4.103603604
339,Faisan de Lady Amherst,3.842342342
340,Faisan Dorado,46.46396396
341,Faisan Kalij,3.036036036
342,Faisan Plateado,10.63963964
343,Faisan Venerado,5
344,Falaropo Picogrueso,2.869369369
345,Federal,68.08108108
346,Flamenco Chileno,14.23423423
347,Flamenco Comun,11.0990991
348,Flamenco Enano,4.018018018
349,Flamenco Rojo,21.2972973
350,Focha Americana,5.306306306
351,Focha Comun,14.13513514
352,Focha Cornuda,3.774774775
353,Focha Moruna,4.184684685
354,Frailecillo Coletudo,2.193693694
355,Fumarel Cariblanco,2.486486486
356,Gallineta Americana,3.626126126
357,Gallineta Comun,7.689189189
358,Gallito Arena,8.837837838
359,Gallito de Las Rocas Guayanes,1.252252252
360,Gallito de Las Rocas Peruano,9.490990991
361,Gallo Bankiva,9.536036036
362,Gallo Gris,14.6981982
363,Ganga Iberica,4.256756757
364,Ganga India,40.50900901
365,Ganga Ortega,9.342342342
366,Ganso del Nilo,12.9954955
367,Ganso Espolonado,6.202702703
368,Ganso Urraca,1.752252252
369,Garceta Azul,6.324324324
370,Garceta Comun,12.69369369
371,Garceta Grande,7.882882883
372,Garcilla Bueyera,11.30630631
373,Garcilla Cangrejera,3.905405405
374,Garza Agami,1.207207207
375,Garza Azulada,2.68018018
376,Garza Chiflona,8.518018018
377,Garza Cuca,6.77027027
378,Garza Goliat,2.95045045
379,Garza Imperial,8.81981982
380,Garza Real,42.93243243
381,Gaucho Chico,21.54504505
382,Gaucho Grande,34.03153153
383,Gavilan Comun,10.1981982
384,Gavilan Japones,3.364864865
385,Gavilan Pio,10.5990991
386,Gavion Atlantico,6.198198198
387,Gaviota Argentea,7.545045045
388,Gaviota Cangrejera,4.801801802
389,Gaviota Cocinera,8.810810811
390,Gaviota Mexicana,14.37387387
391,Gaviota Patiamarilla,12.9009009
392,Gaviota Sombria,5.40990991
393,Golondrina Azul,12.7972973
394,Golondrina Comun,8.126126126
395,Golondrina Daurica,5.927927928
396,Golondrina Negra,7.036036036
397,Gorrion Alpino,4.896396396
398,Gorrion Chillon,4.873873874
399,Gorrion Comun,22.04954955
400,Gorrion Molinero,4.076576577
401,Gorrion Moruno,4.86036036
402,Graja,39.04504505
403,Graveteiro,4.310810811
404,Grevol Engolado,1.495495495
405,Grulla Comun,8.036036036
406,Grulla Coronada Cuelligris,2.972972973
407,Grulla Damisela,4.644144144
408,Grulla del Paraiso,1.405405405
409,Grulla Siberiana,3.189189189
410,Grulla Trompetera,0.914414414
411,Guacamayo de Lear,5.171171171
412,Guacamayo de Spix,2.308558559
413,Guacamayo Glauco,9.707207207
414,Guacamayo Jacinto,21.64864865
415,Guacamayo Macao,7.738738739
416,Guacamayo Militar,7.734234234
417,Guacharo,16.13513514
418,Guajolote Ocelado,6.603603604
419,Guardabosques Griton,1.355855856
420,Guion de Codornices,3.216216216
421,Gura Occidental,3.153153153
422,Halcon Borni,1.68018018
423,Halcon Gerifalte,7.027027027
424,Halcon Gris,17.59459459
425,Halcon Mexicano,9.707207207
426,Halcon Negro,30.13063063
427,Halcon Peregrino,38.46396396
428,Halcon Reidor,8.653153153
429,Halcon Sacre,8.135135135
430,Halconcito Africano,2.644144144
431,Herrerillo Canario,11.66666667
432,Herrerillo Capuchino,6.914414414
433,Herrerillo Comun,14.05855856
434,Hihi,20.3018018
435,Hoazin,17.28378378
436,Hormiguero Negro,17.18918919
437,Ibis Blanco,23
438,Ibis Calvo,6.594594595
439,Ibis Eremita,9.662162162
440,Ibis Escarlata,5.364864865
441,Ibis Hadada,10.97747748
442,Ibis Nipon,5.963963964
443,Ibis Oriental,15.61261261
444,Ibis Sagrado,10.3018018
445,Ibis Verde,42.03153153
446,Ifrita,7.414414414
447,Iiwi,16.55855856
448,Inca Arcoiris,6.040540541
449,Inca Negro,32.28378378
450,Indicador Grande,15.71171171
451,Indicador Menor,11.65765766
452,Inseparable de Fischer,4.828828829
453,Jabiru Africano,6.738738739
454,Jacana Africana,3.671171171
455,Jacana Crestada,1.536036036
456,Jilguero Europeo,7.378378378
457,Jilguero Lugano,9.040540541
458,Jilguero Negro,12.23873874
459,Jilguero Rojo,10.97747748
460,Junquero,8.941441441
461,Kagu,45.70720721
462,Kaka,22.38738739
463,Kakapo,22.88738739
464,Kea,26.6981982
465,Lagopodo Comun,3.954954955
466,Lavandera Blanca,20.95945946
467,Lavandera Boyera,13.38288288
468,Lechuza Comun,24.10810811
469,Llanero,8.698198198
470,Loica Comun,7.490990991
471,Loica Pampeana,9.963963964
472,Lori Arcoiris,16.47747748
473,Lori Rojo,4.022522523
474,Lorito Senegales,1.702702703
475,Loro Barranquero,13.63963964
476,Loro Cacique,7.882882883
477,Loro Choclero,3.45045045
478,Loro Morado,11.42792793
479,Loro Negro,25.45945946
480,Loro Yaco,27.88288288
481,Maluro Esplendido,1.608108108
482,Malvasia Cabeciblanca,8.121621622
483,Mango Dominicano,16.14414414
484,Marabu Africano,4.837837838
485,Marabu Argala,1.851351351
486,Martin Pescador Enano,2.126126126
487,Martineta Comun,3.459459459
488,Martinete Comun,5.432432432
489,Microloro Pusio,2.373873874
490,Mielero Regente,0.72972973
491,Milano Negro,31.68918919
492,Milano Real,43.69369369
493,Mina Dorado,13.37387387
494,Mina Grande,46.99099099
495,Mina Indio,16.19369369
496,Minero Grande,18.71171171
497,Minero Peruano,18.65765766
498,Mirlo Capiblanco,3.846846847
499,Mirlo Comun,18.99099099
500,Mito Comun,29.62162162
501,Mochuelo Boreal,3.234234234
502,Mochuelo Chico,3.666666667
503,Mochuelo de Madriguera,8.837837838
504,Mochuelo Europeo,5.824324324
505,Mochuelo Peludo,1.720720721
506,Mochuelo Tamaulipeco,2.283783784
507,Momoto Mexicano,2.509009009
508,Monal Colirrojo,0.945945946
509,Monarca de Flores,9.405405405
510,Monarca Negro,14.94144144
511,Monarca Nuquinegro,5.121621622
512,Monja Negra,22.36486486
513,Monjita Blanca,8.648648649
514,Monjita Chocolate,4.364864865
515,Monterita Canela,3.86036036
516,Morito Comun,7.68018018
517,Mosquero Cardenal,9.527027027
518,Mosquero Real,2.747747748
519,Mosquitero Bilistado,5.653153153
520,Mosquitero Canario,2.036036036
521,Mosquitero Comun,17.4954955
522,Mosquitero Musical,12.54954955
523,Mosquitero Papialbo,7.441441441
524,Mosquitero Silbador,4.477477477
525,Mulato Azul,11.55855856
526,Nictibio Colilargo,1.734234234
527,Nictibio Grande,0.972972973
528,Nictibio Jamaicano,1.274774775
529,Nictibio Urutau,2.189189189
530,Obispo Colilargo,2.405405405
531,Obispo Negro,11.36036036
532,Obispo Rojo,13.91441441
533,Ocotero,4.445945946
534,Oropendola Europea,3.540540541
535,Ou,57.55855856
536,Pagaza Piconegra,7.472972973
537,Pajaro Capuchino,10.23873874
538,Pajaro Militar,11.74324324
539,Palmero,22.2972973
540,Paloma Bravia,15.8963964
541,Paloma de Nicobar,3.846846847
542,Paloma Peruana,15.37837838
543,Paloma Rabiche,8.22972973
544,Paloma Rosada,9.414414414
545,Paloma Torcaz,22.34684685
546,Paloma Torcaza,27.31531532
547,Paloma Zurita,17.71621622
548,Papamoscas Cerrojillo,8.369369369
549,Papamoscas Gris,7.666666667
550,Pardela Balear,14.65765766
551,Pardela Cenicienta,9.432432432
552,Pardela Culinegra,0.720720721
553,Pardela de Townsend,5.576576577
554,Pardela Pichoneta,2.828828829
555,Pardillo Comun,26.57657658
556,Pato Arlequin,5.608108108
557,Pato Azul,18.30630631
558,Pato Colorado,18.97747748
559,Pato Criollo,23.9009009
560,Pato Joyuyo,8.355855856
561,Pato Mandarin,15.89189189
562,Pato Morado,18.17117117
563,Pato Picazo,11.63513514
564,Pava Aliblanca,4.792792793
565,Pava Andina,10.62162162
566,Pava Cojolita,3.301801802
567,Pava Negra,13.15765766
568,Pavo Real Comun,10.83783784
569,Pavo Real Cuelliverde,4.364864865
570,Pavon Cornudo,3.851351351
571,Pelicano Alcatraz,7.265765766
572,Pelicano Australiano,1.418918919
573,Pelicano Pardo,13.01801802
574,Pelicano Rosado,7.436936937
575,Perdiz Griega,8.076576577
576,Perdiz Moruna,8.981981982
577,Perdiz Negra,6.914414414
578,Perdiz Pardilla,9
579,Perdiz Roja,16.06306306
580,Pergolero Grande,1.369369369
581,Pergolero Pardo,3.306306306
582,Perico Multicolor,3.635135135
583,Perico Nocturno,1.801801802
